#tail	head	KSP index
P04629	P35222	1
P10586	P35222	2
Q16288	P35222	3
P10586	Q16620	4
Q16620	P35222	4
P04629	P22681	5
P22681	P35222	5
P08138	P04629	6
P08138	P42336	7
P42336	P35222	7
P04629	P08575	8
P08575	P35222	8
P04629	P23467	9
P23467	P35222	9
P04629	Q05209	10
Q05209	P35222	10
P04629	P18031	11
P18031	P35222	11
P04629	Q12913	12
Q12913	P35222	12
P04629	P42336	13
P04629	Q16827	14
Q16827	P35222	14
P04629	P23470	15
P23470	P35222	15
P10586	P14923	16
P14923	P35222	16
Q16288	P18031	17
Q99523	P24941	18
P24941	P35222	18
P10586	Q03135	19
Q03135	P10275	19
P10275	P35222	19
P10275	P16220	20
P08138	P27986	21
P27986	P00519	21
P00519	P35222	21
P27986	P00533	22
P00533	P35222	22
P27986	P63104	23
P63104	P35222	23
P27986	P38398	24
P38398	P16220	24
P27986	P49841	25
P49841	P35222	25
P27986	P61978	26
P61978	P67809	26
P27986	P37173	27
P37173	P35222	27
P27986	Q9Y243	28
Q9Y243	P16220	28
P27986	P31749	29
P31749	P35222	29
P27986	P42336	30
P27986	P31751	31
P31751	P35222	31
P04629	P62993	32
P62993	P06241	32
P06241	P35222	32
P62993	P00533	33
P62993	P42858	34
P42858	P16220	34
P62993	Q9Y230	35
Q9Y230	P35222	35
P62993	P27361	36
P27361	P16220	36
P62993	P63104	37
P62993	P84022	38
P84022	P35222	38
P62993	P22681	39
P62993	P28482	40
P28482	P16220	40
P62993	Q05209	41
P62993	P18031	42
P62993	Q9ULV8	43
Q9ULV8	P35222	43
P62993	P46940	44
P46940	P35222	44
P62993	Q13191	45
Q13191	P35222	45
P04629	P19174	46
P19174	P00519	46
P19174	P12931	47
P12931	P35222	47
P19174	P22681	48
P19174	P17252	49
P17252	P35222	49
P19174	P31749	50
P22681	P08069	51
P08069	P35222	51
P35222	P49023	52
P49023	P35222	52
P22681	P21860	53
P21860	P35222	53
P22681	Q15303	54
Q15303	P35222	54
P10586	P06213	55
P06213	P27361	55
P06213	P22681	56
P06213	P28482	57
P06213	P08575	58
P06213	P23467	59
P06213	Q05209	60
P06213	Q12913	61
P06213	Q9ULV8	62
P06213	P42336	63
P06213	Q13191	64
P06213	Q16827	65
P06213	P23470	66
P35222	Q15910	67
Q15910	P35222	67
Q03135	P00533	68
Q03135	P27361	69
Q03135	P62136	70
P62136	P16220	70
Q03135	P12830	71
P12830	P35222	71
Q03135	P28482	72
Q03135	P18031	73
Q03135	P10586	74
P10586	O14654	75
O14654	P04626	75
P04626	P35222	75
P04629	P01112	76
P01112	P06241	76
P01112	P27361	77
P01112	P45983	78
P45983	P35222	78
P01112	P28482	79
P01112	P42336	80
P01112	P01100	81
P01100	P35222	81
P01112	P05412	82
P05412	P35222	82
P04629	P01111	83
P01111	P27361	83
P01111	P28482	84
P01111	P42336	85
P01111	P01100	86
P01111	P05412	87
P04629	P01116	88
P01116	P27361	88
P01116	P28482	89
P01116	P42336	90
P01116	P01100	91
P01116	P05412	92
Q16620	P06241	93
Q16620	P19022	94
P19022	P35222	94
Q16620	P10586	95
P35222	Q13547	96
Q13547	P35222	96
P35222	P10275	97
P35222	P00519	98
P35222	Q9Y230	99
P35222	Q16620	100
P35222	P63104	101
P35222	Q9UKE5	102
Q9UKE5	P35222	102
P35222	Q13526	103
Q13526	P35222	103
P35222	P12830	104
P35222	Q15796	105
Q15796	P35222	105
P35222	P84022	106
P35222	Q13485	107
Q13485	P35222	107
P35222	P18206	108
P18206	P35222	108
P35222	P98161	109
P98161	P35222	109
P35222	P45983	110
P35222	Q92793	111
Q92793	P16220	111
P35222	P24941	112
P35222	Q09472	113
Q09472	P35222	113
P35222	P37173	114
P35222	O15169	115
O15169	P35222	115
P35222	O15111	116
O15111	P35222	116
P35222	O14920	117
O14920	P35222	117
P35222	P17252	118
P35222	P04629	119
P35222	P25054	120
P25054	P35222	120
P35222	P14923	121
P35222	P19838	122
P19838	P35222	122
P35222	P08575	123
P35222	Q05209	124
P35222	Q12913	125
P35222	Q96RT1	126
Q96RT1	P35222	126
P35222	P31749	127
P35222	P42336	128
P35222	P08151	129
P08151	P35222	129
P35222	Q9NQB0	130
Q9NQB0	P35222	130
P35222	P31751	131
P35222	P15884	132
P15884	P35222	132
P35222	P01100	133
P35222	O15105	134
O15105	P35222	134
P35222	O14745	135
O14745	P35222	135
P35222	Q9BZE0	136
Q9BZE0	P35222	136
P35222	P19022	137
P35222	P50402	138
P50402	P35222	138
P35222	P48729	139
P48729	P35222	139
P35222	Q9UBE8	140
Q9UBE8	P35222	140
P35222	O00512	141
O00512	P35222	141
P35222	O75564	142
O75564	P35222	142
P35222	P26232	143
P26232	P35222	143
P35222	Q9UI47	144
Q9UI47	P35222	144
P35222	P35221	145
P35221	P35222	145
P35222	Q9UJU2	146
Q9UJU2	P35222	146
P35222	P36402	147
P36402	P35222	147
P35222	Q16827	148
P35222	Q01826	149
Q01826	P35222	149
P35222	Q14526	150
Q14526	P35222	150
P35222	P23470	151
P35222	Q9Y2T1	152
Q9Y2T1	P35222	152
P35222	Q92729	153
Q92729	P35222	153
P35222	Q99569	154
Q99569	P35222	154
P35222	Q16288	155
P35222	P33151	156
P33151	P35222	156
P35222	Q99697	157
Q99697	P35222	157
P35222	Q13761	158
Q13761	P35222	158
P35222	P15941	159
P15941	P35222	159
P35222	Q9BRK4	160
Q9BRK4	P35222	160
P35222	Q9Y3M2	161
Q9Y3M2	P35222	161
P35222	Q96NW7	162
Q96NW7	P35222	162
P35222	Q13308	163
Q13308	P35222	163
P35222	P49789	164
P49789	P35222	164
P35222	O00570	165
O00570	P35222	165
P35222	Q9UKB5	166
Q9UKB5	P35222	166
P63104	P67809	167
P22681	P12931	168
P22681	P06241	169
P22681	P00533	170
P22681	P63104	171
P22681	P08581	172
P08581	P35222	172
P22681	P04629	173
P22681	P08575	174
P22681	P23467	175
P22681	Q12913	176
P22681	Q13191	177
P22681	Q16827	178
P22681	P23470	179
P49841	P16220	180
P08138	Q9Y4K3	181
Q9Y4K3	Q99558	181
Q99558	P67809	181
P08138	O00459	182
O00459	P00533	182
Q9Y4K3	P12931	183
P08138	P48736	184
P48736	P00533	184
P08138	O00329	185
O00329	P00533	185
P08138	P42338	186
P42338	P00533	186
P08138	Q8WYR1	187
Q8WYR1	P00533	187
P08138	Q92569	188
Q92569	P00533	188
P08138	P51617	189
P51617	Q13526	189
Q09472	P16220	190
P04629	P29353	191
P29353	P12931	191
P29353	P63104	192
P29353	P22681	193
P29353	P37173	194
P29353	P46940	195
P29353	Q13191	196
P29353	P33151	197
O00459	P63104	198
O00459	P49841	199
O00459	P37173	200
O00459	Q9Y243	201
O00459	P31749	202
O00459	P42336	203
O00459	P31751	204
Q9Y4K3	P08069	205
Q9Y4K3	P21860	206
Q9Y4K3	Q15303	207
Q9Y4K3	P00533	208
Q9Y4K3	P27361	209
Q9Y4K3	Q16620	210
Q9Y4K3	P22681	211
Q9Y4K3	P45983	212
Q9Y4K3	P37173	213
Q9Y4K3	P08581	214
Q9Y4K3	O15111	215
Q9Y4K3	O14920	216
Q9Y4K3	P04629	217
Q9Y4K3	P0CG48	218
P0CG48	P67809	218
Q9Y4K3	P28482	219
Q9Y4K3	P19838	220
P04629	P27986	221
P04629	P08138	222
P04629	O00459	223
P04629	Q9Y2R2	224
Q9Y2R2	P04626	224
P04629	O14908	225
O14908	P04629	225
P04629	P48736	226
P04629	O00329	227
P04629	P42338	228
P04629	Q8WYR1	229
P04629	Q92569	230
P04629	P35568	231
P35568	P12931	231
P04629	O14492	232
O14492	P04626	232
P04629	Q9NRF2	233
Q9NRF2	P00533	233
P04629	Q9UQQ2	234
Q9UQQ2	P21860	234
P14923	P25054	235
P14923	Q9NQB0	236
P14923	P19022	237
P14923	P10586	238
P14923	Q9NSA3	239
Q9NSA3	P35222	239
P14923	Q9UJU2	240
P14923	Q9HCS4	241
Q9HCS4	P35222	241
P14923	P36402	242
O14654	P00533	243
P18031	P68400	244
P68400	P35222	244
P08575	P06241	245
P08575	P49023	246
P08575	P00533	247
P08575	P04626	248
P08575	P27361	249
P08575	P22681	250
P08575	P08581	251
P08575	P04629	252
P08575	P19022	253
P08575	Q99569	254
P23467	P49023	255
P23467	P00533	256
P23467	P04626	257
P23467	P27361	258
P23467	P22681	259
P23467	P08581	260
P23467	P04629	261
P23467	P28482	262
P23467	P19022	263
Q05209	P49023	264
Q05209	P04626	265
Q05209	P08581	266
Q05209	P04629	267
Q05209	P19022	268
P18031	P00519	269
P18031	P12931	270
P18031	P08069	271
P18031	P00533	272
P18031	P49841	273
P18031	P08581	274
P18031	P04629	275
P18031	P31749	276
P18031	P19022	277
P18031	Q16288	278
Q9Y2R2	P22681	279
Q9Y2R2	P04629	280
Q9Y2R2	P19022	281
Q12913	P49023	282
Q12913	P00533	283
Q12913	P04626	284
Q12913	P27361	285
Q12913	P22681	286
Q12913	P08581	287
Q12913	P04629	288
Q12913	P28482	289
Q12913	P19022	290
Q12913	Q99569	291
P31749	P16220	292
P31749	P67809	293
P48736	P49841	294
P48736	Q9Y243	295
P48736	P31749	296
P48736	P42336	297
P48736	P31751	298
O00329	P49841	299
O00329	Q9Y243	300
O00329	P31749	301
O00329	P42336	302
O00329	P31751	303
P42338	P49841	304
P42338	Q9Y243	305
P42338	P31749	306
P42338	P42336	307
P42338	P31751	308
P42336	P00533	309
P42336	P49841	310
P42336	Q9Y243	311
P42336	P31749	312
P42336	P31751	313
Q8WYR1	P49841	314
Q8WYR1	Q9Y243	315
Q8WYR1	P31749	316
Q8WYR1	P31751	317
Q92569	P49841	318
Q92569	Q9Y243	319
Q92569	P31749	320
Q92569	P42336	321
Q92569	P31751	322
P51617	Q99558	323
P51617	O14920	324
P31751	P16220	325
P35568	P06241	326
P35568	P04626	327
P35568	P17252	328
P35568	P42336	329
P10586	Q9Y4H2	330
Q9Y4H2	P63104	330
Q9Y4H2	P42336	331
P10586	P29353	332
P10586	P35568	333
Q16827	P49023	334
Q16827	P04626	335
Q16827	P27361	336
Q16827	P22681	337
Q16827	P08581	338
Q16827	P04629	339
Q16827	P19022	340
O14492	P22681	341
O14492	Q9ULV8	342
O14492	Q13191	343
P23470	P49023	344
P23470	P04626	345
P23470	P27361	346
P23470	P22681	347
P23470	P08581	348
P23470	P04629	349
P23470	P19022	350
Q99523	P08138	351
Q99523	P23560	352
P23560	Q16620	352
Q16288	P62993	353
Q16288	P29353	354
Q16288	P35568	355
Q16288	O14492	356
Q16288	Q9NRF2	357
Q16288	Q9UQQ2	358
Q9UQQ2	P00533	359
Q9UQQ2	P04626	360
Q99697	P67809	361
P23560	P04629	362
Q9Y4K3	Q9Y265	363
Q9Y265	P35222	363
Q9Y4K3	P12004	364
P12004	P67809	364
P08138	Q99523	365
P24941	P62136	366
P24941	P12004	367
P24941	Q09472	368
P24941	P28482	369
P24941	P68400	370
P24941	P67870	371
P67870	P35222	371
P24941	P19784	372
P19784	P35222	372
Q9Y4K3	Q9Y230	373
Q9Y4K3	Q13526	374
Q9Y4K3	Q13616	375
Q13616	P35222	375
O14908	P17252	376
Q13616	P67809	377
P51617	P0CG48	378
P62993	Q13557	379
Q13557	P16220	379
P19174	P05129	380
P05129	P16220	380
P19174	P05771	381
P05771	P16220	381
P08138	P46108	382
P46108	P00519	382
P46108	P49023	383
P46108	P21860	384
P46108	P04626	385
P46108	P84022	386
P46108	P22681	387
P46108	P45983	388
P46108	Q9ULV8	389
Q03135	P06241	390
P01111	P45983	391
P01116	P45983	392
P08138	P60953	393
P60953	P27361	393
P60953	P45983	394
P60953	P28482	395
P60953	P46940	396
P08138	P63000	397
P63000	P27361	397
P63000	P45983	398
P63000	P17252	399
P63000	P28482	400
P63000	P46940	401
P22681	P42336	402
P08138	P62993	403
P08138	P29353	404
P08138	P46109	405
P46109	P00519	405
P08138	Q00722	406
Q00722	P00533	406
P08138	Q15147	407
Q15147	P00533	407
P08138	Q01970	408
Q01970	P00533	408
P08138	Q9NQ66	409
