#tail	head	KSP index
P21860	P01106	1
P00533	P40763	2
P00533	P42229	3
P00533	P42224	4
P00533	P51692	5
P00533	Q92625	6
P04626	P40763	7
P04626	P01106	8
P04626	P42224	9
P04626	Q92625	10
P00533	P10275	11
P10275	P40763	11
P10275	Q13547	12
P10275	P84022	13
P10275	Q9Y6Q9	14
P10275	P16220	15
P10275	P08047	16
P10275	Q9Y6X2	17
P10275	P49715	18
P10275	P05412	19
P10275	Q12778	20
P21860	P16333	21
P16333	P08047	21
P21860	P27986	22
P27986	Q07666	22
P27986	P40763	23
P27986	P42229	24
P21860	P62993	25
P62993	Q07666	25
P62993	P84022	26
P62993	Q16576	27
P21860	P00519	28
P00519	P01106	28
P00519	P42229	29
P00519	P51692	30
P00519	P08047	31
P00519	P05412	32
P21860	P19174	33
P19174	Q07666	33
P21860	P12931	34
P12931	Q07666	34
P12931	P40763	35
P12931	P42229	36
P12931	P42224	37
P12931	P08047	38
P21860	P46108	39
P46108	P84022	39
P46108	P42229	40
P46108	P51692	41
P46108	P08047	42
P21860	P20936	43
P20936	Q07666	43
P21860	P08631	44
P08631	Q07666	44
P00533	O14543	45
O14543	P40763	45
O14543	P42229	46
O14543	P42224	47
O14543	P51692	48
P21860	P04626	49
P21860	P35222	50
P35222	Q13547	50
P21860	Q16665	51
Q16665	Q13547	51
P21860	P52333	52
P52333	Q07666	52
P21860	O00459	53
O00459	P40763	53
P21860	P40189	54
P40189	P40763	54
P21860	O60674	55
O60674	P40763	55
P21860	P46109	56
P46109	P42229	56
P21860	P42336	57
P42336	P40763	57
P21860	Q92569	58
Q92569	P40763	58
P21860	Q13882	59
Q13882	Q07666	59
P00533	P07948	60
P07948	Q07666	60
P04626	Q15303	61
Q15303	P01106	61
Q15303	P42229	62
Q15303	P51692	63
Q15303	Q92625	64
P00533	O15524	65
O15524	P40763	65
O15524	Q04206	66
O15524	P42229	67
O15524	P42224	68
O15524	P51692	69
P00533	Q14289	70
Q14289	P40763	70
P00533	P16333	71
P00533	P27986	72
P00533	P62993	73
P00533	P00519	74
P00533	P19174	75
P00533	P12931	76
P00533	P46108	77
P00533	P20936	78
P00533	P21860	79
P00533	P04626	80
P00533	P42858	81
P42858	P16220	81
P00533	O15530	82
O15530	Q15796	82
P00533	P27361	83
P27361	P40763	83
P00533	Q13153	84
Q13153	Q9Y6Q9	84
P00533	P35222	85
P00533	P24385	86
P24385	Q13547	86
P00533	P63104	87
P63104	P68104	87
P00533	P22681	88
P22681	Q07666	88
P00533	Q99558	89
Q99558	Q04206	89
P00533	Q05397	90
Q05397	Q9Y6Q9	90
P00533	O00459	91
P00533	P23458	92
P23458	P40763	92
P00533	Q06124	93
Q06124	P40763	93
P00533	O60674	94
P00533	P46109	95
P00533	O60603	96
O60603	Q04206	96
P00533	P31947	97
P31947	Q92625	97
P00533	P29350	98
P29350	Q07666	98
P00533	P28482	99
P28482	P40763	99
P00533	P62158	100
P62158	Q04206	100
P00533	P17706	101
P17706	P42229	101
P00533	P18031	102
P18031	P40763	102
P00533	Q9NSE2	103
Q9NSE2	P40763	103
P00533	O00206	104
O00206	Q04206	104
P00533	P31749	105
P31749	P16220	105
P00533	Q9ULV8	106
Q9ULV8	P01106	106
P00533	Q9UKG1	107
Q9UKG1	O94776	107
P00533	P48736	108
P48736	P40763	108
P00533	O00329	109
O00329	P40763	109
P00533	P42338	110
P42338	P40763	110
P00533	P42336	111
P00533	Q92569	112
P00533	Q13882	113
P00533	P15498	114
P15498	Q07666	114
P00533	P05362	115
P05362	P19838	115
P00533	Q13191	116
Q13191	P01106	116
P00533	Q05655	117
Q05655	P40763	117
P04626	P27986	118
P04626	P62993	119
P04626	P00519	120
P04626	P19174	121
P04626	P46108	122
P04626	P20936	123
P04626	P21860	124
P04626	O15524	125
P04626	P00533	126
P04626	P27361	127
P04626	P35222	128
P04626	Q05397	129
P04626	Q16665	130
P04626	O00459	131
P04626	P23458	132
P04626	Q06124	133
P04626	P48357	134
P48357	P40763	134
P04626	P40189	135
P04626	O60674	136
P04626	P46109	137
P04626	P28482	138
P04626	Q9NSE2	139
P04626	P48736	140
P04626	O00329	141
P04626	P42338	142
P04626	P42336	143
P04626	Q92569	144
P04626	Q13882	145
P42858	P08047	146
O15530	P84022	147
P27361	P01106	148
P27361	Q15796	149
P27361	P84022	150
P27361	P16220	151
P27361	Q04206	152
P27361	P42224	153
P27361	P19838	154
P27361	P19419	155
P27361	P28324	156
P27361	P01100	157
P27361	P05412	158
P27361	Q15583	159
P27361	P17535	160
P27361	Q12778	161
P27361	P98177	162
Q13153	Q13363	163
P40763	Q07666	164
P40763	Q13547	165
P40763	P17676	166
P40763	Q04206	167
P40763	P42229	168
P40763	P42224	169
P40763	P51692	170
P40763	P08047	171
P40763	P01100	172
P40763	P05412	173
P40763	Q12778	174
P35222	P01106	175
P35222	Q15796	176
P35222	P84022	177
P35222	P19838	178
P35222	P01100	179
P63104	Q12778	180
P63104	P98177	181
P01106	Q15796	182
P01106	P84022	183
P01106	P17676	184
P01106	Q9Y6Q9	185
P01106	Q04206	186
P01106	P49715	187
P22681	P01106	188
Q99558	P19838	189
Q16665	P84022	190
Q16665	P08047	191
P52333	P40763	192
P52333	P42229	193
P52333	P42224	194
P52333	P51692	195
O00459	P42229	196
P23458	P42229	197
P23458	P42224	198
P23458	P51692	199
Q06124	P42229	200
Q06124	P51692	201
P42229	P40763	202
P42229	P42224	203
P42229	P51692	204
P40189	P42224	205
O60674	P42229	206
O60674	P42224	207
O60674	P51692	208
P46109	P51692	209
O60603	P19838	210
O60603	P01100	211
O60603	P05412	212
P42224	P40763	213
P42224	Q13547	214
P42224	P42229	215
P42224	P51692	216
P42224	P01100	217
P28482	P01106	218
P28482	Q15796	219
P28482	P84022	220
P28482	P16220	221
P28482	Q04206	222
P28482	P42224	223
P28482	P19838	224
P28482	P19419	225
P28482	P01100	226
P28482	P05412	227
P28482	Q15583	228
P28482	P17535	229
P28482	Q12778	230
P28482	O14901	231
P28482	P98177	232
P62158	P19838	233
P51692	P40763	234
P51692	P42229	235
P51692	P42224	236
P17706	P42224	237
P17706	P51692	238
P18031	P42229	239
P18031	P51692	240
Q9NSE2	P42229	241
Q9NSE2	P42224	242
Q9NSE2	P51692	243
O00206	P19838	244
O00206	P01100	245
O00206	P05412	246
P31749	Q04206	247
P31749	P42224	248
P31749	P19838	249
P31749	P05412	250
P31749	Q12778	251
P31749	P98177	252
Q9UKG1	Q16576	253
Q13882	P51692	254
Q13882	Q92625	255
P01133	P26447	256
P26447	P84022	256
P10586	P35222	257
Q05655	P42224	258
Q05655	P08047	259
P01133	P27986	260
P01133	P62993	261
P01133	P00533	262
P01133	P63104	263
P01133	P22681	264
P01133	O00459	265
P01133	Q13191	266
Q8NFM7	P00533	267
P21860	Q15303	268
P00533	Q15303	269
P00533	P03372	270
P03372	P40763	270
P01106	P08047	271
P03372	Q13547	272
P03372	P01106	273
P03372	Q15796	274
P03372	P84022	275
P03372	O94776	276
P03372	P42229	277
P03372	P19838	278
P03372	P05412	279
P21860	P48736	280
P21860	O00329	281
P21860	P42338	282
P00533	P01112	283
P01112	P01100	283
P00533	P01111	284
P01111	P01100	284
P00533	P01116	285
P01116	P01100	285
P00533	P17252	286
P17252	P16220	286
P01133	P10721	287
P10721	P42229	287
P10721	P42224	288
P10721	P51692	289
P01112	P05412	290
P01111	P05412	291
P01116	P05412	292
P40763	P98177	293
P17252	P01100	294
P01133	P04626	295
P00533	Q9NP31	296
Q9NP31	Q15796	296
P04626	Q9NP31	297
P28482	P28324	298
P00533	P01100	299
P10721	P40763	300
P21860	P43405	301
P43405	P42224	301
P00533	P43405	302
P04626	P12931	303
P04626	P43405	304
Q13153	Q15796	305
P00533	Q8WXH5	306
Q8WXH5	P40763	306
Q8WXH5	P42229	307
Q8WXH5	P42224	308
Q8WXH5	P51692	309
P00533	P35228	310
P35228	P42224	310
P35228	P01100	311
P35228	P05412	312
P35228	P17535	313
P05362	P40763	314
P00533	P10644	315
P10644	Q15796	315
P35222	Q12778	316
P10586	P12757	317
P12757	Q15796	317
P12757	P84022	318
Q9NSE2	Q15796	319
P03372	Q9Y6X2	320
P10275	P27986	321
P10275	P17844	322
P17844	P84022	322
P10275	P00533	323
P10275	P12956	324
P12956	P01106	324
P10275	P63244	325
P63244	P40763	325
P10275	P62136	326
P62136	P40763	326
P10275	P06400	327
P06400	Q13547	327
P10275	P35222	328
P10275	Q01196	329
Q01196	P84022	329
P10275	P24385	330
P10275	P38398	331
P38398	P01106	331
P10275	P14859	332
P14859	P42229	332
P10275	P04150	333
P04150	P51692	333
P10275	O75928	334
O75928	P40763	334
P10275	P49841	335
P49841	P01106	335
P10275	Q16665	336
P10275	Q9UER7	337
Q9UER7	P40763	337
P10275	Q13950	338
Q13950	P40763	338
P10275	Q92831	339
Q92831	Q15796	339
P10275	Q92793	340
Q92793	Q07666	340
P10275	Q15788	341
Q15788	P40763	341
P10275	P40189	342
P10275	P63279	343
P63279	P19419	343
P10275	Q8N2W9	344
Q8N2W9	P40763	344
P10275	P08107	345
P08107	Q04206	345
P10275	P07900	346
P07900	P40763	346
P10275	P03372	347
P10275	P11142	348
P11142	P19838	348
P10275	P11021	349
P11021	P19838	349
P10275	P15336	350
P15336	P84022	350
P10275	Q14192	351
Q14192	Q15796	351
P10275	P31749	352
P10275	Q99873	353
Q99873	Q12778	353
P10275	Q9UKG1	354
P10275	Q15233	355
Q15233	P19838	355
P10275	Q96ST3	356
Q96ST3	Q13547	356
P10275	Q9UNE7	357
Q9UNE7	P19838	357
P10275	Q00987	358
Q00987	Q13547	358
P10275	Q15466	359
Q15466	Q13547	359
P10275	O75925	360
O75925	P40763	360
P10275	P04792	361
P04792	Q04206	361
P10275	Q92922	362
Q92922	P01106	362
P10275	P50750	363
P50750	P19838	363
P10275	P14921	364
P14921	P84022	364
P10275	Q04864	365
Q04864	Q04206	365
P10275	P09874	366
P09874	Q04206	366
P10275	P60484	367
P60484	P42229	367
P10275	O43294	368
O43294	P84022	368
P10275	Q9Y618	369
Q9Y618	Q13547	369
P10275	Q5THR3	370
Q5THR3	Q13547	370
P10275	Q96EB6	371
Q96EB6	Q04206	371
P10275	Q05066	372
Q05066	P84022	372
P16333	P00519	373
P16333	P21860	374
P16333	Q13153	375
P16333	P63000	376
P63000	P40763	376
P16333	P38398	377
P16333	P22681	378
P16333	Q13177	379
Q13177	P01106	379
P16333	O60674	380
P16333	O00329	381
P16333	P30260	382
P30260	Q15796	382
P16333	Q16513	383
Q16513	Q04206	383
P16333	P15498	384
P16333	O75593	385
O75593	Q15796	385
P16333	P98082	386
P98082	Q15796	386
P27986	P62993	387
P27986	P00519	388
P27986	P19174	389
P27986	P00533	390
P27986	P01112	391
P27986	P01111	392
P27986	O15530	393
P27986	P36897	394
P36897	Q15796	394
P27986	P63104	395
P27986	P61981	396
P61981	Q12778	396
P27986	P63000	397
P27986	P38398	398
P27986	P16871	399
P16871	P40763	399
P27986	P49841	400
P27986	Q05397	401
P27986	P61978	402
P61978	Q07666	402
P27986	P19793	403
P19793	Q9Y6Q9	403
P27986	P37173	404
P37173	Q15796	404
P27986	P46531	405
P46531	P84022	405
P27986	O00459	406
P27986	Q06124	407
P27986	P42345	408
P42345	P40763	408
P27986	Q9Y243	409
Q9Y243	P16220	409
P27986	P16471	410
P16471	P42229	410
P27986	P48357	411
P27986	Q9Y4K3	412
Q9Y4K3	Q04206	412
P27986	P25963	413
P25963	Q13547	413
