#tail	head	KSP index
P32927	P42229	1
P26951	P27986	2
P27986	P40763	2
P27986	P19793	3
P27986	P42229	4
P26951	P06241	5
P06241	P40763	5
P32927	P10721	6
P10721	P42229	6
P10721	P51692	7
P32927	P63244	8
P63244	P40763	8
P32927	P63104	9
P63104	O43524	9
P26951	P52333	10
P52333	P40763	10
P52333	P42229	11
P52333	P51692	12
P32927	P29353	13
P29353	O43524	13
P26951	O00459	14
O00459	P40763	14
O00459	P42229	15
P26951	P23458	16
P23458	P40763	16
P23458	P42229	17
P23458	P51692	18
P32927	Q06124	19
Q06124	P40763	19
Q06124	P42229	20
Q06124	P51692	21
P26951	O60674	22
O60674	P40763	22
P26951	P29597	23
P29597	P40763	23
P26951	P48736	24
P48736	P40763	24
P26951	O00329	25
O00329	P40763	25
P26951	P42338	26
P42338	P40763	26
P26951	P42336	27
P42336	P40763	27
P26951	Q92569	28
Q92569	P40763	28
P32927	P27986	29
P32927	P06241	30
P32927	O00459	31
P32927	P23458	32
P32927	O60674	33
P32927	Q9NSE2	34
Q9NSE2	P40763	34
P32927	P48736	35
P32927	O00329	36
P32927	P42338	37
P32927	P42336	38
P32927	Q92569	39
O60674	P42229	40
O60674	P51692	41
P29597	P42229	42
P29597	P51692	43
Q9NSE2	P42229	44
Q9NSE2	P51692	45
P42229	P40763	46
P42229	P10276	47
P42229	P19793	48
P42229	P51692	49
P26951	P32927	50
P10721	P40763	51
P32927	P05771	52
P05771	P16220	52
P32927	P11274	53
P11274	P42229	53
P11274	P51692	54
P32927	P52333	55
P32927	P29597	56
P32927	P17676	57
P17676	P40763	57
P32927	Q15744	58
Q15744	P15976	58
P63244	P10275	59
P10275	P40763	59
P10275	P16220	60
P26951	P16333	61
P16333	P00519	61
P00519	P42229	61
P16333	P63000	62
P63000	P40763	62
P16333	P38398	63
P38398	P16220	63
P16333	O60674	64
P16333	P08047	65
P08047	P40763	65
P16333	O00329	66
P27986	P00519	67
P27986	Q07666	68
Q07666	P40763	68
P27986	P00533	69
P00533	P40763	69
P27986	P63104	70
P27986	P61981	71
P61981	O43524	71
P27986	P63000	72
P27986	P38398	73
P27986	P16871	74
P16871	P40763	74
P27986	P49841	75
P49841	P16220	75
P27986	P29353	76
P27986	O00459	77
P27986	Q06124	78
P27986	P42345	79
P42345	P40763	79
P27986	Q9Y243	80
Q9Y243	P16220	80
P27986	P16471	81
P16471	P42229	81
P27986	P48357	82
P48357	P40763	82
P27986	P03372	83
P03372	P40763	83
P27986	P31749	84
P31749	P16220	84
