#tail	head	KSP index
Q15303	P42229	1
Q15303	P51692	2
P04626	P42224	3
P16471	Q92793	4
P16471	P42229	5
P16471	P05204	6
P04626	P27986	7
P27986	P42229	7
Q15303	P62993	8
P62993	P05204	8
Q15303	P00519	9
P00519	Q09472	9
P00519	P42229	10
P00519	P51692	11
P16471	P12931	12
P12931	P42229	12
P12931	P42224	13
P04626	P46108	14
P46108	P42229	14
P46108	P51692	15
Q15303	P04626	16
Q15303	P35222	17
P35222	Q92793	17
Q15303	Q16665	18
Q16665	Q92793	18
Q15303	O00459	19
O00459	P42229	19
Q15303	Q06124	20
Q06124	P42229	20
Q15303	P16471	21
Q15303	O60674	22
O60674	P42229	22
Q15303	P46109	23
P46109	P42229	23
P04626	O15524	24
O15524	P42229	24
O15524	P42224	25
O15524	P51692	26
P04626	P00533	27
P00533	P42229	27
P00533	P42224	28
P00533	P51692	29
P05556	P63244	30
P63244	P42224	30
P04626	P62993	31
P04626	P00519	32
P04626	Q15303	33
P04626	P27361	34
P27361	P10828	34
P04626	P40763	35
P40763	P42229	35
P04626	P35222	36
P04626	Q16665	37
P04626	O00459	38
P04626	P23458	39
P23458	P42229	39
P04626	Q06124	40
P04626	P40189	41
P40189	P42224	41
P04626	O60674	42
P04626	P46109	43
P04626	P28482	44
P28482	P10828	44
P04626	Q9NSE2	45
Q9NSE2	P42229	45
P04626	Q13882	46
Q13882	P51692	46
P27361	P42224	47
P40763	P42224	48
P40763	P51692	49
P35222	Q09472	50
P05556	P16471	51
P05556	P46109	52
P05556	P18031	53
P18031	P42229	53
Q16665	Q09472	54
Q92793	P42229	55
Q92793	P42224	56
Q92793	P10242	57
Q92793	P51692	58
P16471	P52333	59
P52333	P42229	59
P52333	P42224	60
P52333	P51692	61
P23458	P42224	62
P23458	P51692	63
Q06124	P51692	64
P42229	P10828	65
P42229	Q92793	66
P42229	P42224	67
P42229	P10242	68
P42229	P51692	69
P42229	Q13469	70
P16471	P27986	71
P16471	Q15303	72
P16471	P23458	73
P16471	Q06124	74
P16471	O60674	75
P16471	Q99490	76
Q99490	P42229	76
O60674	P42224	77
O60674	P51692	78
P46109	P51692	79
P42224	Q92793	80
P42224	P42229	81
P42224	P51692	82
P28482	P42224	83
P51692	Q92793	84
P51692	P42229	85
P51692	P42224	86
P51692	Q13469	87
P18031	P51692	88
Q9NSE2	P42224	89
Q9NSE2	P51692	90
Q15303	P00533	91
Q15303	P01106	92
P01106	Q09472	92
P04626	P01106	93
Q15303	P27986	94
P05556	P27986	95
P05556	P12931	96
P05556	P46108	97
P05556	O00459	98
P05556	P17612	99
P17612	Q92793	99
P05556	P22694	100
P22694	Q92793	100
P05556	P51817	101
P51817	Q92793	101
P05556	P22612	102
P22612	Q92793	102
P17612	Q09472	103
P22694	Q09472	104
P51817	Q09472	105
P22612	Q09472	106
P16471	P29597	107
P29597	P42229	107
P29597	P42224	108
P29597	P51692	109
Q15303	P43405	110
P43405	P42224	110
P04626	P12931	111
P04626	P43405	112
P16471	P61981	113
P61981	Q53ET0	113
Q53ET0	Q92793	113
P12931	P10275	114
P10275	Q92793	114
P10275	Q9Y6X2	115
P27986	P62993	116
P27986	P00519	117
P27986	Q07666	118
Q07666	Q92793	118
P27986	P00533	119
P27986	P40763	120
P27986	P38398	121
P38398	Q09472	121
P27986	P16871	122
P16871	P42229	122
P27986	P49841	123
P49841	Q13469	123
P27986	P19793	124
P19793	P42229	124
P27986	P46531	125
P46531	Q09472	125
P27986	O00459	126
P27986	Q06124	127
P27986	P16471	128
P27986	Q9Y4K3	129
Q9Y4K3	P10242	129
P27986	P03372	130
P03372	Q09472	130
P27986	P31749	131
P31749	Q09472	131
P62993	P27986	132
P62993	P46108	133
P62993	O15524	134
P62993	Q07666	135
P62993	P00533	136
P62993	P42858	137
P42858	Q92793	137
P62993	P27361	138
P62993	P84022	139
P84022	Q92793	139
P62993	O00459	140
P62993	P23458	141
P62993	Q06124	142
P62993	O60674	143
P62993	P46109	144
P62993	P28482	145
P62993	P18031	146
P62993	P16298	147
P16298	Q13469	147
P62993	Q08209	148
Q08209	Q13469	148
P62993	P78527	149
P78527	Q09472	149
P62993	P20963	150
P20963	P42229	150
P62993	Q13557	151
Q13557	P42224	151
P00519	P27986	152
P00519	P62993	153
P00519	P46108	154
P00519	Q15303	155
P00519	P00533	156
P00519	P04626	157
P00519	P04637	158
P04637	Q92793	158
P00519	Q13315	159
Q13315	Q09472	159
P00519	P35222	160
P00519	P46109	161
P00519	P18031	162
P00519	O15350	163
O15350	Q09472	163
P00519	P05412	164
P05412	Q92793	164
P00519	Q08209	165
P04626	P19174	166
P19174	P62993	166
P19174	P00519	167
P19174	P12931	168
P19174	Q07666	169
P19174	P10721	170
P10721	P42229	170
P19174	P52333	171
P19174	O60674	172
P19174	P31749	173
P19174	Q96LZ3	174
Q96LZ3	Q13469	174
P19174	P16298	175
P19174	P63098	176
P63098	Q13469	176
P19174	Q08209	177
P19174	P48454	178
