#tail	head	KSP index
Q9Y6Q6	Q14192	1
Q9Y6Q6	P27986	2
P27986	P00519	2
P27986	P25963	3
Q9Y6Q6	P12931	4
P12931	P00519	4
P12931	O14920	5
P12931	P25963	6
Q9Y6Q6	Q15750	7
Q15750	Q9Y6K9	7
Q15750	O14920	8
Q15750	P25963	9
Q9Y6Q6	O43318	10
O43318	Q9Y6K9	10
O43318	O14920	11
O43318	P25963	12
Q9Y6Q6	Q04206	13
Q04206	P25963	13
Q04206	P15336	14
Q04206	O95644	15
Q9Y6Q6	Q9Y4K3	16
Q9Y4K3	Q01196	16
Q9Y4K3	Q9Y6K9	17
Q9Y4K3	O14920	18
Q9Y6Q6	P19838	19
P19838	P25963	19
P19838	P15336	20
P19838	P05412	21
Q9Y6Q6	Q13114	22
Q13114	Q9Y6K9	22
Q14192	Q01196	23
Q9Y6Q6	Q12933	24
Q12933	Q9Y6K9	24
Q12933	O14920	25
Q12933	P25963	26
Q9Y6Q6	Q13077	27
Q13077	Q9Y6K9	27
Q13077	O14920	28
Q9Y6Q6	O00463	29
O00463	Q9Y6K9	29
Q9Y6Q6	Q9NYJ8	30
Q9NYJ8	Q9Y6K9	30
Q9NYJ8	O14920	31
Q9NYJ8	P25963	32
Q9Y6Q6	Q06187	33
Q06187	Q9Y6K9	33
Q06187	O14920	34
P12931	P10275	35
P10275	Q01196	35
P10275	P15336	36
P10275	Q14192	37
P10275	P05412	38
P27986	Q9NQ76	39
Q9NQ76	P00519	39
Q9Y6Q6	P22681	40
P22681	P16333	40
P16333	P00519	40
P27986	P19174	41
P19174	P00519	41
P27986	Q07890	42
Q07890	P00519	42
P27986	P00533	43
P00533	P00519	43
P27986	Q99704	44
Q99704	P00519	44
P27986	P01112	45
P01112	P05412	45
P27986	P01111	46
P01111	P05412	46
P27986	O15530	47
O15530	O14920	47
P27986	P40763	48
P40763	P05412	48
P27986	P63104	49
P63104	P00519	49
P27986	P61981	50
P61981	P00519	50
P27986	P38398	51
P38398	Q14192	51
P27986	P50570	52
P50570	P00519	52
P27986	Q9UBS5	53
Q9UBS5	P00519	53
P27986	P49841	54
P49841	O95644	54
P27986	P21333	55
P21333	P00519	55
P27986	Q14315	56
Q14315	P00519	56
P27986	Q9ULH1	57
Q9ULH1	P00519	57
P27986	Q14790	58
Q14790	Q9Y6K9	58
P27986	Q9Y243	59
Q9Y243	Q9Y6K9	59
P27986	P15509	60
P15509	O14920	60
P27986	Q13087	61
Q13087	P00519	61
P27986	Q9Y4K3	62
P27986	P0CG47	63
P0CG47	Q9Y6K9	63
P27986	P03372	64
P03372	P51532	64
P27986	Q92918	65
Q92918	P00519	65
P27986	Q05193	66
Q05193	P00519	66
P27986	P31749	67
P31749	Q9Y6K9	67
P27986	O15056	68
O15056	P00519	68
P27986	P31751	69
P31751	Q9Y6K9	69
P27986	O15360	70
O15360	O14920	70
P27986	Q9H5I1	71
Q9H5I1	P00519	71
P27986	P30260	72
P30260	P00519	72
P27986	Q14008	73
Q14008	P00519	73
P27986	Q8WX92	74
Q8WX92	P00519	74
P27986	P49916	75
P49916	P00519	75
