#tail	head	KSP index
Q12913	P35222	1
P07766	P16333	2
P16333	P00519	2
P07766	P27986	3
P27986	P00519	3
P27986	Q07666	4
P27986	P42229	5
P27986	P25963	6
Q12913	P19174	7
P19174	P00519	7
P19174	Q07666	8
Q12913	P49023	9
P49023	P35222	9
P07766	P43403	10
P43403	P00519	10
P43403	Q9H6Q3	11
Q12913	P00533	12
P00533	P00519	12
P00533	P35222	13
P00533	P42229	14
P00533	P51692	15
Q12913	P10721	16
P10721	P42229	16
P10721	P51692	17
Q12913	P04626	18
P04626	P00519	18
P04626	P35222	19
P04626	Q9H6Q3	20
Q12913	O15530	21
O15530	O14920	21
Q12913	P27361	22
P27361	P16220	22
P27361	Q04206	23
P27361	P15336	24
P27361	P01100	25
P27361	P05412	26
P35222	P00519	27
P35222	Q92793	28
P35222	O14920	29
P35222	P01100	30
Q12913	P22681	31
P22681	Q07666	31
P22681	P35222	32
P22681	Q9H6Q3	33
Q12913	Q13501	34
Q13501	O14920	34
P07766	Q14790	35
Q14790	O14920	35
Q14790	P25963	36
P07766	Q99759	37
Q99759	Q04206	37
Q99759	O14920	38
Q99759	P25963	39
Q12913	P08581	40
P08581	P35222	40
P07766	O00459	41
O00459	P42229	41
Q12913	O60674	42
O60674	P42229	42
O60674	Q14765	43
O60674	P51692	44
Q12913	P04629	45
P04629	P35222	45
Q12913	P28482	46
P28482	P18146	46
P28482	P16220	47
P28482	Q04206	48
P28482	P15336	49
P28482	P01100	50
P28482	P05412	51
Q12913	P06239	52
P06239	Q07666	52
Q12913	P19022	53
P19022	P35222	53
Q12913	Q99569	54
Q99569	P35222	54
P07766	P42336	55
P42336	P35222	55
P09693	P27986	56
P09693	Q14790	57
P09693	Q99759	58
P09693	O00459	59
P09693	P42336	60
P04234	P27986	61
P04234	Q14790	62
P04234	Q99759	63
P04234	O00459	64
P04234	P42336	65
Q96P31	P43403	66
Q9HD43	P06239	67
P04234	P04150	68
P04150	P51692	68
P49023	P10275	69
P10275	P35222	69
P10275	P16220	70
P10275	Q92793	71
P10275	P15336	72
P10275	P05412	73
P16333	Q9NQ76	74
Q9NQ76	P00519	74
P16333	Q07890	75
Q07890	P00519	75
P16333	P21860	76
P21860	P00519	76
P16333	Q16620	77
Q16620	P35222	77
P16333	P38398	78
P38398	P16220	78
P16333	Q9UKE5	79
Q9UKE5	P35222	79
P16333	P22681	80
P16333	Q9UBS5	81
Q9UBS5	P00519	81
P16333	Q13444	82
Q13444	P00519	82
P16333	Q14315	83
Q14315	P00519	83
P16333	Q9ULH1	84
Q9ULH1	P00519	84
P16333	Q9UM47	85
Q9UM47	P00519	85
P16333	O60674	86
P16333	P26992	87
P26992	P00519	87
P16333	Q13087	88
Q13087	P00519	88
P16333	Q86SG6	89
Q86SG6	P00519	89
P16333	O60244	90
O60244	P00519	90
P16333	Q92918	91
Q92918	P00519	91
P16333	Q9NYQ7	92
Q9NYQ7	P00519	92
P16333	Q05193	93
Q05193	P00519	93
P16333	P08047	94
P08047	P00519	94
P16333	Q15427	95
Q15427	P00519	95
P16333	O15056	96
O15056	P00519	96
P16333	O43390	97
O43390	P00519	97
P16333	O15360	98
O15360	O14920	98
P16333	Q9H5I1	99
Q9H5I1	P00519	99
P16333	Q9HCQ7	100
Q9HCQ7	P00519	100
P16333	P30260	101
P30260	P00519	101
P16333	Q16513	102
Q16513	Q04206	102
P16333	Q14008	103
Q14008	P00519	103
P16333	O15117	104
O15117	P00519	104
P16333	Q8WX92	105
Q8WX92	P00519	105
P16333	Q9HCM9	106
Q9HCM9	P00519	106
P16333	Q9Y2H0	107
Q9Y2H0	P00519	107
P16333	Q8IZD9	108
Q8IZD9	P00519	108
P16333	O43281	109
O43281	P00519	109
P16333	P23760	110
P23760	P00519	110
P16333	O14490	111
O14490	P00519	111
P16333	P31273	112
P31273	P00519	112
P16333	P43699	113
P43699	P00519	113
P16333	Q15027	114
Q15027	P00519	114
P16333	Q9NZV5	115
Q9NZV5	P00519	115
P16333	Q9H1R2	116
Q9H1R2	P00519	116
P16333	Q9BYB0	117
Q9BYB0	P00519	117
P16333	Q92988	118
Q92988	P00519	118
P16333	O43918	119
O43918	P00519	119
P16333	Q9P1A6	120
Q9P1A6	P00519	120
P16333	O43900	121
O43900	P00519	121
P16333	Q13023	122
Q13023	P00519	122
P16333	Q15036	123
Q15036	P00519	123
P16333	P15498	124
P15498	P00519	124
P16333	O15085	125
O15085	P00519	125
P16333	P42566	126
P42566	P00519	126
P16333	O00254	127
O00254	P00519	127
P16333	P20810	128
P20810	P00519	128
P16333	Q9UIF9	129
Q9UIF9	P00519	129
P16333	P32239	130
P32239	P00519	130
P16333	Q99572	131
Q99572	P00519	131
P16333	P78345	132
P78345	P00519	132
P16333	O95886	133
O95886	P00519	133
P16333	Q8TB24	134
Q8TB24	P00519	134
P16333	O43493	135
O43493	P00519	135
P16333	O75326	136
O75326	P00519	136
P16333	O60493	137
O60493	P00519	137
P16333	P29074	138
P29074	P00519	138
P16333	Q13905	139
Q13905	P00519	139
P16333	Q9BXM0	140
Q9BXM0	P00519	140
P16333	Q9Y5X2	141
Q9Y5X2	P00519	141
P16333	Q9BWW9	142
Q9BWW9	P00519	142
P16333	O94856	143
O94856	P00519	143
P16333	Q9Y5Y3	144
Q9Y5Y3	P00519	144
P16333	P78329	145
