#tail	head	KSP index
P36897	Q15796	1
P36897	P84022	2
P36897	Q13485	3
P36897	Q9UER7	4
P36897	Q9H0M0	5
P36897	P29590	6
P36897	O15105	7
P36897	O43541	8
P36897	P98082	9
P37173	P35222	10
P37173	Q15796	11
P37173	P84022	12
P37173	Q13485	13
P37173	Q9HAU4	14
P37173	Q9UER7	15
P37173	P23511	16
P37173	Q9H0M0	17
P37173	P08047	18
P37173	O15105	19
P37173	P98082	20
P37173	P05412	21
P37173	P25208	22
P36897	P27986	23
P27986	P38398	23
P27986	P03372	24
P27986	O75593	25
P27986	P98082	26
P36897	Q03135	27
Q03135	P10275	27
P05556	P63244	28
P63244	P10275	28
P63244	O15350	29
P05106	P01112	30
P01112	P01100	30
P01112	P05412	31
P05106	P01111	32
P01111	P01100	32
P01111	P05412	33
P05106	P01116	34
P01116	P01100	34
P01116	P05412	35
P36897	P63104	36
P63104	P04637	36
P36897	Q7Z3T8	37
Q7Z3T8	Q15796	37
P36897	Q13501	38
Q13501	Q15796	38
P36897	P37173	39
P36897	O15169	40
O15169	P35222	40
P36897	P29353	41
P29353	O43524	41
P36897	P30153	42
P30153	P04637	42
P36897	Q9Y4K3	43
Q9Y4K3	Q01196	43
P36897	P98170	44
P98170	P38398	44
P36897	O95863	45
O95863	P04637	45
P36897	P36873	46
P36873	P03372	46
P36897	P57059	47
P57059	O15105	47
P36897	O95405	48
O95405	Q15796	48
P36897	Q9Y3F4	49
Q9Y3F4	Q15796	49
P36897	P63151	50
P63151	Q9GZV5	50
P36897	Q12931	51
Q12931	Q13485	51
P36897	P62942	52
P62942	O15105	52
P36897	Q96JC1	53
Q96JC1	Q13485	53
P36897	O75807	54
O75807	O15105	54
P35222	P10275	55
P35222	Q13547	56
P35222	P01106	57
P35222	Q15796	58
P35222	P84022	59
P35222	Q13485	60
P35222	Q92793	61
P35222	Q09472	62
P35222	P15884	63
P35222	P01100	64
P35222	O15105	65
P35222	Q9UJU2	66
P35222	Q13761	67
P63104	P35222	68
P63104	O43524	69
P63104	Q9GZV5	70
P63104	Q9NPI6	71
P63104	Q12778	72
P63104	P98177	73
P37173	P06493	74
P06493	P10275	74
P06493	P04637	75
P06493	P06400	76
Q7Z3T8	P84022	77
Q7Z3T8	Q13485	78
Q15796	P04637	79
Q15796	Q13952	80
Q15796	Q13547	81
Q15796	P35222	82
Q15796	P01106	83
Q15796	P84022	84
Q15796	Q13485	85
Q15796	Q13573	86
Q15796	P12757	87
Q15796	Q8TAD8	88
Q15796	Q9HAU4	89
Q15796	Q13950	90
Q15796	O43524	91
Q15796	Q09472	92
Q15796	Q9H0M0	93
Q15796	P03372	94
Q15796	O15350	95
Q15796	P08047	96
Q15796	O60315	97
Q15796	P37275	98
Q15796	Q9GZV5	99
Q15796	P29590	100
Q15796	Q9H160	101
Q15796	P05412	102
Q15796	Q15583	103
Q15796	P12755	104
Q15796	Q9UPN9	105
Q15796	Q02078	106
Q15796	Q06413	107
Q15796	Q9UJU2	108
Q15796	P48436	109
Q15796	O75593	110
Q15796	P98082	111
P84022	P10275	112
P84022	P17844	113
P84022	P04637	114
P84022	Q13952	115
P84022	Q16254	116
P84022	P28749	117
P84022	P35222	118
P84022	Q01196	119
P84022	P38398	120
P84022	P01106	121
P84022	Q14186	122
P84022	Q15796	123
P84022	Q13485	124
P84022	Q13573	125
P84022	P12757	126
P84022	Q9HAU4	127
P84022	Q13950	128
P84022	O43524	129
P84022	Q92793	130
P84022	Q09472	131
P84022	P11473	132
P84022	P03372	133
P84022	O15350	134
P84022	P15336	135
P84022	P08047	136
P84022	O60315	137
P84022	P37275	138
P84022	Q9GZV5	139
P84022	P29590	140
P84022	P01100	141
P84022	P05412	142
P84022	P41235	143
P84022	P18847	144
P84022	P17275	145
P84022	P17535	146
P84022	Q12778	147
P84022	P14921	148
P84022	P98177	149
P84022	P53539	150
P84022	Q15329	151
P84022	P12755	152
P84022	Q9UPN9	153
P84022	Q9UJU2	154
P84022	P48436	155
P84022	O75593	156
P84022	Q8TAK6	157
P84022	P49711	158
P84022	Q13761	159
P84022	P98082	160
Q13485	Q16254	161
Q13485	Q13547	162
Q13485	P28749	163
Q13485	P35222	164
Q13485	Q14186	165
Q13485	P31269	166
Q13485	Q15796	167
Q13485	P84022	168
Q13485	P12757	169
