#tail	head	KSP index
P20333	P42224	1
Q9Y6Q6	Q04206	2
Q9Y6Q6	P19838	3
Q8IV45	Q04206	4
Q9Y6Q6	P27986	5
P27986	Q9H9Y6	5
P27986	P19793	6
P27986	P25963	7
Q9Y6Q6	P12931	8
P12931	O14920	8
P12931	P42224	9
P12931	P25963	10
P20333	Q96EY1	11
Q96EY1	Q9Y6K9	11
Q96EY1	Q00653	12
Q96EY1	Q04206	13
Q96EY1	O14920	14
Q96EY1	P19838	15
P20333	P19438	16
P19438	O75530	16
P19438	Q9Y6K9	17
P19438	Q04206	18
P19438	O14920	19
P19438	P19838	20
P19438	P21580	21
P20333	P35580	22
P35580	Q9Y6K9	22
P35580	O14920	23
P35580	P19838	24
P20333	P62829	25
P62829	Q9Y6K9	25
P62829	P25963	26
P20333	Q07021	27
Q07021	Q01201	27
Q07021	O14920	28
Q07021	P19838	29
Q07021	Q04864	30
P20333	P04350	31
P04350	Q01201	31
P04350	Q9Y6K9	32
P04350	Q00653	33
P04350	O14920	34
P04350	P19838	35
P20333	P07437	36
P07437	Q01201	36
P07437	Q9Y6K9	37
P07437	Q00653	38
P07437	O14920	39
P07437	P25963	40
P07437	P19838	41
P07437	Q15653	42
P20333	Q16531	43
Q16531	Q9Y6K9	43
P20333	Q92616	44
Q92616	Q9Y6K9	44
Q9Y6Q6	Q15750	45
Q15750	Q9Y6K9	45
Q15750	O14920	46
Q15750	P25963	47
Q15750	Q15653	48
P20333	P08670	49
P08670	Q9Y6K9	49
P08670	P19838	50
P20333	P21333	51
P21333	Q9Y6K9	51
P21333	O14920	52
Q9Y6Q6	O43318	53
O43318	Q9Y6K9	53
O43318	Q04206	54
O43318	O14920	55
O43318	P25963	56
O43318	P19838	57
O43318	Q15653	58
Q04206	Q13547	59
Q04206	Q01201	60
Q04206	Q00653	61
Q04206	Q92769	62
Q04206	Q92793	63
Q04206	Q09472	64
Q04206	P25963	65
Q04206	P19838	66
Q04206	Q96RU7	67
Q04206	Q9Y6X2	68
Q04206	Q15653	69
Q04206	P29590	70
Q04206	P21580	71
Q04206	Q04864	72
P20333	P07910	73
P07910	Q00653	73
P20333	O14980	74
O14980	Q9Y6K9	74
P20333	P63261	75
P63261	Q01201	75
P63261	Q9Y6K9	76
P63261	O14920	77
P63261	P25963	78
P63261	P19838	79
P63261	Q15653	80
P20333	Q00610	81
Q00610	Q01201	81
Q00610	Q9Y6K9	82
Q00610	Q00653	83
Q00610	O14920	84
Q00610	P25963	85
Q00610	P19838	86
Q00610	Q15653	87
Q00610	Q04864	88
P20333	P58107	89
P58107	Q9Y6K9	89
Q9Y6Q6	Q9Y4K3	90
Q9Y4K3	Q9Y6K9	90
Q9Y4K3	Q04206	91
Q9Y4K3	O14920	92
Q9Y4K3	P19838	93
Q9Y4K3	P49116	94
P20333	Q13748	95
Q13748	Q01201	95
Q13748	Q9Y6K9	96
Q13748	Q00653	97
Q13748	O14920	98
Q13748	P25963	99
Q13748	P19838	100
Q13748	Q15653	101
Q13748	Q04864	102
P42224	Q13547	103
P42224	Q92793	104
P20333	P0CG48	105
P0CG48	Q01201	105
P0CG48	Q9Y6K9	106
P0CG48	Q00653	107
P0CG48	Q04206	108
P0CG48	P25963	109
P0CG48	P21580	110
P20333	P05141	111
P05141	Q9Y6K9	111
P05141	P25963	112
P05141	P19838	113
P20333	O95831	114
O95831	Q00653	114
P20333	P27708	115
P27708	Q01201	115
P27708	Q9Y6K9	116
P27708	Q00653	117
P27708	P19838	118
P20333	P38646	119
P38646	Q01201	119
P38646	Q9Y6K9	120
P38646	Q00653	121
P38646	O14920	122
P38646	P25963	123
P38646	P19838	124
P38646	Q15653	125
P38646	Q04864	126
P20333	Q05639	127
Q05639	Q9Y6K9	127
Q05639	Q00653	128
Q05639	P19838	129
P20333	P17066	130
P17066	Q01201	130
P17066	Q9Y6K9	131
P17066	P19838	132
P17066	Q04864	133
P19838	Q13547	134
P19838	Q01201	135
P19838	Q00653	136
P19838	Q04206	137
P19838	P25963	138
P19838	Q15653	139
P19838	Q04864	140
P19838	P20749	141
P19838	Q9BYH8	142
P20333	O95816	143
O95816	P19838	143
O95816	Q15653	144
P20333	P31689	145
P31689	Q00653	145
P31689	P19838	146
P20333	Q71UM5	147
Q71UM5	Q9Y6K9	147
P20333	P11142	148
P11142	Q01201	148
P11142	Q9Y6K9	149
P11142	Q00653	150
P11142	O14920	151
P11142	P25963	152
P11142	P19838	153
P11142	Q15653	154
P11142	Q04864	155
P20333	P62263	156
P62263	Q01201	156
P20333	P42677	157
P42677	Q9Y6K9	157
P20333	P62249	158
P62249	Q9Y6K9	158
P20333	P11021	159
P11021	Q01201	159
P20333	Q3ZCQ8	160
Q3ZCQ8	Q01201	160
P20333	Q9BVA1	161
Q9BVA1	O14920	161
P20333	P62158	162
P62158	Q01201	162
P20333	P12236	163
P12236	Q9Y6K9	163
P20333	P34931	164
P34931	Q01201	164
P20333	P35579	165
P35579	Q9Y6K9	165
P20333	Q12933	166
Q12933	Q9GZU2	166
P20333	P55060	167
P55060	Q9Y6K9	167
P20333	Q9Y297	168
Q9Y297	Q00653	168
P20333	Q9UKB1	169
Q9UKB1	P25963	169
P20333	Q15628	170
Q15628	Q9Y6K9	170
P20333	Q9UHD2	171
Q9UHD2	Q9Y6K9	171
P20333	Q00839	172
Q00839	Q01201	172
P20333	Q14974	173
Q14974	Q01201	173
P20333	Q13077	174
Q13077	Q9Y6K9	174
P20333	P04406	175
P04406	Q04864	175
P20333	P62269	176
P62269	Q00653	176
P20333	P23396	177
P23396	Q9Y6K9	177
P20333	O95373	178
O95373	Q9Y6K9	178
P20333	Q9HAV4	179
