#tail	head	KSP index
Q9NPG1	P35222	1
O75581	P98082	2
Q9H461	P35222	3
O75084	P35222	4
Q9UP38	P35222	5
Q14332	P35222	6
O00144	P35222	7
Q13467	P35222	8
Q9ULW2	P35222	9
P35222	P25054	10
P35222	Q9NQB0	11
P35222	P15923	12
P35222	P15884	13
P35222	Q9UJU2	14
P35222	O00570	15
Q9NPG1	O14640	16
O14640	Q15797	16
O14640	P25054	17
Q9NPG1	O14641	18
O14641	P25054	18
O75197	O15169	19
O15169	P35222	19
O75197	P19022	20
P19022	P35222	20
O75197	Q9H461	21
Q9NPG1	Q92997	22
Q92997	P98082	22
O15169	P25054	23
O75581	O15169	24
O75581	P19022	25
O75581	Q9H461	26
O75581	Q9UP38	27
Q07954	Q9UP38	28
P34925	Q9H461	29
Q9H461	O14640	30
Q9H461	O14641	31
Q9H461	Q92997	32
Q9H461	O75581	33
O75084	O14640	34
O75084	O14641	35
O75084	Q92997	36
Q9UP38	O14640	37
Q9UP38	O14641	38
Q9UP38	Q92997	39
Q9UP38	O75581	40
Q14332	O14640	41
Q14332	O14641	42
Q14332	Q92997	43
O00144	O14640	44
O00144	O14641	45
O00144	Q92997	46
Q13467	O14640	47
Q13467	O14641	48
Q13467	Q92997	49
Q13467	Q9ULW2	50
Q9ULW2	O14640	51
Q9ULW2	O14641	52
Q9ULW2	Q92997	53
Q9ULW2	Q13467	54
Q01974	Q14332	55
Q01974	Q13467	56
P34925	P13569	57
P13569	P98082	57
P35222	P10275	58
P10275	P35222	58
P10275	Q15797	59
P10275	P15884	60
P98082	P16333	61
P16333	P98082	61
Q9NPG1	P09471	62
P09471	P27986	62
P27986	P98082	62
P98082	P62993	63
P62993	P98082	63
P35222	P00519	64
P00519	P35222	64
P09471	P12931	65
P12931	P35222	65
P98082	P06241	66
P06241	P35222	66
P06241	P98082	67
Q01974	P31946	68
P31946	P08069	68
P08069	P35222	68
P35222	P49023	69
P49023	P35222	69
P35222	Q15910	70
Q15910	P35222	70
Q9NPG1	Q00722	71
Q00722	P00533	71
P00533	P35222	71
Q07954	O00213	72
O00213	P04626	72
P04626	P35222	72
P35222	Q9Y230	73
Q9Y230	P35222	73
P09471	P27361	74
P27361	Q15797	74
P27361	P15923	75
P35222	Q16620	76
Q16620	P35222	76
O15169	P36897	77
P36897	P98082	77
P35222	Q13547	78
Q13547	P35222	78
Q13547	Q13363	79
P35222	P63104	80
P63104	P35222	80
P35222	Q9UKE5	81
Q9UKE5	P35222	81
P35222	Q13526	82
Q13526	P35222	82
P35222	P12830	83
P12830	P35222	83
P35222	Q15796	84
Q15796	P35222	84
P35222	P84022	85
P84022	P35222	85
P35222	Q13485	86
Q13485	P35222	86
P35222	P18206	87
P18206	P35222	87
P35222	P98161	88
P98161	P35222	88
P35222	P45983	89
P45983	P35222	89
P35222	P24941	90
P24941	P35222	90
P35222	Q09472	91
Q09472	P35222	91
P35222	P37173	92
P37173	P35222	92
P35222	O15169	93
P35222	O15111	94
O15111	P35222	94
P35222	O14920	95
O14920	P35222	95
P35222	P17252	96
P17252	P35222	96
P35222	P04629	97
P04629	P35222	97
P35222	P14923	98
P14923	P35222	98
P35222	P19838	99
P19838	P35222	99
P35222	P08575	100
P08575	P35222	100
P35222	Q05209	101
Q05209	P35222	101
P35222	Q12913	102
Q12913	P35222	102
P35222	Q96RT1	103
Q96RT1	P35222	103
P35222	P31749	104
P31749	P35222	104
P35222	P42336	105
P42336	P35222	105
P35222	P08151	106
P08151	P35222	106
P35222	P31751	107
P31751	P35222	107
P35222	P01100	108
P01100	P35222	108
P35222	O15105	109
O15105	P35222	109
P35222	O14745	110
O14745	P35222	110
P35222	Q9BZE0	111
Q9BZE0	P35222	111
P35222	P19022	112
P35222	P50402	113
P50402	P35222	113
P35222	P48729	114
P48729	P35222	114
P35222	Q9UBE8	115
Q9UBE8	P35222	115
P35222	O00512	116
O00512	P35222	116
P35222	O75564	117
O75564	P35222	117
P35222	P26232	118
P26232	P35222	118
P35222	Q9UI47	119
Q9UI47	P35222	119
P35222	P35221	120
P35221	P35222	120
P35222	P36402	121
P36402	P35222	121
P35222	Q16827	122
Q16827	P35222	122
P35222	Q01826	123
Q01826	P35222	123
P35222	Q14526	124
Q14526	P35222	124
P35222	P23470	125
P23470	P35222	125
P35222	Q9Y2T1	126
Q9Y2T1	P35222	126
P35222	Q92729	127
Q92729	P35222	127
P35222	Q99569	128
Q99569	P35222	128
P35222	Q16288	129
Q16288	P35222	129
P35222	P33151	130
P33151	P35222	130
P35222	Q99697	131
Q99697	P35222	131
P35222	Q13761	132
Q13761	P35222	132
P35222	P15941	133
P15941	P35222	133
P35222	Q9BRK4	134
Q9BRK4	P35222	134
P35222	Q9Y3M2	135
Q9Y3M2	P35222	135
P35222	Q96NW7	136
Q96NW7	P35222	136
P35222	Q13308	137
Q13308	P35222	137
P35222	P49789	138
P49789	P35222	138
P35222	Q9UKB5	139
Q9UKB5	P35222	139
P63104	P25054	140
Q9UKE5	Q9NQB0	141
Q15796	Q15797	142
Q15796	Q9UJU2	143
Q15796	P98082	144
P84022	Q15797	145
P84022	Q9UJU2	146
P84022	P98082	147
Q13485	Q15797	148
Q13485	Q9UJU2	149
P31946	P22681	150
P22681	P35222	150
O14640	P49841	151
P49841	P35222	151
P49841	P25054	152
P49841	Q13469	153
Q9NPG1	P50148	154
P50148	O14640	154
P50148	O14641	155
P50148	Q92997	156
O14640	Q15796	157
O14640	P84022	158
O14640	Q13485	159
O14640	P46531	160
P46531	Q15797	160
O14640	O15169	161
O14640	P68400	162
P68400	P35222	162
O14640	P67870	163
P67870	P35222	163
O14640	P31749	164
O14640	P49674	165
P49674	P25054	165
O14640	O15105	166
P45983	Q02962	167
P98082	O43318	168
O43318	P98082	168
Q09472	P37231	169
Q09472	Q15797	170
Q09472	Q9NQB0	171
Q09472	P15884	172
P37173	P98082	173
P46531	Q9UJU2	174
O75197	Q92837	175
Q92837	P49841	175
Q92837	O14640	176
Q92837	Q92997	177
Q92837	O15169	178
O14641	P49841	179
O14641	O15169	180
O14641	P17252	181
Q92997	P49841	182
Q92997	O15169	183
O15169	Q15796	184
O15169	P84022	185
O15169	P49841	186
O15169	O14640	187
O15169	O14641	188
O15169	Q92997	189
O15169	P31749	190
O15169	P49674	191
O15169	Q9Y297	192
Q9Y297	P35222	192
O15169	O75581	193
O15169	O15105	194
O15169	P19022	195
O15169	P48729	196
O15169	O95996	197
O95996	P35222	197
P31946	P00519	198
P31946	O14920	199
P31946	P68400	200
P31946	P46937	201
P46937	Q15797	201
P25054	P35222	202
P25054	Q13363	203
P09471	P28482	204
P28482	Q15797	204
P28482	P15923	205
P14923	P25054	206
P14923	Q9NQB0	207
P14923	Q9UJU2	208
P19022	P23467	209
P23467	P35222	209
P19022	P18031	210
P18031	P35222	210
Q96RT1	P25054	211
Q00722	P17252	212
Q9NPG1	Q15147	213
Q15147	P00533	213
Q15147	P17252	214
Q9NPG1	Q01970	215
Q01970	P00533	215
Q01970	P17252	216
Q01970	O14745	217
Q9NPG1	Q9NQ66	218
Q9NQ66	P00533	218
Q9NQ66	P17252	219
Q9Y297	P25054	220
Q9NQB0	P35222	221
P09471	O14640	222
P09471	O14641	223
P09471	Q92997	224
P09471	P42336	225
P15884	P35222	226
P01100	Q13469	227
O75581	Q9H6X2	228
Q9H6X2	O75581	228
O75581	Q14696	229
Q14696	O75581	229
O75581	P58335	230
P58335	O75581	230
O75581	Q2MKA7	231
Q2MKA7	O75581	231
O75581	Q9Y4X0	232
Q9Y4X0	P49841	232
O75581	Q9BXY4	233
Q9BXY4	O75581	233
O15105	Q15797	234
O15105	P15884	235
O15105	Q9UJU2	236
P34925	P04628	237
P04628	Q9NPG1	237
P04628	O75581	238
P04628	Q9ULV1	239
Q9ULV1	P35222	239
P04628	Q9H461	240
P04628	O75084	241
P04628	Q9UP38	242
P04628	Q14332	243
P04628	O00144	244
P04628	Q13467	245
P04628	Q9ULW2	246
P04628	O60353	247
O60353	P35222	247
P19022	Q16620	248
P19022	O15169	249
P19022	P14923	250
P19022	P08575	251
P19022	Q05209	252
P19022	Q12913	253
P19022	O75581	254
P19022	Q16827	255
P19022	P23470	256
Q01974	P41221	257
P41221	Q9NPG1	257
P41221	O75581	258
P41221	Q9ULV1	259
P41221	Q9H461	260
P41221	O75084	261
P41221	Q9UP38	262
P41221	Q14332	263
P41221	O00144	264
P41221	Q13467	265
P41221	Q9ULW2	266
P41221	O60353	267
Q01974	P56703	268
P56703	Q9NPG1	268
P56703	O75581	269
P56703	Q9ULV1	270
P56703	Q9H461	271
P56703	O75084	272
P56703	Q9UP38	273
P56703	Q14332	274
P56703	O00144	275
P56703	Q13467	276
P56703	Q9ULW2	277
P56703	O60353	278
Q01974	P56705	279
P56705	Q9NPG1	279
P56705	Q9ULV1	280
P56705	Q9H461	281
P56705	O75084	282
P56705	Q9UP38	283
P56705	Q14332	284
P56705	O00144	285
P56705	Q13467	286
P56705	Q9ULW2	287
P56705	O60353	288
Q01974	Q9H1J7	289
Q9H1J7	Q9NPG1	289
Q9H1J7	O75581	290
Q9H1J7	Q9ULV1	291
Q9H1J7	Q9H461	292
Q9H1J7	O75084	293
Q9H1J7	Q9UP38	294
Q9H1J7	Q14332	295
Q9H1J7	O00144	296
Q9H1J7	Q13467	297
Q9H1J7	Q9ULW2	298
Q9H1J7	O60353	299
Q01974	Q9Y6F9	300
Q9Y6F9	Q9NPG1	300
Q9Y6F9	O75581	301
Q9Y6F9	Q9ULV1	302
Q9Y6F9	Q9H461	303
Q9Y6F9	O75084	304
Q9Y6F9	Q9UP38	305
Q9Y6F9	Q14332	306
Q9Y6F9	O00144	307
Q9Y6F9	Q13467	308
Q9Y6F9	Q9ULW2	309
Q9Y6F9	O60353	310
Q01974	P09544	311
P09544	Q9NPG1	311
P09544	O75581	312
P09544	Q9ULV1	313
P09544	Q9H461	314
P09544	O75084	315
P09544	Q9UP38	316
P09544	Q14332	317
P09544	O00144	318
P09544	Q13467	319
P09544	Q9ULW2	320
P09544	O60353	321
Q01974	O00755	322
O00755	Q9NPG1	322
O00755	O75581	323
O00755	Q9ULV1	324
O00755	Q9H461	325
O00755	O75084	326
O00755	Q9UP38	327
O00755	Q14332	328
O00755	O00144	329
O00755	Q13467	330
O00755	Q9ULW2	331
O00755	O60353	332
P34925	P56704	333
P56704	Q9NPG1	333
P56704	O75581	334
P56704	Q9ULV1	335
P56704	Q9H461	336
P56704	O75084	337
