#node1	node2
P10275	Q9Y5K2
P02763	P05121
Q8N8S7	Q9UGI8
P07333	P49763
P08069	Q9H0M0
Q8TAU3	Q9BQ66
P17948	Q92529
O14776	Q12873
P05556	P46108
Q13573	Q96FV9
P08908	P63218
Q96GX9	Q9GZT8
P40227	Q15796
P36578	P49207
Q9H160	Q9HCE7
P55211	Q01094
P11388	Q13952
O14641	Q53G59
P48454	Q9UJX4
P48039	P63096
P04637	P12429
P16220	P62807
P04083	P21980
P50616	Q92600
P23508	P56537
P04155	Q9NYJ8
P35626	Q8NGH5
P22694	Q12791
O00221	Q9BZF9
Q9UKG1	Q9UL26
Q15287	Q96S94
P04637	P62987
P55103	P61812
O14593	Q16650
O95967	Q8NEC5
P31947	Q9Y2U9
P13232	Q08334
P68363	Q99836
P23511	Q16181
O43237	Q08495
P01241	P61326
P35249	Q13547
Q8WWW0	Q9NS23
P20393	Q14807
P10721	P52803
P62258	Q9GZM8
P38405	Q8NGJ6
Q7Z3G6	Q92997
O14770	O14964
P49915	P56545
P38405	Q8NGS5
O94776	P03372
P10828	Q15596
O15162	P49901
P30154	P62955
P01111	Q8IV61
P45973	Q9UER7
P38159	Q8N5R6
P19438	Q9BVA1
O60739	P49903
O00526	P10914
P38398	Q13535
P04156	P11021
P62280	Q01201
Q14696	Q14974
Q66LE6	Q9UF02
P11388	P16104
Q02040	Q15287
O14508	O60674
P02751	P13612
O60925	P60709
P30273	P32519
406995	Q9NRR4
P31371	P35916
P60709	Q04206
P05496	P56134
O43542	P62195
P35638	Q16236
P08047	P49321
Q99459	Q9Y580
P35908	P84022
P00736	P06681
Q14134	Q9BSW2
P06576	P31483
P19838	Q15759
O14641	Q9UNA4
Q15796	Q96RT1
P18848	P53567
Q15528	Q9NWA0
P18564	P35442
O00626	P46092
O60231	Q92917
O00159	Q9Y572
Q13315	Q6PD62
P15153	Q5T5U3
P62316	Q8WXD5
Q99963	Q9Y675
P51693	Q5T3J3
Q99459	Q9GZZ9
O60783	Q96BK5
O95619	O96019
P39023	Q9H8Y8
P01106	P04843
P01266	P98164
O00716	Q14186
P02768	Q9UBP0
P18827	P27361
P09493	P53355
O75380	Q12809
Q14416	Q9UK08
Q13616	Q9NS64
O00212	Q68EM7
P61077	Q16643
P08047	P10620
Q08945	Q9NR30
Q14790	Q6GQQ9
Q8NDC0	Q96PV6
P04054	P50148
O00422	P57721
P30480	Q9H0U4
O96013	Q38SD2
O95551	Q01543
P09769	Q05397
P29353	Q05397
Q92993	Q9UBU8
P36897	Q96D21
O14976	P51959
P10145	Q16695
P50395	P56537
P05129	P41220
P02545	P05129
P15151	Q15762
O95433	Q13023
P33993	Q9UFF9
O95837	P46663
P22102	Q9Y6K9
Q13191	Q6WCQ1
P52298	Q14974
Q9BWU1	Q9H944
P62304	P62314
P36897	Q9BST9
O95793	Q96C10
P43686	Q92753
P99999	Q15717
O75821	Q14152
P09471	Q14833
P01106	Q9BSY9
P05771	P57087
Q9UJY4	Q9UMZ2
Q9HAT8	Q9Y4K3
O14818	Q9Y478
P35326	P46108
P27986	Q06124
O95049	P56856
O95816	P20333
P78371	Q9Y572
O60503	O95398
Q6FI13	Q93079
Q01538	Q13526
P31268	Q03164
P15172	P35398
O75751	P08047
O00329	P12931
P48061	P51686
Q49AN0	Q9Y478
O95819	P07437
A8MTJ3	P59533
P08670	Q8N2W9
O60603	P54652
Q7L5N1	Q9Y2V3
P00519	Q14999
P00749	P55347
P47914	Q12873
O15066	Q92845
P43405	Q9P1W8
P24864	Q9UM13
Q8IXJ6	Q9NQC3
Q01085	Q15717
Q96JB5	Q9UGJ1
Q14155	Q9NQU5
P11766	Q12873
A1L0T0	P12956
P22612	Q07869
Q12931	Q9Y2C9
P14174	P18206
Q8WXI9	Q92831
Q9UDY2	Q9Y4K3
Q9BUV8	Q9UNF1
O43491	P35462
Q13485	Q16625
P01266	Q06710
P15927	Q5T3J3
Q9H9G7	Q9UH99
O75925	Q9UHY7
Q01082	Q9H9G7
O94972	Q96KB5
P62805	Q9UNL4
Q13418	Q9P031
P32969	P46777
P67870	Q03014
P29466	Q9HC29
P11217	P62158
Q8WXK4	Q9UBF6
Q8IXI1	Q9NZN5
P09471	P51817
Q13315	Q9Y546
P53671	Q13177
P07602	Q8WUM0
P04150	P20962
P06493	P68400
Q9BQ66	Q9BYR7
P24723	Q5SW24
P23284	P49069
O15111	P21580
O00273	Q8WZ42
P46379	P60510
P63261	Q9Y6K9
O15162	O95967
P40763	Q8WXH5
O14777	Q14203
P35232	Q13547
P33991	Q12905
P49674	P49841
P08138	Q9NQ66
Q7Z3B4	Q9BVL2
P27694	Q13156
P00491	P01889
P48357	P52333
Q5VVX9	Q6AZZ1
O60784	Q9H0E2
P30480	Q02750
Q99747	Q9UNK0
O15162	P00533
P10412	P12544
O43561	P43405
P51149	Q71U36
406934	P78563
Q92890	Q9UJX6
P60709	P62277
P10070	P78368
P25025	P49407
P12318	P46108
O95741	Q13526
P40763	Q99459
O75438	O95139
Q8TEE9	Q99750
Q8WWL7	Q9UJX2
P06400	Q01094
P09936	P62979
P0C1Z6	P25490
O00257	P78364
P46100	Q13472
Q9NRG9	Q9UKX7
P35626	Q8NGE9
A8K7I4	P16144
P61587	Q14CB8
O60343	P01106
O15455	P46734
Q16531	Q58WW2
Q12772	Q9UBW7
P53350	P60900
P08069	P63092
P08514	P35442
P28482	Q3MJ16
A7MCY6	P51116
P39656	Q9H7B4
Q00722	Q9ULW2
Q04206	Q99623
P14778	P42574
P56645	Q9UKB1
P08754	Q13936
P01106	Q96KA5
Q99963	Q9C0J8
P04628	Q9ULW2
O95832	Q96AP7
P08620	P09619
P30291	P68400
Q13546	Q15628
O60739	Q9Y262
P13805	Q13573
P42331	P63000
P01033	Q13011
O75928	Q05516
P24666	P43403
O15198	Q8NAM6
Q15291	Q8N257
Q5T4S7	Q96EZ8
P06756	P12109
O75400	Q9Y4D1
28881	Q96PG8
Q7Z460	Q96R06
O95813	P56703
P00533	P16885
Q92797	Q9P2I0
P67870	Q14978
P13994	P68104
P07766	Q6PIZ9
P35968	P52797
O75084	Q9UMX0
P32121	Q8N0Y3
P56279	Q9Y243
O00483	P17568
P55884	P60228
406893	P54253
P26599	Q99729
P00519	Q9Y3Q4
P19438	Q13158
P12814	P62993
P60953	Q5JSL3
Q14204	Q96IP4
O60269	Q96FJ2
P01106	Q96L91
P01106	Q6VY07
O75526	Q8WXA9
Q8N2W9	Q9UKY1
P27348	P40818
O43242	Q99460
O60674	P05112
P04141	Q01113
Q8IUQ4	Q96SN8
P18124	P62917
P23508	P42771
P42677	Q9H6R7
P27348	Q96B36
P60981	P63261
P0C5Z0	Q9UBN7
P52565	P60763
Q13315	Q9UBB6
O15379	Q9UQR1
P09619	P49767
O43670	P52272
P35226	Q9BSM1
O15239	Q16795
P46734	Q14203
O15264	P59768
Q9Y230	Q9Y4A5
P06213	P23470
Q07866	Q8IWE5
P04156	P46695
P37802	Q9Y4K3
P08047	Q09028
P34932	Q9UBR2
Q00610	Q00653
P30279	Q8N726
406904	P11413
P10914	P19525
Q96JP2	Q99459
P35638	Q16539
P61026	Q86TI0
P52597	Q92597
P01833	P42830
P32121	Q8NGJ7
P22612	P60510
Q7L804	Q9ULV0
O95786	Q15365
O60237	Q13464
Q8IY92	Q96IX5
Q15819	Q9H5I1
Q13555	Q9Y698
Q13363	Q9HCS4
P58753	Q96A33
Q8TEP8	Q969T4
Q14164	Q7L2H7
P08631	Q53H12
P01106	Q96Q11
P11387	Q9NR30
O15069	Q9ULV8
Q01780	Q13901
P33947	Q9UGN5
Q13576	Q9BSL1
P04899	Q13698
P16581	P31269
P18146	Q13206
O60869	P37231
Q13426	Q8IW19
O60496	P20936
P02747	P0C0L4
O75815	O95197
P40337	Q8N6L1
P51955	P62745
P01106	P23511
P20963	P29350
P46092	P55774
O15169	P39687
O75581	Q9Y6M4
P35527	Q92844
P10275	Q12778
P46109	Q07889
P00387	Q9Y478
P30304	P49336
P06493	Q13952
P22626	Q86V81
O95477	Q9NZN5
P17947	Q9NNX6
Q14152	Q14164
P33241	Q9H4B4
P12931	Q92569
P19875	P32248
Q04206	Q9Y2U5
P10912	Q13007
O00213	P00533
O95167	Q86Y39
P06730	Q9NRA8
O14939	Q05655
Q5JWF2	Q68DD2
P04114	P23284
P16989	Q99558
P29350	Q02556
P09038	Q07889
P50552	Q92636
Q13242	Q14683
O14654	P62993
P16885	Q05655
P24390	Q9UHQ7
O75486	P68431
P07477	Q00005
P06756	Q13683
P24752	P30480
P49368	Q13315
Q13233	Q96P11
Q99700	Q99962
P32121	Q96GQ7
P52948	Q96EE3
406984	Q9P2R6
P28482	Q13362
Q15047	Q15486
O14561	P03923
P01236	P23458
P63165	Q7L2E3
P05000	P26992
P67775	Q92997
P05452	Q01804
Q15834	Q96GM5
P42338	Q9Y243
Q03001	Q9UKE5
Q6DRA6	Q9UPS6
P54253	Q9Y2K5
P41220	Q9UL03
O15111	Q9Y4K3
P15311	Q13158
P42685	P60484
P11233	Q13485
O75122	P61981
P29323	Q2TAZ0
P12757	Q14789
P48643	P68133
P04637	P34931
O14561	Q9Y6M9
P17987	Q9H7D0
Q96E40	Q9GZR7
O15018	P01034
P13612	Q9Y490
O75508	P56880
P52735	P58107
O00238	Q9H4E5
P02686	Q86UE8
Q08211	Q8IX12
P36897	Q00532
P08575	P27361
P27708	Q9Y6K9
Q9BXW9	Q9HB96
P56705	Q14332
Q13616	Q9NRD1
P12956	P16284
P07108	P49841
P20333	P43003
O00255	O14746
Q9GZQ8	Q9H2P0
O00744	Q12778
P38936	Q6UXH1
P50395	Q13177
O00506	Q9Y376
P27986	P61978
P60763	Q5T5U3
P01588	P16333
Q6PIL6	Q9NS61
O14497	Q14526
P35900	Q9HAU0
P30153	Q96L34
Q8TEM1	Q9BW27
P54253	Q15032
P16520	P21917
P60953	Q9H0H5
Q9H9J2	Q9UBC1
O43684	Q9UJX4
P09693	P42338
P13942	P23229
P21246	Q96D09
P52198	Q8IWW6
P51681	P62993
P41279	P62158
P15336	Q13557
P38405	Q9GZK4
O14508	P08069
O00401	Q99828
P05000	P48551
P61964	Q9ULM3
P41134	Q92858
P06746	P09429
P14136	Q9UGJ1
P14635	Q9UJX2
Q9NWS9	Q9UNY5
O00459	Q9H204
P58876	Q969S8
P15498	P43405
P18146	P21926
P17858	Q12933
O43150	P46108
P78347	Q06187
