#node1	node2
P00533	Q9Y264
Q92830	Q9UBG7
O60934	P63165
P62263	P62993
P52272	Q9Y5J5
O95182	Q86Y39
O95685	Q9Y243
O75197	P19022
Q01362	Q13952
P10914	Q14919
P49790	Q8TEM1
P51679	Q16627
P63092	Q86XP0
P05771	P62993
P51668	Q05086
P50402	Q10586
Q9NX65	Q9P0L1
Q01780	Q96IU4
O60341	P07288
P58876	Q16777
Q92796	Q9BQ90
P45973	Q13263
P29323	P42684
P25685	Q14289
P42772	Q00534
P10275	P23771
P14921	Q6SJ96
P16035	P61289
Q96IP4	Q9P287
Q9UHR5	Q9UK32
Q14833	Q9UK08
P84022	Q14192
O43678	O75438
P35442	P61812
P47736	Q6ZN04
P18084	P55268
P50395	Q9GZN1
