#node1	node2
P63244	Q9UMR2
P62805	Q9BVI0
P41227	Q8NFF5
P30480	Q9NPD3
O00422	Q92769
Q13557	Q8WXS5
O75626	Q01892
P23763	P61266
O00574	P80098
P00519	P21709
O95996	Q9NR80
P63104	Q15007
P02751	P29279
Q13573	Q9NYF8
P62993	Q9Y697
P04049	P08727
Q9BVC6	Q9Y4K3
O95067	Q8NE35
O00168	Q9UN42
P50479	Q9H9D4
Q13315	Q5W0Z9
O75431	Q16891
P51805	Q92730
P27635	P62906
P13797	P40337
P21675	P49792
P25025	P32298
P04843	P54725
O75886	Q9NRR5
P20618	P30480
Q08334	Q9NYY1
O14530	O95163
P26373	P50914
P17252	P61586
P36897	Q9H1Z4
Q8IUQ4	Q9Y2X8
P40337	Q15286
O60814	Q9UQL6
P61981	Q9UQC2
O43684	Q9UJX4
P08754	Q14832
Q15759	Q9Y243
O14512	Q5VWK5
Q15796	Q96RT1
P49716	Q15744
P09874	Q02539
P25963	P62979
Q13363	Q9H2X6
O00716	P14635
Q16763	Q9Y5L0
O00175	P46092
P01889	Q9Y277
P62140	Q8TD86
O60885	Q9BPX7
P17612	P52566
P02533	Q15628
Q15637	Q9Y580
O95343	O95677
O43432	Q09161
Q96C28	Q99750
Q02641	Q15173
Q15008	Q9BQ83
P01889	P30504
P61952	Q9HCE7
P35372	P63096
P30279	P46527
P35749	Q9P2S5
Q495A1	Q92692
Q13573	Q9H0D6
P07202	Q5VWK5
P32248	Q8WTQ7
P56545	Q06330
P12318	Q15759
P42345	Q9UGI9
P04141	P16871
P67775	Q06190
P18146	Q9UMX9
P19174	Q16620
P05129	Q01959
P51828	P62158
P01106	P42704
Q9H9S4	Q9Y478
P08238	P35579
P07437	P33981
P01570	Q13568
P19784	Q16539
P04049	Q96KB5
P26012	P56945
O15131	P62306
O76015	P61981
P50616	Q15797
P01106	P29375
O14920	Q06187
P01241	P25788
P10275	Q6AZZ1
Q14194	Q15645
Q15788	Q9BYB0
P62256	Q96A37
Q00059	Q14164
Q8WXW3	Q9Y2U5
P04899	P49798
P49682	Q9NRJ3
O75592	P68036
Q14164	Q9BRT2
O43150	P12931
Q01094	Q16254
P01100	Q15654
P01111	Q92569
P35268	P62829
P35354	P45983
P51965	Q5VTR2
P16471	Q06124
P08579	Q14164
Q01082	Q06413
O43586	Q05209
P84103	Q08170
O96019	Q9ULG1
P09769	P27986
P42574	Q14203
P01589	Q13424
P12956	P19838
O60266	P62879
P98177	Q9UGJ0
P27540	Q02363
P27361	Q9NYJ8
P11717	Q9Y4K3
Q9UQC2	Q9Y6Q6
P62081	P63220
P15170	Q4VXU2
Q08211	Q8IX12
O43741	Q9UGI9
Q15369	Q9Y6I7
Q93009	Q9HCI5
O00214	Q13137
Q92769	Q96BD5
Q5T0N5	Q9Y4D1
P57678	Q9UKV8
O14641	P49407
P01730	Q01196
P01889	Q9NR31
P16949	P28482
O75326	Q9H2G2
O94985	Q14669
Q6UY14	Q9HB63
P35609	P63165
P04637	Q8IUQ4
O43464	Q16611
P50238	P54257
P08887	P15248
51639	Q9Y5J5
O43318	Q02750
O15230	Q13797
Q9HAW0	Q9NVI7
P55268	Q14118
Q07864	Q9NR33
P22681	P62837
P07949	Q00987
Q14197	Q53R41
P68400	Q15545
P27348	Q07955
P49792	P78527
Q9NQ66	Q9ULW2
O14939	P06241
P32121	Q15612
P07949	Q9HCE7
P01241	P08134
O95168	P51970
P13861	P15311
O75475	P02511
P10515	Q15119
O14602	P55884
P13224	P42336
O75947	Q7L5D6
P23497	Q9UER7
406954	Q13315
Q04724	Q14451
P22736	P54253
Q6STE5	Q9P2D1
P20333	P51813
O43586	Q9UKX3
P20823	P30086
Q12873	Q99714
P62158	Q13233
O94806	Q16236
P20618	Q9UET6
P01106	P67870
Q15907	Q86YS3
Q9P2W3	Q9UBS5
P32121	Q8NG99
Q13164	Q15349
P56282	Q92993
P63279	Q6ZNA4
Q06455	Q7Z6G3
P41597	P80075
O75528	Q9HBM6
P62324	Q71U36
P24522	Q12824
P36897	P46937
O15162	O95967
P62424	P62891
P12814	Q96QZ7
O14920	Q13451
P08238	P31946
P04899	P35498
Q01344	Q9ULV8
O95630	P0CG48
P35268	Q99558
Q53QZ3	Q9H4E5
P25054	Q96S59
P62269	Q13573
P46108	Q9BYB0
P56747	Q07157
P16234	Q05397
P35626	Q6IEY1
P51003	Q01081
P0CG47	Q9Y3C5
P08670	P60709
P35462	P61952
P63244	Q92636
P60763	Q7L576
P68133	Q9UI47
P82675	Q14197
Q92837	Q92997
Q16778	Q96DB2
P05388	P46779
P30480	P31689
P42338	P50570
P78362	Q8WVK2
P09471	Q9NPG1
P20823	Q13761
Q86YV9	Q96L34
P15374	Q13315
P28482	Q9Y4H2
P10809	P35222
P05388	P63104
Q9NRF9	Q9NS73
P46109	P56945
Q08752	Q9HAU4
Q13315	Q9UFC0
P52735	Q8TEX9
O14920	Q8TEL6
Q93062	Q96K80
P40429	P62899
P52948	Q9UKX7
P61978	Q00005
Q13573	Q16594
O96017	P62140
P46199	Q14197
O00238	P15882
P05141	Q9Y277
P09884	Q7L590
P27361	Q13557
P11177	P18754
P62805	Q9UER7
Q16659	Q9Y4G2
O60732	P0C0S5
P62495	Q14145
Q4G148	Q86XK2
P19105	P36873
P49354	Q04771
O43674	O43678
P06213	P14210
P35354	Q13616
P01583	Q04206
P07477	Q00005
O75150	Q9GZS3
Q92889	Q9BQ83
Q15796	Q96GG9
P18084	Q9UKX5
P50570	Q9UKM7
O15551	Q16625
O14617	P62330
P61158	Q9Y4K3
Q09472	Q9UJU2
Q16659	Q8WUK0
Q9Y2X0	Q9Y4A5
Q13797	Q17RW2
Q04206	Q08117
P18074	Q13216
P19447	P51948
O14641	Q14134
P01241	Q16658
P16220	Q16543
P50616	Q4VXU2
P01889	Q13200
A6NHL2	P04350
O75914	Q96L33
P25942	Q96JQ0
Q14332	Q5T4F7
P25786	Q15834
P08865	Q07021
O00505	P09429
P02533	P02768
P48730	Q92997
P43686	P55036
Q9NQA5	Q9UEF7
P05019	P08138
P54646	Q86TI0
Q9BQ66	Q9P2R6
Q05397	Q15654
O60888	P40337
O15355	Q9Y6K5
Q15047	Q6NZ67
Q13127	Q9UKB1
P19012	Q7Z3B3
Q969Z0	Q9NYA4
P14616	Q07889
P62714	Q4G163
Q15560	Q9H7U1
O95400	Q15365
O43353	P07437
Q96EE3	Q9BW27
Q71UI9	Q9Y5B9
Q01344	Q16619
P11021	P51636
P18887	Q9UNA4
P63092	Q99527
P06748	Q14686
O75417	Q13315
O14920	Q92574
P14416	Q16537
P10275	Q05066
P56537	Q9BZI7
P08034	P12931
P15153	P41743
P54257	Q8N8D1
P29965	Q9Y6W8
O00506	Q9Y6E0
P55854	Q7Z3J3
P0C0S8	Q8N488
Q13635	Q15465
P00451	P00734
P05771	P14679
P15407	Q16539
O60566	Q9UJX2
P53803	P61218
P31749	P78527
O14764	Q9UMX0
P53618	Q9H013
Q00613	Q0VDF9
P05161	P17947
P08670	P25786
P50990	Q9Y2T4
O00214	P56199
P04899	Q13936
P37231	Q9P2D1
P17480	P68133
Q15034	Q9UHD9
P30411	Q9UBI6
P31151	Q01469
P46108	Q9ULH1
P13501	P13611
Q8N684	Q9NZC7
P07478	Q8TEW0
P43487	Q9UET6
P03372	P12931
Q14457	Q6ZNE5
P38405	Q8NH00
O60282	O95295
O75478	P51610
P50150	Q9HBW0
P37108	Q9H1Y0
O00626	Q01201
P23229	Q9HBI1
P46777	Q02543
Q16643	Q9Y297
P36897	Q6P3X3
Q15047	Q9UBE8
P68400	Q96EZ8
P19438	Q05655
P05067	P09936
P31946	Q9Y2J2
P47992	P51685
P12004	P52701
P68371	Q13748
P62263	P62269
Q02763	Q92913
P30559	P50148
P01574	Q92985
P18206	P50552
O75604	Q12933
P62805	Q92993
P41235	Q12955
O43921	P08581
O95631	Q92859
O14576	P63172
P25963	P67870
P32298	P46094
O43684	Q13042
P67870	Q8NDZ2
406991	P30304
Q8WZA2	Q92736
O95049	O95484
Q07002	Q15834
P99999	Q9UHB4
P05106	P13942
O14604	P63261
P51828	Q13557
P27986	Q12959
P13807	Q96RG2
P50402	P60709
P30260	P84022
P10827	P51946
P09471	Q13561
P30291	P31946
O96006	P15090
O75955	Q9NPG2
P42574	P55211
P62508	Q9UBK2
P98164	Q5JY77
P15018	P78552
P08069	P48357
P09544	P51654
P27635	Q13233
P60033	Q9Y4K3
O14920	P98177
Q96JB5	Q9UGM3
O15335	P02458
Q969H0	Q9UKT4
P49915	Q14164
P39023	P46778
P62805	Q92925
P12956	P13010
P19838	Q9UNE7
P15382	P51787
P45983	Q13387
O95467	Q99677
Q13884	Q6AI08
P08107	Q5VVJ2
O00755	Q9ULV1
P0CG48	Q9Y6K9
P06401	Q96LA8
P31785	Q8IZJ0
O14544	P51692
O95166	Q9UPU7
P12882	Q9NRG4
Q01959	Q13555
O75122	O94817
P11831	Q13643
P78337	Q92997
P31350	Q9UM11
P38405	Q8NGT9
P49450	Q9Y6A5
Q13200	Q13432
P56545	Q9P287
Q9UJ04	Q9Y2I6
P06241	Q9Y697
Q2QGD7	Q99962
Q12933	Q8IYF1
O15111	Q7Z406
P19634	Q99750
P40763	P48736
P53778	Q12968
P42345	Q9BPZ7
P08670	P27348
P30480	Q9UBT2
Q15008	Q9UL46
P01588	P15260
O00238	O15198
P42336	P42702
P05452	P05783
O95817	Q9UJY1
O75581	Q9UBV4
O14964	P25963
P06756	P56945
A0JLT2	Q9P086
P46776	Q07020
P31943	P51991
O00303	P21246
P06401	Q05086
Q99836	Q9NWZ3
P20226	Q01094
Q5VTD9	Q96IF1
O15520	P21802
P05067	Q9NPJ6
Q86YM7	Q9UPX8
P11473	Q15596
Q13137	Q5T5S1
P01111	Q86YV0
O14775	P14416
Q86Y13	Q9H832
P54619	Q9C0K7
Q96B97	Q9Y6R4
Q86WV6	Q99942
Q7Z6J0	Q9H2E6
P63000	Q8TEJ3
P13727	P15976
Q06587	Q969T4
P13805	Q9Y2Y6
P10914	Q96AZ6
P55055	Q9Y600
P23458	P58753
P08514	P35442
C9JDP6	Q16625
Q13905	Q14511
O15379	Q9H4Z3
O75369	P21333
Q9C040	Q9UKE5
P09661	Q15428
P20042	P41091
Q13315	Q5VTL8
P61160	Q99459
Q5VVX9	Q9C040
P29350	Q08334
O43927	P46094
P49841	P51531
O14640	Q99755
P78406	Q9UBU9
P62917	P62987
Q13522	Q14738
O60232	P14866
P42261	Q13555
P14416	Q96SB3
O95319	Q9NQ94
P0C869	Q05655
P26358	P29350
P05106	P24043
Q06732	Q9UKY1
Q16531	Q9H0E3
P60709	Q2M3G4
Q15596	Q92830
P17028	Q15047
Q9HC36	Q9UHX1
P27695	Q12933
P04054	P28482
P61964	Q96RG2
O95169	Q9NR50
Q6P2C8	Q9NVC6
P08631	P19338
Q12933	Q15750
P54253	Q8N196
P02647	P11597
Q13573	Q96BN8
P05129	P19883
P51693	Q5T3J3
A8MTJ3	P59540
Q07889	Q92730
Q06124	Q8WYR1
O95886	P06241
P58400	Q8N0W4
P06241	Q8WUM4
406961	Q9UQ03
P42858	Q14643
Q9BY76	Q9GZX7
O95793	P46779
Q96F46	Q9H293
P01225	Q13164
Q96P20	Q9H3M7
P50453	Q9Y3C7
P55316	Q12778
O14827	P55157
Q13422	Q9UKS7
P62879	Q15147
P84103	Q8IYB3
Q15797	Q9Y2U8
P35626	Q8NH67
O00422	Q9UKV3
P46019	P62136
Q8IXL6	Q9H5I1
O15350	Q00987
O00762	P20248
O15511	Q92558
P15018	Q9HC73
P12757	Q9UPN3
P51677	Q15835
O14807	P15056
Q15834	Q9NX63
Q12972	Q14194
P06748	Q9H4L4
P13727	Q12873
Q06432	Q13362
P19438	Q9Y265
Q13571	Q92995
Q6R327	Q9BVC4
P63279	Q13432
Q04917	Q99759
P08754	P45983
Q9H936	Q9UNM6
O60925	P21246
Q13315	Q86XL3
P23769	P29590
Q8WYJ6	Q96GD4
P32121	P51684
Q14197	Q8IVS2
P62258	Q9UQC2
Q92769	Q93077
P49238	Q99731
P07948	Q99704
P28062	P35609
P10275	P13010
O95622	Q5JWF2
O95067	Q7Z5Q1
P01569	Q08334
P11308	P17947
Q13797	Q14164
P12314	Q13094
P46527	Q16513
P08151	P14923
Q6IA69	Q96JP2
Q96JQ0	Q96RG2
P08047	Q5U623
P83731	Q9Y4K3
P24385	Q96ST3
P40337	Q96KM6
P09467	P56134
P51677	P78423
O75365	Q96T76
P49841	P68104
Q8IXI1	Q96BY6
P06400	Q13547
P12004	Q9NR33
P55157	Q9NQC3
Q16643	Q9Y6K9
O15198	Q9NRR5
Q03013	Q8IXH7
P10827	P62324
P49841	Q9H7B2
Q02763	Q8NFZ5
O00574	Q15835
Q13427	Q8N5F7
Q9P1Z2	Q9UJU2
P11473	Q15788
P27824	Q92597
P35637	Q01081
Q96Q27	Q9UBF6
P04264	Q92844
Q7L190	Q9BX70
P40933	Q01113
Q8NBJ4	Q9UFN0
Q00169	Q8NB16
P02768	Q9UNY5
P31946	Q9H0H5
Q14653	Q7Z434
Q12772	Q8IUH5
P18206	P26232
O43566	P62834
P56705	Q96HF1
P51828	Q02156
O00459	P23458
P0CG48	Q9UMX0
Q07889	Q9UNA1
P13639	Q09472
O00212	O43182
P04217	Q16637
P53708	Q8IZC6
P20719	Q12778
P28324	Q6SJ96
Q8NHY2	Q9BQ67
P20671	Q7Z2G1
O95751	Q8TBB1
P05129	Q00722
P01588	P48551
Q14527	Q99459
407026	P39059
Q9Y239	Q9Y5V3
Q12824	Q9UJX2
Q5XPI4	Q96B02
Q15527	Q9NQX6
O14640	Q969G9
P01137	P58166
P42765	Q12983
P40126	P56693
P30457	Q93084
P01857	P02787
P23527	Q99878
P19525	Q8N5Z5
O43920	Q9Y375
Q9BY44	Q9NZJ5
P21860	P98077
P43405	Q13177
Q8IYH5	Q9ULM3
O00231	P54257
O60674	P61073
P09919	Q14627
P04908	Q99877
P61244	Q15759
P61313	P62910
Q96RK0	Q9P1U0
Q13315	Q92925
O00746	Q14197
P45983	Q8WXG6
P60763	Q96N67
P04899	P50150
O43399	Q14164
Q8WXH5	Q9HC73
P25445	P63165
Q15628	Q9Y297
P30480	Q15691
O15523	Q15796
P31150	Q15669
P62736	Q8NHR9
Q7L591	Q92835
O75038	Q16512
P49768	Q07817
Q8N264	Q96L33
P05112	P40189
Q9H944	Q9NWA0
P61224	Q8WYR1
O15264	P04637
P29590	P42345
P60866	Q92597
P05129	P07948
O75446	Q9H7L9
P22301	Q01113
Q8IWZ6	Q9UPT5
P25942	Q04864
O00459	P31749
P84095	Q15797
O00206	P55085
P16520	Q9H1C0
P29350	Q6UXL0
P62277	P62851
Q96QV1	Q9UK22
P21802	P46108
Q01094	Q86VI4
P32969	P62945
P51817	Q13370
406930	P08134
P60484	Q9BVJ6
P17706	P60953
O75369	Q13557
P16471	P42229
O00626	P46092
Q15654	Q9Y2W1
O00459	Q9H204
574507	P15692
O15444	P46094
P30876	Q9NX70
Q13315	Q9NY93
O15524	P15509
P49792	P84022
Q13315	Q96CN9
P61019	Q08379
P52799	P54764
Q15366	Q8N5F7
Q9H8S9	Q9Y2H1
O43749	P32121
P46776	P62899
P35916	Q00722
Q7Z434	Q99558
P0CG48	Q96NR8
Q13547	Q9UKL0
Q05397	Q6S5L8
Q9BQE3	Q9UGJ1
P10275	Q13547
Q16629	Q9UBU9
O43678	O75251
O15520	Q15475
Q16543	Q9BSF8
Q16548	Q92934
P07333	P49765
P15812	P18146
P45973	Q13112
Q01094	Q09028
Q92538	Q9Y678
P63000	Q13490
Q13287	Q9Y4Z0
P27797	P30101
Q15013	Q15047
Q13114	Q15326
P50402	Q8N7W2
A4D0S4	Q05397
O43278	Q9NRR5
P17861	Q6UUV7
P05455	Q15126
P20333	Q9BVA1
O43295	Q92558
P13164	Q00978
P01562	Q08334
O75643	Q99459
P21453	P63096
P30939	P50150
P01282	Q9NRR5
P46020	P62158
Q9BQQ3	Q9H422
P06400	P49716
P55010	Q13347
P17612	Q07869
P20273	Q96CW1
Q15365	Q9UHX1
O94864	P68431
O95197	O95872
P10145	P22894
O75937	P26599
P18847	Q9BZD4
P21554	P63096
P04049	Q04917
P23467	P35222
P07910	Q09161
P16860	Q01844
O15371	P05198
O43303	Q8IW35
P24522	Q8TAQ2
P10145	P46094
P04181	Q14197
P51668	Q06587
P21796	P56537
P04049	Q6TCH7
O14543	P16471
P09919	P48551
P32121	P47888
P20929	Q86TC9
Q15428	Q15637
O14763	O15519
O43318	O43809
A0JLT2	O43513
O14908	P33993
P26006	Q13797
O14640	Q96B18
O95477	P46939
O95257	P13667
O60880	P06127
O75578	P02461
P28340	Q9H2G2
P01019	P30556
P63000	Q99755
O75376	P48443
O43390	P14866
P41220	Q9Y5U9
P29597	Q08334
Q14192	Q9H173
P32121	Q8NH83
P63279	Q9UBE0
P35626	Q8NGX6
P31749	Q58FF6
O14757	Q86UE8
693190	P04637
P58340	Q16478
P13805	Q9Y2L8
P35637	Q9UBW7
P15498	P61224
P19174	P21802
Q6P1K2	Q9Y2X7
O95084	P12236
P63104	Q13111
Q8NB91	Q9NW38
O95067	Q9UJX6
P31321	Q9H4A3
Q15366	Q92797
Q13322	Q8NC60
P11216	P46020
P11021	Q96IZ0
Q07812	Q07820
Q00975	Q6NV75
P78386	Q96CS7
O60739	P35544
P61966	Q9ULC4
P25963	Q99570
P19387	Q8N201
P31751	Q9UBS0
P67870	Q13216
P31947	P56524
P62318	Q8TEQ6
P01112	Q07890
P08700	Q14627
P11362	P35568
O95819	Q2KJY2
Q9BY12	Q9NYQ7
O14807	O95294
Q96FW1	Q9Y478
P08514	Q16787
O00329	Q07890
Q13535	Q9P0W2
P48200	P67809
P55036	Q16401
Q8NCG7	Q9UG56
P24385	P49841
P23945	Q9UKG1
P61081	Q86XK2
P36873	Q99759
P63096	Q14831
P46777	Q9UNX3
P01909	Q99962
O14964	P83436
O75116	P53671
Q05513	Q9NR12
P04350	Q00653
P84095	Q96BY6
574032	P03372
P62256	Q92905
P62070	Q9Y4G8
P22455	P52798
P22105	P56199
P18084	Q9Y4G6
P01570	P15260
Q15572	Q9H9Y6
O14964	Q99816
P04156	Q9NW64
P08123	P26010
P37231	P49716
Q06481	Q9NPJ6
O00574	P13501
O96013	P61981
P17568	Q9UI09
O00501	P56748
O43504	P47224
O75800	Q6PCD5
P04183	Q8IXL6
O00305	Q12816
P51148	Q6XUX3
P52272	P67809
P49815	Q15382
P17181	P35225
Q03393	Q9HCK5
P37173	Q13347
P09914	P52630
P22670	P35611
P24941	Q9UM13
P04198	Q13287
P16220	Q15172
P26358	Q15910
Q02763	Q05209
P61201	Q13216
Q01844	Q92597
P20333	P35579
P61586	Q04759
Q3ZCM7	Q96AH8
P05387	P05388
O60262	P48549
P42263	P49841
P10914	P28907
P55268	P56199
Q16816	Q8TD86
P36507	Q07890
P57740	Q99459
O95453	Q9H0A9
P38405	Q8NGK2
Q8IYU2	Q92985
406982	Q16827
P23219	P28482
Q0VDF9	Q9Y6K9
P62495	Q9HAU5
P17302	P68366
P08887	Q96JP5
P51522	Q13153
O43639	Q5T5P2
P54274	Q15691
O75530	P19438
P19784	P51610
P33993	Q6IE81
O95786	P0CG48
Q02833	Q92574
O75365	Q9UJ14
P51671	P60174
P17987	Q13233
P36578	P46777
O00574	O00626
P51151	Q8IWE5
P30480	Q15365
P28482	Q06124
P17066	P19438
P33527	Q9H1C4
P13232	P48357
P12110	P18084
P17612	Q14432
P48039	Q9HAV0
P38484	Q9P0W0
Q13191	Q96B97
Q99759	Q9NUG6
Q17RW2	Q9UKX5
P12757	Q8IZ52
P27986	P35916
P12956	P25963
Q13200	Q14644
O00327	Q92831
Q6UY11	Q9BQ66
O00221	P49642
O94818	Q16659
Q14164	Q16650
O00459	P50151
P32927	Q8IU54
O75182	Q14188
Q96JC9	Q9Y265
Q08334	Q9GZX6
Q96KB5	Q9Y6X8
P35443	Q08722
P51636	Q14254
Q9HC62	Q9NQB0
P05067	P30519
Q96BK5	Q9NW61
P60484	Q03135
O60721	P16333
O14920	P60709
P06213	Q01970
P68104	Q99558
P50914	Q9UL18
P48730	Q8N6T3
P17275	P24385
O95467	P34998
Q6P1J9	Q9GZS3
P12236	Q9Y6K9
P32121	Q9H340
P42858	Q96CV9
P35626	Q8NGR2
Q8N5U6	Q969T4
Q7L590	Q96GE4
O00505	P49407
O15198	P48556
P61586	Q9P286
O43318	P53041
P42766	P83881
P68431	Q92831
P40933	P48357
P24522	Q16539
406884	P08727
P31151	Q9P286
P55957	Q92851
P04899	Q9Y272
Q96FV9	Q96J01
Q9NX58	Q9UKY1
Q15637	Q9BQA1
P15336	P19838
Q13315	Q8IXK0
O43474	P08047
O95299	Q86Y39
P05556	P49746
P13631	Q92819
P46776	Q8WZA2
O15467	P46092
O75578	P26006
406884	P01111
Q8ND90	Q9UL42
O75821	O95257
P27986	P42681
P04637	P05109
Q13573	Q9Y265
P21583	P29317
P62913	Q9UL18
P32004	Q15418
P46108	Q7L190
Q56P03	Q9NRR5
P04150	P84022
P34903	P60520
P63211	Q13936
P52435	P53803
P78406	Q8NFH3
P36406	Q15637
P01111	P10398
O60359	P62714
O75909	P49411
P01889	P30046
Q99447	Q9UBC3
Q13315	Q9UGJ0
O00221	P07900
P16871	Q13007
P49755	Q9Y4K3
P06400	Q15435
O75376	Q99933
P14209	P62937
P62136	Q07812
Q86U06	Q8IWX8
O75822	Q16890
P04216	Q13017
P62837	Q9NZQ3
P06756	P16885
P10415	P17612
P02538	P19012
P09467	Q9UBU9
P05455	P98170
Q15323	Q9NX58
P01116	Q92565
O14733	O96013
P61513	Q96BK5
P63104	Q9P0K7
P54198	Q9Y294
O60508	Q86U42
P29590	P36897
P49810	Q8WW43
Q15291	Q6P1J9
P42226	P49715
Q9Y4K3	Q9Y616
Q96CV9	Q9Y4K3
P63279	Q96K62
P41743	P62834
O60341	P60709
P33991	Q96HA7
P19174	Q14108
Q15366	Q9BUJ2
P25490	P36956
O00548	Q8WW43
P15336	Q9Y243
P08727	Q15154
O15392	P55211
P02751	P05556
P01892	P30101
P16871	P28066
Q9NPB6	Q9NUG6
P09471	P30542
Q9HC77	Q9NYY3
P01374	P36941
P07333	Q9NSA1
P35638	Q07890
P19012	P25786
Q13435	Q9Y5S9
P28482	Q13642
406901	Q9UKV8
O75604	Q9BUH8
P16220	P62805
Q14999	Q8N3Y1
O43255	Q9Y6H5
O75419	P49736
P18084	Q92752
O60244	Q9P086
P63151	Q9BXT2
O75928	Q05516
P10916	Q9H1R3
P20671	P62807
O15084	Q96KM6
O95229	Q8NBT2
Q13467	Q96HF1
P08047	P49321
P10275	Q15466
P42336	Q9UK08
P12931	P43405
P05015	Q8N6P7
Q9H444	Q9UN37
O95571	Q04206
P0CG48	P21580
P20338	P50395
Q08999	Q14186
P62805	Q9H2F5
P24468	Q96IP4
P25025	Q92664
P42680	Q16827
P49411	Q9HCK5
Q99558	Q9UM73
O75461	Q96B26
P38159	Q13247
O60216	Q9UQE7
Q07820	Q8IVG9
P10721	Q9NR46
O60383	P62308
O95163	Q13085
Q05655	Q9Y4H2
P17066	P53779
Q14974	Q8WYP5
P50570	Q14247
P62280	Q8IXH7
P21860	Q68CZ2
P63244	Q9BRX9
P10415	P27361
P37802	Q9UET6
Q92752	Q9UKX5
P32238	Q96SB3
P31751	Q8WYR1
P35626	Q96R67
O75376	P25942
P32121	Q8N0Y3
P10721	P61328
P56703	Q9UP38
Q9Y2T4	Q9Y698
Q96BY2	Q9NS23
P16871	P41182
P10071	Q15648
P04222	Q9Y262
Q14790	Q9Y3D6
P26641	Q7L5D6
P37231	Q8N122
406892	P08069
O43900	Q8TAA9
Q9H1C4	Q9NR97
O95831	Q9Y3Q8
P04406	Q504Q3
O60840	Q12791
O94941	P61077
P51817	Q99819
P23945	P31751
Q96P70	Q9Y478
P05000	P10912
P01242	P42702
P08238	Q16665
Q13555	Q9BXT2
Q86WV6	Q96A33
P57739	Q8NI35
P15151	P51808
O60496	Q9UBS4
P18084	Q13751
P04049	Q13237
P32881	Q13261
P55854	Q9HC62
P62899	Q9NY93
P49715	Q05516
O95837	P25100
O00444	P31947
O43293	Q13464
Q14164	Q15785
Q01970	Q9NPG1
Q05193	Q8IWF7
P23921	Q5UIP0
Q07817	Q96N67
O43166	P78352
P63165	Q5T0B9
P0C0S5	P68431
P38159	P51991
P46777	Q15714
P12757	P12956
P04632	P11802
P03901	P17568
Q9H4P4	Q9H832
P20020	Q13237
P05771	P20700
O43261	Q9NVJ2
O43676	P03901
O00409	Q96B26
P05556	Q9Y490
P41743	Q9NRA0
P36941	Q9NR28
P56134	P61106
P60484	Q07890
P0CG47	Q9UJY5
Q15185	Q9UET6
P13612	Q16787
P04141	Q5VWK5
P16220	P62820
O60762	Q9Y5J5
O95786	Q99558
P51668	Q9H0F5
P51948	Q92759
Q99935	Q9UDV6
O14974	Q9H8Y8
O14936	Q16650
P31942	Q9Y2Q3
P01889	Q00610
P00451	P27824
O75815	Q99460
O00483	O95182
O60258	P06213
P08173	P09471
P08069	P11487
O95837	P21452
P11215	P35354
P25963	P62837
P56537	Q9NZV8
P16298	P62158
P48039	P63211
P08670	Q14203
P61163	Q99459
P25786	P28070
P51817	Q5MIZ7
P28065	Q96J02
O94864	P01106
P04628	P18827
P01111	Q7Z569
P63000	P63261
O00141	P02788
P04792	Q13573
P13569	Q9H9S3
O15530	P42338
O95452	P29033
O94906	Q99459
P17931	P23511
Q9NWA0	Q9UM73
P16104	Q06609
P46940	Q00005
P23945	P49407
P04049	P06239
P14859	P19793
Q01959	Q16623
P08238	P62258
P16220	Q2KJY2
P26992	Q9GZX6
P26012	Q16787
P0CG04	Q9NRR5
Q13315	Q9Y487
P20042	Q14194
Q5T3J3	Q99689
Q15365	Q9GZN1
O14965	Q13522
O60437	P08670
P08069	P27986
406909	Q15910
O00233	P35998
P36894	Q12841
P54253	Q12933
P08246	Q08117
P11142	P45983
P01138	Q16620
Q13315	Q96JI7
P01567	P42702
P04626	Q92569
O43524	Q13043
P40939	Q9Y4K3
O00562	Q13315
O43251	Q9H0E2
P09467	P12814
P27658	Q53G59
P50591	Q13546
P05000	Q08334
O75970	P57739
P04899	Q9BXA5
P25054	Q13363
Q16778	Q9UBN7
O15524	Q14627
O43390	Q13151
P60568	Q03060
O76070	P41235
Q07866	Q9UPT6
P24941	Q15714
P63208	Q9UK22
P15813	Q8N423
O15169	Q9Y6R4
Q13501	Q8IY92
Q14197	Q8N0V3
P00519	P50570
100008587	O95602
P58753	Q06187
Q12933	Q8WWZ3
Q8IXI1	Q8N1I0
P25787	P28072
P07355	P56537
Q96KG7	Q9P2E3
Q06830	Q9Y6P5
Q15008	Q9H8Y8
Q13133	Q15466
O60637	Q01844
693144	Q13330
P60709	Q92747
P15498	P20701
P19438	Q9UM54
Q13813	Q14164
P23921	Q14164
O94817	P62273
O43889	P17612
Q00597	Q8N2Z9
O75964	P30480
P38936	Q8NFD5
P62249	P62753
P17948	P55075
Q02750	Q9NR09
P02545	Q04759
P08581	Q9NR46
O43524	Q16665
P98174	Q9UBI6
O75251	Q86Y39
Q12772	Q13952
P15924	Q13535
Q14627	Q9GZX6
Q15038	Q8WV99
Q7Z3U7	Q9UJY5
O15551	O75508
