#node1	node2
P46379	Q9BQD7
O14508	Q08334
P32927	P35225
O95863	Q9NRM7
P06400	P15056
Q5T3J3	Q92993
Q3ZCM7	Q96NA2
P01241	P61077
Q04206	Q9UN86
P31943	Q8IYB3
P10966	P30443
O75815	P12268
Q9BUF5	Q9Y4K3
P49959	Q92878
P17081	Q07890
Q15819	Q9Y3A3
P12814	Q9UBF9
Q9H0W8	Q9Y5S9
O15111	Q14790
P16333	Q96T58
O14508	P48357
O60260	Q16342
O15372	O75821
P35968	Q13155
P49715	Q14934
P36954	Q9HCS7
P55055	Q6UXH1
Q14626	Q16619
Q08999	Q12778
P10147	P49238
Q13315	Q14566
Q15393	Q9NPF4
P35222	Q9ULV1
P08107	P11021
P25025	P52333
P56706	Q9ULW2
Q7Z3Z4	Q9UPY3
P14316	P85037
P53355	Q66LE6
O95996	Q9NR80
P61587	Q9NQU5
O00291	P09496
P49137	P49815
P10301	P17252
O95139	P03923
Q99459	Q9NPJ6
Q9BVA1	Q9Y6G9
P39023	Q15853
O43513	Q9NX70
P22891	P41235
P58876	Q8WUI4
P28715	P84098
P41235	Q92786
Q5VTD9	Q86UL3
P08047	Q6VMQ6
Q16778	Q9C005
Q99570	Q9C0C7
P07900	P31749
P05386	P21246
Q14CB8	Q96SN8
Q00722	Q9BYG4
P11387	P14625
O00459	P14784
P23497	P83916
P49023	Q13882
O95343	Q92570
O60925	Q16891
P02751	P16144
P01568	P16471
O95343	Q9HD42
Q9HAV0	Q9NQ66
P57678	Q9Y6X2
O43639	Q15427
P35250	Q9HCU8
Q9NPF5	Q9NV56
P62945	P63173
O43491	P31946
P51813	Q96T51
P35590	Q06124
Q16665	Q9BZW7
Q12988	Q5T3J3
P0C5Y9	Q969S8
P19883	P41743
Q96BY7	Q9Y484
P30480	Q8WUM4
P25786	Q8N5Z5
Q13451	Q15831
Q13619	Q92574
Q6ZU52	Q8IYF3
P42858	P54750
P19235	Q8IZI9
P02549	P48023
P15172	Q92793
P40306	Q04206
O43676	O95168
P01106	Q6STE5
P01242	P15509
O00716	Q12834
Q96ST3	Q99459
O14519	P42772
P46094	P52333
O15143	Q9Y6W5
P16104	Q16778
O43623	P27361
P49902	Q86TA1
P29992	P46663
P22736	Q8TAE8
O00744	O75581
P01106	Q9HBF4
P01111	Q15283
P42677	Q9UHY7
P36897	Q9Y5K5
P05106	P53420
O60711	Q9NV31
P20618	P40337
O15131	Q9GZT8
O00231	Q5UIP0
P39687	P54253
P19438	Q07021
Q969S8	Q99879
O15551	P56750
P31994	Q9UKR5
P09651	Q8IWZ8
P12931	P47712
Q86X95	Q9Y618
O75363	Q96QB1
P68104	Q9UGL9
O95475	Q08117
P14784	P60568
Q96PU8	Q9NVV9
P04899	P10145
Q92769	Q9UBB5
Q15013	Q562F6
P02776	P32246
O75038	Q13554
P35221	Q9UDY2
P46937	Q9Y297
P11021	Q13233
P01133	P08138
Q9H1J7	Q9H461
Q9BXL7	Q9Y6K9
Q13153	Q15257
P00519	P35568
Q12931	Q15399
P04080	Q96BK5
Q8WXI9	Q9H3N8
P68363	P68371
P00533	P01127
O60674	P01242
P15391	P27986
Q14181	Q9H8T0
Q13489	Q99558
Q9NRR5	Q9UMX0
P01106	Q16540
O00305	Q9UQM7
O14717	Q9NVI1
P38405	Q8NH04
Q15750	Q7L266
O14745	Q05397
P11234	P45984
P05386	P27635
P38398	Q9UBD5
P62330	Q9H2M9
P35968	P42336
Q4G148	Q9Y4K3
Q9NRR5	Q9UHQ9
O15264	P84095
406908	P49715
P63000	Q01201
P10451	Q9NUQ8
P47897	Q16637
P61952	Q13972
P20226	Q9Y388
Q16778	Q96DB2
P62879	Q13936
P46108	Q15036
Q01831	Q13111
P32121	Q8N146
P23470	P41240
P14678	Q14204
P35372	P62873
P48023	Q15642
P62258	Q96GE4
P49810	Q9UM47
P11021	Q04864
Q93009	Q9P2G9
O95376	Q9P2H0
P36543	P61978
P01106	P13804
Q14498	Q15428
P54259	Q6ZVL6
