#node1	node2
P22626	Q13242
P28482	Q13541
P01241	P19235
P28070	P60900
P05556	P17612
O15144	Q9BPX5
P04637	P68104
Q96Q05	Q9Y6K9
P46527	Q14188
P08069	P28482
Q13228	Q13595
P04637	Q96EB6
P42226	Q8N2W9
Q6UWE0	Q8IX04
O75474	P49841
Q14686	Q8NEZ4
P61313	P61927
Q13794	Q14653
Q8TDY2	Q9BXW4
Q8WYH8	Q9BPY3
Q01130	Q08170
O14561	Q86Y39
P03372	P22466
Q8TAP4	Q9NS73
P01241	P61326
O14641	P05771
O43524	P04637
Q14677	Q9H492
Q02040	Q9Y2I6
O00459	P15391
P36542	Q9UKV8
P23508	Q96PZ0
Q13158	Q14790
P01100	Q92905
Q12904	Q14164
O60925	Q96DF8
P04406	Q15102
P43628	Q06124
O95931	Q06587
P10415	P55211
Q14653	Q92887
P16298	Q96LZ3
P16157	Q13009
O00217	P03886
O75494	P62993
P84243	Q96KQ7
P61587	Q13009
Q13489	Q99558
P35575	P41235
P35222	Q9Y297
Q13555	Q15796
Q04771	Q13705
O15264	Q9Y6W6
P63104	Q92598
P20339	Q92738
O94874	Q9Y2Q3
O75159	Q9UHF4
Q13322	Q8IZP0
Q04206	Q15029
O95166	P41145
O43791	Q9Y4K3
P14866	Q14232
P00738	P02647
O14939	Q00535
P17676	Q15744
P30504	Q9Y262
Q9BWF2	Q9NQC7
P02647	P02768
P61254	Q02543
P06213	Q9Y264
P52735	P62993
P10301	Q86YV0
Q9NYB9	Q9UKF5
O95433	Q9UET6
P30480	P41091
P68366	Q15797
O75716	P41235
P16220	P30968
P45985	Q9Y4K3
P35658	Q8NFH5
O00329	Q9UM73
P01106	Q15181
P26368	Q13247
O60563	P51825
O75581	Q9NPG1
O14686	Q9P0U4
Q13315	Q9BSD3
P52756	P67809
O14920	P07900
Q15428	Q99459
P30480	Q12931
P08729	P13647
P12318	Q8N6C8
Q16566	Q9NZT1
P38936	Q7L590
P22105	P56199
O43236	P98170
P50502	Q96BK5
Q15843	Q9Y5V3
P17544	Q16514
P78352	Q13224
Q06587	Q14781
Q04771	Q6P3X3
Q9UKE5	Q9Y266
P51817	Q8IZS8
P26951	Q8IZI9
P11171	P37802
Q9NPD8	Q9Y675
Q12933	Q9BQA5
Q9NR45	Q9UKE5
P01100	P05129
P05387	P61353
O60832	Q9Y265
O95600	P56545
P07384	Q15078
P00403	Q14197
O15117	Q14008
P19174	Q14108
P15260	P41182
P05113	P40238
P06400	Q9NY61
P12107	P16144
P23508	P61081
Q02156	Q8NER1
P67775	Q9BX67
P47992	P51686
P45452	Q15596
Q96C03	Q9UI14
Q05639	Q99759
P23229	Q13683
P42336	P62879
406916	P35226
O60762	P01106
O43187	P49768
P32121	Q5JRS4
P53621	Q9UL18
P06241	Q9Y210
P30480	P63173
O60493	P06241
Q05397	Q16363
P02545	P25067
P32298	P41597
P63104	Q15287
O14543	P24394
Q99816	Q9Y5K6
Q9H1C4	Q9UBV2
P43146	P46777
P67812	Q8N357
407046	Q01453
O43293	O75385
P49023	Q13153
P41222	Q04206
P67870	Q9UM47
A4D1E9	Q14197
Q08881	Q8WYR1
P17252	Q96B18
P19838	Q96AZ6
Q13557	Q8NER1
P35626	Q8NGA6
O00571	Q14790
P05023	Q9UEF7
P62993	Q9H5I1
P05129	P40145
P13805	P42356
O75044	Q96L33
P98170	Q96FJ2
Q13573	Q9NR12
P01236	P17181
P04637	P08581
P26951	Q9NYY1
Q15303	Q92796
Q8NFH3	Q8TCT6
P05997	P18084
P35354	P47712
Q06609	Q96RT8
P02751	P16070
Q96T88	Q9UJX2
P04264	P25054
Q9P0U4	Q9UPS6
O15131	P36957
O95294	P01116
Q13573	Q99816
Q12789	Q9Y5Q8
O95163	P49841
P0CG47	Q9UNE7
Q13315	Q9UMQ3
P40933	P42701
P50591	P98177
P17931	Q8WUM4
Q8IV36	Q99708
P68104	Q16594
P04637	P62877
O95208	P21802
Q92918	Q9BXL7
O75569	Q9UPY3
Q9NPF5	Q9Y265
O00232	O00233
Q5JWF2	Q9P2W3
P56704	Q14696
P47736	Q6ZN04
P54105	P62310
P01566	Q9HBE5
P05014	P78552
O15400	Q9P253
Q9BRT9	Q9Y248
P57087	Q05655
Q01668	Q16537
P62888	Q00005
P05129	P59768
P11142	P18206
P09012	Q15287
Q13485	Q93008
P61964	Q7Z434
P16152	P23508
P16471	P40933
P05386	P62714
Q07889	Q3MIN7
P16144	P21815
P25101	Q14344
P05129	P15311
Q13535	Q9NXV6
P17252	P19883
P25787	P28066
Q16514	Q92830
P11021	Q13535
P09913	Q9ULK4
P60891	Q14558
P42574	Q07820
P04632	P20810
P01106	Q92552
P30153	P37173
Q09472	Q9UQM7
P56880	Q96AP7
P32927	Q92569
Q8NEY8	Q92599
P12273	Q13315
P14174	Q7L5N1
P84103	Q8IWZ8
Q16637	Q9NWA0
P10828	P28482
Q16659	Q71U36
Q05655	Q8TAA9
Q13247	Q96SB4
P01574	P40189
P98177	Q96BR1
P01589	P14784
P21333	P68032
O15550	Q8NEZ4
O00182	P13612
P61289	Q16401
P31749	Q14643
Q15369	Q96BK5
P01571	Q00653
P04275	P26006
P25101	P43250
P35555	Q15582
P51686	Q9Y4X3
P05106	P78509
O60684	P13010
P07199	P49450
O00418	P13639
P35626	Q8NH43
O15085	P19174
P42224	P48551
Q13547	Q9HCU9
P40763	Q9HBE4
P13631	Q9UKP3
P00533	Q2TAY7
P00533	P05019
O43318	P38646
P08670	Q00005
P18146	Q8N6M6
P31268	Q03164
P48436	Q93074
P25205	Q9Y4K3
P61586	Q9NNX6
P01871	P40259
O14602	P60228
P52746	Q16539
Q09028	Q12873
O00141	O14920
Q14201	Q5JQF8
O75365	P51571
O15534	Q13616
O96006	Q86YR5
O43187	P49810
P84243	Q9UNL4
A6NJZ3	P35626
Q05513	Q08209
O43464	Q9NR09
P62316	Q06124
P38936	P61289
Q13643	Q15654
P49407	Q14749
O15235	Q5UIP0
Q9NX65	Q9P0L1
P08648	P21926
O14713	P98164
P38398	Q92925
O00459	O00463
P25789	Q9Y244
Q15172	Q9NY47
P35232	Q01094
Q9BST9	Q9BZR6
P30154	Q8IZS8
P30559	Q9UF02
P43307	Q9BVJ6
P08514	P24043
