#node1	node2
P09917	Q8WUH2
P05388	P37235
P51685	P55774
O14544	Q14626
P08729	P13647
Q13261	Q8WXH5
Q16363	Q7L1I2
P56559	P61421
Q12933	Q8IYF1
P30154	Q13362
P36543	Q14696
O95714	Q9NRI5
P10415	Q14643
P12931	Q12929
P30260	Q96LZ3
Q16778	Q6UXN9
Q15366	Q8IX12
Q14008	Q9H2G2
P08648	P46109
P03372	P20226
P54259	Q9BQ66
P20807	Q7Z6G3
Q9UBU8	Q9Y230
P05362	P40763
P10275	Q96ST3
Q15052	Q6UXF1
P56746	P56750
P31689	Q15628
P01023	Q16637
O00141	O75828
P05388	P08238
P06239	P40259
O43255	Q9HB71
P62826	Q9P2H0
O60563	Q15545
P07910	Q9NR30
P38936	Q9H4W6
P23945	P36575
P05067	P36544
O95467	P47871
Q09472	Q9UQM7
P0C1H6	Q8IUE6
Q04323	Q9HCE7
O14976	O15169
P19525	Q9Y285
P22612	Q08828
P01106	Q14055
O75528	Q9NS73
Q92956	Q9H936
P56545	Q9H171
P01019	P62993
P42229	Q15303
P04049	Q9H4B4
P31930	Q9Y230
O00217	Q9NX14
O75381	P14317
P14735	Q9BYX4
P01889	Q13347
407009	Q96CW1
O96013	Q9H1R3
