#node1	node2
P52735	Q13503
O43143	O75554
P11926	P84022
P18146	Q99996
P26038	P63261
P04637	P67775
P32238	P50148
Q92769	Q9UQ80
P07384	Q6UXS9
O43261	P68371
P04183	P13196
Q8TEX9	Q9Y5J5
Q13651	Q9HBE4
O75052	P29475
P01889	P28072
P12109	P26006
P0DJD1	P61956
Q08334	Q9GZX6
O00750	P16333
O75928	Q05516
O00257	Q13426
P07197	P53778
P63027	Q9P0L0
P41235	Q13485
Q13748	Q9UGJ1
P38405	Q96RC9
Q12996	Q9P2I0
O15354	O60260
P19105	Q9Y4K3
P28482	Q12913
P60709	Q9Y281
P29350	Q13651
P35548	Q9Y5V3
P17676	Q15306
P12644	Q15475
Q13277	Q15836
Q8IXI1	Q8IZD9
Q12772	Q92793
P04150	P10145
Q8WXW3	Q9Y2U5
P48169	Q9H0R8
O14976	P11142
P29353	Q8NEM2
P18146	Q9UII4
P42771	P53355
