#node1	node2
P05106	Q16363
Q13438	Q96KM6
Q01094	Q14526
P52429	Q01105
O15105	O43318
P23511	Q15633
P01589	P15976
P17535	Q13485
P28482	P67775
P30480	Q9H0U4
Q12983	Q92843
P63027	Q13277
P62266	P62857
O43237	P07437
O94955	P51151
P60709	Q92973
P51685	P55773
Q96FA3	Q9Y4K3
P56537	Q9HAV7
P14778	Q12933
Q99836	Q9Y2C9
O15479	P49207
Q99835	Q9NRP7
P09496	P53680
P36873	Q07817
O96006	P02766
O75578	P35609
P05089	P42226
574455	P03372
P29992	P30968
P60953	Q8IW93
P61952	Q9UKY1
P13807	Q9UQK1
Q13177	Q15052
P01100	P10145
P07737	P63261
Q9BXM7	Q9GZQ8
O00716	P12004
P02452	P26010
O14490	O95433
P03372	P20290
P29350	Q8N109
P62837	P98170
P42330	Q9UKV3
O00574	P10145
P05109	P38936
P41597	P51671
P27487	P51671
Q13573	Q96AE4
Q13571	Q96PU5
Q7Z5K2	Q9NTI5
O14640	O43900
P21912	Q14164
P15498	Q15464
O60674	P17787
O00329	P40763
O95997	P25054
P36406	Q9H4K1
P48552	Q86X55
P22607	Q9GZP0
P62750	Q9NRG4
Q09013	Q6P1J6
P56524	Q16778
O00308	Q8TBH0
P35228	Q9NZT1
P62987	Q16236
P32927	Q16619
Q9NWA0	Q9ULK4
O14757	O95997
P51149	Q9H1Y0
Q16548	Q96LC9
Q07889	Q9UKS6
Q13200	Q16186
P61978	Q15717
Q5JVF3	Q9HAW0
P08069	Q06124
P35606	Q9Y478
P01116	P27361
O14782	Q99459
P01889	Q3V6T2
Q99879	Q9C005
O94856	P55157
Q15560	Q96BT3
P63000	Q01201
P51679	P63096
O00165	Q99759
P01243	P17980
O43680	P61968
Q0VG06	Q9HB96
P49716	Q9Y2D1
P16520	Q00722
O95639	Q05048
O15264	P15407
O14733	O75914
P17612	Q68CJ9
Q96CW5	Q99459
P49815	Q13131
Q13145	Q13467
O15105	P15172
Q9HAT8	Q9NWZ3
P04899	P08631
P28482	Q9BX93
P01562	P17181
O15144	Q8WUW1
Q9HCK5	Q9UJS0
Q13573	Q7L5N1
P01589	Q8IU54
P22681	Q9NR46
P35626	Q8NGN2
A0JLT2	P36954
P04141	P19235
P10398	P36507
P30304	P31947
P01112	Q96RT1
Q00597	Q9HB96
Q8WYJ6	Q9H0E2
P05423	Q15759
P38936	P47897
P41743	P48736
P20073	Q96FW1
26765	P04637
Q15843	Q92616
P04637	Q9NPP4
O14832	Q02790
P40933	Q14626
O75084	Q9Y6F9
P57058	P67775
O95471	P56880
P04075	Q12857
P25208	P56524
O60739	Q9UET6
P35222	Q13191
P11802	Q99828
O00463	Q92569
P16104	P23528
P01889	P24534
O75489	Q16795
P16234	Q9GZP0
P63208	Q8NFZ0
P26012	Q8IZC6
P62891	Q92901
O14543	O14654
P78537	Q6QNY0
P49841	Q75N90
P84022	Q9Y297
P21673	Q8N8V2
P20809	Q08334
P48426	Q13464
P17252	Q16875
Q9UKK9	Q9Y4K3
P07602	P13569
P46100	Q92793
O14908	Q13641
O00255	P51610
O60285	Q14558
P29374	Q92769
P45984	P84022
O00182	P16070
Q8N1C3	Q9NQX3
P03372	Q13105
Q02535	Q9NQB0
P01243	P08134
P23229	P25391
P01106	Q9UI12
347745	P36542
P63104	Q96HR9
Q99549	Q9P0V3
O95619	Q9UBU8
P10828	P48552
P22681	Q8IU57
Q05513	Q13009
P12956	P22415
O43309	P63165
O60262	Q99677
P62917	Q11203
Q13733	Q8WYR1
P09919	Q14626
P16520	Q13153
P27815	P51817
P41227	Q9H8T0
P24844	P63267
O95619	Q96L91
P41743	Q15334
Q8IU81	Q8WYK2
P61587	Q8N1I0
Q14626	Q9NPH9
Q14999	Q92990
Q9NX70	Q9UHI6
O96019	Q96GM5
O00499	Q99963
Q9BRT8	Q9P003
P54132	Q13315
