#node1	node2
P40938	Q13315
Q13573	Q92608
P00533	P62258
Q13885	Q71U36
P62258	Q05086
P30153	P52630
Q14332	Q9H1J7
P01111	Q12967
Q13535	Q6P1J9
Q14185	Q9H4E5
Q96GF1	Q96LR5
P62258	Q9HCI7
Q03164	Q15291
P35244	Q9Y605
A0JLT2	Q9NR30
P04049	P67870
P18124	P62993
Q04695	Q15149
Q07157	Q9UKL4
P01889	Q16740
P06400	Q9BY41
Q7L5Y6	Q8NHY2
O75486	Q9Y4A5
O00411	Q9H5Q4
Q9H8T0	Q9UPT5
P20333	P78527
Q08999	Q14457
Q6UXN9	Q9P2I0
P08238	Q08752
Q99835	Q9ULC3
P61981	Q05519
Q15424	Q9GZQ8
O95628	Q9Y2X8
Q9NRI5	Q9Y316
P24941	P62136
Q13573	Q14966
P31150	Q969Q5
P01589	Q969D9
P50991	Q9H7D0
P31947	P40818
A5PKW4	Q96S21
P06681	P0C0L4
P05388	P61513
O96017	P62140
P12004	Q10586
P55795	Q8WWY3
P12757	P15104
P12931	P31946
64397	Q9H4A3
Q9H013	Q9NYB9
P25024	P78556
O75937	Q92620
Q9UBY5	Q9UK08
P29590	Q13155
O75569	P63279
A8K6C2	P40238
O94941	Q13404
P08134	P42331
P04899	Q92806
Q14164	Q3ZAQ7
P35626	Q9UKL2
Q9UIK4	Q9ULC4
Q06587	Q9BQ52
O43318	Q9Y4D1
P18433	P62993
P23528	P60709
P17676	Q10586
O60671	P06746
P13569	Q05086
P40763	P42229
P27986	Q9Y2W2
P21580	Q14164
P31943	Q86V81
P18146	Q9BZJ6
P02768	P62495
P08069	Q6PIS1
P05129	Q96HC4
O15537	Q6SZW1
Q15797	Q96RN5
O00212	Q9HAU4
P01106	Q9H9Y6
P22301	P38484
P48551	Q8IZJ0
O95999	Q9Y4K3
P24522	P38936
P19532	P60900
P10644	P61081
P63000	Q13233
P05120	P08311
P43405	Q99836
O14933	Q6UVK1
Q8N2W9	Q9H213
A8TX70	P56199
P62993	Q96I24
P05013	Q9UHF4
P18564	P25940
P41182	Q96PZ7
Q8IY92	Q9NXF1
Q12824	Q68CP9
P20809	P40189
P01106	Q00722
O75116	P62136
O00744	Q96HF1
P46020	Q9UQK1
O43707	Q05397
Q13698	Q9Y691
O95400	P26368
P27037	Q9UER7
P52756	Q08211
Q13136	Q8ND30
P26368	Q15365
P06400	Q01094
P61020	Q13671
O43295	P63000
P17931	Q9UMX1
O95405	Q9NRC1
P04141	P10912
P62979	Q99741
Q13315	Q6GYQ0
Q13087	Q9H2G2
P27037	Q04771
P62136	Q9NP77
P17275	P18847
Q92569	Q99490
O75461	Q96B26
406901	Q9H0U4
100008587	Q9Y2S0
P63104	Q00536
P63279	Q7Z419
O15111	P19438
406906	Q9UPW0
Q02045	Q13464
P07355	P35232
O60828	P54253
Q07890	Q8NHR9
P51686	Q8WTQ7
O60674	Q9HBE5
406960	Q13469
P22362	P32246
Q99459	Q9UL03
O75529	Q16531
P62942	Q02790
O94805	P38398
P16220	Q8N5C7
O96013	P18084
P23508	P43897
P01889	Q9NR80
P0DJD1	P63165
P52565	Q08211
P35626	Q9GZK7
P56750	P56880
P54259	Q96PV6
P63104	Q07889
P12956	P27695
P01563	Q92793
Q04759	Q9BX67
O14965	Q15435
Q8TAX0	Q9UET6
O00487	P48556
P35222	Q12913
P38405	Q9NZP0
P63104	Q6P597
P10275	Q13794
O60637	Q01844
