#node1	node2
P09237	Q9HCS4
Q13315	Q92804
O14775	P45984
Q13332	Q99689
P01566	P15260
P52198	Q9P227
P11142	Q15628
P42574	Q9UKB1
P05129	P16144
O60262	P63096
P10275	Q12770
O95696	P33991
P12268	Q14232
O43293	Q02045
P10721	Q9H201
P01106	Q96HA1
P19174	Q9NZM4
O14931	P20963
Q13573	Q92616
P32969	P40429
P06737	Q16816
O95352	Q9H0R8
P28715	Q13501
O15198	Q01082
P04085	P09619
Q5SRE5	Q8N1F7
Q8TCU6	Q9HAV0
Q13733	Q9UEF7
P61421	Q15475
Q13748	Q9UGJ1
Q99558	Q9UNE7
P84095	Q96QB1
P12644	Q15475
Q03060	Q5TD97
P49238	P78423
P63165	Q9Y4K3
P17252	P60709
P12931	Q9NQS3
Q5VVX9	Q96BH1
Q16637	Q92882
P00568	Q8NEZ4
Q01449	Q9H1R3
P49790	Q8NFH5
P43405	Q8WYR1
P40692	Q01094
P40145	Q13555
P31946	P48729
P62070	Q8WWW0
P12980	Q6UXH1
Q96LZ3	Q9NZT1
P16471	P29597
O95373	Q8IY92
O15111	P06753
P63000	Q6UXH1
P09874	P13010
P12814	Q9NP98
P23297	Q9GZT8
O95793	P61313
P62993	Q07666
O75365	P54709
P24723	Q9H492
P27986	P55157
P62136	Q12879
P01375	P26651
Q562R1	Q8NHR9
P41182	Q9Y618
P04406	Q15102
P22415	Q15545
P01106	Q8TCU6
P25054	Q96GD4
O75937	P26599
P15336	Q09472
P07332	P20936
P04637	Q9HCN2
Q5VVX9	Q9UBS8
P09543	P48039
O75376	P24468
O60684	P04040
A8TX70	P31431
406959	Q12778
P52564	P62834
O76093	P35968
P01889	P30086
Q99798	Q9H1Y0
P26373	Q13418
P53350	Q7Z3J3
O60216	P53350
P51787	P55011
P01111	P19174
P15153	Q96BY6
Q6ZSG1	Q969T4
P03891	P51970
O75116	O75716
P01303	P11229
P38398	Q9BX63
Q59EK9	Q5VTD9
P15056	P28482
P20929	Q969Q1
P14416	Q9UK08
Q9P2S5	Q9UQE7
Q9UKN8	Q9Y5Q9
Q08188	Q8IY92
Q15303	Q9H201
P50914	P62750
P62736	P63104
O00144	P35222
Q5QNW6	Q96DB2
O60437	Q9UMD9
O95257	P38936
P32246	P55773
P04637	P26583
P10720	P46094
O14543	O14654
O15403	P01106
P19838	P63151
P37231	Q9NQR1
Q9BT78	Q9Y4E8
P17252	Q3MJ16
P16220	Q5FWF4
P52735	Q13503
P04637	Q14695
Q14CW9	Q96T21
P20248	Q14209
P19838	P51817
Q09428	Q13936
P63173	Q9Y3U8
Q9UK41	Q9Y5K6
P38405	Q8NGX1
P49810	Q04721
P51812	Q15121
P68431	Q09028
P32969	P62424
Q96SZ6	Q9NQT4
O96020	Q9BS18
P00519	Q08209
P54619	Q9UGJ0
O14965	Q14511
P14316	Q7Z5L9
P13693	Q14164
P08670	Q6ZU52
Q9NS73	Q9Y2J2
Q16778	Q8WUI4
O00422	Q9HCU9
O14640	P19784
O14512	P29597
Q92905	Q99828
O75791	Q13480
P06454	P18754
P01148	Q9UQM7
P32121	Q8IXE1
P35372	P63211
P17301	Q8WYR1
P28482	Q8TEY5
P30307	P68400
P22455	P46109
P29965	Q13469
P01876	P24071
O14904	Q9UP38
Q13191	Q969J5
O15162	Q12906
Q00610	Q9H8K7
P05112	P31785
P08670	Q15046
O75478	Q9Y4A5
P08910	Q9H8Y8
P0C1Z6	Q96JC9
P68366	Q9Y5V3
Q14061	Q7L5N1
Q13261	Q8IZI9
P0C1H6	Q99878
P32121	Q8NGZ3
O75808	Q96PM5
P35222	Q7Z6J6
O15111	P30086
P38936	Q01094
P51668	P55055
O95631	P43146
Q14012	Q9NZT1
P61587	Q9H7D0
P22626	Q15365
P29597	Q03405
P61586	Q07960
P52333	Q8NEB9
P26368	Q9UHR5
Q13315	Q8WVD3
P08700	Q9HC73
P17676	P32927
P60953	P63000
P22626	Q13151
Q13554	Q14643
P63104	Q04917
P46781	Q9UL18
O75398	Q16543
P03372	P11142
Q96EZ8	Q9BZI7
Q08379	Q92542
O14640	Q15796
O60266	Q8TD86
Q00653	Q8N163
P49454	Q9Y6A5
O60232	P81605
O60244	Q14203
P46783	P62244
P62987	Q15796
P62877	Q16236
P22681	P26951
P19387	Q9BTT4
O95819	Q13748
