#node1	node2
P16035	P61289
P35222	P35869
Q13077	Q13489
P05129	P30154
P17676	Q06546
P05771	Q00722
P23763	Q13277
P35968	Q9HCE7
Q14197	Q9BYN8
P42336	P42702
Q8NDV3	Q9UQE7
O95865	Q13188
P51817	Q92934
P63261	Q14247
Q86YV6	Q96A32
O00762	Q86Y01
P20273	P43405
Q15036	Q9H2G2
P62328	Q9H5J8
P61077	Q9NS56
O94806	Q4KWH8
Q96DE5	Q9BS18
O43318	P25963
P10275	P61978
P08754	P41597
O95819	P06748
Q5M9N0	Q9UJ70
P17252	P78352
P51617	Q13148
O95049	O95832
P33032	Q96G30
O00459	P01111
O14974	Q12913
P63104	Q9H9J4
P62906	Q13233
P25205	P55201
P17480	Q15906
P62891	P83881
Q14197	Q9NPE2
P05161	P14316
P15153	P19838
Q15424	Q96SB4
Q13485	Q9Y6X2
P53355	Q15418
Q05655	Q96B18
P19174	P54252
P27482	P36873
Q9NYG5	Q9NZH5
Q96GD4	Q99459
P61077	Q9UPP5
O95644	P22694
P23258	Q06609
P61981	Q9Y383
B1A4H9	Q13651
51776	Q8N184
O15315	P68431
Q92997	Q96MT3
P10606	P11171
P51617	Q9NWZ3
Q13469	Q9Y277
O43765	Q9UQK1
Q86XI6	Q9NZT1
P50991	P53041
Q9BU76	Q9H190
Q16637	Q9BRK5
P01100	P17544
P08631	P19338
Q13315	Q9Y4P3
O15519	Q13158
Q13315	Q9ULR0
O00217	O43674
P08581	Q06124
Q5TH69	Q9NZJ0
O95067	Q9UM11
P46379	P48304
P30307	P31947
P07900	P10809
O77932	Q14254
Q13315	Q9HBX8
P14618	P63104
P0CG48	P21580
O95777	P52209
P15018	P38484
Q5VVJ2	Q92831
P01857	Q9H974
P24043	Q9UKX5
O43294	Q9H422
Q13287	Q14765
P19387	Q6P1J9
P20020	Q13976
P01236	P14653
P21673	P49903
Q92733	Q96GM8
Q13415	Q14566
P30153	P46937
P05106	Q63HR2
O95751	Q05516
P22612	Q08828
P42772	Q00534
P27540	P35269
O76064	Q9BXI2
P05013	Q9UHF4
P46092	Q16663
P08514	Q86UX7
P05060	Q99700
P38484	Q9P0W0
P49736	Q8IXK0
P61289	P84101
P04628	Q9H237
Q14160	Q99459
P31948	P53041
P09496	Q9H492
O75197	P56705
P48634	Q9UHI6
P36507	P41279
O75056	Q13885
O75478	O75529
P23284	P30480
P22681	Q9GZY6
O75935	Q99624
P14316	P61769
P04637	Q15648
Q5VT06	Q9HAU0
P04275	P40197
P16104	Q9H7Z7
