#node1	node2
P51610	Q9NS73
P0C869	P29992
P45983	P46109
P84022	Q14192
P05783	Q8IWZ6
P20226	P29375
O00144	P09471
O60934	Q92878
Q66LE6	Q9Y570
O15551	O75970
P15311	P35240
P10644	P35520
P12081	P24534
P25398	P62266
O15479	P61247
P02462	Q05397
P19784	P68400
P15498	P61586
A6NM45	Q96B33
Q15287	Q8NAV1
P50552	P63261
O95425	P20929
P04183	Q15572
O60840	Q9UQM7
P51531	Q8NFD5
O00626	P46094
Q15366	Q7Z434
Q13233	Q9UM73
P04637	Q16594
P52565	P60953
P78527	Q9BSB4
P13569	Q9NYL9
P25025	P42830
B1A4H9	Q14627
P53618	Q16539
P31152	Q9UQC2
O43707	P18564
P04085	P35968
P62081	P62277
P04350	Q969W0
P26441	P31785
P09326	P29692
O00257	Q14781
P12814	Q5TCQ9
P43630	Q06124
P36873	Q13315
Q5VT06	Q9HAU0
O43312	P23468
P10912	Q9UBD9
O75159	P42701
Q9ULA0	Q9UM07
Q13547	Q92769
Q06830	Q14653
P09619	Q9UJM3
P62158	Q08828
P35609	Q96RT1
P42261	Q13555
P61247	P62244
P38936	Q96FW1
P01566	Q13261
Q9HAP6	Q9UQB8
P20273	Q13094
O43677	P03905
P43364	Q8TDX5
O14512	P40189
P15923	Q96I15
P16070	Q14031
O75400	P50453
Q86Y13	Q9H832
P05387	P46778
P05107	Q9Y490
O43541	Q96J02
O14977	O95190
P62993	Q70EK8
P06400	P24864
Q92838	Q9HAV5
O43586	P05408
P01106	P24941
Q8NFD5	Q92925
P45983	Q16621
Q15047	Q99549
P61964	Q9ULM3
O95837	P25100
O60503	P63092
O00168	P05023
P35626	Q14416
P63000	Q9P107
Q92733	Q9Y333
Q7L5N1	Q92561
P63096	Q92633
O43261	Q9NUQ8
P55854	Q13129
P47756	Q00005
P25787	Q9H8Y8
P30304	Q96PV7
P14866	Q13151
P16220	P43354
P08708	P25398
A6NIT4	P32927
P18031	P63165
P60953	Q9NQU5
P19174	Q9UNH6
Q8IVF5	Q9HBH0
P18084	Q13797
Q13432	Q8TDN6
P02768	Q9Y383
P12931	Q02156
P11215	P15498
P06241	P10721
O14931	P30273
P02792	P21246
P48740	P49841
P62745	Q8N1I0
O15116	Q9HAU5
P21673	Q96I25
407035	P63151
Q92624	Q9H1J7
P02686	Q7Z2E3
O95477	P02647
P19838	P51817
Q99728	Q9Y2X7
O60729	Q9UM73
P00519	Q9UKY7
O60814	Q96QV6
P09603	P09619
P50150	Q9HBW0
O14625	P51681
Q13554	Q14315
Q12929	Q9UL45
P49407	Q14978
P31947	Q9H1Y0
Q13315	Q13535
O15066	P61968
P30050	P32969
O14508	Q13651
P06748	P30480
