#node1	node2
P11182	Q9H9G7
P34810	Q15306
Q13813	Q99459
P05107	Q9UBP9
Q14257	Q9Y4K3
P48436	P57073
P31995	Q15759
P01241	Q96FW1
Q03113	Q9NZN5
Q13976	Q9Y691
P26951	P40933
Q05048	Q9H0E2
Q8IXI1	Q9P2F6
P06493	P68400
P62993	Q9UIF9
P01889	Q9Y277
Q16659	Q96EX3
O15455	P08571
Q15014	Q6NV75
O94817	Q14152
O00755	Q6FHJ7
O95405	Q15038
P51991	Q12986
P54819	Q14164
Q14653	Q9H171
P45983	Q00613
P26368	Q7Z7J5
A6BM72	P16220
P22033	Q14197
Q9HBW1	Q9UKV8
P12931	Q07889
Q99759	Q9NWS0
P29353	P42680
Q13555	Q99941
406887	P01111
Q15139	Q16236
Q13158	Q9NPH3
Q16637	Q6IE81
P24385	Q00534
P26715	P30450
P11021	Q9UBS4
Q15831	Q9H6T3
P12643	Q14689
O75143	Q6PHR2
O14544	Q5VWK5
P08700	Q8IU57
Q09161	Q9UKV8
P08754	P50151
P00519	Q9HCQ7
O43147	Q12905
P17948	Q92915
P26367	P63167
O15151	P48729
P00738	P02649
P30279	P38936
407021	P02462
P36941	Q9NR28
P05814	P62993
O95402	P0CAP2
Q9NYG5	Q9UNH5
Q13309	Q9H211
P10515	Q15118
P30101	Q86YB8
Q9GZQ8	Q9NYL9
P40145	Q13557
P04899	Q02818
Q99459	Q9HBI1
P15514	P29034
P38405	Q8NGP0
P63151	Q13936
P04156	Q9NPF8
P01375	Q07890
P14635	P53350
P51828	Q13554
O14641	Q9HCE7
P24385	Q9Y3I1
O00459	P08138
P13861	Q13485
O95747	P36897
P26441	Q8IU57
P06241	Q02846
P62750	P62993
P54646	Q8WY54
P60891	P62258
P24385	Q14188
P06401	P27986
Q9UIS9	Q9Y6X2
P16422	Q6GTX8
O95630	Q9NZZ3
P06396	P16871
Q8IY92	Q9P2E9
O14641	Q93062
Q16891	Q96CW5
O95168	O95182
P60520	Q8WXU2
O15264	P22694
Q12778	Q16539
O00221	Q9BZF9
Q15714	Q9NYY8
P14784	P26441
P27037	P58166
P58753	Q9Y3B3
Q15648	Q92830
P49336	Q9ULK4
Q5TAQ9	Q99750
P40763	Q99459
O75554	P61978
P84103	Q01081
P03372	P55345
