#node1	node2
P51571	Q9HC24
P52272	P55795
Q15008	Q9UL46
P26715	Q06124
P04406	Q96EB6
Q13485	Q13501
P62745	Q5T5U3
O75832	P17980
P19320	Q15080
P49716	Q14766
P04156	P06241
O95747	Q13573
P56524	Q14526
O60603	P00533
P06400	Q9BY41
P17028	Q5T3J3
P58546	Q9Y4K3
O14827	Q9P2W3
Q86SE5	Q9NVV9
O95298	Q9UI09
P08047	P25490
P0CG48	Q9HAU4
Q13315	Q5TZA2
P30480	Q01105
O00329	Q07889
P12931	Q14118
P19793	Q14994
P18206	Q01081
Q9H1I8	Q9Y3C5
Q96Q15	Q9Y4R8
P48551	Q13191
P35580	Q01449
O94805	Q13315
P05787	Q07157
P42766	P61254
O15111	Q14790
P50990	Q04206
P06241	P16284
P62979	Q15038
P10070	Q13625
P56537	Q9UQ80
Q15102	Q9Y4G2
Q14686	Q99062
Q12962	Q16594
P22607	Q9HAU4
P04179	P61247
A8K6C2	Q9HBE5
P12956	Q96HA7
P17948	P21781
Q12933	Q15398
P63104	Q16827
Q96FK6	Q9H1D9
P09681	P27487
P16220	Q6SA08
Q13813	Q9HAU0
P19174	Q8WX92
P34931	Q8TDR0
P22612	Q14643
P18827	P35442
Q5VVX9	Q9Y3C5
Q92585	Q92831
P06241	Q13905
P17948	Q9Y371
P58107	P63010
P15153	Q9NYB9
O94761	Q8IWV8
P12236	P63244
P32248	Q8WTQ7
Q15714	Q9Y241
P41594	P48454
O95816	Q8N163
O43318	Q9UL54
O60341	P60709
Q13315	Q7L590
O94967	Q15560
P01568	Q6UXL0
O15245	P08047
Q13315	Q9Y6J0
O95793	Q06787
P13569	Q9UQ84
O60674	P42226
P16471	Q9HBE4
Q14164	Q9Y3U8
Q66LE6	Q9Y698
P61978	Q99697
Q99469	Q9NZQ3
O15360	Q13535
P34932	Q6P1J9
A8TX70	Q9UKX5
O00255	Q13315
P09919	P23458
P05091	Q96ID5
P04049	P17252
O60383	P04183
P26715	P30511
P51665	Q99460
O60258	P21802
Q13145	Q13467
P22612	P62879
P0CG47	P52735
P62993	Q13322
P08571	Q9NR97
O95298	P03901
P23508	Q00610
P63261	Q04206
Q01449	Q86YV6
P63215	Q14831
Q15714	Q9HB58
P29274	P63092
O14933	Q86UD3
P05771	P63215
P63218	Q92569
P00505	Q9UKS6
P17948	Q15389
P00533	P20936
P29597	P48736
Q13123	Q96GM8
P01242	Q01344
Q99459	Q9UMR2
P02458	P26012
O94941	P51668
P30305	Q16539
O94874	P61077
P31785	Q9UHD0
P19174	P20273
P30291	Q58FF6
Q13330	Q13547
P08621	Q8IWX8
O95750	P07333
O43156	Q96Q15
Q12974	Q8NE01
P15336	P17544
P17948	P22681
O43505	Q8N3Y3
P30480	P35080
P04637	Q9H7Z6
P21266	Q9H1Y0
Q13263	Q13522
Q14289	Q14511
Q15427	Q6P2Q9
P56524	Q6FI13
P30968	P63092
Q13315	Q92925
O43251	Q16637
P29353	Q9NPF4
P06400	P55345
P32121	Q8WZ84
P15374	P62987
Q13573	Q9BPX3
Q15005	Q9NR30
P01138	Q99523
Q13370	Q16566
O96017	P30307
P23497	P63279
P68036	Q7Z419
P35626	Q9Y3N9
O14508	P52630
Q8N257	Q9BTM1
Q04771	Q15759
P19784	P67870
P18146	Q13164
P04271	P23297
Q9H4I2	Q9UKY1
P52803	P54764
P49750	Q8TDY2
P06858	P29074
Q13315	Q9P2K6
P22234	P78396
P63104	Q99961
P35268	Q07020
Q13415	Q9UBD5
P01889	Q14697
Q08117	Q9Y6H5
Q7L0Q8	Q9P286
Q02556	Q15648
P05108	P84022
P07948	Q05397
O43566	P05556
Q96KM6	Q9NRR4
Q8TD23	Q9Y4K3
O95376	Q9NRI5
P61981	Q6PKG0
O60566	P51587
P35626	Q8NGE7
Q06265	Q9NPD3
P53672	P53674
O00151	P35609
P42768	Q05209
O60318	Q9UKK9
P04406	P48637
Q13571	Q96GG9
P18077	P35268
P19174	Q07890
P62266	Q00005
Q9HAW0	Q9Y333
P20585	Q8IY92
P21796	P67870
Q9BPX7	Q9NS23
Q969T4	Q9P0P0
P07996	P15692
P16885	P29474
Q86WN2	Q9HC73
Q07889	Q9BRR9
Q09472	Q9UQM7
O15031	P60763
P40939	Q14164
Q12933	Q9NQC7
P18564	Q9Y4G6
