#node1	node2
Q15811	Q8TAQ2
P01116	Q92734
P04637	Q13489
O96020	P11802
P19235	Q9NYY1
O15263	P09237
P78314	Q9BZW8
P12980	P30281
O14513	P16333
Q04771	Q9UII6
O95816	Q9BRX9
P27482	Q9H0B3
O96019	Q52LR7
P27695	P40763
O95059	P01023
Q13362	Q13698
O43791	Q13077
Q15797	Q9HCU5
Q13158	Q9C099
P38936	Q9UJX2
Q96HF1	Q9ULV1
P22694	Q9Y691
P62993	Q92529
P40763	P45984
Q15834	Q9BT78
P12081	Q9UKE5
P46019	Q9UQK1
P07900	P35869
Q99459	Q9UI10
P08637	P12314
P61586	Q14344
P56524	Q9UKV0
P30304	Q13616
Q02363	Q16665
P00519	P68366
O00574	P13501
P51636	Q03135
P38405	P47888
Q07820	Q16611
P63104	Q92616
O60841	Q92832
P06702	Q9P286
P16403	Q96HA7
P28482	Q13733
O60359	P17612
Q06323	Q13352
Q13158	Q92844
P0CG48	Q9UKV8
P25391	Q05397
P62745	Q8IVF5
Q01130	Q86X95
P17948	Q13191
Q13616	Q99618
Q07889	Q13972
P25490	Q53TQ3
P49023	Q13797
P23458	P52333
Q16795	Q9NX14
P01138	P29317
P61981	Q9Y383
P12830	P15151
P08670	P23490
O15287	O15360
P53708	Q16363
P63279	Q99684
Q16531	Q96DI7
O75928	P42229
P15884	Q9UBE8
P98174	Q9UBI6
P62875	P62877
O94941	Q9Y2X8
P35637	Q15287
406980	P54253
Q969F0	Q96D59
P30504	Q15691
P46379	Q6T4P5
P18754	Q13509
P56645	Q99743
P10145	P51686
P39656	Q16659
P20671	Q13111
O75832	Q9BW60
Q9H8E8	Q9ULM3
P06493	Q8WWL7
P38405	Q8NH83
P33778	Q8WUI4
O75436	Q13418
Q9UD71	Q9Y2H0
P18146	Q14894
O60880	Q99704
P13378	P20073
P08621	Q8IWX8
P47897	Q99558
P83731	Q9Y4K3
P61254	Q15843
O96017	P30307
P42771	P45983
O43900	P55157
P18754	Q13107
Q09028	Q9UBN6
P51665	P62333
P10599	P78330
Q14161	Q8N1W1
Q07666	Q9Y580
P31943	Q04864
P14625	P30291
P60953	Q9H7D0
Q9NX02	Q9Y6K9
P51003	Q15366
Q14203	Q8NEV4
P05783	P58107
O43889	Q92624
P33240	Q99728
P04626	P42338
Q13625	Q92843
P53779	Q8WZA2
Q9GZR7	Q9NQ34
P40763	P51617
Q99567	Q9NRG9
P60763	Q8N392
P49238	Q92583
P31025	Q13315
O14610	Q15759
Q96QV1	Q9Y478
Q86VP1	Q9HA65
P05388	P08238
Q93062	Q96LM6
