#node1	node2
P31689	Q15628
Q13625	Q9BYC9
P12980	Q969V6
P48169	Q9H0R8
O60739	Q8TEW0
P21802	Q99963
O14512	O60504
P42338	P46109
P09455	Q16576
Q02487	Q9Y446
P05231	P15260
P27824	Q9HBA0
P04637	Q9NX09
P48736	Q13733
P20226	Q9NVP2
P51531	Q8NFD5
O15360	Q9NPD8
Q13137	Q9H492
P52757	P60763
P35268	P62750
Q8IZP0	Q9ULV8
O95967	P27658
O60762	P01106
P84022	Q8NG27
P19438	P27824
P04150	P07900
P12931	Q03135
P25101	Q14344
P02545	Q9NRM7
Q6NUQ1	Q92878
P26038	P32942
Q6NXE6	Q9P2S5
P05013	P26951
P52735	Q13503
P20226	P52657
P01876	P10909
Q5T160	Q9Y5J5
P32456	Q9BX70
P14415	P17612
Q92905	Q9BXR0
P05423	P62875
O14508	Q14626
Q8N2W9	Q9Y4K3
P15692	Q03014
P53007	Q9Y5V3
O95049	Q07157
P12830	Q13309
P01563	Q13261
O95500	P56746
O94907	P62993
O75528	P45974
O15392	P06493
P0CG47	P62987
P01571	Q04206
P22612	Q08828
P02647	Q8WTV0
406881	P01106
P31751	Q6ZSY5
P63151	Q9UF02
Q13936	Q9UQM7
O60861	Q96F07
P22736	Q14469
O76081	P48039
P56945	Q05209
O43318	Q9H2X6
P46108	P53708
O75379	Q13277
P06731	Q01844
O75127	Q14197
P48454	Q9UJX3
Q13573	Q99460
P51531	Q96GM5
P19174	Q99704
O43741	P46527
P23229	P49746
P01589	Q8IZJ0
P30304	Q6R6M4
P62136	Q14957
P29692	P40337
P01100	P18846
Q16594	Q8NEM7
O15198	Q04771
O75909	P02511
P18146	Q8WXS3
P25054	P33992
P09919	P49715
