#node1	node2
O95071	Q8IY92
P12956	Q13573
P62736	Q07157
P08238	Q04206
P52564	P53779
Q13573	Q8TB72
P19838	Q9UKG9
Q86TM6	Q93009
P50151	P62873
Q8WUA2	Q99717
P11171	P61026
P35268	P36578
O15354	O60260
O15111	Q8TEL6
P19532	P52788
P36873	Q96C90
Q13315	Q9NZT2
Q92793	Q9Y6Q9
O60383	P51693
Q15262	Q9UM73
P09919	P48551
A6NMZ7	P23229
P20309	Q8IZF0
Q9BXW4	Q9H1Y0
P63261	Q96A32
P63279	Q96RL1
P15927	Q01094
P35222	Q92729
P01111	P17252
Q6UB35	Q9P2S5
O95467	P23945
P61077	Q9Y675
P61927	P83881
O95084	Q99653
P52952	Q8N2W9
Q08170	Q13242
P08670	Q15714
P04217	P54108
O60840	P28335
O43521	Q9Y5V3
Q13347	Q14164
P07766	P09382
P27986	P41970
Q8NB90	Q99459
P27986	Q08881
P61587	Q9UNA1
P62310	P62318
O60296	Q9UN88
Q12933	Q13546
P26641	P30519
P22736	Q16548
Q07889	Q9NZN5
P14317	Q12965
O15162	Q6UY14
Q96B96	Q9UGN5
P22612	Q16558
O15131	P09467
P19174	Q14108
P32121	Q6IEY1
Q13838	Q6Y2X3
O15455	Q15311
O14543	Q14627
P50591	Q14653
P63104	Q9H1R3
Q13118	Q8N1F1
P17947	Q9NNX6
P10301	Q12967
P41235	P42357
O00626	P25025
Q53QZ3	Q9HBH0
P62995	Q15287
P30046	P40337
Q15369	Q8N668
P13501	P51686
O60262	P35609
Q9H1A4	Q9UM13
O60603	Q9BXR5
P08648	P11047
P42336	P42702
P62280	Q01201
P03372	P42229
Q8IZH2	Q9UHL4
O14641	P36575
O95067	P24941
Q6Q0C0	Q99759
P24864	Q9UJX5
Q00839	Q13242
Q12933	Q92569
O43318	Q9H2X6
P18564	P46109
Q14344	Q9NZN5
O43583	P0CG48
Q5VTD9	Q92832
406984	Q9UJM3
P25098	P51677
Q13573	Q9BVQ7
P05023	P27986
P01106	Q6NXE6
Q16553	Q969H8
O95999	P45984
P02766	Q6UXH1
Q06432	Q16537
O00329	Q08881
Q03468	Q13216
O60603	P58753
P08238	Q9Y6X8
407053	P28222
O15264	P98177
P06401	Q16539
Q15428	Q7RTV0
P16104	P24534
O60674	P32248
O60493	P46108
P41212	Q99459
P36578	P46776
