#node1	node2
O75586	Q9NX70
P23508	P29692
P05388	P83731
P10114	Q04771
P22301	Q969J5
P41240	Q16827
P08581	P98077
P67812	Q9Y4K3
Q14831	Q9NRD5
P01130	P17948
Q14687	Q5RL73
P10398	Q9Y243
O15121	Q96JH8
Q14188	Q14209
P21453	Q03135
P78552	Q9P0W0
O95256	P05412
P15927	P22674
Q01844	Q8NEH6
P51610	P68400
O75448	Q96HR3
P02768	Q08174
P61077	Q96PU4
P30085	P63104
Q8TEY5	Q9Y243
O95996	P35222
P15498	P68366
O95359	Q9Y6A5
O95685	P62136
P12643	Q12841
P24928	Q08945
P10275	P20815
P56880	Q96B33
Q01085	Q13148
P04141	Q14627
P01286	P27487
P05412	P60568
P15735	Q8TD86
P13010	P52294
P14921	P62380
P24385	Q00534
P10827	Q92769
P54652	Q12933
O95997	P04637
P16104	P61088
Q8N2H9	Q9Y4K3
P33991	Q14566
P33947	Q9UGN5
Q05397	Q14469
P10828	Q15651
P12931	Q14008
P06213	P31946
Q14683	Q15366
P24385	P35222
P36873	Q14957
O14867	Q92547
Q8TD31	Q8TEY7
P32121	Q8NG95
P07910	P62993
Q8IWV7	Q9UHF0
O14933	Q5VTB9
A5PL33	P49841
O75376	P29590
O15534	P56645
P14317	Q01518
O43318	O43734
P63165	Q9UER7
P61960	Q96JB5
Q00059	Q9UKE5
Q96L33	Q9BZ29
P19438	Q07889
P09619	Q15599
O60814	Q9BY41
P51784	Q9UHQ7
P14859	P51692
Q01201	Q14974
Q01780	Q13901
O00505	Q15007
A6NM45	O95471
P62140	P62993
P61978	Q12986
O60244	Q9BWU1
O96019	P0C0S5
Q86YW0	Q9ULU4
P06729	P13987
O15169	P25054
P13807	P18146
P09651	Q09161
Q15287	Q9H307
Q68CP9	Q92925
Q01970	Q9NPB6
P21246	Q9Y3C0
P05771	Q96BA8
O14512	Q9HBE5
O43707	P35221
Q9C026	Q9NV70
P55789	P61201
Q13535	Q8IX01
O00291	O94973
P21980	P84022
P28223	P29992
P01243	P67870
P00734	P01023
P16871	Q16619
P39023	P62424
P01730	P04150
P21580	P51617
P12004	P30279
O60383	O95257
P04632	P36575
406997	P38936
P13236	P51679
O60238	Q8NBE8
P61586	Q8IW93
P58012	P63165
O43390	P38159
Q12986	Q9BZI7
Q15628	Q15750
O60359	Q13362
P27348	Q96CV9
P25942	P29965
O43353	P53778
Q13315	Q14207
P68402	Q9Y478
P48552	P63165
P13667	Q07817
P46531	P84022
Q04721	Q9NZ42
P18564	Q01955
P01106	P24928
P32121	Q9Y2T4
P33778	Q00653
P23229	P63261
P04637	Q96KQ4
P04179	P30480
O60603	P49006
P52333	Q9NSE2
P28482	P58546
O75569	P29353
Q9NX65	Q9P0L1
