#node1	node2
P49862	P49913
P04278	Q9BXW7
P62834	Q9UI14
P10114	P49354
P13747	P43629
O43281	P16333
P30154	Q15172
P46776	P62993
P63279	Q6ZNA4
O43379	Q5T3J3
P32881	Q8N6P7
P43250	P46092
O15524	Q9UM73
O60739	Q15382
P33992	Q00005
554213	P30304
P68371	Q9NXU5
P51148	Q9H1K0
Q15796	Q93034
O60504	Q9BST9
P17612	P54289
O94855	Q00536
P16104	Q9BY41
Q02094	Q08722
O43521	P10644
P20823	P25054
Q04917	Q9UI47
P51959	Q00535
Q9H0R8	Q9NRD5
P23919	Q99459
P08138	P10767
Q16566	Q96BA8
P50750	Q7L2E3
O95989	P13196
P17252	P28907
P49662	Q04323
P24534	Q00005
O75159	Q13261
P01889	P12004
P18146	Q9Y4R7
O60245	Q13315
407053	P28222
P19438	P53675
O15105	Q9UII5
P31749	Q16082
O43318	Q9NWZ3
O43150	P12931
P09544	Q9NPG1
P06241	P25445
P62195	Q14CS0
P01106	Q16594
O95777	P52756
P27448	Q9NPI8
Q13490	Q7Z434
O00459	P16144
Q13247	Q92620
P29371	P50148
O75815	P35637
P01588	P52333
O00501	P57739
P07741	Q14164
P46777	P62891
P19174	P52333
Q09472	Q9Y294
O15197	P20936
51776	P31947
P50148	Q9NPG1
Q16777	Q9UQL6
O15264	P16152
O43809	Q8NFF5
O14933	O75369
P47914	P62945
Q53QZ3	Q7L0Q8
C9JDP6	O14493
Q13526	Q9Y6Q9
O00221	Q04206
P46108	Q9NPY3
O95835	Q13188
P62249	Q96BK5
P30480	P37108
O60739	P84090
O95013	P32121
Q13315	Q9Y2H1
P10828	Q15596
P50570	Q9Y478
Q86Y39	Q9NX14
P20226	Q03060
O95996	P49841
P46783	P62081
P52564	Q9UL54
O14776	P26368
A0JLT2	P02545
Q14584	Q16543
Q12986	Q14683
Q92530	Q9NR12
P05387	Q99558
P46778	Q00005
P68104	Q9UBC1
O00311	P33991
P63010	Q7Z3B4
P08729	P13987
Q12905	Q14566
P63279	Q9UI36
P04637	Q9NPP4
P08579	Q9BWJ5
P48454	Q9H1A4
P04637	Q99445
P04628	Q8N474
O15467	P51679
O15354	O60260
P62805	P84243
O14640	Q13145
Q6ZNA4	Q9Y2X8
O76093	P16234
P35354	P49716
407018	Q12778
P29460	Q8IU57
Q03001	Q9UMD9
P60604	Q9NTX7
P35626	Q9UGF5
P28290	P61981
P35749	P63261
P05771	Q16236
P84022	Q96D21
P22087	P24941
Q13217	Q9NZJ5
P12931	P35968
P62277	Q99558
O14836	Q9Y4K3
P46777	P62910
Q13472	Q8IYD8
P31751	Q96BA8
P10914	Q9BZS1
P04637	Q9Y2A0
P53778	Q9Y5S8
Q14332	Q9Y6F9
P21127	P30281
P62910	Q96BK5
Q13573	Q8WUM4
P27635	P62917
P38484	Q13007
P13232	Q99650
O15392	Q9NR28
O00763	Q13131
Q14683	Q86V81
P00738	P02647
P30480	Q15631
O95631	Q92859
Q05469	Q9UNZ2
406948	P24864
P06241	Q9Y2H0
P45985	Q9UM73
P18146	Q9Y6K9
Q8N6T7	Q9UKW6
P30260	Q9UI95
Q12988	Q9Y3C7
P46108	Q9UBS5
Q07021	Q9HAN9
P62258	Q04912
O00716	P42771
P67809	Q13242
Q13573	Q8WWH5
P53041	Q13315
O75578	P10451
O14965	P41236
P29590	P63165
P29353	P37173
P36507	P41279
P42336	P62873
P01857	P02538
O43353	Q13114
O43765	P21246
Q30201	Q9UP52
P30154	Q9GZV5
P05412	Q15744
O15105	Q09472
O15169	Q9Y6R4
