#node1	node2
O95197	Q9Y5P4
O60861	Q00839
P53420	Q13683
P05771	P10721
P60866	Q99684
O00522	P61224
7012	O60832
P62826	Q9HAV4
P68366	Q86U06
Q15759	Q9P2W3
P26367	Q5SQQ9
P19875	P58012
A7MCY6	Q9Y6K9
P03372	Q92993
O00571	Q13077
P05019	P29317
494336	Q12857
P55036	Q9UHD9
Q96KG7	Q9H0H5
Q16778	Q92769
P49257	Q8NI22
O14641	O95817
406984	Q9Y2I8
Q15750	Q9Y6Q6
P41235	Q93063
O00585	P51685
Q06190	Q8IZS8
P04899	P17252
P84022	Q9NS56
P22001	Q16620
O75581	Q9H461
O00626	P51677
P00533	Q8WU20
O60840	P63218
O75694	Q9Y4K3
O95644	Q02080
P32121	Q00005
O60262	Q14831
P48556	Q16401
P49674	P98177
O00303	P51681
O00571	Q7Z6M2
P48023	P62993
P18146	Q92597
P22090	P62277
P50052	Q13424
P16035	Q13952
P62993	Q9UMY4
Q09472	Q9UBN7
O95834	Q14164
P35626	Q8NGK6
O15264	Q9H257
P17612	Q12791
P22626	Q13247
P19838	P33681
P33991	Q08945
Q14164	Q9Y3U8
P04150	P20226
P01871	Q16644
Q09028	Q15910
P38936	Q5VTD9
P58876	Q9C005
P18146	Q99674
P63104	Q6ICG6
P04406	Q09472
O43663	P23025
Q15365	Q96PU8
O43516	P46109
O60359	P62140
P10275	Q13794
P15498	P19174
O95071	Q15796
P09326	P29692
O00329	P63000
O15399	Q13255
O15360	Q9NVI1
Q96FW1	Q9UKE5
O43929	Q13415
P01730	Q13761
O75365	Q5VYK3
O15162	Q16625
P36894	P84022
O75369	P26010
P52564	Q99759
Q99638	Q9UIF7
P29320	Q8N5V2
P01106	Q9H0J9
P53618	Q99459
P14616	P48736
P12931	P14136
Q13418	Q9P031
P01889	Q9GZX7
P61978	Q9BXP5
Q15369	Q96L50
O00716	Q96GM5
O15264	Q8NER1
P22736	Q9UNN5
O95391	O95816
Q96B97	Q9ULV8
O60885	P16333
O14717	Q16623
Q15173	Q5FBB7
P38484	Q8WXH5
P35398	Q09472
P35637	Q99873
P01562	P16871
O43809	Q9ULV5
O95067	O95257
Q969Y2	Q9NP50
P36873	Q92736
O15111	P35579
O96000	Q9NX14
Q7Z3S7	Q9UQM7
Q15005	Q9NY93
O43918	P55157
Q00839	Q04206
P14635	Q9UJX5
P01111	P12270
P16619	P25024
Q9UI12	Q9Y5J5
P28715	Q9NRG0
O14493	O95049
O43920	Q16718
P28222	Q9UBU3
P36957	P55209
P62913	Q9UKV8
P67870	Q99661
Q16763	Q9BYM8
Q13573	Q6ZW49
P19525	P25963
P11586	Q9UBN6
Q13546	Q96CV9
P54259	Q04724
Q9BQ66	Q9NRT5
O95433	Q9Y6E0
Q13257	Q9UJX3
P01889	P29692
P06239	P43403
P35626	Q8NH70
Q8TBB1	Q8TC92
P34932	Q6P1J9
P47712	P78545
P27348	P49796
P43146	P63173
P30305	Q92608
Q7L8J4	Q9HAU0
P22415	Q15853
P62308	Q14194
P27361	Q16827
P32121	Q8NH60
O14610	Q92806
P17544	Q04206
P53779	P63000
O15479	Q9BS40
Q8IXI1	Q9P107
Q15750	Q9H4K7
O14974	Q09013
P63092	Q86XP0
P35626	Q8NGX9
Q15165	Q9Y230
P38405	Q8NG83
O43353	Q13748
Q12834	Q8NHZ8
Q13573	Q96P11
P46777	Q15527
P63279	Q9Y3V2
P05019	P11362
Q04828	Q16236
P51153	Q9HAU4
P32121	Q8NGF8
P30154	Q13188
P52735	P78314
O43318	Q9NWZ3
Q15714	Q9UKR5
Q9NZN8	Q9UFF9
O00141	P43355
P36894	Q15796
P16298	Q13522
P01574	P38484
P51828	P59768
P27695	Q96EB6
P43487	Q9Y4K3
P35442	P56199
P63104	Q0VF96
O95786	P46734
P16471	P49069
P00519	Q8WX92
Q8NCG7	Q9UG56
P01871	Q92890
O75496	Q96GD3
O60237	P60660
P78412	Q13526
P35680	Q66K89
P12236	Q9UL18
Q13009	Q92730
O95931	Q71DI3
P21860	P62993
P32321	Q9GZT8
Q96FV9	Q9UHR5
P84077	Q8NC60
Q07889	Q92747
P02461	P31431
O00459	P43405
Q01668	Q13554
P06239	Q9ULV8
P07355	Q06124
O76071	Q86Y56
P47914	P61353
O60739	P43487
Q13098	Q13535
P24539	Q99816
P01568	P23458
P38484	Q9GZX6
P14416	P62714
P35579	Q02045
P46783	Q9Y6K9
O95201	Q12933
P31942	Q92993
P38405	Q8NH42
P51686	P55773
O43290	P63165
O43921	P43629
O95551	P63165
Q13326	Q16586
P63092	Q9BWD1
P26367	Q16630
P30530	Q92569
Q06265	Q8TF46
O60331	Q9Y6U3
P11182	Q9BV57
Q8TEX9	Q9UKV8
O00213	Q9UI08
P16333	Q9Y5X2
P35998	P51665
P10721	P19174
P42336	P62879
O95182	Q9BQ52
P29474	Q9NZT1
Q05086	Q6PJ69
P55160	P63000
P16298	P51617
P16284	Q08050
P12883	P60709
P16885	P30273
P19838	Q9Y239
O14933	Q13064
P68400	Q16665
P27986	Q9Y2D5
Q9H0I3	Q9Y2X7
P26715	P30466
P01588	P23458
P52298	P62826
Q13315	Q15007
P08107	Q9Y4K3
P16234	P52797
Q8IVF5	Q9NRI5
P46781	Q9UL18
O75365	Q9HAV4
P21333	P51587
Q99442	Q9UGP8
P10721	Q9Y264
P62837	Q8N5U6
Q13233	Q13451
P00734	P02675
O95178	O95298
Q16531	Q9UPT9
P08754	Q92806
P15090	Q92882
O43395	Q9Y675
Q09161	Q53F19
Q6UXL0	Q9NPH9
P08621	P78362
P08138	Q9Y616
O43915	P35916
P60953	Q13576
Q8N2Z9	Q9HB96
Q05823	Q9Y6K5
Q13418	Q9Y5M8
P45983	Q13233
Q13573	Q9UQE7
P07550	Q5TCQ9
P20936	P54760
P60709	Q9C0H9
P35626	Q8NGC6
P09429	P41208
P31751	Q8NEB9
Q8TB05	Q96G25
O60269	Q99750
Q9H2G2	Q9HCM9
P09651	P16104
P06756	Q9Y4G6
O95685	P31947
P45984	Q04206
P62993	Q92932
P05129	Q9BZL6
Q92769	Q9HD15
O15123	Q12778
Q15287	Q9UBC1
P14616	Q07890
Q6ZVD8	Q9Y243
P04899	P51685
P30305	P45983
Q01668	Q13557
P15336	Q13237
O95232	Q07955
P40763	Q13163
P06213	P12034
P28074	P49721
O75626	P40306
P68366	Q96AH8
P50991	Q9Y2T4
P55081	Q2TAY7
P13987	P53680
P12980	Q9BQ75
P04406	Q5QNW6
P05014	Q8N6P7
P30304	Q04917
P61927	P62917
P51610	Q92560
O00459	P42229
Q15008	Q9BRP4
P31751	Q16584
O00507	Q5VTR2
P54259	Q9ULU4
P17612	P48436
P23368	Q9Y4E8
P56945	Q9H2G2
O75379	Q9UEU0
P11142	Q12933
O75676	P15336
Q05048	Q16254
Q14197	Q8N0V3
P50502	Q14164
P19532	Q13263
Q13177	Q9H1R3
P17181	P40933
Q8IYF3	Q8WW14
P17948	Q9Y6I3
O15519	O60496
P05556	P78324
P47914	Q9C0C9
P30519	Q09028
P0CG47	P68036
P61758	Q92569
O75582	Q15910
P04908	Q96DB2
Q13889	Q6ZYL4
Q02080	Q13469
Q8TEM1	Q99567
Q14691	Q9BRX5
P30466	P43628
P42574	P42575
P38936	Q969G3
P26038	P60709
P60568	Q9H334
P31943	Q99459
P13945	P34947
P63104	Q09666
O15550	Q8NEZ4
Q13561	Q99459
P06400	P17480
P01589	P14784
P27986	Q9BWW9
Q96CW5	Q96JB5
O95831	Q99759
P05129	Q8TEY5
Q9NX58	Q9UKY1
Q9HAW0	Q9NVI7
P41217	Q04206
P06241	P29597
C9JDP6	P56748
406901	Q9H0U4
O60840	Q13555
Q16695	Q9Y294
Q13535	Q9P2M7
Q9BU40	Q9UGN5
O00175	P51681
P53778	Q8WZA2
406987	O15143
Q13535	Q15596
P08571	Q9NR96
O14610	P53778
Q13535	Q9NQ88
P04183	Q13107
O75340	P50995
Q07011	Q12933
494324	P63104
P61353	Q9UNX3
P29966	Q05655
O96017	Q00987
P62191	Q9UKE5
P31751	P42345
P63261	Q9UKX5
O75365	Q6P996
P12318	Q15759
P62136	Q9ULJ8
O75676	Q68CJ9
P34947	P49407
P40337	Q9UM00
P06401	Q8WYK2
P62249	P62857
O95084	Q15118
Q8IY92	Q9Y678
P45880	Q13530
Q96A08	Q99878
P51817	P62158
P06213	P29353
P09619	P52803
Q15365	Q9UKE5
P78371	Q9NT62
P10412	Q96EB6
P62263	P62277
P13232	Q01344
Q8WUW1	Q9Y376
P15374	Q13315
P35080	P54274
407029	Q14457
Q6P1J9	Q9P2I0
P02778	Q92985
Q92793	Q92830
P05108	P84022
P28340	Q9HCU8
P32248	P34947
P05019	P08069
P38936	Q96DB2
P15018	P31785
P08581	P09038
P04406	P38936
Q99750	Q9H5Z6
Q15750	Q8TDZ2
O76064	P19793
P13591	P32004
P36507	Q969H4
Q06124	Q9H0H5
P04049	P23458
Q13535	Q9Y6K9
Q96N46	Q9UQ35
P31948	Q14164
P22681	P62316
P41225	Q15583
O14775	P42336
P62701	P62857
P25787	P28070
P01589	Q13007
P43243	Q9Y6E0
P39023	P61353
P52198	Q13017
P34947	P51679
P49840	P61981
P40933	P48357
Q99755	Q9ULU8
P07814	Q14164
P19419	Q07890
P16333	Q9H5I1
Q12955	Q14571
P00966	Q01850
Q8N2Z9	Q9NPD8
Q14197	Q9H2W6
P35544	P62081
P17252	P42345
P27635	P61353
P05129	Q07157
P63104	Q92598
P47869	Q9NQX3
Q13573	Q9Y3B4
P23508	P30153
P61968	P67870
P06899	Q92769
P04049	P49368
Q96DF8	Q96N46
P06241	P98161
Q14005	Q8N6Y0
P37231	P48552
P19022	Q9UQB3
P51817	Q6IN85
O76095	Q2QGD7
P01106	Q92698
P41597	P63096
P00966	P01106
P19235	P52333
P42677	P60866
P42701	Q9ULV8
O43255	P08247
P27986	Q9NQ76
P42263	Q12840
P55854	Q09472
Q15388	Q6P1J9
P63279	Q14789
P0CG47	P41226
P38484	Q04206
P05026	P42338
P11021	P18850
Q92830	Q9H8E8
O75376	Q7L2E3
Q14315	Q9H2G2
Q01844	Q9Y676
P47898	P59768
O60603	P16070
P46781	P62979
Q8NA54	Q99750
P62979	Q15038
P23508	Q96EY4
P08246	P08572
Q13233	Q96J02
O15056	P55157
O15379	Q96EK4
Q16763	Q99459
O14879	Q14164
P08754	P49796
Q9BYB0	Q9NSB8
P32121	Q8NG98
P05997	P31431
O95785	Q9NPF4
Q15428	Q99729
406987	P14780
O00483	O43676
P15121	P19532
P01732	P61769
O95471	P56880
P63104	Q96J92
Q96QV6	Q9NPI1
P27986	P61978
O00255	P84022
Q96ST3	Q9H160
P01112	Q9UK32
P10275	P35869
Q15287	Q86V81
A8MT69	O15360
O14503	P63279
Q16623	Q9H7U1
Q9BSK2	Q9NRH1
O75694	Q96HA1
P10827	Q9Y618
O43684	Q9UJX4
P61077	Q9HCM9
O15379	Q93079
O00257	P48552
O60285	Q7Z794
O15530	O95084
P14416	Q969Q6
P08631	P56945
Q8N684	Q99459
P05112	Q8IU57
P27986	Q9H9Y6
Q5VWK5	Q9HBE4
O15116	Q9HAU5
Q15005	Q9NR30
P51784	Q15047
P11215	P35638
Q05397	Q15759
Q8WY54	Q9NRI5
O94979	P53992
P03901	P03915
O95990	P19012
P19438	Q15750
P62955	Q969Q6
Q16513	Q9H492
Q93074	Q96HR3
P18846	Q13315
P08047	Q05655
P01133	Q07890
O15479	P62249
P98177	Q8IZQ8
P41159	Q9HC73
P01106	Q9NQT4
P68036	Q96EQ8
Q96B33	Q9UDY2
P04839	P17947
P84022	P98177
P61981	Q8N3V7
Q96RT1	Q9BTT6
Q15654	Q96I34
Q15021	Q99459
P06213	Q6S5L8
P51684	P52333
P29692	Q9Y478
Q15303	Q92569
O95985	Q9UKJ5
P67870	Q5T280
Q07020	Q99558
P17252	P63211
P01229	P31152
O43674	O95298
P07947	Q96KM6
O00238	P43026
P20226	Q16548
Q8N6T3	Q9GZQ8
P09848	P12931
O75947	P56134
P32121	P58181
Q86UW7	Q969T4
O75533	P62330
O14979	P16104
Q8N5W9	Q96I34
P26368	P67809
P01106	Q13151
O00429	P16298
O75420	Q16773
O14974	P62136
P04637	P25963
Q7Z699	Q9NPF4
O43257	Q6ZRS2
P33076	Q13952
P10415	Q14643
P24928	Q9GZS3
Q15714	Q99623
Q06413	Q09472
P27361	Q12913
Q96HA1	Q9Y5P4
P50539	Q14164
P38484	Q9ULV8
O00217	O15239
P51809	P52594
Q96RJ3	Q9Y275
