#node1	node2
Q08289	Q13362
Q15052	Q99963
P35579	P51681
P50914	P62829
Q8IZJ0	Q99665
P17858	Q01201
O43586	P31939
P63104	Q15287
P35680	Q4U2R8
Q0VG06	Q14469
O75569	Q9UPY3
Q15796	Q9NQ69
Q13315	Q8TD55
P20338	Q9H1K0
P84022	Q13501
P32121	Q8NGG4
P27348	Q99683
Q09472	Q92878
Q8IYF3	Q8WW14
P25098	P62166
Q09028	Q8WXI9
P61077	Q13064
O15131	P36957
P27635	P61513
Q13191	Q9UHF4
Q15796	Q86TI0
Q16514	Q96BN2
P04156	P32004
P49327	Q01844
O00257	P68431
P07900	P11021
O95819	P38646
P61956	Q92560
Q96N46	Q9UQ35
P84022	Q9Y2K7
O75150	P49459
Q06323	Q99460
Q14011	Q9BS40
Q9UL18	Q9Y230
P01241	P15509
Q9NQR9	Q9UGJ0
P53680	Q16695
O76064	P06899
P56645	Q16526
P48023	Q9BY11
P59768	Q96PN6
P40238	Q9NYY1
P07202	P16871
Q92608	Q92730
Q16539	Q9NQU5
P51617	Q06187
O15360	Q9BTP7
P23025	Q9NS23
Q13137	Q9H492
P14550	Q03001
O76064	Q9BXI2
O00254	P12931
P16871	P29460
P51955	Q96RY7
Q96S59	Q9H4A3
