#node1	node2
P54274	Q15691
O43172	P36897
Q14194	Q6P1K2
P05412	Q16534
P08581	P42336
P61626	Q9P2S5
P07306	Q96G23
P00742	P13726
P23258	Q9BSJ2
O75593	Q13485
P38398	Q15717
O95197	P43378
P08138	Q12933
O00141	O15530
P63000	Q9NZQ3
O00255	Q8N2W9
P27986	P38398
O75578	Q16787
P59768	Q96PN6
P63000	Q9BRR9
P10415	Q13625
O00329	Q9H1I8
P05106	P13942
O15162	Q16625
P45983	Q07812
P05186	Q04206
Q00987	Q8WWW0
P26232	P60709
P06213	P48736
P50570	Q13573
O60885	Q96EP1
Q96B18	Q9NRD5
A6NKK0	P38405
O43255	Q9HB71
Q15797	Q9NXK8
P16104	P63104
O15273	Q969Q1
Q9BRQ0	Q9UPT9
O94864	Q16514
O60674	P43681
Q92769	Q99879
Q06609	Q96B01
O43677	P03901
O14907	P23511
P42701	Q8IU54
Q13255	Q13555
P27701	Q99567
Q9Y5J9	Q9Y5L4
P62906	P62987
Q3V6T2	Q9NRI5
P01137	P36896
O60313	Q12983
P80723	Q9Y572
P0C0S5	Q99880
P15153	Q13233
O43312	P42858
P05388	P08238
P10242	Q13813
Q13509	Q9BQE3
P33991	Q08945
O75578	Q14031
P04049	P63104
O14986	Q06187
Q9H1J7	Q9H237
Q14209	Q14566
P19438	P19838
P19878	Q92793
P16104	P30041
P17844	P60709
O95477	P16220
Q5THR3	Q99497
P10646	P35030
Q08170	Q9BUJ2
O43707	Q9UKX5
Q13085	Q9UGI9
O00750	P62993
P08581	Q15262
Q5SW24	Q8TAA9
Q969K3	Q96EY1
P01127	P98160
P06241	P32239
P49642	Q14204
P18846	P35680
P24844	P62136
P06213	P52797
P41235	Q92793
Q96A65	Q9NR09
P04637	Q9Y2A0
Q15052	Q99963
P01137	Q13347
O75486	Q86TJ2
P01857	Q6PD62
P05000	P26951
P15498	P60763
P08670	Q99759
P13725	Q969J5
Q13535	Q5VTR2
P51116	Q99708
O60353	P09544
Q13191	Q969J5
P35606	Q99459
Q15349	Q99640
P10244	P78396
P07099	Q9Y261
P10451	Q9NRR5
O14775	Q9UBY5
P29590	Q15583
P10275	Q9P2W1
P36873	P61244
Q969F2	Q96BH1
Q14204	Q99623
O95411	P54253
P16220	Q86XU0
P60520	Q9BTU6
O14777	O43264
Q9BUI4	Q9H1D9
P18146	Q03405
