#node1	node2
P52292	Q9H213
O75051	Q8IY37
P68104	Q8N5U6
Q03135	Q15843
P04637	P48729
O75800	Q14258
P10276	Q15650
P61981	P84103
P56915	Q15796
O15084	Q5H9R7
Q13480	Q92529
P35557	Q16584
P40933	Q99062
P08581	Q9HCT0
P07900	P08107
P04637	Q06609
P62993	Q0ZGT2
P08581	P98077
O14717	Q13432
P29622	Q9NRH1
P09234	Q9BWF3
Q15653	Q96EY1
P32121	Q8NGY5
P19438	Q96AG4
Q15714	Q99707
P22694	Q15746
Q13557	Q9Y698
Q12904	Q9UET6
Q9Y4K3	Q9Y616
P30613	P52790
P29353	P49137
P19235	Q13588
O43320	P00533
P49023	P63261
P01889	P99999
P62136	Q8TCU5
P09493	P62993
P05113	P40189
O00422	Q9H7L9
Q4G163	Q9UQM7
O14512	P16871
P63104	Q9BYG5
O00459	P05023
O95487	Q9NQW1
Q96PY6	Q9GZX5
P53597	Q96I99
P06400	P62191
O95786	Q86WV6
O60739	P35268
O95785	Q16637
O14625	P51677
O60262	P28221
Q13472	Q8IYD8
P35626	Q8NGX3
P32969	P50914
O43749	P35626
Q16695	Q6WCQ1
O14950	P60660
P04745	P21246
O00329	O15455
P46531	P49810
P28749	P46527
Q8WW38	Q9NRR5
Q01094	Q09028
O00626	P32246
O15145	Q07889
P0C5Y9	Q13547
Q13243	Q15418
O95835	Q13188
P53350	Q96RK0
O60739	P61254
Q03113	Q68DD2
P29459	Q13651
P19174	Q06187
P47928	Q9NQB0
P01023	P30519
P43405	P78324
P13807	Q86XI6
P18887	Q96T60
P05106	P19174
P49736	P53350
Q15834	Q7L590
P16152	Q9Y478
P01344	P22692
P07858	Q9HBJ7
O60861	Q14457
Q9BPZ7	Q9Y243
Q12983	Q9HD36
P41225	P63279
P62899	Q15843
P01876	Q8TEW0
Q9P2A4	Q9Y6W5
Q07666	Q13588
P22681	P51451
P13942	Q9HCN6
P25963	Q9NZJ5
Q6QNY1	Q8TDH9
P22455	P55075
P11142	Q99933
O60739	P46781
P07237	Q13162
O14543	Q6UXL0
Q8WZA2	Q9NRX4
O94966	P27824
Q16619	Q99665
Q08209	Q99828
P17480	Q9Y2S0
P57678	Q9Y675
Q8NFP7	Q9NS23
O14757	P15927
O95405	Q04637
P23458	P35568
P84090	Q13418
P07949	Q96J02
Q13535	Q9UKV3
O14733	Q9BQI3
P06748	P10144
O76013	P78545
Q9NQC7	Q9Y6K9
Q8TAD8	Q9UBW7
O00587	P01106
Q14CB8	Q9NSB8
P22692	P52790
P51398	Q14197
P16104	Q08945
Q13535	Q9UIF9
P19793	Q15796
O00755	O14904
P26006	P63261
Q15172	Q9BVP2
Q07890	Q9UJF2
P15927	Q13432
O75694	P49792
P10912	Q9P0W0
P51679	P78556
Q9UM11	Q9UM13
P11215	P35354
P16104	Q09472
P02768	Q8ND99
P22612	Q09428
O76081	P49286
P62837	Q86UW7
Q12805	Q16610
Q7Z6G3	Q8IYF3
Q9HAT8	Q9Y4K3
P52198	Q9H0H5
P04637	P36952
P31943	Q12986
P48643	P60510
O75534	P01241
O75116	P62136
P61978	Q92841
P04632	Q7L5D6
P32121	Q9H340
P78543	Q13310
P05787	P11532
P08069	P40763
P09603	P11362
Q5VVX9	Q7Z419
P20138	P41159
P23396	P62277
P19793	Q16637
Q13950	Q8WYB5
P18065	P35222
Q12824	Q9HCK4
O15264	P22694
P43243	Q9NRI5
Q05519	Q9BUJ2
O75581	P98082
O95433	P31995
P10916	P62140
P13805	Q92993
P36578	P62888
P30480	Q9UGP8
P11234	P24723
O75626	P28062
P14921	P23497
Q7Z2Y5	Q92905
P63244	Q16659
P50150	P51828
P36873	Q99759
O43474	P42772
P30304	P50613
P36897	Q03167
O15245	P51610
P43246	Q10586
O00585	O00590
O00329	P10721
P04637	Q9BQD7
P22612	P54646
Q66K89	Q8N448
P29692	Q6WCQ1
P26006	Q8IZC6
Q9HBE5	Q9NPH9
P13686	P41235
Q9NWA0	Q9UHV7
P60228	Q9Y478
O43156	Q9Y4A5
O15350	P84022
P21554	P63218
P60763	Q07960
Q07817	Q9BXH1
Q96A65	Q9NX70
P36542	Q07889
Q567U6	Q8TDR0
Q05655	Q9BX67
P51116	Q14134
Q92769	Q9BTC8
Q13535	Q8WXE1
O00213	Q9HBG4
P12931	Q8IZD9
O43663	O95239
P06132	Q9UNN5
P62714	Q66LE6
O95178	Q9Y6M9
O60739	P51571
P0CG48	Q96CV9
P11940	Q92900
P01889	P04843
Q92922	Q9NZC7
P60709	Q92636
P35968	Q9H201
P23508	P62714
Q92769	Q969S8
Q12933	Q8TAI7
P15529	P21926
Q14197	Q9BT17
406985	O60315
P51817	Q05469
P62993	Q05682
P21918	P50148
P16220	Q96Q42
P46531	Q6ZQN5
Q7L7L0	Q96DB2
P01111	P07949
O75674	Q15155
P30559	Q9UF02
P41743	P48736
O95931	P35226
P22392	Q9Y333
P18206	Q8N5D0
O43586	Q9UMN6
P48047	Q9Y4K3
P08621	Q15796
Q13315	Q99759
O15020	Q9NYQ7
P01106	P46939
P38646	Q9Y6K9
P60510	Q14738
P46108	Q9UN72
Q09472	Q92841
P54136	Q14164
O00221	P31749
P78396	Q96AG4
P39023	P46778
O75970	Q8NEV4
P17612	Q9H0K1
P67870	Q15811
P01106	Q13177
P48023	Q96RF0
Q04637	Q09161
Q08334	Q13007
P05362	Q9Y4G6
P21731	Q13162
P01112	P30305
P40337	P53396
P49792	Q96HA1
O43290	P63165
P08581	Q8WYR1
P15927	Q9UQ84
P62136	Q8IZS8
P23527	Q9BTM1
Q96KQ4	Q9HAU0
Q13315	Q5VUA4
Q15041	Q9BT40
Q13315	Q9NR30
O43541	Q13485
P08138	P48736
P61968	Q9UK32
Q5BKZ1	Q9UL18
Q9NRI5	Q9UKE5
Q99879	Q9BTM1
P16671	P54646
Q13797	Q9NVD7
O00141	P98177
P35226	Q06587
P62993	Q9UM73
P08670	Q9NS87
P20809	P40189
Q86WB0	Q99459
P05067	Q53HV7
P18031	P62993
