#node1	node2
Q13976	Q9UHL9
A6NHL2	Q96RT7
O95865	P18754
O96017	Q01094
P82279	Q9NY93
Q13415	Q13416
P06756	Q9NVD7
O94979	P25054
P51965	Q9Y6M9
Q00005	Q14244
O15091	Q14197
O00459	P12931
P33992	Q9Y478
O60936	P42575
Q13573	Q86UV5
P05107	P32942
O60674	P42336
P60981	Q9UKE5
Q9NPH3	Q9NWZ3
P49427	P62979
O60674	P29353
Q13315	Q9P2N2
O14976	Q00535
P53539	Q13547
B2RD01	P40425
P11171	Q15836
Q14152	Q8NFJ9
O95295	P04278
P01236	Q8IU57
Q5UIP0	Q9NX09
Q15759	Q9NYJ8
P36542	Q8NG27
O14974	P62993
Q8N2W9	Q9Y4K3
O14964	Q92783
P15531	P22392
P12111	Q9UKX5
P0CG47	P62979
P45973	Q01094
P0CG48	P17252
O95989	P18621
P35221	Q13363
Q13315	Q99426
P49736	Q6IE81
P33240	Q92499
P13637	Q8WYR1
P16383	Q9Y490
O43261	P68371
O00238	Q16539
O00562	P53350
P98175	Q15427
P22694	Q86YV6
Q07002	Q15834
P31947	P61981
100008587	O15160
P01137	Q14103
P37108	P62330
P35626	Q13606
Q05639	Q13233
P42336	Q05397
P42574	Q13813
Q06609	Q14209
O14640	Q9HCE7
O15503	Q8NC51
P09874	P35222
Q8TCW9	Q8WTW4
P60709	Q15628
P23508	Q99623
P01584	Q9NPH3
O14641	P17252
P41182	Q09472
Q96IJ6	Q9Y5P6
P67870	Q15262
P00813	P27487
P62324	Q96DU9
P49959	Q7LG56
P54274	Q9BSI4
P38646	Q15653
P61077	Q9BV68
P41743	Q15334
Q13200	Q5UIP0
P25116	P62873
O14920	Q15628
Q9P2W3	Q9Y272
P46778	P61313
O00168	P05023
P08865	P62847
Q06609	Q7Z5Q5
Q13620	Q96DI7
O60518	Q15796
Q8NEC5	Q9BUH8
P38936	P47897
O43617	P0DI82
P46777	Q02878
O95168	O95178
P38936	Q96L91
P61966	Q9Y6Q5
P51692	Q9NRG1
O14974	P35609
P38398	Q92922
Q13315	Q9UBS4
O60437	Q93009
Q05655	Q3MJ16
Q13748	Q9UGJ1
O94972	Q01844
P39023	P61981
Q13315	Q9UGK8
P50539	Q6XUX3
Q6AI08	Q92796
P51116	Q9NVV9
P08729	P13987
P28482	Q9UNK4
P10275	Q9UBS8
P49327	Q9Y6K9
P04629	P42679
P29322	P52798
P18084	Q05397
O75400	P61086
O43809	P04222
P00540	P01112
P46100	Q92793
P08047	Q13485
Q14197	Q7L2E3
P12956	P38432
Q15788	Q9Y2J2
O00329	P00533
P35626	Q8NGQ6
P38405	Q8NG84
O00329	P50993
P00751	P27918
P01241	Q13651
P01106	Q03164
P33981	Q13485
P40763	Q05655
O43395	Q15020
P62424	Q9HBH9
P60002	Q9NR96
P16144	Q13753
P60953	Q8IW93
P16871	P20809
O15230	P56199
P25942	Q13077
P07711	P55957
P21580	Q12933
P02766	Q9HB58
P16333	P38398
Q969H8	Q9NRR5
Q14527	Q9H832
P14672	Q00610
O15255	P00519
P01116	P12270
P19793	Q9UHV7
P19105	Q9Y6K9
P40692	Q14209
P56704	Q9ULV1
P10599	Q9HC24
P07900	P43403
P05141	Q6WCQ1
P00519	P04040
O60739	P00492
P20042	P55884
P01589	Q13007
P16333	Q13444
O15264	Q99733
P08253	P15692
P67870	Q8WW35
P49427	Q9Y5L4
P35222	Q9NPG1
P07910	Q8IYB3
P12236	Q12873
P20592	Q00978
O15534	Q9BPZ3
P36873	P42263
P23396	P62269
P19105	Q9Y4K3
P51817	Q14573
P50914	Q9UL18
O95343	Q5BKZ1
P0C0S8	Q99880
P07237	Q13617
P49407	Q08499
Q99623	Q9Y678
O60603	P27348
P01243	P56537
P26641	P30519
P30281	P42773
P22736	Q13162
P14784	P20809
P24588	P63252
Q99426	Q9H2C0
Q9Y3C5	Q9Y6I3
P22090	P46782
Q12933	Q9BQA5
O60383	Q15102
Q13123	Q70Z53
Q9H9Q2	Q9UBW8
P08047	Q13535
Q9H492	Q9NT62
Q07666	Q13588
A8K6C2	Q99650
O95751	Q9UGP5
P60568	Q99665
O94941	P62837
P14923	P15884
A6ND48	P38405
O15514	Q8N7H5
O14641	P31749
O00459	P42702
P10275	P51946
P40429	P42766
P46940	P63010
P25025	P55072
P62258	Q9HCI7
P78386	Q6IBS0
Q06945	Q9NQB0
P07288	P16401
P0CG48	Q14934
O00574	P02775
Q9NR97	Q9NYK1
Q13573	Q9NQW1
P40337	Q13263
O60518	P22392
P18754	Q9H6Z4
P51681	Q9UNF1
P24385	P51946
P28749	Q9P1U1
P61952	Q13936
P02545	Q04759
P05106	P29353
Q9BRR9	Q9HBH0
P00519	P07203
P07996	P17301
Q24JQ0	Q99750
P46777	P62910
P32969	P62910
O15069	P22736
P08754	P46094
P48357	P67870
O15055	O15516
P54259	Q04724
P37231	P51946
P22694	Q8NFM4
P41743	Q96B18
Q8WVB3	Q9BPX7
P32238	P50148
P06400	P24863
P12757	Q8N2W9
P02461	P05556
P43364	Q12906
P23508	P35580
O43172	Q15287
Q14683	Q9Y6J8
Q13557	Q14571
P01876	P02787
O95989	Q9UID3
P26715	Q06124
P04628	Q9H237
Q09472	Q99941
P56645	Q9UH62
P52434	Q9HCS7
P01116	Q16539
P56748	Q96B33
P13637	Q9Y3U8
O14508	Q9HC73
P07355	P35555
P63000	Q8TCU6
P63104	Q07352
Q96BK5	Q9NW61
O14508	P08887
P0C0S8	Q99877
P05198	P36873
P27635	P62899
Q7Z2G1	Q96DB2
P04731	P63096
P30101	Q86YB8
O15379	Q9H4Z3
P10415	Q15172
P18146	P22033
407021	P09486
Q7Z3G6	Q92997
P16333	Q13153
O95500	P56880
P01700	P01857
Q96PU8	Q9BQA1
P04083	Q96FW1
Q99459	Q9NXV6
P46109	P62993
O60508	P51003
P38432	P61289
P35080	Q9Y478
P18146	P45983
P24394	Q92835
P46020	Q16821
P52735	Q13503
P14867	P46459
406983	Q9Y2M5
P37231	P51608
Q00653	Q969H0
Q15544	Q16514
O00222	P04899
P06756	P12814
P08582	P30101
P49736	Q92794
Q13547	Q14188
Q09028	Q71DI3
Q05195	Q15744
O95622	Q16566
P27348	Q9NQU5
P24534	Q14164
Q9H853	Q9Y6K9
P26641	Q8NHV9
O15264	Q99956
O95870	Q92900
Q9UHX1	Q9UKA9
P24941	Q9UJX6
406950	O15111
P01130	P17948
P06756	Q9Y4G6
O94972	Q96KB5
