#node1	node2
O75461	Q00765
P41279	P58107
P08047	P49716
P22681	P48357
P30305	P45984
O43324	Q13315
P06732	Q9P2G9
P05496	P56385
P23528	P61586
P10276	P55345
P09012	Q15428
O15379	Q9H8S9
Q99623	Q9UBB4
P61981	Q14525
O75717	P35222
P43487	Q9UBN6
P12931	Q15109
P05388	P62424
Q8NF50	Q99459
O75354	P49841
P04637	P54278
P40616	P61421
O14975	P63104
P17252	P22612
Q00994	Q16288
O00574	P19875
P38405	Q96RA2
P62979	Q13077
P08670	Q9BT92
Q13547	Q5THR3
P36578	Q99558
Q8TDI0	Q96QB1
P01303	Q13131
P62241	Q00653
P48995	Q13586
Q12834	Q9Y2Z4
P61225	Q59EK9
O60341	P84243
P01562	P26992
O14640	Q14332
P04406	Q16665
Q13554	Q9UQM7
Q15038	Q9UNA4
Q00987	Q9H2X6
Q8IXH7	Q99623
O95166	Q8IXH6
P62136	Q13315
O43639	P11274
P60763	Q5JSL3
Q9C086	Q9H9F9
Q13283	Q14164
P01111	P19174
P50053	P53680
P23508	P29144
P09619	Q12913
P18846	P22694
Q13873	Q13976
P12931	P43405
P30876	P53803
P07948	Q92529
P30291	P63208
P08069	Q05397
O00716	P04198
P26442	P51668
P17081	Q7Z6B7
Q13573	Q8WX92
P16118	Q96RG2
Q08334	Q9ULV8
Q5RKV6	Q9NPD3
P62899	Q01844
O14893	Q15287
Q02080	Q12968
P06870	P08603
Q96E14	Q9H9A7
P08581	P27986
P17948	P49767
P61981	Q96N67
Q9BSJ8	Q9Y6K9
O95813	P56706
P22061	Q9Y4K3
O94805	Q12824
Q9UHI6	Q9Y478
P00533	P31749
O75400	Q76L83
P41597	Q9Y4X3
P08514	P55268
P07288	Q5VVJ2
P31314	Q04724
P06748	Q9UM07
P07437	Q99459
P56524	Q6W2J9
P05771	P50281
O76094	Q99459
Q13620	Q9H7D7
P11802	P50613
Q13216	Q9UNS2
O00264	P23508
P51587	P62993
Q15797	Q9UGU0
Q9BY07	Q9UKV8
Q15648	Q71SY5
P18146	P49279
P14866	P63104
P30519	Q5UIP0
Q99805	Q9H1C4
P02462	P16144
P36888	P40763
P25445	Q9UKL3
P01106	Q9ULJ1
Q13535	Q15007
P62877	Q8NFZ0
Q6MZQ0	Q6R327
P23508	Q13617
A0JLT2	P52292
Q12913	Q13501
Q8TF72	Q99459
O00168	P22612
Q08493	Q13554
O14543	Q5VWK5
O15484	Q9H1Y0
Q8NHZ8	Q9UJX2
