#node1	node2
P63218	Q9NQ66
P20023	P60033
P0CG48	P18206
P01116	Q99832
P15056	P62070
O14904	O75197
Q92830	Q92878
O00459	P10301
P05112	P10242
O14775	Q08462
Q9H1J5	Q9NPG1
P09936	P40337
P12814	Q9UGI8
Q9BWF2	Q9H2G2
P01111	P48736
P62753	Q92597
Q13233	Q13627
P49642	Q15653
P07942	Q5VTD9
P42684	Q13671
P46109	P62993
P07437	P41279
P01116	P05412
P48556	Q15796
P08648	P53420
O95343	Q5BKZ1
Q13322	Q8IZP0
Q15008	Q9BQ83
P17858	P19438
P48443	Q6UWE0
O14625	Q00653
P63215	P84996
Q99873	Q9Y5L4
P56385	Q9HCK5
P61073	Q8NHW4
P07498	P10398
P0CG47	P62987
P40429	Q8NBJ4
P01579	P16871
P13010	Q8N2W9
Q96HC4	Q9UBQ5
P29274	Q99814
Q03013	Q13432
P15884	Q6ISU1
P12931	Q9Y6K9
Q96S59	Q9H4A3
Q12872	Q13315
Q71U36	Q9UN37
P50613	Q03181
Q13315	Q8IZ07
A6NM45	O95832
P14416	P30154
P04637	Q13625
O43187	P46977
P21860	Q13191
O95715	P49238
P0C0S5	Q9GZN1
P45985	Q16539
O75385	P42345
P52435	Q6P1J9
O75896	Q6P2I7
P09601	P31483
P61313	P63173
P27348	Q92574
P62140	Q9NP77
P00519	Q92874
O60486	O75326
O94817	Q969H6
Q09013	Q16637
P08138	P16104
Q6WCQ1	Q9GZR1
P01889	Q9NR30
P05771	Q9NQA5
O95343	O95677
406883	P01112
Q8TEX9	Q9NVP2
P05783	P62258
P21918	P38405
P04899	P29474
P32246	P80075
P62899	P62987
P09619	P61328
P49716	Q4KMQ2
Q13443	Q9UI95
P46779	Q9NX58
O14775	P16520
Q86YM7	Q9BYB0
P10451	P35680
406947	P14921
P01100	P49913
P38405	Q8NH69
Q13509	Q15012
P05067	P98170
P40763	P45983
P26010	Q9HBI0
O43242	P48556
Q14686	Q96PK6
Q13573	Q9Y618
P18146	Q86UL8
P08581	Q9Y264
Q13315	Q96Q83
P46092	Q9H2A7
O00410	O95166
P23508	Q96EY4
P23508	Q6P1L8
Q13501	Q16543
Q15286	Q9UM73
P08575	P10912
P12270	P16220
Q969T4	Q9P0P0
P18084	P49747
O75821	P41091
P41273	Q12933
Q00005	Q15717
Q13765	Q5T3J3
P15880	P62851
Q15287	Q9BXP5
P30480	Q9Y295
O60287	P16333
P08107	P11142
P62304	P62316
O00267	Q13123
P23508	Q9Y4L1
Q13619	Q9H7D7
O95990	Q12933
P22694	Q8TCU5
Q969X5	Q9Y282
P23246	Q14192
P12980	P32969
Q5VT25	Q92614
P58876	Q9UQL6
407008	P62745
P01574	Q5VWK5
P07332	Q8IZP0
O14980	P00519
Q93074	Q9NX70
P06213	P35222
P11940	Q15366
O60264	Q9NRG0
P13498	Q8NFA2
Q9UNQ2	Q9Y5V3
P24534	Q00005
O60674	P07947
Q9H6D7	Q9NVX0
O95208	P42566
P34931	Q01201
O95777	P62310
P49716	Q71DI3
P04637	Q03468
P29597	P42226
O75084	Q9H1J7
O00411	Q14197
P40763	P58753
P25490	P62805
O15198	Q13873
P01871	P20273
P17535	P35638
O95644	P22612
P06241	Q96B97
P15336	Q9Y230
P42229	P51813
O14773	P33076
O95644	Q9BZS1
P40337	P46783
P08069	P63096
P20585	P43246
P01308	P27986
Q9C0E2	Q9HAW0
