#node1	node2
P55210	P80303
O15379	P50402
P63104	Q8WWI1
Q14674	Q9UQE7
Q96CW1	Q9HBG7
Q14832	Q9UK08
P42229	Q8WXH5
O00459	P42345
Q7L590	Q9BXI2
P61964	Q9H8E8
P12757	Q7L2E3
P63000	Q14155
P41227	Q9H8T0
P07437	Q99459
P25786	Q13838
P20701	P40337
Q13501	Q14596
P07942	Q496J9
P30519	Q15047
P52597	Q15366
P22607	Q9Y4K3
P07766	Q8TE68
Q14643	Q86YM7
P11279	Q92542
P01009	P51124
P01106	P13489
P10276	P62195
P07339	P51149
P31749	P62140
P35222	Q99697
Q8WX92	Q9H3P2
P16035	P61289
Q93009	Q9H0Y0
Q13617	Q15843
O14640	O15169
Q15054	Q16254
P48556	P62191
P56750	P56880
O95704	P00533
P24522	Q13561
P19793	P42575
O60262	Q13368
407044	P00533
Q53T94	Q9Y2S0
P62258	Q00536
