#node1	node2
P62805	Q9UBU8
O15379	P20671
P14927	P43355
P41240	Q8TEW0
Q9BRR9	Q9HBH0
O95967	Q14966
P20073	Q8WTW4
Q13547	Q7Z2G1
O00144	Q99750
P46379	Q8TAA9
O96014	P56705
P02768	Q8TDN4
P62258	Q16543
Q14695	Q8N357
O14920	Q7Z434
Q9HAC8	Q9HCM9
P48454	Q9NZT1
Q9H5H4	Q9Y328
O00303	P41567
P25445	Q13233
P62195	Q16401
P06493	P10244
O43318	Q16539
P16520	P45984
P04637	Q9NY72
P07766	Q8TE68
Q9UJZ1	Q9UKV8
P20226	Q9NZ32
Q8IUE6	Q969S8
P00540	Q99640
P00533	P52797
P01303	P20382
P25787	P40306
P50150	Q9HBW0
P21673	Q15047
P01100	P53779
P28066	P60900
A6NC98	Q9HAU0
P03372	Q86VZ2
O75347	Q9UKE5
P05198	Q9P2K8
Q13797	Q9Y6K9
O14508	Q99062
O43524	Q16828
O15047	Q8N257
P24844	P35580
Q05209	Q07912
693122	O95931
O60493	P40337
O75791	Q7L4P6
P20936	P52798
P25103	P50148
O00213	Q8NEU8
P25774	P29508
406995	Q15796
P06400	P67775
Q8IZ07	Q9Y3C5
O43561	Q9UQC2
Q96CW1	Q9HBG7
Q13315	Q6VMQ6
Q13535	Q9NVC6
P20936	P54764
O43524	Q8WTS6
Q13137	Q9UHD2
O43257	Q16539
O95071	Q8IY92
P05106	Q9Y6N6
P31749	Q86XI6
P15884	Q96I15
O75896	O95757
Q9NZ08	Q9Y6D5
P23508	Q01469
P42768	P61160
P16118	P27361
O15264	Q8NC51
P41235	Q9Y6Q9
Q14019	Q14164
P11487	P35968
O00212	P36897
P51684	Q9NRJ3
Q15306	Q86UE8
O75385	P42345
Q9UM73	Q9UQ80
P35548	Q9Y5V3
Q6ZSG1	Q969T4
P23508	Q9Y4L1
P12109	P16144
P46783	P62241
P06241	P15498
Q9H1J5	Q9UP38
P01889	P29401
O75348	P36543
P35790	Q16665
Q6EMK4	Q92542
P29965	Q9Y6W8
P16220	Q8IV04
P12980	P62851
P04637	Q92754
P02686	P20916
P62879	Q00975
O00555	P63096
P12314	P43405
P62834	Q9UI14
Q13330	Q9NVP1
P29322	P52797
Q07817	Q8IV08
P16581	Q06124
P11388	P78527
O60563	P51825
O60739	P62249
P17568	Q86Y39
