#node1	node2
O00459	Q13480
P60709	Q7Z406
Q99700	Q9P1U0
P01106	P68366
Q92597	Q969Y2
P31947	Q14153
P52735	P54725
P20827	P29320
Q96L33	Q96QB1
O75015	Q8N6C8
Q99460	Q9UNM6
Q13137	Q15906
Q14525	Q9BUP0
Q6UWZ7	Q99728
O14974	P62993
P51668	Q9H0F5
P27448	Q96ER3
P51116	Q15233
Q16795	Q9NTG7
O00422	O00571
Q71U36	Q9H840
O14735	P19438
P46531	P78504
P17275	P40763
P62879	P63092
P41220	Q9ULJ8
P05386	P46779
P05107	P61224
Q01081	Q05519
P01375	Q13200
O75626	Q9NVW2
O76093	P06213
P84243	Q96BD5
P07910	Q01081
P08670	P41219
Q13573	Q14203
P05141	Q15796
P20674	P40337
Q5T013	Q8IUQ4
O95382	Q99683
P27824	P30101
P31946	Q13671
P50539	P61244
P26641	Q969Q1
P00519	Q8WX92
O15156	P02452
P10451	P18084
O96020	P46527
Q06330	Q96T58
P25054	Q9UP83
P07355	P35232
Q13432	Q8TF21
P62258	Q9H4A3
P62877	Q9H4M3
O14964	Q9UBB9
P08151	P24941
Q13315	Q15172
P15531	Q9Y3F4
P43146	P56270
O43765	P46379
P24385	P38936
O95865	Q9NYL2
P31947	P68400
Q9H0T7	Q9HAU4
P57081	Q9P2G9
P51686	P55773
P07550	Q9UBU3
P01574	P42224
O15530	Q04917
P41221	P56705
O43918	P55157
Q8IWZ8	Q8IX12
P26373	Q04206
P01112	Q04864
O00574	P32121
P53779	Q13077
P27986	P31785
P18146	Q14585
P01225	Q13164
Q96MG7	Q9NXX6
Q07817	Q9HBF4
P43246	Q9UIF7
O15105	Q9NYJ8
P48736	Q9ULV8
P98160	Q14512
O75626	Q7Z7L9
P16473	P63092
O15350	P63244
O75326	P00519
Q09028	Q8NHZ7
P42771	Q9BY76
P49747	P56199
P41597	Q9Y258
P04350	P20333
P01112	Q9NZT1
P0C1Z6	Q6P4R8
Q96M95	Q9Y3Q8
Q99750	Q9HB75
P26012	P35443
O75030	Q9UJU2
Q9NP77	Q9UKF6
O43809	Q9UHD1
O00257	O95931
P36896	P61812
O15524	P04626
P42702	Q8IZI9
P18545	P19087
P43686	Q9Y4K3
Q14457	Q9NYJ8
P61224	Q9UNN5
O00292	P10600
P61218	Q9H1D9
P62987	Q93009
P00519	P52803
P01106	Q7Z3D6
Q969S8	Q9Y618
Q13748	Q9BSJ2
P62310	Q969L4
P83916	Q13111
P28062	Q03518
P22105	Q13683
O15145	Q96P48
O60262	P17612
P19838	P62158
Q8IWV7	Q9UBS4
P13500	P19838
P53350	Q9NQS7
P10721	Q9HCE7
Q13042	Q9UM11
P35626	Q8NH18
Q9H0M0	Q9H469
O75914	P45985
O14569	Q13432
P04899	P48039
C9JDP6	O95049
P11047	Q6VMQ6
P62081	P62263
P49023	P63261
P46934	Q02543
P46094	Q15835
Q9BQE3	Q9BSJ2
Q7KZI7	Q7L7X3
P38484	Q04206
P05387	P62913
O14493	P57739
O14654	P42338
O14654	P62993
P05231	Q5VWK5
P49720	Q9Y5K5
P63104	Q9BQE3
P45983	Q9H257
P01127	P17948
O95777	Q96AB3
P43307	Q9HAW0
P19838	P35606
P25054	Q8TB52
Q01094	Q01892
P15882	P61586
P18754	Q5T3J3
Q15637	Q9BWF3
P27986	P63000
O00329	P07948
P25963	P27986
Q16548	Q9BXH1
P51946	Q92759
P11802	P38936
Q6P1J9	Q92541
P42684	Q14247
P42768	Q13094
Q7Z794	Q8WUW1
Q12873	Q8N6T7
O00716	P04198
P22694	Q99941
O43561	P43403
P06241	Q9BYB0
P13637	Q9NSB8
P63092	Q9UK08
P23526	Q9Y4K3
P62166	Q9UBF8
O60885	O75400
P32248	Q16663
P22415	Q15466
O00571	Q13077
P11940	Q14103
Q8IZL2	Q9UBG7
P15336	P53567
P01889	Q9NR28
Q15370	Q96G25
Q9GZZ1	Q9Y4K3
P61981	Q9BZ23
P11171	Q01081
O43157	P15153
Q13873	Q7Z5Y6
P38484	P42224
P04003	P0C0L4
P04843	Q9BUV8
Q13522	Q15173
O15145	Q16659
O95136	P50148
P25025	Q9Y258
Q96GM8	Q96S21
O75038	P05129
P22460	Q96RT1
O95267	P0C869
P14678	P67870
P00746	P02768
P35222	Q9Y6N8
P07437	Q13573
Q16539	Q9Y2T4
P11473	P48443
P26232	P60709
P10275	Q9UBS8
P30480	P56192
Q07666	Q13573
P55160	Q96F07
P62993	Q9H3D4
Q8TBB1	Q9BQ66
O75818	O95059
O95167	Q86Y39
P18545	P35913
P19532	Q5ST30
P49841	Q03701
P48551	Q13007
Q86U70	Q9NVW2
O14656	P16104
P27695	P78527
P17568	Q86Y39
Q13547	Q4LE39
O96019	P0C0S5
P46108	Q9P1A6
O95471	Q9BQY4
P19438	Q9Y5S8
P46527	P62993
P23469	P29353
O60603	Q92734
P14921	Q02548
P02671	P05106
Q6P1J9	Q8IX03
P13805	Q9UNN5
P62899	Q14164
