#node1	node2
O95197	Q8N612
O95831	Q13233
P05113	Q9HC73
Q13007	Q6UXL0
O15151	P04637
P31269	Q03164
O43318	P14868
P35544	P62841
P00533	Q96EY1
Q13007	Q14627
P38398	Q00266
O60610	P60673
P01112	Q8N9B8
P05231	Q5VWK5
O15264	Q9Y6M1
O95997	Q9UJX6
P46108	P50570
P02545	Q15139
P60953	Q8IWW6
P27824	Q01453
Q6PEY2	Q9BVA1
O94762	Q86XP3
P10398	Q96KB5
P30153	P42285
P30154	Q15759
O00459	P62070
O43699	P41159
O00459	P19174
O43914	Q13241
O95834	P01889
P01569	Q08334
P06756	Q9NVD7
O00626	P19838
O15111	O43353
O95931	Q9BSM1
P23396	P62851
P42345	P49815
P0CG48	Q00653
P52272	Q8IWZ8
P07332	Q5VU43
P10242	Q5TKA1
P23508	P83731
O14986	Q9BTU6
P42025	Q14203
P61073	Q07325
O00255	Q96ST3
Q06432	Q66LE6
P02533	Q15628
P24043	Q7L0J3
P62304	Q9UHI6
P38936	Q9H3D4
O75791	Q7L4P6
P62979	Q14596
P18621	P40429
Q01831	Q9HAW4
P30504	Q15691
Q2TBC4	Q9ULK5
O15397	Q15628
P02686	Q13501
Q99558	Q9HC29
P38936	P46527
O00585	P25024
P59768	Q14416
O15259	O75161
O75369	P46108
P01106	Q15477
A5PKW4	Q96S21
P09874	P11388
P26583	P48729
P41743	Q9HD67
Q92765	Q9H461
P37837	Q9UKY1
P01243	P24534
P50570	P51149
P51817	P54284
P07900	Q8TDR0
P38405	P47888
O75554	Q15427
O14492	P09619
Q08999	Q14186
O95837	P29371
O60733	Q05655
P10144	Q92851
P25440	Q9Y230
P06493	P51610
P06730	P78344
O14512	O60674
P01106	P43246
P62070	Q9Y4G8
P18077	P61254
P26010	P35442
P12757	Q13485
Q03135	Q9Y4K3
P67775	Q9Y570
P54727	Q9UMX0
Q02413	Q13315
P21580	P31946
P62979	Q9P2N6
O75461	P99999
A6H8Y1	Q92994
P05771	Q9GZT9
Q12933	Q13526
Q96AW1	Q9Y483
P21333	Q13683
P60709	Q08945
P23634	P78352
Q14164	Q9BXJ9
Q92597	Q96KP4
O14492	P29353
Q08116	Q15714
P28222	P59768
P07307	Q96G23
O95178	O95299
P10914	Q9BQI3
Q13568	Q14653
O43237	Q9BQE3
Q86XI6	Q9NSC5
P0C5Y9	Q93079
P61964	Q9NZJ0
P30153	Q06190
P18077	P61313
P58876	Q9UBL3
P62993	Q9UQ26
Q15819	Q99496
O00238	O94921
P38398	Q15853
Q9BTT4	Q9BWU1
O95831	P08107
P32121	Q8NHB1
Q8TEY5	Q9UQM7
O75478	Q9UPT9
O43543	Q92878
P61981	Q9P0L2
O14757	Q8WXE1
P06241	Q13761
Q13368	Q99250
P13569	Q13200
Q05516	Q8NHQ1
P68133	Q969Q1
Q96HA1	Q9UKX7
P15509	P22681
P28749	Q14653
P31943	Q86V81
P57729	P84022
P02775	Q92879
Q99759	Q9NQP4
P05231	P32927
Q13315	Q15021
Q92934	Q9HD36
P19419	P31152
O76061	Q86VW0
P23297	P26447
Q9UBC0	Q9Y261
P21333	Q9Y572
Q15796	Q9Y262
O15084	P53350
O43524	Q16659
P62753	P62841
P42261	Q9UQM7
P62979	Q86VN1
P16070	Q13751
O00329	P63096
Q6ZUJ8	Q8WYR1
P62258	P68371
Q99469	Q9BU70
O14920	P62158
O75955	O94875
P26992	Q16619
P36956	Q04206
343477	O75815
P04637	Q92630
P35626	Q96R45
O60343	Q9ULJ6
Q12988	Q15047
Q52LW3	Q9HBH0
O43295	P61587
O14656	Q96NW7
O43353	P19438
Q00653	Q00839
O14610	Q13698
O60925	Q16891
O75947	P05496
O00459	P17081
P22612	Q12879
Q16611	Q9Y371
P52272	P61978
O60563	P24928
Q13349	Q9HB31
Q13009	Q8IXI1
P49716	Q9H819
O75385	Q8IYT8
Q14164	Q15691
P12004	Q15843
P30279	Q00534
P16220	Q9UKY1
O60493	O75558
P05386	P62888
Q8NB16	Q9Y572
P25100	Q03113
P48551	P60568
P11234	P17252
P08670	P20333
P06493	Q08050
P05129	P46527
O95166	Q9UPU7
P18077	Q9Y4K3
P04843	P39656
P28482	Q13464
O95166	P40939
P42702	Q9HBE4
P19256	Q9UGN5
Q9BUJ2	Q9NPI1
P30450	P43626
P51685	Q9Y4X3
P38398	Q9NRH3
P15311	P25815
P19784	Q16539
P12034	P29317
P49281	P62979
P01909	P01920
O00329	Q9Y6W8
P16403	Q96EB6
P08123	Q9UKX5
O94829	P63279
O14978	Q9H8W4
Q15428	Q7L014
P10914	P12004
O75376	P56524
Q99570	Q9NX18
Q13227	Q9Y618
Q4V326	Q8NEA9
P09619	P10767
P58876	Q92796
P01106	Q9BS16
P07355	Q9UHV8
P55211	Q9UKG1
Q7L5D6	Q9P2H0
P24821	P31431
P62136	Q16816
P12004	P13051
A6ZKI3	P00519
P02743	P08637
O00329	P46108
P17676	P27361
Q8IW50	Q8IX03
Q13432	Q8TF65
P39656	Q86WV6
Q02241	Q16537
Q12923	Q8TEU7
O15381	Q9NPF4
P19438	P62987
P19525	Q9H0E2
P27701	Q8TAA9
P46092	Q16627
O60934	Q99708
P30153	Q9NSA3
P31946	Q9UJ41
Q8WYH8	Q92794
Q13315	Q99638
P17181	Q9GZX6
O95750	P09619
P50539	P61244
P08670	Q8N283
Q04323	Q9NVP2
P17081	Q13017
P07196	P61981
P46776	P63173
P62136	Q9GZV5
P31689	Q13233
P67870	Q13426
P04004	Q9UKX5
O60244	Q9NPJ6
P41586	P62873
Q14469	Q96EB6
Q00653	Q01201
Q9NQR1	Q9NZJ0
Q6Q0C0	Q8N2W9
O75970	P56747
O00255	P31274
P12314	P17947
P14635	P46527
Q15465	Q5VTY9
Q6ZVL6	Q9P2R6
P20073	Q04724
P43246	Q9UQ84
O94776	Q96KQ7
P36897	Q9HAU4
P49841	Q9HBH7
P84243	Q12888
P20309	Q9UBI6
O95696	P49736
O95967	P27658
O75448	P49841
P43250	P49407
Q16539	Q9UBI6
Q13315	Q86VM9
O60674	P01571
Q01094	Q14790
P29992	Q9Y271
P25205	P33993
P38405	Q8NGJ6
O14543	P16871
P04626	Q9UBN7
P35580	Q13464
Q13148	Q13573
P98077	Q02763
P38405	Q6IF00
P16234	Q9Y4K3
P02775	Q13794
Q12933	Q13572
Q15714	Q16531
P60022	Q12851
P27348	P48729
Q14164	Q86WV6
P42336	P46108
O75800	Q96BK5
P63146	Q14194
Q9H2G2	Q9UJV9
Q14765	Q15759
P03905	P56556
P42224	Q6NXR0
P16035	P22234
O14836	P51617
P55157	Q14999
O14530	O95163
P18074	Q13889
O95831	P16104
O00560	Q01344
Q15942	Q8IY92
O75674	Q9UK61
P11142	P35225
P18146	P53667
P38936	Q6EMB2
P41240	Q15262
A8K4G0	P06241
P24864	Q9UPP1
P06239	P46531
O60762	Q92956
P23229	Q13683
Q92843	Q9BXH1
P05026	P17612
P18206	P68032
P38646	Q13535
406935	Q53EP0
P49327	Q13573
Q08945	Q6DN03
P01892	P43628
P17612	P36507
P08107	P54725
Q7L0Q8	Q96N67
Q02539	Q9UQ80
Q676U5	Q9HC29
P27815	Q13501
P46379	P52757
O00141	O14920
P02686	Q9Y463
P40616	Q9Y2Q3
P0C869	P50148
P12235	Q9Y277
P11142	Q92598
P0C0S5	Q9NPF5
407025	Q9Y6K1
