#node1	node2
P19525	Q9NX58
O75578	P05556
P01008	P41235
Q05516	Q8NHQ1
P01100	P27695
Q9UJS0	Q9UL18
O15524	O60674
Q7L5N1	Q9GZN7
O95786	Q9H6S1
P08134	Q8IWW6
P00533	Q99962
P30048	Q8TAX7
O75530	Q15714
P11362	P42338
P01579	Q14765
Q10570	Q6ZVL6
P51668	Q96EP1
P0C5Z0	Q92769
P32121	Q8NH00
O00418	Q15418
P06241	P30273
P18206	Q9Y490
P18507	Q15111
P38432	P52292
P26885	P46379
P47756	Q9Y572
Q96JB5	Q9H2U1
Q15021	Q9HC98
P04150	P30519
Q02045	Q9BZL4
O75528	Q9UPT9
Q71U36	Q96RT8
Q00597	Q13813
P30153	Q5THK1
O00555	Q9HAV0
P32969	Q9UNX3
O15392	P06493
Q13557	Q7Z3S7
Q8IXK0	Q9UHJ3
O60934	P63165
P36897	Q04771
P29992	Q9NPC1
P04141	Q08334
P13945	P34947
P13805	P62195
P13378	P20073
P18206	Q08043
P08700	Q9UHF4
O60296	Q99928
Q15080	Q9Y5S8
Q96L14	Q9P2A4
P43686	P62333
P09471	P12931
P30793	P53778
P55957	Q04724
A1A4S6	Q9H4E5
P28482	Q13554
P42575	P78527
O14493	O75970
P35372	P61952
P05387	P61353
Q969T4	Q9P0P0
Q96PU5	Q9H204
P30679	Q13255
P08238	Q04206
P13236	P51679
P17948	P52797
P27037	Q04771
P22234	Q9Y4K3
O15265	O75486
P62899	Q15843
P19174	P35968
P15172	Q08999
P01889	P61289
P25025	P80098
P37198	Q7Z3B4
O75496	Q14566
Q13535	Q9UER7
P49407	P62714
O60290	P54259
P49674	Q92888
P55212	Q13490
P63000	Q96G28
O43237	Q6PEY2
Q8TB05	Q96G25
P31749	Q15759
Q13435	Q15287
P35268	P62750
Q92925	Q96GM5
P10301	P27986
P11142	Q86UA6
P62877	Q9NZJ0
P16220	Q9Y4E5
Q92956	Q9Y5M8
Q13485	Q2VWA4
P62805	Q8NBZ0
Q14164	Q6UWE0
Q99459	Q9UBP9
P07237	Q13177
Q5JY77	Q6IB77
Q14240	Q92698
P14854	Q8IXH7
P16220	P42858
Q13620	Q6UXN9
P0CG48	Q15311
O15198	P02792
P04150	Q92922
P00519	Q09472
P11021	Q99558
O15144	Q9BPX5
A1L0T0	P01106
Q13485	Q9BXP8
P08631	Q07889
P02751	Q14766
Q02363	Q5T3J3
P16471	Q8IU54
Q08945	Q99880
Q8TDB6	Q9Y2X8
P01344	P24593
P25205	Q13177
O95208	P00533
P41235	Q9BUP0
P84022	Q13501
Q13315	Q9UPU5
