#node1	node2
Q6ZW49	Q9C005
Q9H461	Q9Y6F9
Q13472	Q2NKX8
P63010	Q00610
P09874	Q9Y5B9
Q96T60	Q9NP98
O15198	P28799
P62280	P62701
O75448	Q9UK32
P24394	P78552
P28799	P98160
Q13547	Q9Y618
P68104	Q92561
P62877	Q5XUX0
O75367	Q8IYW5
O75688	Q00534
P25398	P46783
P28328	Q9UKR5
P60900	Q00653
P42568	P68104
O75578	Q14031
P16885	P48736
O14893	Q16637
P27361	P62714
P63211	Q92806
O15519	Q9UH99
P11532	Q13535
Q12789	Q99612
P14770	P27986
P18206	Q01081
O95409	P08151
P01127	P16234
O14757	Q06609
P0C5Z0	Q7Z2G1
Q9NRR5	Q9UMX0
P26951	Q13007
Q08170	Q9H307
P29460	Q08334
Q8N5R6	Q96BR9
P01588	P19174
P35222	Q9BZK7
P20226	Q15650
P48061	P51681
P00519	Q96IW2
P11274	Q13432
P14784	Q13007
P04222	P25205
Q9BTP7	Q9Y4R8
P53618	Q9H013
Q15109	Q99836
P25398	Q99558
Q01201	Q96GM5
O14657	P16104
P10275	P35222
Q9UNF1	Q9Y2Q3
O00585	P00505
P01308	P28482
P20226	Q00403
P14784	P29597
P61981	Q9Y2U5
P51532	Q01196
Q6FI13	Q8N257
O75182	Q14188
Q15319	Q99684
P03897	P03905
P62308	Q15287
P49407	P68400
P21462	P63092
Q9NVI1	Q9Y5V3
P17844	P61981
P00519	Q9BZM3
P08047	P42858
A6NMZ7	P56199
O15360	P16333
Q07889	Q9NZM3
P14784	Q9UBD9
O95433	P55287
P02452	P26006
O60733	P28482
P16870	Q5T3J3
P10721	Q92569
P14778	Q99836
Q13191	Q9Y371
Q13114	Q9HAV5
O75197	Q9UBP4
P17844	Q99570
O94761	Q9Y248
Q00005	Q9HCC0
P52565	P55210
Q13310	Q96DH6
P84022	Q8N6I1
O14641	P19784
P22612	P42263
O15524	P52333
P29474	P62158
P22694	Q9NY47
P49005	Q9HCU8
O00512	Q9BRQ0
P78527	Q01201
P04156	Q9NW64
O95467	P48546
406909	P04150
P26678	P36873
P29353	Q13418
P56524	P63104
P15153	Q96F07
P12931	Q15118
P08238	Q9H5J8
P51946	Q96JH8
P04626	Q9Y2R2
O15264	Q9Y6W6
P42677	P62854
P63104	Q7KZI7
A6NM45	P56750
P46060	P55854
P00558	P27540
A8MYJ7	P60510
P30153	P31749
Q8N6Y0	Q8TDP1
P15822	P18206
P36894	Q6KF10
P20073	Q93063
406947	P30556
Q9NPH3	Q9NWZ3
P15509	Q8IU54
Q7Z2G1	Q9UQL6
P01584	Q86W26
Q16659	Q8TAM1
Q15075	Q9Y2X7
Q12834	Q14532
P03372	P48061
P23246	Q99558
P32248	P35626
O60503	Q16566
P45983	P48594
P46459	Q8N1C3
Q13489	Q13546
O60894	Q16602
P31749	Q13315
A8TX70	P06756
P56705	Q9ULV1
P01106	P11362
P05412	Q9H4B4
P00439	P52597
P63211	Q9UBS5
P0CG47	P49427
Q08209	Q12968
Q4VXU2	Q9UIV1
P46459	Q9UNK0
P50990	P67775
P04629	P46934
P55209	Q6ZVT0
P01023	P07225
P61204	Q9NRD5
Q92561	Q96G25
Q96HR3	Q9NWA0
P61586	Q01449
Q14194	Q9BXM7
406886	Q9NZI8
P18846	Q16649
P62306	Q9UK45
P63000	Q53QZ3
P08134	Q969H4
Q14683	Q29RF7
P22626	P62993
P62633	Q99729
O15105	O15379
P02545	P16104
O60496	P00533
P49411	Q00005
P23258	Q6NZ67
P51679	P80075
P22694	P62158
P01236	Q13177
P13725	Q13651
P46781	P62753
P15153	Q6ZUM4
P63279	Q05516
P18077	P61254
P0CG47	Q9NZ52
Q06609	Q9Y376
P09619	P22681
P61088	Q9HBD1
O95989	P27695
P08754	P22612
Q9BQA1	Q9Y3C6
Q96L14	Q9BQD3
P55081	P61981
P27986	Q9UPX8
Q09472	Q96KQ4
O95757	P23508
P17676	Q04864
P54259	Q12805
Q15370	Q9UK73
P18564	P78509
P04406	Q99877
Q86X95	Q9Y618
P19174	Q9H9L3
P08581	P49763
P51149	Q7Z3C6
P26715	P30443
P08138	P31371
Q13191	Q9HBE5
P43405	P48736
Q15554	Q8IY92
Q9BT92	Q9Y5B8
P14923	Q00005
P50224	Q16637
P36578	P62913
Q06190	Q5T6C5
P49792	Q4LE39
O14497	P06400
P14210	P17948
P61353	P61927
P42684	Q14247
P19525	Q00597
P50851	Q13315
P25024	P80098
P01106	Q96QU8
P05067	Q9Y6R0
Q96EB6	Q9GZQ8
P09471	P27986
P24539	P56134
P01730	P28068
P38432	P61289
P60953	Q9H4E7
A6NKK0	P35626
P12931	Q6S5L8
P28562	P31152
P08172	Q9UK08
P16035	Q13952
O96019	P51532
P0C5Y9	Q7Z2G1
Q16891	Q9BQ95
P49841	P61968
P51668	Q9C035
P61952	Q9Y2J4
P27695	Q16665
P29353	P62316
P32927	Q969D9
P63211	Q96PN6
O95163	Q99558
P26992	Q969D9
P04278	P54819
P62136	Q8TEY5
P46094	Q9Y258
Q16659	Q9Y3A4
O96019	P0C0S5
P51965	Q99942
A1A4S6	P17081
P48736	P60484
Q16543	Q9Y4K3
P19174	P52333
P20333	Q13490
Q96AH8	Q9NY65
P31150	Q9UI14
P36896	Q9HCE7
O43889	P62136
P16989	P28482
P30480	P61289
Q96A23	Q99829
Q04206	Q96EY1
P63244	P78396
A0JLT2	Q93074
Q9NY93	Q9ULT8
406933	P61812
O14920	P09874
O00459	P42345
P42574	P43146
P46937	Q07812
O15055	Q9UKB1
P08514	Q9Y6N6
P11488	P18545
P40189	Q969D9
Q15714	Q86Y56
P35609	Q86TC9
Q9BVJ6	Q9GZM7
P52756	Q9BQA1
P16112	P98095
Q13131	Q9H9S4
P01106	Q01850
P25445	Q9H3D4
P10276	Q9Y6Q9
O15392	P34932
P03915	P51970
P10114	P27986
P0C0S5	Q99877
P26006	Q14315
P01567	Q9HBE5
P11387	Q07955
Q13009	Q13153
P52789	Q16665
Q9ULQ0	Q9Y3A3
P24928	Q8N7H5
P57737	Q15369
P54646	Q13131
O00483	O43674
P54257	Q8N8D1
P05231	P52333
P31930	P51531
Q14999	Q96KG7
O95467	P47712
Q9H492	Q9NS87
P05386	P62891
P50151	Q14416
P17302	Q9BQE3
P62993	Q96B97
P21554	P62879
O60216	Q8N3U4
P22612	P54709
O14576	P07437
P25788	Q92956
Q8NFH3	Q9UKX7
Q14683	Q16629
P10153	P13489
Q9H6R7	Q9Y3C7
P35251	Q13535
P20936	P27986
P63096	Q68DD2
P04406	Q16363
O43586	Q9Y5K6
Q9H6R7	Q9Y265
P25054	Q6Y7W6
P08581	Q96S59
Q13562	Q15911
P35568	Q9NRF2
Q05397	Q06124
O15524	Q08334
P12956	P45973
O43172	P49759
P35609	P63104
P01111	P15056
O75569	Q9NPJ3
P55196	P63267
O15397	Q99684
P40337	Q8TBZ2
P62807	Q9P0M6
Q9H668	Q9UGJ1
Q01081	Q13573
P31749	P54253
P30480	P39656
P28482	P67775
P01889	Q9Y277
P15172	Q08999
P63000	Q7Z6J0
P53350	Q2NKX8
Q09028	Q9H7L9
Q86UK7	Q8TF46
Q16512	Q16539
Q8NDV3	Q9UJ98
P61289	Q96EV8
Q99784	Q9NRI5
P00439	Q14CB8
P04183	P04406
P54253	Q9UBE8
P08138	Q96GC6
Q07890	Q53QZ3
P06241	Q13094
P28221	Q9P2W3
P31749	Q96DZ5
P21802	Q9NP95
P05556	P35443
406979	P43354
P47804	Q92781
P11362	Q07890
P10720	P32248
P22061	P62993
O00574	P19876
P35637	P52565
O60641	Q15750
P01106	P55884
P08887	Q13191
P17612	P50993
P30154	Q13936
Q8WXS3	Q99750
P37059	P41235
O14639	P62993
P01106	Q8N163
O95750	Q02763
Q96B02	Q9NX47
P41968	Q8TCY5
O43921	P09619
Q13761	Q99623
P25205	Q13315
Q07817	Q16611
Q13402	Q96QU1
P06493	P49841
P55212	Q9Y616
P18077	P35268
O15239	O43674
406952	O43521
O15111	Q13489
P10828	Q15654
P30408	Q08345
P54619	Q96A54
P62256	Q6FI13
Q92599	Q99719
Q15788	Q9UL51
O95425	P37231
Q01844	Q9H467
O15047	Q13315
P35916	P42338
P23921	Q9UET6
O60318	Q9UKK9
P50402	Q7L5N1
Q9HC24	Q9NX76
O95182	O96000
P63165	Q96PQ6
P01178	P03372
P09382	Q9UGT4
O15162	Q96LJ7
P12931	P35222
P35626	Q8NH74
P78386	Q9NYV4
P26373	P27635
O94906	Q15287
O60231	Q96KG7
P51946	Q96DI7
P37173	P61586
P63104	Q9NRQ2
P23508	Q8IYT4
Q9BPX5	Q9Y6W5
Q9H293	Q9NRM6
P08047	P30273
O96000	Q86Y39
P05107	Q9Y490
P17676	P49715
Q9H4K1	Q9Y6D9
P40763	Q9UGI9
Q92905	Q9NZQ3
P10599	Q86XK2
P31947	P61962
O75381	Q92968
Q8IWX8	Q96N46
O14775	Q13936
P04637	P63104
P06730	Q13283
Q15637	Q9Y580
P06241	P16144
Q13573	Q7KZF4
P35626	Q8NGG3
P19793	P35228
P04141	P48551
Q03060	Q8TEY5
Q8IZD4	Q9HAU5
406929	O75116
Q00597	Q9NPD8
Q00688	Q9UKE5
P10412	Q00005
