#tail	head	edge_flux
Q99523	P23560	1.55462e-02
Q99523	Q9UJY4	1.55462e-02
Q99523	Q9UJY5	1.55462e-02
Q99523	P24941	1.50524e-02
Q99523	P01138	1.30774e-02
Q99523	P30533	1.30774e-02
Q99523	P14672	1.30515e-02
Q16288	P35568	6.38180e-03
Q16288	P62993	6.38180e-03
Q16288	P18031	6.38180e-03
Q16288	P29353	6.38180e-03
Q16288	Q6S5L8	6.38180e-03
Q16288	Q9UQQ2	6.38180e-03
Q16288	P35222	6.38180e-03
Q16288	Q9NRF2	6.38180e-03
Q16288	O14492	6.38180e-03
Q16288	Q92529	6.38180e-03
Q16288	P98077	6.38180e-03
P10586	P35568	6.25314e-03
P10586	P06213	6.25314e-03
P10586	P98077	6.25314e-03
P10586	P14923	6.25314e-03
P10586	P29353	6.25314e-03
P10586	Q92529	6.25314e-03
P10586	Q6S5L8	6.25314e-03
P10586	P35222	6.25314e-03
P10586	Q9Y4H2	6.25314e-03
P10586	Q16620	6.25314e-03
P10586	O14654	6.25314e-03
P10586	Q03135	6.25314e-03
Q16288	P19174	6.04646e-03
Q16288	P16885	6.04646e-03
P10586	O75400	5.08482e-03
P10586	Q96KM6	5.08482e-03
P10586	P12757	5.08482e-03
Q16288	P12980	4.31220e-03
P10586	P12830	4.22526e-03
Q16288	P00519	3.89060e-03
Q16288	P42679	3.89060e-03
P98077	P62993	3.47588e-03
Q6S5L8	P62993	3.47580e-03
P98077	P12931	3.29324e-03
Q6S5L8	P12931	3.29316e-03
Q16288	Q00994	3.25558e-03
Q16288	Q13501	3.25558e-03
P10586	Q13136	3.18995e-03
P10586	P53355	3.18995e-03
P08138	Q9Y4K3	2.56091e-03
P08138	Q9Y5V3	2.56091e-03
P08138	P48736	2.56091e-03
P08138	O00329	2.56091e-03
P08138	P42338	2.56091e-03
P08138	P42336	2.56091e-03
P08138	P51617	2.56091e-03
P08138	Q92569	2.56091e-03
P08138	Q9Y467	2.56091e-03
P08138	O00459	2.56091e-03
P08138	Q8WYR1	2.56091e-03
P08138	P27986	2.56091e-03
P08138	P98077	2.42634e-03
P08138	Q00722	2.42634e-03
P08138	Q15147	2.42634e-03
P08138	P35568	2.42634e-03
P08138	P62993	2.42634e-03
P08138	P29353	2.42634e-03
P08138	P46109	2.42634e-03
P08138	P46108	2.42634e-03
P08138	Q01970	2.42634e-03
P08138	P60953	2.42634e-03
P08138	Q9NQ66	2.42634e-03
P08138	Q92529	2.42634e-03
P08138	Q00994	2.42634e-03
P08138	P63000	2.42634e-03
P08138	Q6S5L8	2.42634e-03
P14672	Q9UER7	2.40249e-03
P08138	Q96FE5	2.14996e-03
P08138	Q9BZR6	2.14996e-03
P08138	Q15628	2.14996e-03
P04629	P98077	2.13267e-03
P04629	P08575	2.13267e-03
P04629	Q05209	2.13267e-03
P04629	Q9ULH0	2.13267e-03
P04629	P23467	2.13267e-03
P04629	P62993	2.13267e-03
P04629	P48736	2.13267e-03
P04629	P18031	2.13267e-03
P04629	P29353	2.13267e-03
P04629	Q16827	2.13267e-03
P04629	Q9Y2R2	2.13267e-03
P04629	P42338	2.13267e-03
P04629	P35568	2.13267e-03
P04629	P42336	2.13267e-03
P04629	P22681	2.13267e-03
P04629	P19174	2.13267e-03
P04629	O14908	2.13267e-03
P04629	Q92569	2.13267e-03
P04629	P23470	2.13267e-03
P04629	Q92529	2.13267e-03
P04629	O00459	2.13267e-03
P04629	Q8WYR1	2.13267e-03
P04629	O00329	2.13267e-03
P04629	P27986	2.13267e-03
P04629	Q12913	2.13267e-03
P04629	P01112	2.13267e-03
P04629	P01111	2.13267e-03
P04629	Q6S5L8	2.13267e-03
P04629	P01116	2.13267e-03
P04629	Q9UQQ2	2.13267e-03
P04629	P35222	2.13267e-03
P04629	Q9NRF2	2.13267e-03
P04629	O14492	2.13267e-03
P98077	Q13480	2.11904e-03
Q6S5L8	Q13480	2.11899e-03
P08138	P61586	2.11583e-03
Q92529	P62993	2.11430e-03
Q92529	P22001	2.11430e-03
P04629	Q9Y5J5	2.06494e-03
P04629	P16885	2.02061e-03
P04629	Q8WU20	2.02061e-03
Q92529	P12931	2.00320e-03
P08138	Q13501	1.73041e-03
P23560	P20783	1.68346e-03
P23560	P01138	1.68346e-03
P23560	P16870	1.68346e-03
P23560	Q16620	1.68346e-03
P23560	P34130	1.68346e-03
P14672	Q15027	1.57984e-03
P14672	Q00610	1.57984e-03
P08138	Q96GC6	1.56123e-03
P08138	Q99819	1.56123e-03
P08138	Q9NWZ3	1.56123e-03
P08138	P52565	1.56123e-03
P08138	O43353	1.56123e-03
P08138	P52566	1.56123e-03
P08138	Q9UKN5	1.56123e-03
P08138	O43187	1.56123e-03
P08138	Q9Y616	1.56123e-03
P04629	O43559	1.50562e-03
P04629	Q13501	1.44105e-03
P08138	Q12933	1.30641e-03
P08138	Q9HBG4	1.30641e-03
P04629	Q99961	1.30016e-03
P04629	Q99962	1.30016e-03
P04629	Q99963	1.30016e-03
P04629	P42679	1.30016e-03
P04629	Q9ULV8	1.30016e-03
P04629	Q9Y6I3	1.30016e-03
