#tail	head	edge_flux
Q8NFM7	Q9NRM6	2.84730e-02
Q8NFM7	Q96F46	2.84730e-02
Q8NFM7	Q9Y4K3	2.84730e-02
P10586	P35568	5.29387e-03
P10586	P06213	5.29387e-03
P10586	P98077	5.29387e-03
P10586	P14923	5.29387e-03
P10586	P29353	5.29387e-03
P10586	Q92529	5.29387e-03
P10586	Q6S5L8	5.29387e-03
P10586	P35222	5.29387e-03
P10586	Q9Y4H2	5.29387e-03
P10586	Q16620	5.29387e-03
P10586	O14654	5.29387e-03
P10586	Q03135	5.29387e-03
P10586	O75400	4.30478e-03
P10586	Q96KM6	4.30478e-03
P10586	P12757	4.30478e-03
P10586	P12830	3.57708e-03
Q96F46	Q8NAC3	2.74726e-03
Q96F46	Q96PD4	2.74726e-03
P10586	Q13136	2.70059e-03
P10586	P53355	2.70059e-03
P01133	Q07890	2.50833e-03
P01133	P62736	2.50833e-03
P01133	P62993	2.50833e-03
P01133	P22681	2.50833e-03
P01133	P29353	2.50833e-03
P01133	P52735	2.50833e-03
P01133	Q13191	2.50833e-03
P01133	Q07889	2.50833e-03
P01133	Q9UJM3	2.50833e-03
P01133	O00459	2.50833e-03
P01133	P63104	2.50833e-03
P01133	P00403	2.50833e-03
P01133	P27986	2.50833e-03
P01133	P62316	2.50833e-03
P01133	P0CG47	2.50833e-03
P01133	P36542	2.50833e-03
P01133	P26447	2.50833e-03
P01133	P21802	2.37653e-03
P01133	P08069	2.37653e-03
P01133	P35968	2.37653e-03
P01133	P16234	2.37653e-03
P01133	P22607	2.37653e-03
P01133	P29317	2.37653e-03
P01133	P07333	2.37653e-03
P01133	P17948	2.37653e-03
P01133	P35916	2.37653e-03
P01133	P06213	2.37653e-03
P01133	P08581	2.37653e-03
P01133	P11362	2.37653e-03
P01133	P09619	2.37653e-03
P01133	P22455	2.37653e-03
P01133	P08138	2.37653e-03
P01133	Q02763	2.37653e-03
P01133	P10721	2.37653e-03
P01133	P14616	2.37653e-03
Q96F46	Q9H293	2.31098e-03
Q96F46	Q13114	1.85633e-03
Q96F46	Q9Y4K3	1.85633e-03
Q96F46	O43734	1.85633e-03
Q96F46	O43318	1.85633e-03
P98077	P62993	1.70897e-03
Q6S5L8	P62993	1.70863e-03
P98077	P12931	1.61917e-03
Q6S5L8	P12931	1.61885e-03
P21860	P98077	1.31101e-03
P21860	Q63HR2	1.31101e-03
P21860	P41240	1.31101e-03
P21860	P52333	1.31101e-03
P21860	Q68CZ2	1.31101e-03
P21860	Q14451	1.31101e-03
P21860	Q13882	1.31101e-03
P21860	P20936	1.31101e-03
P21860	Q08881	1.31101e-03
