#tail	head	edge_flux
P31785	P52333	1.06704e-02
P31785	P29597	1.06704e-02
P31785	P48736	1.06704e-02
P31785	O00459	1.06704e-02
P31785	P24394	1.06704e-02
P31785	P42338	1.06704e-02
P31785	P01589	1.06704e-02
P31785	P42336	1.06704e-02
P31785	P23458	1.06704e-02
P31785	Q92569	1.06704e-02
P31785	P14784	1.06704e-02
P31785	Q01113	1.06704e-02
P31785	Q8WYR1	1.06704e-02
P31785	O00329	1.06704e-02
P31785	Q15464	1.06704e-02
P31785	P27986	1.06704e-02
P31785	O60674	1.06704e-02
P31785	P42226	1.01097e-02
P31785	P78552	7.21004e-03
P31785	P62993	6.78036e-03
P31785	Q13261	6.55133e-03
P31785	Q9HBE5	6.55133e-03
P31785	P61586	6.50512e-03
P31785	P42229	5.44337e-03
P31785	P42224	5.44337e-03
P31785	P05362	5.44337e-03
P31785	P29353	5.44337e-03
P31785	P04632	5.44337e-03
P16871	Q9HC73	3.13170e-03
P16871	P42229	3.13170e-03
P16871	Q14289	3.13170e-03
P16871	P27986	3.13170e-03
P16871	P29597	3.13170e-03
P16871	P51692	3.13170e-03
P16871	P10721	3.13170e-03
P16871	P23458	3.13170e-03
P16871	O60674	3.13170e-03
P16871	P52333	3.13170e-03
P16871	Q04206	3.13170e-03
P16871	P40763	3.13170e-03
P16871	P06241	3.13170e-03
P16871	P08107	2.11610e-03
P16871	P00488	2.11610e-03
P16871	P68366	2.11610e-03
P16871	P68363	2.11610e-03
P16871	P28066	2.11610e-03
P16871	P30101	2.11610e-03
P16871	P27797	2.11610e-03
P16871	Q13885	2.11610e-03
P16871	P09211	2.11610e-03
P16871	P62993	2.11610e-03
P16871	P31946	2.11610e-03
P16871	P48643	2.11610e-03
P16871	P06396	2.11610e-03
P16871	P04179	2.11610e-03
P16871	Q15942	2.11610e-03
P16871	Q14019	2.11610e-03
P16871	Q9BUF5	2.11610e-03
P16871	P26038	2.11610e-03
P16871	Q9UJU6	2.11610e-03
P16871	P08590	2.11610e-03
P16871	P02775	2.11610e-03
P16871	P30048	2.11610e-03
P16871	P08567	2.11610e-03
