#tail	head	edge_flux
P27930	P18510	2.45488e-02
P27930	Q99759	2.45488e-02
P27930	Q15750	2.45488e-02
P27930	Q04206	2.45488e-02
P27930	P19838	2.45488e-02
P27930	Q9Y4K3	2.45488e-02
P27930	P42574	2.32589e-02
P18510	P04150	1.56038e-02
Q9NPH3	P52564	1.21307e-02
Q9NPH3	Q15628	1.21307e-02
Q9NPH3	O43187	1.21307e-02
Q9NPH3	Q99836	1.21307e-02
Q9NPH3	Q9H0E2	1.21307e-02
Q9NPH3	P51617	1.21307e-02
Q9NPH3	P78324	1.21307e-02
Q9NPH3	P46734	1.21307e-02
Q9NPH3	Q9NWZ3	1.21307e-02
Q9NPH3	Q86XR7	1.21307e-02
Q9NPH3	Q13158	1.14933e-02
Q9NPH3	Q9Y616	1.14933e-02
Q9NPH3	O75400	9.86426e-03
Q9NPH3	Q9Y3B3	8.19677e-03
Q9NPH3	P48736	8.19677e-03
P14778	P18510	6.56741e-03
P14778	Q15750	6.56741e-03
P14778	Q9H0E2	6.56741e-03
P14778	P19838	6.56741e-03
P14778	Q9NWZ3	6.56741e-03
P14778	Q86XR7	6.56741e-03
P14778	Q15628	6.56741e-03
P14778	Q99836	6.56741e-03
P14778	P27986	6.56741e-03
P14778	P51617	6.56741e-03
P14778	Q04206	6.56741e-03
P14778	P46734	6.56741e-03
P14778	Q9Y4K3	6.56741e-03
P14778	O00459	6.56741e-03
P14778	Q12933	6.56741e-03
P14778	P52564	6.56741e-03
P14778	Q99759	6.56741e-03
P14778	O43187	6.56741e-03
P14778	Q9Y616	6.56741e-03
P14778	Q13158	6.22233e-03
P14778	P42574	6.22233e-03
P14778	P31749	4.43762e-03
P14778	Q9Y3B3	4.43762e-03
P14778	Q6IA17	4.43762e-03
P14778	Q5H8C1	4.43762e-03
P14778	P18146	4.43762e-03
P14778	P63000	4.43762e-03
P14778	O14920	3.35027e-03
P14778	Q99558	3.35027e-03
Q86XR7	Q8IUC6	1.79671e-03
Q86XR7	Q9Y4K3	1.79671e-03
Q86XR7	Q13546	1.70230e-03
Q86XR7	P58753	1.50840e-03
Q9Y616	Q99558	1.24919e-03
Q9Y616	O43187	1.24919e-03
Q9Y616	Q99836	1.24919e-03
Q9Y616	Q9Y4K3	1.24919e-03
Q9Y616	P55212	1.24919e-03
Q9Y616	O14920	1.24919e-03
Q9Y3B3	Q8IUC6	1.10731e-03
Q9Y3B3	O00206	1.10731e-03
Q86XR7	P21145	9.16566e-04
Q86XR7	Q99836	9.16566e-04
Q86XR7	P51572	9.16566e-04
Q9Y616	P05412	8.44082e-04
Q9Y616	Q9Y3B3	8.44082e-04
P78324	O60674	7.93939e-04
P78324	Q08722	7.93939e-04
P78324	Q06124	7.93939e-04
P78324	P05556	7.93939e-04
P78324	P16471	7.93939e-04
Q9Y3B3	O43187	7.77661e-04
Q9Y3B3	P58753	7.77661e-04
Q9Y3B3	P04000	7.77661e-04
Q9Y3B3	Q9Y4K3	7.77661e-04
Q9Y3B3	Q9Y616	7.77661e-04
Q9Y3B3	Q14653	7.77661e-04
Q9Y616	P08138	7.61557e-04
P52564	Q15759	6.59519e-04
P52564	P53778	6.59519e-04
P52564	P24522	6.59519e-04
P52564	Q00722	6.59519e-04
P52564	O15105	6.59519e-04
P52564	Q16539	6.59519e-04
P52564	Q16512	6.59519e-04
P52564	Q9UL54	6.59519e-04
P52564	O75293	6.59519e-04
P52564	O95257	6.59519e-04
P52564	O15264	6.59519e-04
P46734	Q9UL54	6.52656e-04
P46734	Q00722	6.52656e-04
P46734	O15105	6.52656e-04
P46734	P27361	6.52656e-04
P46734	Q9Y463	6.52656e-04
P46734	Q16539	6.52656e-04
P46734	Q15759	6.52656e-04
P46734	Q16512	6.52656e-04
P46734	P53778	6.52656e-04
P46734	O15264	6.52656e-04
P52564	Q14203	6.34544e-04
P52564	P45984	6.24865e-04
P52564	P53779	6.24865e-04
P52564	P45983	6.24865e-04
P46734	P53779	6.18362e-04
P46734	P45984	6.18362e-04
P46734	P45983	6.18362e-04
P78324	O43914	4.87455e-04
P78324	P43405	4.84017e-04
O43187	Q9Y4K3	4.75996e-04
O43187	O14920	4.75996e-04
O43187	P58753	4.75996e-04
O43187	Q99836	4.75996e-04
O43187	Q99558	4.75996e-04
O43187	Q9Y616	4.75996e-04
Q6IA17	A6NDB9	4.58962e-04
Q9NWZ3	Q96FA3	4.50877e-04
Q9NWZ3	Q01638	4.50877e-04
Q9NWZ3	Q9Y4K3	4.50877e-04
Q9NWZ3	Q92985	4.50877e-04
Q9NWZ3	Q15109	4.50877e-04
Q9NWZ3	Q99836	4.50877e-04
Q9NWZ3	P51617	4.50877e-04
Q9NWZ3	O14920	4.50877e-04
Q9NWZ3	Q99558	4.50877e-04
Q9NWZ3	O43187	4.50877e-04
Q9NWZ3	Q9HAT8	4.50877e-04
Q9NWZ3	P01583	4.50877e-04
P46734	P49407	4.41001e-04
P46734	Q96MM3	4.41001e-04
Q9NWZ3	Q15750	4.27185e-04
Q9NWZ3	Q9NYJ8	4.27185e-04
Q9NWZ3	O43318	4.27185e-04
Q9NWZ3	Q8N5C8	4.27185e-04
P78324	O60936	4.05017e-04
P78324	P29350	4.05017e-04
P78324	Q9C040	4.05017e-04
O43187	Q15796	3.99614e-04
O43187	Q9HCE7	3.99614e-04
P04000	Q9Y3B3	3.88887e-04
Q6IA17	P09104	3.87900e-04
Q6IA17	P04843	3.87900e-04
Q9NWZ3	P62380	3.66636e-04
Q6IA17	Q99836	3.22328e-04
Q6IA17	Q9Y4K3	3.22328e-04
Q6IA17	P51617	3.22328e-04
Q6IA17	O00206	3.22328e-04
O43187	Q6SZW1	3.21632e-04
O43187	P31749	3.21632e-04
O43187	O75643	3.21632e-04
O43187	Q8NI60	3.21632e-04
O43187	Q16543	3.21632e-04
O43187	Q9Y3B3	3.21632e-04
O43187	P49711	3.21632e-04
O43187	Q9BYJ9	3.21632e-04
O43187	O95817	3.21632e-04
O43187	P49810	3.21632e-04
O43187	Q13148	3.21632e-04
O43187	Q9H0E2	3.21632e-04
O43187	P49768	3.21632e-04
O43187	Q7L8L6	3.21632e-04
O43187	Q15051	3.21632e-04
O43187	Q9C0D7	3.21632e-04
O43187	O15455	3.21632e-04
O43187	P46977	3.21632e-04
O43187	Q86VW0	3.21632e-04
O43187	Q5D1E8	3.21632e-04
O43187	P10398	3.21632e-04
O43187	P01112	3.21632e-04
O43187	Q6DN90	3.21632e-04
Q9H0E2	O60784	3.15527e-04
Q9H0E2	O00206	3.15527e-04
Q9H0E2	O75674	3.15527e-04
Q9Y3B3	O15455	3.06097e-04
Q9NWZ3	Q8IV45	3.04659e-04
Q9NWZ3	P08575	3.04659e-04
Q9NWZ3	O60602	3.04659e-04
Q9NWZ3	P14598	3.04659e-04
Q9NWZ3	O00206	3.04659e-04
Q9H0E2	Q16539	3.03578e-04
Q9NWZ3	O14836	2.96489e-04
Q9NWZ3	P27348	2.96489e-04
O43187	P08138	2.90186e-04
Q15750	O14733	2.80249e-04
Q15750	Q9Y6K9	2.80249e-04
Q15750	P07900	2.80249e-04
Q15750	P25963	2.80249e-04
Q15750	P53778	2.80249e-04
Q15750	P53779	2.80249e-04
Q15750	P38646	2.80249e-04
Q15750	O14920	2.80249e-04
Q15750	P52564	2.80249e-04
Q15750	Q9Y265	2.80249e-04
Q15750	O15264	2.80249e-04
Q15750	Q15759	2.80249e-04
Q15750	Q16539	2.80249e-04
Q15750	Q13748	2.80249e-04
Q15750	O95757	2.80249e-04
Q15750	P17066	2.80249e-04
Q15750	Q9NYJ8	2.80249e-04
Q15750	P04350	2.80249e-04
Q15750	P46734	2.80249e-04
Q15750	P0CG48	2.80249e-04
Q15750	P11142	2.80249e-04
Q15750	P28482	2.80249e-04
Q15750	P08238	2.80249e-04
Q15750	O43318	2.80249e-04
Q15750	Q8N5C8	2.80249e-04
Q15750	P98170	2.80249e-04
Q15750	P45985	2.80249e-04
Q15750	P45984	2.80249e-04
Q15750	P31689	2.80249e-04
Q15750	Q15653	2.80249e-04
Q15750	P45983	2.80249e-04
Q15750	P27361	2.80249e-04
Q15750	Q9Y6Q6	2.80249e-04
Q15750	Q99615	2.80249e-04
Q15750	Q9BVA1	2.80249e-04
Q15750	P62158	2.80249e-04
Q15750	P07437	2.80249e-04
Q15750	P11021	2.80249e-04
Q15750	P34931	2.80249e-04
Q15750	P34932	2.80249e-04
Q9NWZ3	P08138	2.74873e-04
Q13158	P42224	2.69728e-04
Q13158	O95243	2.69728e-04
Q13158	O75618	2.69728e-04
Q13158	Q13546	2.69728e-04
Q13158	O14980	2.69728e-04
Q13158	Q13490	2.69728e-04
Q13158	Q13077	2.69728e-04
Q13158	Q05513	2.69728e-04
Q13158	P21580	2.69728e-04
Q13158	P60602	2.69728e-04
Q13158	Q9H1Y0	2.69728e-04
Q13158	Q15628	2.69728e-04
Q13158	P50591	2.69728e-04
Q13158	P48023	2.69728e-04
Q13158	Q9UKL3	2.69728e-04
Q13158	O15519	2.69728e-04
Q13158	Q9HAV5	2.69728e-04
Q13158	Q9HAV4	2.69728e-04
Q13158	Q9Y572	2.69728e-04
Q13158	Q92851	2.69728e-04
Q13158	Q14790	2.69728e-04
Q99836	O14836	2.62277e-04
Q99836	Q13158	2.62277e-04
Q99836	P11473	2.62277e-04
Q99836	Q15109	2.62277e-04
Q99836	P19838	2.62277e-04
Q99836	O15528	2.62277e-04
Q99836	Q92985	2.62277e-04
Q99836	Q9NWZ3	2.62277e-04
Q99836	P58753	2.62277e-04
Q99836	P10914	2.62277e-04
Q99836	P51617	2.62277e-04
Q99836	Q9Y4K3	2.62277e-04
Q99836	Q04206	2.62277e-04
Q99836	P35228	2.62277e-04
Q99836	O15455	2.62277e-04
Q99836	Q06187	2.62277e-04
Q99836	O43187	2.62277e-04
Q99836	P01583	2.62277e-04
Q99836	Q9Y616	2.62277e-04
P46734	Q13573	2.58558e-04
Q9H0E2	P32519	2.57301e-04
Q9H0E2	Q9H0D6	2.56575e-04
Q9H0E2	P54253	2.56575e-04
Q99836	Q13568	2.54705e-04
Q9H0E2	P0CG48	2.50429e-04
Q99836	Q15750	2.48496e-04
Q99836	Q9NYJ8	2.48496e-04
Q99836	O43318	2.48496e-04
Q99836	Q8N5C8	2.48496e-04
P21145	Q86XR7	2.33049e-04
P21145	O00206	2.33049e-04
A6NDB9	Q6IA17	2.29538e-04
Q13158	P62834	2.25407e-04
Q96MM3	P46734	2.20558e-04
Q13158	Q9C099	2.19333e-04
Q13158	Q9Y3A3	2.19333e-04
Q13158	Q9GZR7	2.19333e-04
P42574	P31749	2.17614e-04
P42574	Q9BYP7	2.17614e-04
P42574	P02771	2.17614e-04
P42574	O14920	2.17614e-04
P42574	P52566	2.17614e-04
P42574	Q13177	2.17614e-04
P42574	P10275	2.17614e-04
P42574	O00273	2.17614e-04
P42574	P47712	2.17614e-04
P42574	O15392	2.17614e-04
P42574	Q86TL0	2.17614e-04
P42574	P67775	2.17614e-04
P42574	P55212	2.17614e-04
P42574	O15519	2.17614e-04
P42574	P09874	2.17614e-04
P42574	Q16539	2.17614e-04
P42574	P80303	2.17614e-04
P42574	P31751	2.17614e-04
P42574	Q9Y243	2.17614e-04
Q99836	O43791	2.13274e-04
Q9H0E2	Q9NP58	2.13202e-04
Q9H0E2	P98170	2.13202e-04
Q9H0E2	Q9Y4K3	2.13202e-04
Q9H0E2	P53805	2.13202e-04
Q9H0E2	Q9Y4C2	2.13202e-04
Q9H0E2	Q9Y5V3	2.13202e-04
Q9H0E2	P19525	2.13202e-04
Q9H0E2	Q9NVW2	2.13202e-04
Q9H0E2	Q15654	2.13202e-04
Q9H0E2	Q13490	2.13202e-04
Q9H0E2	Q9H857	2.13202e-04
Q9H0E2	Q86TG7	2.13202e-04
Q9H0E2	Q8IZ07	2.13202e-04
Q9H0E2	Q96J02	2.13202e-04
Q9H0E2	Q05048	2.13202e-04
Q9H0E2	Q86Y13	2.13202e-04
Q9H0E2	O15455	2.13202e-04
Q9H0E2	O43187	2.13202e-04
Q9H0E2	Q96S55	2.13202e-04
Q9H0E2	Q96PU5	2.13202e-04
Q9H0E2	Q9NR28	2.13202e-04
Q9H0E2	Q03135	2.13202e-04
P42574	O60551	2.10702e-04
P42574	Q13043	2.06180e-04
P42574	P43146	2.06180e-04
P42574	Q13153	2.06180e-04
P42574	Q13233	2.06180e-04
P42574	Q13188	2.06180e-04
Q9H0E2	P58753	1.93724e-04
