#tail	head	edge_flux
Q92729	P35222	1.37766e-02
Q92729	P42680	7.02794e-03
Q92729	P22681	7.02794e-03
Q92729	P06753	7.02794e-03
Q92729	P19022	7.02794e-03
Q92729	P42768	7.02794e-03
Q92729	P04626	7.02794e-03
Q92729	P27361	7.02794e-03
Q92729	Q02763	7.02794e-03
Q92729	P63261	7.02794e-03
Q92729	Q15118	7.02794e-03
O00220	Q13158	6.65923e-03
O00220	Q06187	6.65923e-03
O00220	P50591	6.65923e-03
O00220	Q14790	6.65923e-03
O00220	O15519	6.44771e-03
O00220	O14763	6.44771e-03
P19235	P62993	4.73648e-03
P19235	P18031	4.73648e-03
P19235	Q92835	4.73648e-03
P19235	O60674	4.73648e-03
P19235	Q13588	4.73648e-03
P19235	P23458	4.73648e-03
P19235	Q16827	4.73648e-03
P19235	Q9NSE2	4.73648e-03
P19235	P52333	4.73648e-03
P19235	P29597	4.73648e-03
P19235	P08575	4.73648e-03
P19235	P23470	4.73648e-03
P19235	P16885	4.73648e-03
P19235	Q12913	4.73648e-03
P19235	P23467	4.73648e-03
O00220	Q12933	3.39711e-03
O00220	P19438	3.39711e-03
O00220	P25445	3.39711e-03
O00220	P01730	3.39711e-03
O00220	P21580	3.39711e-03
O00220	Q15628	3.39711e-03
O00220	Q13546	3.39711e-03
O00220	Q9Y6K9	3.39711e-03
O00220	P02458	3.39711e-03
O00220	Q96P48	3.39711e-03
P19235	P63244	3.34384e-03
O00220	Q13618	2.63814e-03
O00220	Q6GQQ9	2.63814e-03
O00220	Q13501	2.63814e-03
O00220	Q92851	2.63814e-03
P19235	P27986	2.41625e-03
P19235	Q8WWM7	2.41625e-03
P19235	P29353	2.41625e-03
P19235	P15498	2.41625e-03
P32927	P08631	2.33128e-03
P32927	Q07812	2.33128e-03
P32927	P05771	2.33128e-03
P32927	P07948	2.33128e-03
P32927	Q9NSE2	2.33128e-03
P32927	P48736	2.33128e-03
P32927	P07332	2.33128e-03
P32927	P29353	2.33128e-03
P32927	O00459	2.33128e-03
P32927	P42336	2.33128e-03
P32927	P43405	2.33128e-03
P32927	P50570	2.33128e-03
P32927	P30273	2.33128e-03
P32927	P42338	2.33128e-03
P32927	P27986	2.33128e-03
P32927	Q92569	2.33128e-03
P32927	Q01344	2.33128e-03
P32927	P26951	2.33128e-03
P32927	Q8WYR1	2.33128e-03
P32927	O00329	2.33128e-03
P32927	P63104	2.33128e-03
P32927	P15509	2.33128e-03
P32927	P23458	2.33128e-03
P32927	P11274	2.33128e-03
P32927	P63244	2.33128e-03
P32927	O60674	2.33128e-03
P32927	Q06124	2.33128e-03
P32927	P06241	2.33128e-03
P32927	P42229	2.25723e-03
P32927	P52333	2.18359e-03
P32927	P29597	2.18359e-03
P32927	P17676	1.90108e-03
P32927	Q15744	1.90108e-03
P32927	P49715	1.90108e-03
P32927	P05362	1.57525e-03
P32927	Q9Y4K3	1.57525e-03
P32927	P35968	1.18927e-03
P32927	P51692	1.18927e-03
P10721	P42229	1.14932e-03
P10721	P42679	1.14932e-03
P10721	P52333	1.14932e-03
P10721	P42224	1.14932e-03
P10721	Q14451	1.14932e-03
P10721	P15498	1.14932e-03
P10721	Q99704	1.14932e-03
P10721	P07947	1.14932e-03
P10721	O14544	1.14932e-03
P10721	P20936	1.14932e-03
P10721	P07948	1.14932e-03
P10721	P42680	1.14932e-03
P10721	P51692	1.14932e-03
P10721	P07332	1.14932e-03
P10721	P29353	1.14932e-03
P10721	P46109	1.14932e-03
P10721	P29350	1.14932e-03
P10721	Q13588	1.14932e-03
P10721	Q13191	1.14932e-03
P10721	O75970	1.14932e-03
P10721	P22681	1.14932e-03
P10721	Q96B97	1.14932e-03
P10721	P46108	1.14932e-03
P10721	Q8WXH5	1.14932e-03
P10721	Q00610	1.14932e-03
P10721	P42336	1.14932e-03
P10721	P08631	1.14932e-03
P10721	P19174	1.14932e-03
P10721	P12931	1.14932e-03
