#tail	head	edge_flux
P48357	Q9Y478	5.15074e-03
P48357	P52333	5.15074e-03
P48357	Q14432	5.15074e-03
P48357	O43741	5.15074e-03
P48357	Q9UGI9	5.15074e-03
P48357	P08575	5.15074e-03
P48357	O14654	5.15074e-03
P48357	Q07869	5.15074e-03
P48357	Q13131	5.15074e-03
P48357	P35568	5.15074e-03
P48357	P62993	5.15074e-03
P48357	Q9Y4H2	5.15074e-03
P48357	Q96RR4	5.15074e-03
P48357	O15243	5.15074e-03
P48357	P18084	5.15074e-03
P48357	Q15831	5.15074e-03
P48357	P40763	5.15074e-03
P48357	Q8N5S9	5.15074e-03
P48357	P12931	5.15074e-03
P48357	P54619	5.15074e-03
P48357	O00459	5.15074e-03
P48357	Q9UGJ0	5.15074e-03
P48357	Q9NSE2	5.15074e-03
P48357	P27986	5.15074e-03
P48357	O60674	5.15074e-03
P48357	Q12913	5.15074e-03
P48357	Q06124	5.15074e-03
P48357	P54646	5.15074e-03
P48357	P06241	5.15074e-03
P48357	P23458	4.82445e-03
P48357	P29597	4.82445e-03
P48357	Q13526	3.94723e-03
P48357	P51460	2.62758e-03
P48357	P0CG48	2.62758e-03
P08069	P41240	2.38743e-03
P08069	O00329	2.38743e-03
P08069	P36507	2.38743e-03
P08069	Q02750	2.38743e-03
P08069	P16885	2.38743e-03
P08069	P16473	2.38743e-03
P08069	O14508	2.38743e-03
P08069	P98077	2.38743e-03
P08069	P35568	2.38743e-03
P08069	Q9NZN5	2.38743e-03
P08069	P31946	2.38743e-03
P08069	P48736	2.38743e-03
P08069	P18031	2.38743e-03
P08069	P29353	2.38743e-03
P08069	P42336	2.38743e-03
P08069	Q9Y4H2	2.38743e-03
P08069	P27361	2.38743e-03
P08069	P46108	2.38743e-03
P08069	P28482	2.38743e-03
P08069	P42338	2.38743e-03
P08069	P19174	2.38743e-03
P08069	Q06124	2.38743e-03
P08069	Q92569	2.38743e-03
P08069	P35222	2.38743e-03
P08069	Q13322	2.38743e-03
P08069	Q92529	2.38743e-03
P08069	O00459	2.38743e-03
P08069	Q8WYR1	2.38743e-03
P08069	P63104	2.38743e-03
P08069	P27986	2.38743e-03
P08069	P63244	2.38743e-03
P08069	P61981	2.38743e-03
P08069	Q6S5L8	2.38743e-03
P08069	P01116	2.38743e-03
P08069	P62258	2.38743e-03
P08069	O14543	2.38743e-03
P08069	Q00722	2.26198e-03
P08069	P08754	2.26198e-03
P08069	P19086	2.26198e-03
P08069	Q5JWF2	2.26198e-03
P08069	P84996	2.26198e-03
P08069	O14654	2.26198e-03
P08069	P63096	2.26198e-03
P08069	Q01970	2.26198e-03
P08069	P63092	2.26198e-03
P08069	O95467	2.26198e-03
P08069	P09471	2.26198e-03
P08069	Q9NQ66	2.26198e-03
P08069	P46109	2.26198e-03
P08069	Q03113	2.26198e-03
P08069	Q14344	2.26198e-03
P08069	P04899	2.26198e-03
P08069	P62993	2.26198e-03
P08069	P01111	2.26198e-03
P08069	P01112	2.26198e-03
P08069	Q05397	2.26198e-03
P08069	Q15147	2.26198e-03
P08069	Q05655	2.00432e-03
P08069	Q9H4M9	2.00432e-03
P08069	P03372	1.61319e-03
P08069	P40763	1.61319e-03
P08069	P49913	1.61319e-03
P08069	P20936	1.56993e-03
P08069	Q6PIS1	1.56993e-03
P08069	Q99961	1.45547e-03
P08069	Q99962	1.45547e-03
P08069	Q99963	1.45547e-03
P08069	Q9ULV8	1.45547e-03
P08069	Q9Y6I3	1.45547e-03
P08069	Q13191	1.45547e-03
P08069	Q96B97	1.45547e-03
P08069	Q9Y371	1.45547e-03
P08069	O95208	1.45547e-03
P08069	P42566	1.45547e-03
P08069	Q9H201	1.45547e-03
P08069	P22681	1.45547e-03
P08069	Q9NR46	1.45547e-03
P04626	Q68CZ2	1.42682e-03
P04626	Q9H6Q3	1.42682e-03
P04626	P08575	1.42682e-03
P04626	P23467	1.42682e-03
P04626	P20936	1.42682e-03
P04626	P09769	1.42682e-03
P04626	Q15303	1.42682e-03
P04626	O15524	1.42682e-03
P04626	P42681	1.42682e-03
P04626	P48736	1.42682e-03
P04626	P43405	1.42682e-03
P04626	P78314	1.42682e-03
P04626	Q9Y2R2	1.42682e-03
P04626	Q9UKW4	1.42682e-03
P04626	Q9BRG2	1.42682e-03
P04626	P16591	1.42682e-03
P04626	Q92569	1.42682e-03
P04626	Q15262	1.42682e-03
P04626	Q9NP31	1.42682e-03
P04626	Q8WYP3	1.42682e-03
P04626	Q13882	1.42682e-03
P04626	O14796	1.42682e-03
P04626	O14492	1.42682e-03
P04626	P42224	1.42682e-03
P04626	P26045	1.42682e-03
P04626	Q99704	1.42682e-03
P04626	P16885	1.42682e-03
P04626	Q05209	1.42682e-03
P04626	Q7Z6G8	1.42682e-03
P04626	P46109	1.42682e-03
P04626	P46108	1.42682e-03
P04626	Q8TEW6	1.42682e-03
P04626	Q99650	1.42682e-03
P04626	Q13387	1.42682e-03
P04626	P42338	1.42682e-03
P04626	P35568	1.42682e-03
P04626	P42336	1.42682e-03
P04626	P42680	1.42682e-03
P04626	P62993	1.42682e-03
P04626	Q8WYR1	1.42682e-03
P04626	Q92625	1.42682e-03
P04626	P27986	1.42682e-03
P04626	P42684	1.42682e-03
P04626	Q12913	1.42682e-03
P04626	Q9NSE2	1.42682e-03
P04626	Q6S5L8	1.42682e-03
P04626	Q14451	1.42682e-03
P04626	O00213	1.42682e-03
P04626	Q08881	1.42682e-03
P04626	P23229	1.42682e-03
P04626	P00533	1.42682e-03
P04626	Q63HR2	1.42682e-03
P04626	P29353	1.42682e-03
P04626	P51451	1.42682e-03
P04626	P15309	1.42682e-03
P04626	Q05397	1.42682e-03
P04626	P28482	1.42682e-03
P04626	P16144	1.42682e-03
P04626	P19174	1.42682e-03
P04626	Q13671	1.42682e-03
P04626	P35222	1.42682e-03
P04626	P40189	1.42682e-03
P04626	Q92529	1.42682e-03
P04626	O00459	1.42682e-03
