#tail	head	edge_flux
P16471	P42229	4.61712e-03
P16471	P52333	4.61712e-03
P16471	P49069	4.61712e-03
P16471	P15498	4.61712e-03
P16471	Q92793	4.61712e-03
P16471	P05204	4.61712e-03
P16471	P62937	4.61712e-03
P16471	P04049	4.61712e-03
P16471	P35568	4.61712e-03
P16471	P42680	4.61712e-03
P16471	P52735	4.61712e-03
P16471	P43403	4.61712e-03
P16471	P50570	4.61712e-03
P16471	Q9UKB1	4.61712e-03
P16471	P51956	4.61712e-03
P16471	P23458	4.61712e-03
P16471	P12931	4.61712e-03
P16471	Q99490	4.61712e-03
P16471	P63104	4.61712e-03
P16471	P27986	4.61712e-03
P16471	O60674	4.61712e-03
P16471	P61981	4.61712e-03
P16471	Q06124	4.61712e-03
P16471	P78324	4.61712e-03
P16471	P06241	4.61712e-03
P16471	Q9Y297	4.61712e-03
P16471	P29597	4.32463e-03
Q15303	P42229	2.55313e-03
Q15303	P98077	2.55313e-03
Q15303	P20936	2.55313e-03
Q15303	P00519	2.55313e-03
Q15303	P62993	2.55313e-03
Q15303	P29353	2.55313e-03
Q15303	P01106	2.55313e-03
Q15303	P43405	2.55313e-03
Q15303	P46109	2.55313e-03
Q15303	O43639	2.55313e-03
Q15303	P78352	2.55313e-03
Q15303	P51692	2.55313e-03
Q15303	P35222	2.55313e-03
Q15303	Q92529	2.55313e-03
Q15303	O00459	2.55313e-03
Q15303	Q92625	2.55313e-03
Q15303	P42684	2.55313e-03
Q15303	Q7Z6G8	2.55313e-03
Q15303	Q06124	2.55313e-03
Q15303	Q6S5L8	2.55313e-03
Q15303	O60674	2.55313e-03
Q15303	Q16665	2.55313e-03
Q15303	P21860	2.47203e-03
Q15303	P00533	2.47203e-03
Q15303	P16885	2.41897e-03
Q15303	P48736	2.41897e-03
Q15303	O00329	2.41897e-03
Q15303	P42338	2.41897e-03
Q15303	P42336	2.41897e-03
Q15303	P19174	2.41897e-03
Q15303	Q92569	2.41897e-03
Q15303	Q8WYR1	2.41897e-03
Q15303	P27986	2.41897e-03
P16471	P01243	2.35536e-03
Q15303	Q13425	2.07611e-03
Q15303	P46108	1.80245e-03
Q15303	O75376	1.72516e-03
Q15303	Q99962	1.55649e-03
Q15303	Q99963	1.55649e-03
Q15303	Q99961	1.55649e-03
Q15303	Q9ULV8	1.55649e-03
Q15303	O95208	1.55649e-03
Q15303	P22681	1.55649e-03
Q15303	P07585	1.55649e-03
Q15303	Q13191	1.55649e-03
Q15303	Q96B97	1.55649e-03
Q15303	P42566	1.55649e-03
Q15303	Q9NR46	1.55649e-03
Q15303	Q9H201	1.55649e-03
Q15303	Q9Y6I3	1.55649e-03
Q15303	Q9Y371	1.55649e-03
P05556	P30101	1.53769e-03
P05556	P18031	1.53769e-03
P05556	Q05397	1.53769e-03
P05556	P13612	1.53769e-03
P05556	O14924	1.53769e-03
P05556	P63244	1.53769e-03
P05556	P78324	1.53769e-03
P05556	P19320	1.53769e-03
P05556	P21333	1.53769e-03
P05556	P08648	1.53769e-03
P05556	P46109	1.53769e-03
P05556	P17931	1.53769e-03
P05556	P26006	1.53769e-03
P05556	P53708	1.53769e-03
P05556	P56199	1.53769e-03
P05556	O00214	1.53769e-03
P05556	P23229	1.53769e-03
P05556	P06756	1.53769e-03
P05556	P37173	1.53769e-03
P05556	Q13683	1.53769e-03
P05556	Q14192	1.53769e-03
P05556	P08962	1.53769e-03
P05556	P17301	1.53769e-03
P05556	Q9UKX5	1.53769e-03
P05556	Q13418	1.53769e-03
P05556	O75578	1.53769e-03
P05556	Q9UBP9	1.53769e-03
P05556	P08195	1.53769e-03
P05556	Q13797	1.53769e-03
P05556	O43707	1.53769e-03
P05556	P07948	1.49157e-03
P05556	P48736	1.45689e-03
P05556	Q92569	1.45689e-03
P05556	P51817	1.45689e-03
P05556	P46108	1.45689e-03
P05556	P42338	1.45689e-03
P05556	P42336	1.45689e-03
P05556	Q8WYR1	1.45689e-03
P05556	P27986	1.45689e-03
P05556	P17612	1.45689e-03
P05556	P29350	1.45689e-03
P05556	O00459	1.45689e-03
P05556	O00329	1.45689e-03
P05556	P56945	1.45689e-03
P05556	P12931	1.45689e-03
P05556	P22612	1.45689e-03
P05556	P22694	1.45689e-03
Q15303	O75081	1.30244e-03
Q15303	Q14451	1.30244e-03
Q15303	Q92796	1.30244e-03
Q15303	Q00987	1.30244e-03
Q15303	Q9Y2D9	1.30244e-03
Q15303	P03372	1.30244e-03
Q15303	Q16611	1.30244e-03
Q15303	Q05586	1.30244e-03
Q15303	Q15700	1.30244e-03
P05556	P31946	1.25039e-03
P05556	P09382	1.22410e-03
P04626	Q68CZ2	1.06617e-03
P04626	Q9H6Q3	1.06617e-03
P04626	P08575	1.06617e-03
P04626	P23467	1.06617e-03
P04626	P20936	1.06617e-03
P04626	P09769	1.06617e-03
P04626	O15524	1.06617e-03
P04626	P42681	1.06617e-03
P04626	P48736	1.06617e-03
P04626	P43405	1.06617e-03
P04626	P78314	1.06617e-03
P04626	Q9Y2R2	1.06617e-03
P04626	Q9UKW4	1.06617e-03
P04626	Q9BRG2	1.06617e-03
P04626	P16591	1.06617e-03
P04626	Q92569	1.06617e-03
P04626	Q15262	1.06617e-03
P04626	Q9NP31	1.06617e-03
P04626	Q8WYP3	1.06617e-03
P04626	Q13882	1.06617e-03
P04626	O14796	1.06617e-03
P04626	O14492	1.06617e-03
P04626	P42224	1.06617e-03
P04626	P26045	1.06617e-03
P04626	Q99704	1.06617e-03
P04626	P16885	1.06617e-03
P04626	P48357	1.06617e-03
P04626	Q7Z6G8	1.06617e-03
P04626	P46109	1.06617e-03
P04626	P46108	1.06617e-03
P04626	Q8TEW6	1.06617e-03
P04626	Q99650	1.06617e-03
P04626	Q13387	1.06617e-03
P04626	P42338	1.06617e-03
P04626	P35568	1.06617e-03
P04626	P42336	1.06617e-03
P04626	P42680	1.06617e-03
P04626	P62993	1.06617e-03
P04626	Q8WYR1	1.06617e-03
P04626	Q92625	1.06617e-03
P04626	P27986	1.06617e-03
P04626	P42684	1.06617e-03
P04626	Q12913	1.06617e-03
P04626	Q9NSE2	1.06617e-03
P04626	Q6S5L8	1.06617e-03
P04626	Q14451	1.06617e-03
P04626	O00213	1.06617e-03
P04626	Q08881	1.06617e-03
P04626	P23229	1.06617e-03
P04626	P00533	1.06617e-03
P04626	Q63HR2	1.06617e-03
P04626	P29353	1.06617e-03
P04626	P51451	1.06617e-03
P04626	P15309	1.06617e-03
P04626	Q05397	1.06617e-03
P04626	P28482	1.06617e-03
P04626	P16144	1.06617e-03
P04626	P19174	1.06617e-03
P04626	Q13671	1.06617e-03
P04626	P35222	1.06617e-03
P04626	P40189	1.06617e-03
P04626	Q92529	1.06617e-03
P04626	O00459	1.06617e-03
P04626	O75553	1.06617e-03
P04626	O00329	1.06617e-03
P04626	P23458	1.06617e-03
P04626	O75791	1.06617e-03
P04626	O60674	1.06617e-03
P04626	O95980	1.06617e-03
P04626	O95704	1.06617e-03
P04626	O00750	1.06617e-03
P04626	Q9UQF2	1.06617e-03
P04626	Q02750	1.06617e-03
P04626	Q9H299	1.06617e-03
P04626	P98077	1.06617e-03
P04626	P42679	1.06617e-03
P04626	P36507	1.06617e-03
P04626	P21860	1.06617e-03
P04626	Q05209	1.06617e-03
P04626	Q16827	1.06617e-03
P04626	Q06124	1.06617e-03
P04626	Q13239	1.06617e-03
