#tail	head	edge_flux
Q9NZC2	O43914	1.55824e-01
Q9NZC2	P43405	9.49965e-02
Q9Y6Q6	Q13114	8.36068e-03
Q9Y6Q6	P12931	8.36068e-03
Q9Y6Q6	P08637	8.36068e-03
Q9Y6Q6	Q15750	8.36068e-03
Q9Y6Q6	Q04206	8.36068e-03
Q9Y6Q6	P19838	8.36068e-03
Q9Y6Q6	Q14192	8.36068e-03
Q9Y6Q6	P07948	8.36068e-03
Q9Y6Q6	Q13077	8.36068e-03
Q9Y6Q6	P42680	8.36068e-03
Q9Y6Q6	P22681	8.36068e-03
Q9Y6Q6	O00463	8.36068e-03
Q9Y6Q6	P29350	8.36068e-03
Q9Y6Q6	Q9NYJ8	8.36068e-03
Q9Y6Q6	Q13191	8.36068e-03
Q9Y6Q6	P12314	8.36068e-03
Q9Y6Q6	Q9UKW4	8.36068e-03
Q9Y6Q6	P12318	8.36068e-03
Q9Y6Q6	Q9UQC2	8.36068e-03
Q9Y6Q6	O00300	8.36068e-03
Q9Y6Q6	Q9Y4K3	8.36068e-03
Q9Y6Q6	O00459	8.36068e-03
Q9Y6Q6	O43318	8.36068e-03
Q9Y6Q6	O75015	8.36068e-03
Q9Y6Q6	Q12933	8.36068e-03
Q9Y6Q6	P27986	8.36068e-03
Q9Y6Q6	Q06187	8.36068e-03
Q9Y6Q6	P31994	8.36068e-03
Q9Y6Q6	P31995	8.36068e-03
Q9Y6Q6	O43914	8.36068e-03
O43914	Q07444	6.50898e-03
O43914	Q13241	6.50898e-03
O43914	P43405	6.50898e-03
O43914	O00241	6.50898e-03
O43914	P26717	6.50898e-03
O43914	P43403	6.16696e-03
O43914	P43628	4.39813e-03
O43914	O15389	4.39813e-03
O43914	A8K4G0	4.39813e-03
O43914	Q9NP99	4.39813e-03
O00300	O14788	4.37046e-03
O43914	Q9P1W8	3.99632e-03
O43914	Q5TFQ8	3.99632e-03
O43914	P78324	3.99632e-03
O43914	P43631	3.96813e-03
O43914	P43632	3.96813e-03
O43914	O95944	3.96813e-03
O43914	Q8N109	3.96813e-03
O43914	Q14954	3.96813e-03
O43914	Q14952	3.96813e-03
P26717	O43914	2.18401e-03
P43632	O43914	1.98624e-03
Q14954	O43914	1.98624e-03
Q14952	O43914	1.98624e-03
O95944	O43914	1.98419e-03
O00241	O43914	1.71644e-03
Q07444	O43914	1.54299e-03
P26717	Q13241	1.34092e-03
O00241	Q5TFQ8	1.15980e-03
Q9NP99	O43914	1.10313e-03
Q9NP99	O00206	1.10313e-03
Q9P1W8	O43914	1.09190e-03
Q9P1W8	P43405	1.08419e-03
O00241	P43405	1.04641e-03
Q07444	Q15596	1.04261e-03
Q5TFQ8	O00241	9.80476e-04
Q07444	Q13241	9.47353e-04
A8K4G0	P62993	9.38862e-04
Q5TFQ8	O43914	8.90900e-04
Q5TFQ8	P43405	8.84616e-04
Q13241	O43914	8.73867e-04
Q13241	P26715	8.73867e-04
Q13241	P29350	8.27950e-04
Q13241	Q06124	8.27950e-04
P43631	Q06124	7.51381e-04
P43631	P29350	7.51381e-04
Q8N109	Q06124	7.51381e-04
Q8N109	P29350	7.51381e-04
A8K4G0	O43914	6.34392e-04
A8K4G0	P06241	6.29606e-04
P43405	P31749	5.83305e-04
P43405	Q9Y4K3	5.83305e-04
P43405	P15498	5.83305e-04
P43405	P20936	5.83305e-04
P43405	O14939	5.83305e-04
P43405	Q15303	5.83305e-04
P43405	P20273	5.83305e-04
P43405	P48736	5.83305e-04
P43405	Q13191	5.83305e-04
P43405	P78314	5.83305e-04
P43405	Q14247	5.83305e-04
P43405	P26038	5.83305e-04
P43405	Q9UKW4	5.83305e-04
P43405	Q9UQC2	5.83305e-04
P43405	Q92569	5.83305e-04
P43405	Q06187	5.83305e-04
P43405	P62330	5.83305e-04
P43405	P14317	5.83305e-04
P43405	P19438	5.83305e-04
P43405	P16885	5.83305e-04
P43405	P07359	5.83305e-04
P43405	Q6ZUJ8	5.83305e-04
P43405	P07766	5.83305e-04
P43405	P46109	5.83305e-04
P43405	P11912	5.83305e-04
P43405	P30273	5.83305e-04
P43405	P42338	5.83305e-04
P43405	P00533	5.83305e-04
P43405	P42336	5.83305e-04
P43405	Q8NET5	5.83305e-04
P43405	P14784	5.83305e-04
P43405	Q8WYR1	5.83305e-04
P43405	O14745	5.83305e-04
P43405	P27986	5.83305e-04
P43405	Q8IWV1	5.83305e-04
P43405	P15391	5.83305e-04
P43405	P0CG47	5.83305e-04
P43405	P15311	5.83305e-04
P43405	Q13393	5.83305e-04
P43405	P32927	5.83305e-04
P43405	O43561	5.83305e-04
P43405	P20138	5.83305e-04
P43405	P29353	5.83305e-04
P43405	P51452	5.83305e-04
P43405	Q13094	5.83305e-04
P43405	P20333	5.83305e-04
P43405	P12314	5.83305e-04
P43405	P19174	5.83305e-04
P43405	P12318	5.83305e-04
P43405	Q9P126	5.83305e-04
P43405	O00459	5.83305e-04
P43405	O00329	5.83305e-04
P43405	P04626	5.83305e-04
P43405	P21860	5.83305e-04
P43405	Q15418	5.83305e-04
P43405	Q13239	5.83305e-04
P43405	P22681	5.83305e-04
P43405	P52735	5.83305e-04
P43405	P24394	5.83305e-04
P43405	P27361	5.83305e-04
P43405	Q8TF42	5.83305e-04
P43405	P40259	5.83305e-04
P43405	P21854	5.83305e-04
P43405	Q15139	5.83305e-04
P43405	Q8WV28	5.83305e-04
P43405	P06241	5.83305e-04
P43405	P05107	5.64778e-04
P43405	Q9H257	5.52655e-04
P43405	Q6S5L8	5.52655e-04
P43405	Q92529	5.52655e-04
P43405	P98077	5.52655e-04
Q13241	Q07444	5.36529e-04
Q13241	P26717	5.36529e-04
P43405	P42224	4.89703e-04
P43405	Q15349	4.89170e-04
P43631	O43914	4.83477e-04
Q8N109	O43914	4.83477e-04
P43405	P09769	4.74322e-04
O15389	P41159	4.35887e-04
O15389	Q15645	4.21361e-04
P43405	O00206	3.94141e-04
P43405	P09693	3.94141e-04
P43405	Q13177	3.94141e-04
P43405	P40198	3.94141e-04
P43405	Q99836	3.94141e-04
P43405	Q14242	3.83571e-04
O14788	O00300	3.77925e-04
P43405	P59901	3.55606e-04
