#tail	head	edge_flux
Q96P31	P43403	8.40342e-02
Q9HD43	P06239	8.40342e-02
P09693	P27986	7.40298e-03
P09693	P42338	7.40298e-03
P09693	P48736	7.40298e-03
P09693	P42336	7.40298e-03
P09693	Q92569	7.40298e-03
P09693	Q14790	7.40298e-03
P09693	Q99759	7.40298e-03
P09693	O00459	7.40298e-03
P09693	Q8WYR1	7.40298e-03
P09693	O00329	7.40298e-03
P04234	P27986	6.79367e-03
P04234	Q99759	6.79367e-03
P04234	P42338	6.79367e-03
P04234	P42336	6.79367e-03
P04234	P48736	6.79367e-03
P04234	Q92569	6.79367e-03
P04234	Q14790	6.79367e-03
P04234	O00459	6.79367e-03
P04234	Q8WYR1	6.79367e-03
P04234	O00329	6.79367e-03
P04234	P04150	6.57788e-03
P04234	Q13422	6.05395e-03
P09693	P43405	5.00221e-03
P09693	P43403	5.00221e-03
P07766	P16333	3.55391e-03
P07766	Q13432	3.55391e-03
P07766	P48736	3.55391e-03
P07766	P43405	3.55391e-03
P07766	P43403	3.55391e-03
P07766	O43639	3.55391e-03
P07766	P42338	3.55391e-03
P07766	P42336	3.55391e-03
P07766	Q6PIZ9	3.55391e-03
P07766	Q92569	3.55391e-03
P07766	P19338	3.55391e-03
P07766	Q8TE68	3.55391e-03
P07766	O00459	3.55391e-03
P07766	Q8WYR1	3.55391e-03
P07766	O00329	3.55391e-03
P07766	P27986	3.55391e-03
P07766	Q99759	3.55391e-03
P07766	Q14790	3.55391e-03
P04234	P06241	3.46569e-03
P07766	Q9H6S3	2.81917e-03
P07766	Q8TE67	2.81917e-03
P07766	Q12929	2.81917e-03
P07766	P29353	2.33699e-03
P07766	P06239	2.33699e-03
P07766	Q9Y2R2	2.33699e-03
P07766	P09382	2.33699e-03
P07766	Q13424	2.25828e-03
Q12913	O14974	2.12656e-03
Q12913	P41240	2.12656e-03
Q12913	P49023	2.12656e-03
Q12913	P19022	2.12656e-03
Q12913	P35968	2.12656e-03
Q12913	O43561	2.12656e-03
Q12913	P48357	2.12656e-03
Q12913	P04629	2.12656e-03
Q12913	Q07912	2.12656e-03
Q12913	Q99569	2.12656e-03
Q12913	P00533	2.12656e-03
Q12913	P42680	2.12656e-03
Q12913	P22681	2.12656e-03
Q12913	Q9UM73	2.12656e-03
Q12913	Q13501	2.12656e-03
Q12913	P27361	2.12656e-03
Q12913	P06239	2.12656e-03
Q12913	Q92841	2.12656e-03
Q12913	P08581	2.12656e-03
Q12913	P28482	2.12656e-03
Q12913	P06213	2.12656e-03
Q12913	P19235	2.12656e-03
Q12913	P19174	2.12656e-03
Q12913	P09619	2.12656e-03
Q12913	P46459	2.12656e-03
Q12913	P42768	2.12656e-03
Q12913	P35222	2.12656e-03
Q12913	O60716	2.12656e-03
Q12913	P35590	2.12656e-03
Q12913	Q02763	2.12656e-03
Q12913	Q13480	2.12656e-03
Q12913	P10721	2.12656e-03
Q12913	P10912	2.12656e-03
Q12913	O60674	2.12656e-03
Q12913	Q13224	2.12656e-03
Q12913	P04626	2.12656e-03
Q12913	O15530	2.12656e-03
Q12913	P17948	1.78337e-03
Q8TE67	P48023	1.41629e-03
Q12913	P14923	1.39839e-03
Q12913	P06753	1.08484e-03
Q12913	Q15118	1.08484e-03
P43403	Q15759	8.35225e-04
P43403	P68366	8.35225e-04
P43403	P31749	8.35225e-04
P43403	Q16539	8.35225e-04
P43403	P15498	8.35225e-04
P43403	Q9H6Q3	8.35225e-04
P43403	O43561	8.35225e-04
P43403	P16471	8.35225e-04
P43403	P20936	8.35225e-04
P43403	P15941	8.35225e-04
P43403	Q9H4E7	8.35225e-04
P43403	P00533	8.35225e-04
P43403	P62993	8.35225e-04
P43403	P00519	8.35225e-04
P43403	Q8IWV1	8.35225e-04
P43403	P07437	8.35225e-04
P43403	P29353	8.35225e-04
P43403	P51452	8.35225e-04
P43403	Q13094	8.35225e-04
P43403	P46109	8.35225e-04
P43403	P46108	8.35225e-04
P43403	P20963	8.35225e-04
P43403	Q9Y2R2	8.35225e-04
P43403	O43516	8.35225e-04
P43403	Q14289	8.35225e-04
