#tail	head	edge_flux
P34741	Q15465	9.34301e-03
P34741	P01137	9.34301e-03
P34741	Q03167	9.34301e-03
P34741	Q16787	9.34301e-03
P34741	O14936	9.34301e-03
P34741	P35241	8.85207e-03
P34741	P26038	8.85207e-03
P34741	P15311	8.85207e-03
P34741	P21359	7.59738e-03
P34741	P31431	7.41141e-03
P34741	P18827	7.41141e-03
P34741	O75056	7.41141e-03
P37173	P08047	2.13506e-03
P37173	Q96JC1	2.13506e-03
P37173	Q9Y4K3	2.13506e-03
P37173	P98082	2.13506e-03
P37173	P30153	2.13506e-03
P37173	P23511	2.13506e-03
P37173	P09486	2.13506e-03
P37173	Q9HAU4	2.13506e-03
P37173	P29353	2.13506e-03
P37173	Q15796	2.13506e-03
P37173	P63010	2.13506e-03
P37173	Q03167	2.13506e-03
P37173	P37023	2.13506e-03
P37173	P61586	2.13506e-03
P37173	Q9UNH7	2.13506e-03
P37173	O95405	2.13506e-03
P37173	O15105	2.13506e-03
P37173	Q9UER7	2.13506e-03
P37173	P67775	2.13506e-03
P37173	Q9HCE7	2.13506e-03
P37173	P35222	2.13506e-03
P37173	Q8TF09	2.13506e-03
P37173	Q9NPB6	2.13506e-03
P37173	Q13485	2.13506e-03
P37173	O00459	2.13506e-03
P37173	Q13347	2.13506e-03
P37173	P27986	2.13506e-03
P37173	Q12931	2.13506e-03
P37173	P17813	2.13506e-03
P37173	Q9H0M0	2.13506e-03
P37173	P06493	2.13506e-03
P37173	P62714	2.13506e-03
P37173	O95863	2.13506e-03
P37173	Q9Y3F4	2.13506e-03
P37173	O95067	2.13506e-03
P37173	Q9NP97	2.13506e-03
P37173	P28340	2.13506e-03
P37173	P84022	2.13506e-03
P37173	P30154	2.02287e-03
P37173	P78545	1.90259e-03
P37173	P25208	1.90259e-03
P37173	P05412	1.90259e-03
P05106	P08514	1.79928e-03
P05106	Q00722	1.79928e-03
P05106	Q8N3E9	1.79928e-03
P05106	P16885	1.79928e-03
P05106	Q63HR2	1.79928e-03
P05106	P18031	1.79928e-03
P05106	P29353	1.79928e-03
P05106	P01111	1.79928e-03
P05106	P51178	1.79928e-03
P05106	Q05397	1.79928e-03
P05106	Q9BRC7	1.79928e-03
P05106	Q12929	1.79928e-03
P05106	P19174	1.79928e-03
P05106	Q86YW0	1.79928e-03
P05106	Q9UBP9	1.79928e-03
P05106	O14924	1.79928e-03
P05106	Q9Y3P9	1.79928e-03
P05106	Q9NQ66	1.79928e-03
P05106	Q01970	1.79928e-03
P05106	Q9P212	1.79928e-03
P05106	P06756	1.79928e-03
P05106	Q7Z6G8	1.79928e-03
P05106	P01112	1.79928e-03
P05106	Q9UQF2	1.79928e-03
P05106	Q9Y490	1.79928e-03
P05106	P01116	1.79928e-03
P05106	Q15147	1.79928e-03
P37173	Q12841	1.79600e-03
P37173	Q02447	1.74107e-03
P37173	P18146	1.74107e-03
P05106	Q14344	1.70473e-03
P05106	P46109	1.70473e-03
P05106	P46108	1.70473e-03
P05106	P12931	1.70473e-03
P05106	P56945	1.70473e-03
P05106	Q13418	1.51055e-03
P05106	Q06124	1.51055e-03
P37173	Q92831	1.50730e-03
P37173	P62993	1.44267e-03
P37173	P49716	1.44267e-03
P37173	O43541	1.30162e-03
P05556	P30101	1.25105e-03
P05556	P18031	1.25105e-03
P05556	Q05397	1.25105e-03
P05556	P13612	1.25105e-03
P05556	O14924	1.25105e-03
P05556	P63244	1.25105e-03
P05556	P78324	1.25105e-03
P05556	P53708	1.25105e-03
P05556	P19320	1.25105e-03
P05556	P21333	1.25105e-03
P05556	P08648	1.25105e-03
P05556	P46109	1.25105e-03
P05556	P17931	1.25105e-03
P05556	P26006	1.25105e-03
P05556	P16471	1.25105e-03
P05556	P56199	1.25105e-03
P05556	O00214	1.25105e-03
P05556	P23229	1.25105e-03
P05556	P06756	1.25105e-03
P05556	Q13683	1.25105e-03
P05556	Q14192	1.25105e-03
P05556	P08962	1.25105e-03
P05556	P17301	1.25105e-03
P05556	Q9UKX5	1.25105e-03
P05556	Q13418	1.25105e-03
P05556	O75578	1.25105e-03
P05556	Q9UBP9	1.25105e-03
P05556	P08195	1.25105e-03
P05556	Q13797	1.25105e-03
P05556	O43707	1.25105e-03
P05106	P13688	1.21578e-03
P05556	P07948	1.21354e-03
P05556	P48736	1.18532e-03
P05556	Q92569	1.18532e-03
P05556	P51817	1.18532e-03
P05556	P46108	1.18532e-03
P05556	P42338	1.18532e-03
P05556	P42336	1.18532e-03
P05556	Q8WYR1	1.18532e-03
P05556	P27986	1.18532e-03
P05556	P17612	1.18532e-03
P05556	P29350	1.18532e-03
P05556	O00459	1.18532e-03
P05556	O00329	1.18532e-03
P05556	P56945	1.18532e-03
P05556	P12931	1.18532e-03
P05556	P22612	1.18532e-03
P05556	P22694	1.18532e-03
P05106	P07947	1.18317e-03
P05106	P07948	1.18317e-03
P05106	P26006	1.10470e-03
P05106	P17301	1.10470e-03
P05106	Q9UKX5	1.10470e-03
P05106	P53708	1.10470e-03
P05106	P23229	1.10470e-03
P05106	P56199	1.10470e-03
P05106	P08648	1.10470e-03
P05106	P13612	1.10470e-03
P05106	O75578	1.10470e-03
P05106	Q13683	1.10470e-03
P05106	Q13797	1.10470e-03
P05106	P56539	1.09691e-03
P05106	P49023	1.09691e-03
P05106	O43707	1.09691e-03
P05106	Q9NVD7	1.09691e-03
P05106	P05129	1.09691e-03
P05106	P05771	1.09691e-03
P05106	Q9Y4G6	1.09691e-03
P05106	P35609	1.09691e-03
P05106	Q08043	1.09691e-03
P05106	P21333	1.09691e-03
P05106	O75369	1.09691e-03
P05106	P02671	1.09691e-03
P05106	P50552	1.09691e-03
P05106	P51636	1.09691e-03
P05106	P60709	1.09691e-03
P05106	P02679	1.09691e-03
P05106	P02675	1.09691e-03
P05106	P17252	1.09691e-03
P05106	P12814	1.09691e-03
P05106	P63261	1.09691e-03
P05106	Q9HBI1	1.09691e-03
P05106	Q9HBI0	1.09691e-03
P05106	Q14315	1.09691e-03
P05106	Q03135	1.09691e-03
P37173	P36896	1.08917e-03
P37173	O43294	1.08917e-03
P37173	Q8NER5	1.08917e-03
Q8TF09	P84022	1.06755e-03
P05556	P31946	1.01731e-03
Q96JC1	Q13485	1.00383e-03
P05556	P09382	9.95921e-04
Q8N3E9	P12757	9.29271e-04
Q03167	P10600	9.20191e-04
Q03167	P32121	9.20191e-04
Q03167	P01137	9.20191e-04
Q03167	O14908	9.20191e-04
Q03167	P37023	9.20191e-04
Q03167	P61812	9.20191e-04
P05106	Q9BSU1	9.17876e-04
P36897	Q96JC1	8.93354e-04
P36897	Q9Y4K3	8.93354e-04
P36897	Q03167	8.93354e-04
P36897	P37023	8.93354e-04
P36897	P63151	8.93354e-04
P36897	Q9NPB6	8.93354e-04
P36897	Q9UER7	8.93354e-04
P36897	P17813	8.93354e-04
P36897	Q12931	8.93354e-04
P36897	Q9H0M0	8.93354e-04
P36897	Q7Z3T8	8.93354e-04
P36897	O95863	8.93354e-04
P36897	P16070	8.93354e-04
P36897	Q13501	8.93354e-04
P36897	P63104	8.93354e-04
P36897	P49354	8.93354e-04
P36897	P27986	8.93354e-04
P36897	Q03135	8.93354e-04
P36897	P84022	8.93354e-04
P36897	P29590	8.93354e-04
P36897	P29353	8.93354e-04
P36897	P57059	8.93354e-04
P36897	P30153	8.93354e-04
P36897	P62942	8.93354e-04
P36897	Q13485	8.93354e-04
P36897	O00459	8.93354e-04
P36897	O15105	8.93354e-04
P36897	P98082	8.93354e-04
P36897	P98170	8.93354e-04
P36897	P63010	8.93354e-04
P36897	P36873	8.93354e-04
P36897	O43541	8.93354e-04
P36897	Q15796	8.93354e-04
P36897	Q9Y3F4	8.93354e-04
P36897	O75807	8.93354e-04
P36897	P61586	8.93354e-04
P36897	Q9UNH7	8.93354e-04
P36897	O95405	8.93354e-04
P36897	Q13347	8.93354e-04
P36897	O15169	8.93354e-04
P05556	P31749	8.45341e-04
P05556	Q15027	8.45341e-04
P05556	Q92536	8.45341e-04
P05556	P29353	8.45341e-04
P05556	P67775	8.45341e-04
P05556	Q6UVK1	8.45341e-04
P05556	P05162	8.22671e-04
P05556	O00182	8.22671e-04
Q15465	Q9BWV1	8.14473e-04
Q15465	Q13635	8.14473e-04
Q15465	Q9Y6C5	8.14473e-04
Q15465	Q99835	8.14473e-04
Q15465	Q4KMG0	8.14473e-04
O75056	P31431	7.95590e-04
O75056	P18827	7.95590e-04
P05556	P08514	7.68110e-04
P05556	Q9NVD7	7.62693e-04
P05556	P55268	7.62693e-04
P05556	P35609	7.62693e-04
P05556	A4D0S4	7.62693e-04
P05556	P57087	7.62693e-04
P05556	Q14315	7.62693e-04
P05556	P49023	7.62693e-04
P05556	P12814	7.62693e-04
P05556	Q16363	7.62693e-04
P05556	P50552	7.62693e-04
P05556	Q13751	7.62693e-04
P05556	Q13753	7.62693e-04
P05556	Q16787	7.62693e-04
P05556	P24043	7.62693e-04
P05556	Q03135	7.62693e-04
P05556	P56539	7.62693e-04
P05556	P07942	7.62693e-04
P05556	P05129	7.62693e-04
P05556	P05771	7.62693e-04
P05556	Q9Y4G6	7.62693e-04
P05556	Q08043	7.62693e-04
P05556	O15230	7.62693e-04
P05556	P17252	7.62693e-04
P05556	P11047	7.62693e-04
P05556	Q9HBI1	7.62693e-04
P05556	Q9HBI0	7.62693e-04
P05556	Q9Y6N6	7.62693e-04
P05556	P25391	7.62693e-04
P05556	O75369	7.62693e-04
P05556	P51636	7.62693e-04
P05556	P60709	7.62693e-04
P05556	P63261	7.62693e-04
P36897	Q99942	7.49999e-04
P36897	Q9NYS0	7.49999e-04
P36897	Q8TAX0	7.49999e-04
P36897	Q9NTX7	7.49999e-04
P36897	P52757	7.49999e-04
P36897	Q15052	7.49999e-04
P36897	Q9H4E5	7.49999e-04
P36897	Q00534	7.49999e-04
P36897	Q00537	7.49999e-04
P36897	Q15669	7.49999e-04
P36897	Q00532	7.49999e-04
P36897	Q9GZS3	7.49999e-04
P36897	Q9Y6J8	7.49999e-04
P36897	O14682	7.49999e-04
P36897	P84095	7.49999e-04
P36897	O14920	7.49999e-04
P36897	O95747	7.49999e-04
P36897	P62987	7.49999e-04
P36897	Q9UNE7	7.49999e-04
P36897	Q96LT4	7.49999e-04
P36897	P49703	7.49999e-04
P36897	Q9NW61	7.49999e-04
P36897	P62879	7.49999e-04
P36897	Q04323	7.49999e-04
P36897	P16520	7.49999e-04
P36897	O14544	7.49999e-04
P36897	Q9NVJ2	7.49999e-04
P36897	P48059	7.49999e-04
P36897	P49795	7.49999e-04
P36897	Q9H082	7.49999e-04
P36897	Q9C0J8	7.49999e-04
P36897	O94921	7.49999e-04
P36897	O00743	7.49999e-04
P36897	Q9NXK8	7.49999e-04
P36897	P0CG47	7.49999e-04
P36897	Q16625	7.49999e-04
P36897	Q969T4	7.49999e-04
P36897	O43172	7.49999e-04
P36897	Q13153	7.49999e-04
P36897	Q8NFH4	7.49999e-04
P36897	Q9BX70	7.49999e-04
P36897	Q6SA08	7.49999e-04
P36897	O00212	7.49999e-04
P36897	Q08881	7.49999e-04
P36897	Q9BXA7	7.49999e-04
P36897	Q9UII6	7.49999e-04
P36897	Q96D21	7.49999e-04
P36897	P20337	7.49999e-04
P36897	Q9NW38	7.49999e-04
P36897	Q9HCU5	7.49999e-04
P36897	P62979	7.49999e-04
P36897	Q9NSN8	7.49999e-04
P36897	P48454	7.49999e-04
P36897	P62826	7.49999e-04
P36897	Q9BQI3	7.49999e-04
P36897	P19784	7.49999e-04
P36897	Q93034	7.49999e-04
P36897	P57729	7.49999e-04
P36897	Q9H1Z4	7.49999e-04
P36897	Q86SG6	7.49999e-04
P36897	Q9NWN3	7.49999e-04
P36897	Q5T6F0	7.49999e-04
P36897	O00238	7.49999e-04
P36897	Q9HC98	7.49999e-04
P36897	P11802	7.49999e-04
P36897	O14718	7.49999e-04
P36897	O75563	7.49999e-04
P36897	Q9NYN1	7.49999e-04
P36897	Q9UIK4	7.49999e-04
P36897	Q9H3Q1	7.49999e-04
P36897	Q9BST9	7.49999e-04
P36897	Q9H5K3	7.49999e-04
P36897	Q9NR64	7.49999e-04
P36897	Q6P3X3	7.49999e-04
P36897	Q7Z418	7.49999e-04
P36897	Q8TAI7	7.49999e-04
P36897	P51153	7.49999e-04
P36897	Q04771	7.49999e-04
P36897	Q14344	7.49999e-04
P36897	P15882	7.49999e-04
P36897	Q96F10	7.49999e-04
P36897	Q99614	7.49999e-04
P36897	Q9UNK0	7.49999e-04
P36897	P10114	7.49999e-04
P36897	Q86XS8	7.49999e-04
P36897	Q9UJX4	7.49999e-04
P36897	Q9UF11	7.49999e-04
P05556	Q9Y6C2	6.38208e-04
P05556	P27701	6.38208e-04
P05556	P27824	6.38208e-04
P05556	Q14773	6.38208e-04
P05556	Q9Y3P9	6.38208e-04
P05556	P20339	6.38208e-04
P05556	Q07889	6.38208e-04
P05556	Q7Z6G8	6.38208e-04
P05556	Q63HR2	6.38208e-04
P05556	Q07890	6.38208e-04
P05556	P15531	6.38208e-04
P05556	O14817	6.38208e-04
P05556	O14713	6.38208e-04
P05556	O43493	6.38208e-04
P05556	Q08380	6.38208e-04
P05556	P15529	6.38208e-04
P05556	Q9UL25	6.38208e-04
P05556	Q12929	6.38208e-04
Q03167	P17813	6.21775e-04
O14924	P11274	6.19938e-04
O14924	P26010	6.19938e-04
P36897	Q15750	6.03642e-04
P36897	Q8WUH2	6.03642e-04
P35241	P52565	5.80338e-04
P35241	P10911	5.80338e-04
P35241	P08567	5.80338e-04
P35241	P05107	5.80338e-04
P31431	O14908	5.68867e-04
P31431	P49023	5.56657e-04
P31431	P17252	5.56657e-04
P31431	Q05397	5.56657e-04
P31431	Q9BRJ7	5.56657e-04
P35241	P60709	5.49844e-04
P35241	P63261	5.49844e-04
Q96JC1	P62263	5.12088e-04
O75056	P21246	5.11636e-04
O75056	P21741	5.11636e-04
O75056	Q13885	5.11636e-04
O75056	Q14247	5.11636e-04
O75056	P06241	5.11636e-04
Q15465	P98164	4.96536e-04
Q9BRC7	Q9HCM9	4.75370e-04
Q9BRC7	Q9UI26	4.75370e-04
P51178	P21980	4.71811e-04
P51178	Q14974	4.71811e-04
Q03167	Q9UER7	4.69422e-04
Q9BSU1	P54252	4.67940e-04
P18827	P28482	4.67312e-04
P18827	P27361	4.67312e-04
P18827	O14936	4.67312e-04
P31431	O75056	4.66061e-04
P36897	P37235	4.55732e-04
P36897	Q8TD19	4.55732e-04
Q92536	P08195	4.46984e-04
P18827	P06756	4.42757e-04
P18827	P04628	4.42757e-04
Q15465	P24468	4.15492e-04
P35241	O14745	4.09705e-04
P18827	P21926	3.92323e-04
Q9H5K3	O00238	3.89338e-04
Q9NR64	O00238	3.89338e-04
Q00532	Q9HCE7	3.84925e-04
Q9BXA7	O96017	3.77527e-04
Q8TAX0	Q9UET6	3.75821e-04
O14682	P06400	3.75020e-04
P18827	O75056	3.70699e-04
Q9UBP9	P26010	3.64158e-04
Q9UBP9	Q9NY15	3.64158e-04
Q9UBP9	P05107	3.64158e-04
P21359	P62070	3.53535e-04
P21359	P01112	3.53535e-04
P21359	P01111	3.53535e-04
P21359	P63165	3.53535e-04
P21359	P01116	3.53535e-04
P21359	O14807	3.53535e-04
P21359	Q02556	3.53535e-04
P21359	P10301	3.53535e-04
O14936	P41134	3.29263e-04
O14936	Q12929	3.29263e-04
O14936	P18827	3.29263e-04
O14936	Q9Y2J0	3.29263e-04
O14936	P11171	3.29263e-04
O14936	Q14155	3.29263e-04
O14936	Q9UHC6	3.29263e-04
O14936	O14910	3.29263e-04
O14936	Q9C0A0	3.29263e-04
O14924	Q8WZA2	3.16253e-04
P18827	P10145	3.15764e-04
P37023	P17813	3.14668e-04
P37023	P01137	3.14668e-04
P37023	Q03167	3.14668e-04
P31431	P21741	2.99720e-04
P31431	O14640	2.99720e-04
P31431	O43294	2.99720e-04
P35241	P01889	2.96051e-04
P35241	Q14164	2.96051e-04
P17813	P01137	2.93813e-04
P17813	P37023	2.93813e-04
Q96F10	P21673	2.85387e-04
P17813	Q15654	2.82686e-04
P08962	P01033	2.72081e-04
O14936	Q9BZL6	2.67744e-04
O14936	Q16650	2.67744e-04
P37023	P10600	2.64174e-04
Q9NTX7	P35080	2.62063e-04
Q9H3Q1	Q9NNW5	2.48407e-04
Q9H082	Q04771	2.41700e-04
Q9UBP9	Q15027	2.39464e-04
P21359	P14316	2.38885e-04
P21359	P58753	2.38885e-04
P18827	P21246	2.38393e-04
P18827	P13501	2.38393e-04
P18827	P21741	2.38393e-04
P18827	P08311	2.38393e-04
Q9Y3P9	P26010	2.36574e-04
Q9Y3P9	P05107	2.36574e-04
P26038	P19320	2.34256e-04
P26038	P43405	2.34256e-04
P26038	P60709	2.34256e-04
P26038	P08567	2.34256e-04
P26038	Q13464	2.34256e-04
P26038	O14745	2.34256e-04
P26038	P32942	2.34256e-04
P26038	P63261	2.34256e-04
Q9Y3P9	P62330	2.29060e-04
Q7Z6G8	P00533	2.28409e-04
Q7Z6G8	P26010	2.28409e-04
Q7Z6G8	P04626	2.28409e-04
Q7Z6G8	Q15303	2.28409e-04
Q7Z6G8	P05107	2.28409e-04
O14936	Q9P202	2.27706e-04
P26038	Q9Y478	2.26815e-04
P26038	Q9Y4K3	2.26815e-04
P26038	P78545	2.26815e-04
P26038	P24941	2.26815e-04
P26038	O76070	2.26815e-04
P26038	Q14164	2.26815e-04
P08962	Q92574	2.21246e-04
Q63HR2	P18084	2.19169e-04
Q63HR2	P26010	2.19169e-04
Q63HR2	P04626	2.19169e-04
Q63HR2	P21860	2.19169e-04
P37023	Q03135	2.12622e-04
P37023	P55055	2.12622e-04
Q8NER5	Q15796	2.10973e-04
Q8NER5	P84022	2.10973e-04
Q63HR2	P30530	2.10869e-04
O14936	Q96RT1	2.09225e-04
Q6SA08	P16220	2.04308e-04
Q4KMG0	Q15465	2.04206e-04
Q4KMG0	P00519	2.04206e-04
Q9BWV1	Q15465	2.02001e-04
O14936	Q9Y2J2	2.00732e-04
O14936	O43491	2.00732e-04
O14936	Q9H4G0	2.00732e-04
Q5T6F0	O00238	2.00479e-04
