#tail	head	edge_flux
Q8IV45	Q04206	5.53397e-02
Q8IV45	Q9NWZ3	3.73932e-02
Q8IV45	P51617	3.73932e-02
P28908	Q12933	3.10872e-02
P28908	Q13114	3.10872e-02
P28908	Q13077	3.10872e-02
P28908	O00463	2.10057e-02
P28908	P41182	1.58587e-02
Q9Y6Q6	Q13114	4.33754e-03
Q9Y6Q6	P12931	4.33754e-03
Q9Y6Q6	P08637	4.33754e-03
Q9Y6Q6	Q15750	4.33754e-03
Q9Y6Q6	Q04206	4.33754e-03
Q9Y6Q6	P19838	4.33754e-03
Q9Y6Q6	Q14192	4.33754e-03
Q9Y6Q6	P07948	4.33754e-03
Q9Y6Q6	Q13077	4.33754e-03
Q9Y6Q6	P42680	4.33754e-03
Q9Y6Q6	P22681	4.33754e-03
Q9Y6Q6	O00463	4.33754e-03
Q9Y6Q6	P29350	4.33754e-03
Q9Y6Q6	Q9NYJ8	4.33754e-03
Q9Y6Q6	Q13191	4.33754e-03
Q9Y6Q6	P12314	4.33754e-03
Q9Y6Q6	Q9UKW4	4.33754e-03
Q9Y6Q6	P12318	4.33754e-03
Q9Y6Q6	Q9UQC2	4.33754e-03
Q9Y6Q6	O00300	4.33754e-03
Q9Y6Q6	Q9Y4K3	4.33754e-03
Q9Y6Q6	O00459	4.33754e-03
Q9Y6Q6	O43318	4.33754e-03
Q9Y6Q6	O75015	4.33754e-03
Q9Y6Q6	Q12933	4.33754e-03
Q9Y6Q6	P27986	4.33754e-03
Q9Y6Q6	Q06187	4.33754e-03
Q9Y6Q6	P31994	4.33754e-03
Q9Y6Q6	P31995	4.33754e-03
Q9Y6Q6	O43914	4.33754e-03
O00300	O14788	2.27812e-03
P20333	Q9BYX7	1.11274e-03
P20333	O14735	1.11274e-03
P20333	P78527	1.11274e-03
P20333	Q9UM54	1.11274e-03
P20333	Q7Z3U7	1.11274e-03
P20333	P27708	1.11274e-03
P20333	P43405	1.11274e-03
P20333	P63173	1.11274e-03
P20333	P23396	1.11274e-03
P20333	Q13200	1.11274e-03
P20333	P07910	1.11274e-03
P20333	Q00325	1.11274e-03
P20333	Q12933	1.11274e-03
P20333	P08670	1.11274e-03
P20333	P55060	1.11274e-03
P20333	Q9Y575	1.11274e-03
P20333	Q14257	1.11274e-03
P20333	P12236	1.11274e-03
P20333	Q15758	1.11274e-03
P20333	P53007	1.11274e-03
P20333	P35580	1.11274e-03
P20333	P19438	1.11274e-03
P20333	P42224	1.11274e-03
P20333	P05141	1.11274e-03
P20333	Q96CX2	1.11274e-03
P20333	Q15006	1.11274e-03
P20333	Q9Y297	1.11274e-03
P20333	Q13748	1.11274e-03
P20333	P25705	1.11274e-03
P20333	Q13077	1.11274e-03
P20333	Q05639	1.11274e-03
P20333	P39656	1.11274e-03
P20333	P21333	1.11274e-03
P20333	O15397	1.11274e-03
P20333	Q02978	1.11274e-03
P20333	Q92538	1.11274e-03
P20333	Q01813	1.11274e-03
P20333	O95816	1.11274e-03
P20333	P51571	1.11274e-03
P20333	O43592	1.11274e-03
P20333	Q00610	1.11274e-03
P20333	P29508	1.11274e-03
P20333	P14625	1.11274e-03
P20333	P58107	1.11274e-03
P20333	Q00839	1.11274e-03
P20333	P35579	1.11274e-03
P20333	P0CG48	1.11274e-03
P20333	Q9BXW9	1.11274e-03
P20333	O14983	1.11274e-03
P20333	O14980	1.11274e-03
P20333	Q71UM5	1.11274e-03
P20333	Q07021	1.11274e-03
P20333	P11142	1.11274e-03
P20333	O43175	1.11274e-03
P20333	O95373	1.11274e-03
P20333	Q13490	1.11274e-03
P20333	Q13257	1.11274e-03
P20333	P04406	1.11274e-03
P20333	Q3ZCQ8	1.11274e-03
P20333	Q9NQH7	1.11274e-03
P20333	P05023	1.11274e-03
P20333	P62263	1.11274e-03
P20333	O95831	1.11274e-03
P20333	Q9NVI7	1.11274e-03
P20333	Q9UKB1	1.11274e-03
P20333	Q9P035	1.11274e-03
P20333	Q9NVI1	1.11274e-03
P20333	P62829	1.11274e-03
P20333	P38646	1.11274e-03
P20333	Q16531	1.11274e-03
P20333	P49411	1.11274e-03
P20333	P16615	1.11274e-03
