#tail	head	edge_flux
Q01973	P41221	1.30565e-02
Q01973	P56703	1.30565e-02
P34925	P04628	1.04922e-02
P34925	P56704	1.04922e-02
Q01973	P01138	1.03826e-02
P34925	P13569	1.01589e-02
O75197	Q92837	5.86909e-03
O75197	P19022	5.86909e-03
O75197	O15169	5.86909e-03
Q07954	P11226	5.73440e-03
Q07954	Q15485	5.73440e-03
Q07954	O00213	5.73440e-03
Q07954	P61981	5.55226e-03
P34925	O14640	5.35243e-03
O75197	O15198	4.77252e-03
Q07954	P12757	4.66300e-03
O75197	Q00604	3.96576e-03
Q9NPG1	Q00722	3.64956e-03
Q9NPG1	P09471	3.64956e-03
Q9NPG1	P50148	3.64956e-03
Q9NPG1	Q9NQ66	3.64956e-03
Q9NPG1	P35222	3.64956e-03
Q9NPG1	O14641	3.64956e-03
Q9NPG1	O14640	3.64956e-03
Q9NPG1	Q01970	3.64956e-03
Q9NPG1	Q92997	3.64956e-03
Q9NPG1	Q15147	3.64956e-03
Q9ULW2	Q00722	3.64956e-03
Q9ULW2	P09471	3.64956e-03
Q9ULW2	P50148	3.64956e-03
Q9ULW2	Q9NQ66	3.64956e-03
Q9ULW2	O14640	3.64956e-03
Q9ULW2	Q15147	3.64956e-03
Q9ULW2	P35222	3.64956e-03
Q9ULW2	Q01970	3.64956e-03
Q9ULW2	Q92997	3.64956e-03
Q9ULW2	O14641	3.64956e-03
O75197	Q9ULV1	3.57803e-03
O75197	O60353	3.57803e-03
Q9UP38	Q92997	3.47242e-03
Q9UP38	Q00722	3.47242e-03
Q9UP38	P09471	3.47242e-03
Q9UP38	P50148	3.47242e-03
Q9UP38	Q9NQ66	3.47242e-03
Q9UP38	P35222	3.47242e-03
Q9UP38	Q15147	3.47242e-03
Q9UP38	O14640	3.47242e-03
Q9UP38	Q01970	3.47242e-03
Q9UP38	O14641	3.47242e-03
Q14332	Q92997	3.47242e-03
Q14332	Q00722	3.47242e-03
Q14332	P09471	3.47242e-03
Q14332	P50148	3.47242e-03
Q14332	Q9NQ66	3.47242e-03
Q14332	P35222	3.47242e-03
Q14332	Q15147	3.47242e-03
Q14332	O14640	3.47242e-03
Q14332	Q01970	3.47242e-03
Q14332	O14641	3.47242e-03
Q13467	Q00722	3.46524e-03
Q13467	P09471	3.46524e-03
Q13467	P50148	3.46524e-03
Q13467	Q9NQ66	3.46524e-03
Q13467	Q15147	3.46524e-03
Q13467	O14640	3.46524e-03
Q13467	P35222	3.46524e-03
Q13467	Q01970	3.46524e-03
Q13467	Q92997	3.46524e-03
Q13467	O14641	3.46524e-03
O00144	Q00722	3.37511e-03
O00144	P09471	3.37511e-03
O00144	P50148	3.37511e-03
O00144	Q9NQ66	3.37511e-03
O00144	O14640	3.37511e-03
O00144	O14641	3.37511e-03
O00144	P35222	3.37511e-03
O00144	Q01970	3.37511e-03
O00144	Q92997	3.37511e-03
O00144	Q15147	3.37511e-03
Q07954	P02746	3.22655e-03
Q9H461	Q9BXY4	3.04130e-03
Q9H461	Q00722	3.04130e-03
Q9H461	P09471	3.04130e-03
Q9H461	P50148	3.04130e-03
Q9H461	Q9NQ66	3.04130e-03
Q9H461	P35222	3.04130e-03
Q9H461	O14641	3.04130e-03
Q9H461	Q2MKA7	3.04130e-03
Q9H461	O14640	3.04130e-03
Q9H461	Q01970	3.04130e-03
Q9H461	Q92997	3.04130e-03
Q9H461	Q15147	3.04130e-03
O75197	P49841	2.99403e-03
O75084	Q00722	2.97341e-03
O75084	P09471	2.97341e-03
O75084	P50148	2.97341e-03
O75084	O14640	2.97341e-03
O75084	O14641	2.97341e-03
O75084	P35222	2.97341e-03
O75084	Q9NQ66	2.97341e-03
O75084	Q92997	2.97341e-03
O75084	Q01970	2.97341e-03
O75084	Q15147	2.97341e-03
Q07954	P21741	2.92532e-03
Q07954	P05121	2.92532e-03
O75084	Q9NRR5	2.82684e-03
Q01974	P41221	2.75931e-03
Q01974	P31946	2.75931e-03
Q01974	Q9H1J7	2.75931e-03
Q01974	O00755	2.75931e-03
Q01974	Q9Y6F9	2.75931e-03
Q01974	P09544	2.75931e-03
Q01974	P56703	2.75931e-03
Q01974	P04628	2.75931e-03
Q01974	P56704	2.75931e-03
Q01974	P56705	2.75931e-03
O00144	Q99750	2.74452e-03
P56703	O60353	2.66326e-03
P56703	Q9ULV1	2.66326e-03
P56703	Q9UEF7	2.66326e-03
O75581	P58335	2.58689e-03
O75581	Q9BXY4	2.58689e-03
O75581	Q9Y4X0	2.58689e-03
O75581	P19022	2.58689e-03
O75581	P98082	2.58689e-03
O75581	Q2MKA7	2.58689e-03
O75581	Q9H6X2	2.58689e-03
O75581	Q14696	2.58689e-03
O75581	O15169	2.58689e-03
O75084	Q9UMX0	2.41787e-03
Q9BXY4	P04628	2.19681e-03
Q01974	O43318	1.86447e-03
Q9UP38	P78352	1.77141e-03
Q14332	P78352	1.77141e-03
O75581	P0CG47	1.74797e-03
O75581	P62987	1.74797e-03
O75581	Q03135	1.74797e-03
O75581	P62979	1.74797e-03
O75581	P0CG48	1.74797e-03
Q15147	P00533	1.71408e-03
Q15147	P17252	1.71408e-03
Q15147	Q05655	1.71408e-03
Q15147	Q02156	1.71408e-03
Q15147	P05129	1.71408e-03
Q15147	P05771	1.71408e-03
Q2MKA7	Q96MU8	1.71107e-03
Q2MKA7	P04628	1.71107e-03
O75581	Q9ULV1	1.57707e-03
O75581	O60353	1.57707e-03
O75084	P78352	1.51684e-03
Q15485	P26022	1.48404e-03
Q15485	P02741	1.48404e-03
Q01974	P21333	1.40762e-03
Q01974	O14640	1.40762e-03
Q01974	O14641	1.40762e-03
Q01974	Q9Y5V3	1.40762e-03
Q01974	Q92997	1.40762e-03
Q01970	O14745	1.33533e-03
Q01970	P00533	1.33533e-03
Q01970	P17252	1.33533e-03
Q01970	Q05655	1.33533e-03
Q01970	Q02156	1.33533e-03
Q01970	P15311	1.33533e-03
Q01970	Q9NPB6	1.33533e-03
Q01970	P05129	1.33533e-03
Q01970	P05771	1.33533e-03
Q01970	Q8TEW0	1.33533e-03
O75581	P49841	1.31966e-03
Q9NQ66	P00533	1.27178e-03
Q9NQ66	Q05655	1.27178e-03
Q9NQ66	Q02156	1.27178e-03
Q9NQ66	Q9NPB6	1.27178e-03
Q9NQ66	P05129	1.27178e-03
Q9NQ66	P05771	1.27178e-03
Q9NQ66	Q8TEW0	1.27178e-03
Q9NQ66	P17252	1.27178e-03
Q00604	Q9ULV1	1.26706e-03
Q00722	P00533	1.22243e-03
Q00722	P52564	1.22243e-03
Q00722	P17252	1.22243e-03
Q00722	Q05655	1.22243e-03
Q00722	Q02156	1.22243e-03
Q00722	P05129	1.22243e-03
Q00722	P05771	1.22243e-03
Q00722	P46734	1.22243e-03
P41221	O96014	1.00642e-03
P41221	Q9ULV1	1.00642e-03
P41221	Q9H1J7	1.00642e-03
P41221	O00755	1.00642e-03
P41221	Q9UEF7	1.00642e-03
P41221	O14904	1.00642e-03
P41221	O60353	1.00642e-03
P41221	P56704	1.00642e-03
P41221	P56705	1.00642e-03
Q9BXY4	Q15075	1.00375e-03
Q00722	P63000	9.72083e-04
Q13467	Q9UK32	9.21633e-04
Q13467	P49841	9.21633e-04
Q15147	Q05586	8.74416e-04
Q15147	Q9BYG4	8.74416e-04
Q15147	Q9BYG5	8.74416e-04
Q15147	Q9NPB6	8.74416e-04
Q15147	Q8TEW0	8.74416e-04
Q9NQ66	P16220	8.59344e-04
Q9NQ66	P49716	8.59344e-04
Q9NQ66	P12980	8.59344e-04
Q00604	O95859	8.56158e-04
Q00722	Q16539	8.25996e-04
P56704	P41221	8.10068e-04
P56704	O14904	8.10068e-04
P56704	Q9ULV1	8.10068e-04
P56704	Q9H1J7	8.10068e-04
P56704	O00755	8.10068e-04
P56704	O94907	8.10068e-04
P56704	O96014	8.10068e-04
P56704	O60353	8.10068e-04
P56704	Q14696	8.10068e-04
P56704	P56705	8.10068e-04
P04628	Q9ULV1	7.56177e-04
P04628	Q9BXY4	7.56177e-04
P04628	Q6UXX9	7.56177e-04
P04628	Q2MKA7	7.56177e-04
P04628	P09544	7.56177e-04
P04628	O60353	7.56177e-04
P04628	Q9UEF7	7.56177e-04
Q9Y6F9	O60353	6.90413e-04
Q9Y6F9	Q9ULV1	6.90413e-04
Q01970	Q9BYG4	6.81201e-04
Q01970	Q9BYG5	6.81201e-04
Q92837	O14640	6.67961e-04
Q92837	P49841	6.67961e-04
Q92837	Q92997	6.67961e-04
Q92837	O15169	6.67961e-04
O60353	Q00722	6.49560e-04
O60353	P09471	6.49560e-04
O60353	P50148	6.49560e-04
O60353	Q9NQ66	6.49560e-04
O60353	P35222	6.49560e-04
O60353	O14641	6.49560e-04
O60353	O14640	6.49560e-04
