#tail	head	weight	pathway_name	pathway_ID	edge_type	tail_symbol	head_symbol	0	1	cv_part
Q8IZP0	P22681	1	EGFR1	4	physical	ABI1	CBL	Q8IZP0	P22681	0
P62736	P36542	1	EGFR1	4	physical	ACTA2	ATP5C1	P62736	P36542	0
P62736	Q13191	1	EGFR1	4	physical	ACTA2	CBLB	P62736	Q13191	0
P62736	P00533	1	EGFR1	4	physical	ACTA2	EGFR	P62736	P00533	0
P62736	Q9UJM3	1	EGFR1	4	physical	ACTA2	ERRFI1	P62736	Q9UJM3	0
P62736	P00403	1	EGFR1	4	physical	ACTA2	MT-CO2	P62736	P00403	0
P62736	P29353	1	EGFR1	4	physical	ACTA2	SHC1	P62736	P29353	0
P62736	P62316	1	EGFR1	4	physical	ACTA2	SNRPD2	P62736	P62316	0
P62736	Q07889	1	EGFR1	4	physical	ACTA2	SOS1	P62736	Q07889	0
P62736	Q07890	1	EGFR1	4	physical	ACTA2	SOS2	P62736	Q07890	0
P62736	P63104	1	EGFR1	4	physical	ACTA2	YWHAZ	P62736	P63104	0
O43707	Q04206	1	EGFR1	4	physical	ACTN4	RELA	O43707	Q04206	0
P31749	Q6P1N0	1	EGFR1	4	physical	AKT1	CC2D1A	P31749	Q6P1N0	0
P31749	Q12778	1	EGFR1	4	Phosphorylation	AKT1	FOXO1	P31749	Q12778	0
P31749	O15530	1	EGFR1	4	physical	AKT1	PDPK1	P31749	O15530	0
P31749	P04049	1	EGFR1	4	Phosphorylation	AKT1	RAF1	P31749	P04049	0
P31749	P42224	1	EGFR1	4	Phosphorylation	AKT1	STAT1	P31749	P42224	0
O95782	P53680	1	EGFR1	4	physical	AP2A1	AP2S1	O95782	P53680	0
O95782	Q13191	1	EGFR1	4	physical	AP2A1	CBLB	O95782	Q13191	0
O95782	P00533	1	EGFR1	4	physical	AP2A1	EGFR	O95782	P00533	0
O95782	Q9Y6I3	1	EGFR1	4	physical	AP2A1	EPN1	O95782	Q9Y6I3	0
O95782	P62993	1	EGFR1	4	physical	AP2A1	GRB2	O95782	P62993	0
O95782	Q16695	1	EGFR1	4	physical	AP2A1	HIST3H3	O95782	Q16695	0
O95782	P05783	1	EGFR1	4	physical	AP2A1	KRT18	O95782	P05783	0
O95782	Q6WCQ1	1	EGFR1	4	physical	AP2A1	MPRIP	O95782	Q6WCQ1	0
O95782	Q15149	1	EGFR1	4	physical	AP2A1	PLEC	O95782	Q15149	0
O95782	P29353	1	EGFR1	4	physical	AP2A1	SHC1	O95782	P29353	0
O95782	Q07889	1	EGFR1	4	physical	AP2A1	SOS1	O95782	Q07889	0
O95782	P52735	1	EGFR1	4	physical	AP2A1	VAV2	O95782	P52735	0
P63010	P13987	1	EGFR1	4	physical	AP2B1	CD59	P63010	P13987	0
P63010	P00533	1	EGFR1	4	physical	AP2B1	EGFR	P63010	P00533	0
P63010	P58107	1	EGFR1	4	physical	AP2B1	EPPK1	P63010	P58107	0
P63010	Q16695	1	EGFR1	4	physical	AP2B1	HIST3H3	P63010	Q16695	0
P63010	P46940	1	EGFR1	4	physical	AP2B1	IQGAP1	P63010	P46940	0
P63010	Q04695	1	EGFR1	4	physical	AP2B1	KRT17	P63010	Q04695	0
P63010	P05783	1	EGFR1	4	physical	AP2B1	KRT18	P63010	P05783	0
P63010	P08729	1	EGFR1	4	physical	AP2B1	KRT7	P63010	P08729	0
P63010	P05787	1	EGFR1	4	physical	AP2B1	KRT8	P63010	P05787	0
P63010	Q06124	1	EGFR1	4	physical	AP2B1	PTPN11	P63010	Q06124	0
P63010	P29353	1	EGFR1	4	physical	AP2B1	SHC1	P63010	P29353	0
P63010	Q2TAY7	1	EGFR1	4	physical	AP2B1	SMU1	P63010	Q2TAY7	0
P53680	O95782	1	EGFR1	4	physical	AP2S1	AP2A1	P53680	O95782	0
P53680	P00533	1	EGFR1	4	physical	AP2S1	EGFR	P53680	P00533	0
P53680	P58107	1	EGFR1	4	physical	AP2S1	EPPK1	P53680	P58107	0
P53680	P08729	1	EGFR1	4	physical	AP2S1	KRT7	P53680	P08729	0
P53680	Q6WCQ1	1	EGFR1	4	physical	AP2S1	MPRIP	P53680	Q6WCQ1	0
P53680	Q15149	1	EGFR1	4	physical	AP2S1	PLEC	P53680	Q15149	0
P53680	Q06124	1	EGFR1	4	physical	AP2S1	PTPN11	P53680	Q06124	0
P53680	Q9H0H5	1	EGFR1	4	physical	AP2S1	RACGAP1	P53680	Q9H0H5	0
P53680	Q07889	1	EGFR1	4	physical	AP2S1	SOS1	P53680	Q07889	0
P53680	P52735	1	EGFR1	4	physical	AP2S1	VAV2	P53680	P52735	0
P53680	Q9UKW4	1	EGFR1	4	physical	AP2S1	VAV3	P53680	Q9UKW4	0
Q8NEU8	O94776	1	EGFR1	4	physical	APPL2	MTA2	Q8NEU8	O94776	0
P36542	P62736	1	EGFR1	4	physical	ATP5C1	ACTA2	P36542	P62736	0
P36542	P01133	1	EGFR1	4	physical	ATP5C1	EGF	P36542	P01133	0
P36542	P62993	1	EGFR1	4	physical	ATP5C1	GRB2	P36542	P62993	0
P36542	P27986	1	EGFR1	4	physical	ATP5C1	PIK3R1	P36542	P27986	0
P36542	O00459	1	EGFR1	4	physical	ATP5C1	PIK3R2	P36542	O00459	0
P36542	P62316	1	EGFR1	4	physical	ATP5C1	SNRPD2	P36542	P62316	0
P36542	Q07889	1	EGFR1	4	physical	ATP5C1	SOS1	P36542	Q07889	0
P36542	Q07890	1	EGFR1	4	physical	ATP5C1	SOS2	P36542	Q07890	0
P36542	P52735	1	EGFR1	4	physical	ATP5C1	VAV2	P36542	P52735	0
P15056	P04049	1	EGFR1	4	physical	BRAF	RAF1	P15056	P04049	0
Q9UQM7	P00533	1	EGFR1	4	Phosphorylation	CAMK2A	EGFR	Q9UQM7	P00533	0
P55211	P28482	1	EGFR1	4	physical	CASP9	MAPK1	P55211	P28482	0
Q03135	P12830	1	EGFR1	4	physical	CAV1	CDH1	Q03135	P12830	0
Q03135	Q14451	1	EGFR1	4	physical	CAV1	GRB7	Q03135	Q14451	0
Q03135	P28482	1	EGFR1	4	physical	CAV1	MAPK1	Q03135	P28482	0
Q03135	Q05397	1	EGFR1	4	physical	CAV1	PTK2	Q03135	Q05397	0
P51636	P20936	1	EGFR1	4	physical	CAV2	RASA1	P51636	P20936	0
P22681	Q8IZP0	1	EGFR1	4	physical	CBL	ABI1	P22681	Q8IZP0	0
P22681	P46109	1	EGFR1	4	physical	CBL	CRKL	P22681	P46109	0
P22681	P00533	1	EGFR1	4	physical	CBL	EGFR	P22681	P00533	0
P22681	P00533	1	EGFR1	4	Ubiquitination	CBL	EGFR	P22681	P00533	0
P22681	Q9UJM3	1	EGFR1	4	physical	CBL	ERRFI1	P22681	Q9UJM3	0
P22681	P00403	1	EGFR1	4	physical	CBL	MT-CO2	P22681	P00403	0
P22681	P27986	1	EGFR1	4	physical	CBL	PIK3R1	P22681	P27986	0
P22681	O00459	1	EGFR1	4	physical	CBL	PIK3R2	P22681	O00459	0
P22681	Q07889	1	EGFR1	4	physical	CBL	SOS1	P22681	Q07889	0
P22681	O43597	1	EGFR1	4	physical	CBL	SPRY2	P22681	O43597	0
P22681	P0CG47	1	EGFR1	4	physical	CBL	UBB	P22681	P0CG47	0
P22681	P63104	1	EGFR1	4	physical	CBL	YWHAZ	P22681	P63104	0
Q13191	P62736	1	EGFR1	4	physical	CBLB	ACTA2	Q13191	P62736	0
Q13191	O95782	1	EGFR1	4	physical	CBLB	AP2A1	Q13191	O95782	0
Q13191	P01133	1	EGFR1	4	physical	CBLB	EGF	Q13191	P01133	0
Q13191	P58107	1	EGFR1	4	physical	CBLB	EPPK1	Q13191	P58107	0
Q13191	P46940	1	EGFR1	4	physical	CBLB	IQGAP1	Q13191	P46940	0
Q13191	Q04695	1	EGFR1	4	physical	CBLB	KRT17	Q13191	Q04695	0
Q13191	P08729	1	EGFR1	4	physical	CBLB	KRT7	Q13191	P08729	0
Q13191	P05787	1	EGFR1	4	physical	CBLB	KRT8	Q13191	P05787	0
Q13191	O00459	1	EGFR1	4	physical	CBLB	PIK3R2	Q13191	O00459	0
Q13191	Q06124	1	EGFR1	4	physical	CBLB	PTPN11	Q13191	Q06124	0
Q13191	Q9H0H5	1	EGFR1	4	physical	CBLB	RACGAP1	Q13191	Q9H0H5	0
Q13191	P29353	1	EGFR1	4	physical	CBLB	SHC1	Q13191	P29353	0
Q13191	Q2TAY7	1	EGFR1	4	physical	CBLB	SMU1	Q13191	Q2TAY7	0
Q13191	Q07889	1	EGFR1	4	physical	CBLB	SOS1	Q13191	Q07889	0
Q13191	Q07890	1	EGFR1	4	physical	CBLB	SOS2	Q13191	Q07890	0
Q13191	P52735	1	EGFR1	4	physical	CBLB	VAV2	Q13191	P52735	0
Q13191	P63104	1	EGFR1	4	physical	CBLB	YWHAZ	Q13191	P63104	0
Q9ULV8	P46108	1	EGFR1	4	physical	CBLC	CRK	Q9ULV8	P46108	0
Q6P1N0	P31749	1	EGFR1	4	physical	CC2D1A	AKT1	Q6P1N0	P31749	0
Q6P1N0	P00533	1	EGFR1	4	physical	CC2D1A	EGFR	Q6P1N0	P00533	0
P13987	P63010	1	EGFR1	4	physical	CD59	AP2B1	P13987	P63010	0
P13987	P58107	1	EGFR1	4	physical	CD59	EPPK1	P13987	P58107	0
P13987	Q16695	1	EGFR1	4	physical	CD59	HIST3H3	P13987	Q16695	0
P13987	P46940	1	EGFR1	4	physical	CD59	IQGAP1	P13987	P46940	0
P13987	Q04695	1	EGFR1	4	physical	CD59	KRT17	P13987	Q04695	0
P13987	P05783	1	EGFR1	4	physical	CD59	KRT18	P13987	P05783	0
P13987	P08729	1	EGFR1	4	physical	CD59	KRT7	P13987	P08729	0
P13987	P05787	1	EGFR1	4	physical	CD59	KRT8	P13987	P05787	0
P13987	Q06124	1	EGFR1	4	physical	CD59	PTPN11	P13987	Q06124	0
P13987	Q2TAY7	1	EGFR1	4	physical	CD59	SMU1	P13987	Q2TAY7	0
P13987	P52735	1	EGFR1	4	physical	CD59	VAV2	P13987	P52735	0
P13987	Q9UKW4	1	EGFR1	4	physical	CD59	VAV3	P13987	Q9UKW4	0
P60953	Q13233	1	EGFR1	4	physical	CDC42	MAP3K1	P60953	Q13233	0
P12830	Q03135	1	EGFR1	4	physical	CDH1	CAV1	P12830	Q03135	0
Q00535	O14939	1	EGFR1	4	physical	CDK5	PLD2	Q00535	O14939	0
Q00535	O14939	1	EGFR1	4	Phosphorylation	CDK5	PLD2	Q00535	O14939	0
Q16667	P05412	1	EGFR1	4	Phosphorylation	CDKN3	JUN	Q16667	P05412	0
P13688	P29353	1	EGFR1	4	physical	CEACAM1	SHC1	P13688	P29353	0
P46108	Q9ULV8	1	EGFR1	4	physical	CRK	CBLC	P46108	Q9ULV8	0
P46108	P00533	1	EGFR1	4	physical	CRK	EGFR	P46108	P00533	0
P46108	Q96D71	1	EGFR1	4	physical	CRK	REPS1	P46108	Q96D71	0
P46109	P22681	1	EGFR1	4	physical	CRKL	CBL	P46109	P22681	0
P41240	P00533	1	EGFR1	4	physical	CSK	EGFR	P41240	P00533	0
O60716	P29350	1	EGFR1	4	physical	CTNND1	PTPN6	O60716	P29350	0
Q05193	P19174	1	EGFR1	4	physical	DNM1	PLCG1	Q05193	P19174	0
Q05193	Q99963	1	EGFR1	4	physical	DNM1	SH3GL3	Q05193	Q99963	0
Q05193	P12931	1	EGFR1	4	physical	DNM1	SRC	Q05193	P12931	0
O60496	P00533	1	EGFR1	4	physical	DOK2	EGFR	O60496	P00533	0
P01133	P36542	1	EGFR1	4	physical	EGF	ATP5C1	P01133	P36542	0
P01133	Q13191	1	EGFR1	4	physical	EGF	CBLB	P01133	Q13191	0
P01133	P00533	1	EGFR1	4	physical	EGF	EGFR	P01133	P00533	0
P01133	Q9UJM3	1	EGFR1	4	physical	EGF	ERRFI1	P01133	Q9UJM3	0
P01133	P62993	1	EGFR1	4	physical	EGF	GRB2	P01133	P62993	0
P01133	P00403	1	EGFR1	4	physical	EGF	MT-CO2	P01133	P00403	0
P01133	P27986	1	EGFR1	4	physical	EGF	PIK3R1	P01133	P27986	0
P01133	P29353	1	EGFR1	4	physical	EGF	SHC1	P01133	P29353	0
P01133	P62316	1	EGFR1	4	physical	EGF	SNRPD2	P01133	P62316	0
P01133	P52735	1	EGFR1	4	physical	EGF	VAV2	P01133	P52735	0
P00533	P62736	1	EGFR1	4	physical	EGFR	ACTA2	P00533	P62736	0
P00533	O95782	1	EGFR1	4	physical	EGFR	AP2A1	P00533	O95782	0
P00533	P63010	1	EGFR1	4	physical	EGFR	AP2B1	P00533	P63010	0
P00533	P53680	1	EGFR1	4	physical	EGFR	AP2S1	P00533	P53680	0
P00533	P22681	1	EGFR1	4	physical	EGFR	CBL	P00533	P22681	0
P00533	Q6P1N0	1	EGFR1	4	physical	EGFR	CC2D1A	P00533	Q6P1N0	0
P00533	P46108	1	EGFR1	4	physical	EGFR	CRK	P00533	P46108	0
P00533	P46108	1	EGFR1	4	Phosphorylation	EGFR	CRK	P00533	P46108	0
P00533	P41240	1	EGFR1	4	physical	EGFR	CSK	P00533	P41240	0
P00533	O60496	1	EGFR1	4	physical	EGFR	DOK2	P00533	O60496	0
P00533	P01133	1	EGFR1	4	physical	EGFR	EGF	P00533	P01133	0
