#tail	head	weight	pathway_name	pathway_ID	edge_type	tail_symbol	head_symbol	0	1	cv_part
Q8IZP0	Q12929	1	EGFR1	4	physical	ABI1	EPS8	Q8IZP0	Q12929	1
P62736	P22681	1	EGFR1	4	physical	ACTA2	CBL	P62736	P22681	1
P62736	P01133	1	EGFR1	4	physical	ACTA2	EGF	P62736	P01133	1
P62736	P62993	1	EGFR1	4	physical	ACTA2	GRB2	P62736	P62993	1
P62736	P27986	1	EGFR1	4	physical	ACTA2	PIK3R1	P62736	P27986	1
P62736	O00459	1	EGFR1	4	physical	ACTA2	PIK3R2	P62736	O00459	1
P62736	P0CG47	1	EGFR1	4	physical	ACTA2	UBB	P62736	P0CG47	1
P62736	P52735	1	EGFR1	4	physical	ACTA2	VAV2	P62736	P52735	1
O43707	P19838	1	EGFR1	4	physical	ACTN4	NFKB1	O43707	P19838	1
P78536	P10586	1	EGFR1	4	protein_cleavage	ADAM17	PTPRF	P78536	P10586	1
P25098	P00533	1	EGFR1	4	physical	ADRBK1	EGFR	P25098	P00533	1
P31749	P00533	1	EGFR1	4	physical	AKT1	EGFR	P31749	P00533	1
P31749	P98177	1	EGFR1	4	Phosphorylation	AKT1	FOXO4	P31749	P98177	1
P07355	Q06124	1	EGFR1	4	physical	ANXA2	PTPN11	P07355	Q06124	1
O95782	P63010	1	EGFR1	4	physical	AP2A1	AP2B1	O95782	P63010	1
O95782	P13987	1	EGFR1	4	physical	AP2A1	CD59	O95782	P13987	1
O95782	P58107	1	EGFR1	4	physical	AP2A1	EPPK1	O95782	P58107	1
O95782	P42566	1	EGFR1	4	physical	AP2A1	EPS15	O95782	P42566	1
O95782	P46940	1	EGFR1	4	physical	AP2A1	IQGAP1	O95782	P46940	1
O95782	Q04695	1	EGFR1	4	physical	AP2A1	KRT17	O95782	Q04695	1
O95782	P08729	1	EGFR1	4	physical	AP2A1	KRT7	O95782	P08729	1
O95782	P05787	1	EGFR1	4	physical	AP2A1	KRT8	O95782	P05787	1
O95782	Q06124	1	EGFR1	4	physical	AP2A1	PTPN11	O95782	Q06124	1
O95782	Q9H0H5	1	EGFR1	4	physical	AP2A1	RACGAP1	O95782	Q9H0H5	1
O95782	Q2TAY7	1	EGFR1	4	physical	AP2A1	SMU1	O95782	Q2TAY7	1
O95782	P62316	1	EGFR1	4	physical	AP2A1	SNRPD2	O95782	P62316	1
O95782	Q9UKW4	1	EGFR1	4	physical	AP2A1	VAV3	O95782	Q9UKW4	1
P63010	O95782	1	EGFR1	4	physical	AP2B1	AP2A1	P63010	O95782	1
P63010	P53680	1	EGFR1	4	physical	AP2B1	AP2S1	P63010	P53680	1
P63010	Q13191	1	EGFR1	4	physical	AP2B1	CBLB	P63010	Q13191	1
P63010	P62993	1	EGFR1	4	physical	AP2B1	GRB2	P63010	P62993	1
P63010	Q6WCQ1	1	EGFR1	4	physical	AP2B1	MPRIP	P63010	Q6WCQ1	1
P63010	Q15149	1	EGFR1	4	physical	AP2B1	PLEC	P63010	Q15149	1
P63010	Q9H0H5	1	EGFR1	4	physical	AP2B1	RACGAP1	P63010	Q9H0H5	1
P63010	P62316	1	EGFR1	4	physical	AP2B1	SNRPD2	P63010	P62316	1
P63010	Q07889	1	EGFR1	4	physical	AP2B1	SOS1	P63010	Q07889	1
P63010	P52735	1	EGFR1	4	physical	AP2B1	VAV2	P63010	P52735	1
P63010	Q9UKW4	1	EGFR1	4	physical	AP2B1	VAV3	P63010	Q9UKW4	1
P53680	P63010	1	EGFR1	4	physical	AP2S1	AP2B1	P53680	P63010	1
P53680	Q13191	1	EGFR1	4	physical	AP2S1	CBLB	P53680	Q13191	1
P53680	P13987	1	EGFR1	4	physical	AP2S1	CD59	P53680	P13987	1
P53680	P62993	1	EGFR1	4	physical	AP2S1	GRB2	P53680	P62993	1
P53680	Q16695	1	EGFR1	4	physical	AP2S1	HIST3H3	P53680	Q16695	1
P53680	P46940	1	EGFR1	4	physical	AP2S1	IQGAP1	P53680	P46940	1
P53680	Q04695	1	EGFR1	4	physical	AP2S1	KRT17	P53680	Q04695	1
