#tail	head	weight	pathway_name	pathway_ID	edge_type	tail_symbol	head_symbol	0	1	cv_part
O15111	O95163	1	IL1	13	physical	CHUK	IKBKAP	O15111	O95163	0
O15111	Q99558	1	IL1	13	physical	CHUK	MAP3K14	O15111	Q99558	0
O15111	Q9Y2U5	1	IL1	13	physical	CHUK	MAP3K2	O15111	Q9Y2U5	0
O15111	Q99759	1	IL1	13	physical	CHUK	MAP3K3	O15111	Q99759	0
O15111	Q9NYJ8	1	IL1	13	physical	CHUK	TAB2	O15111	Q9NYJ8	0
O15111	Q9Y4K3	1	IL1	13	physical	CHUK	TRAF6	O15111	Q9Y4K3	0
Q9BQ95	Q9Y4K3	1	IL1	13	physical	ECSIT	TRAF6	Q9BQ95	Q9Y4K3	0
Q969U6	O43318	1	IL1	13	physical	FBXW5	MAP3K7	Q969U6	O43318	0
O95163	O15111	1	IL1	13	physical	IKBKAP	CHUK	O95163	O15111	0
O14920	Q99704	1	IL1	13	Phosphorylation	IKBKB	DOK1	O14920	Q99704	0
O14920	Q9Y2U5	1	IL1	13	physical	IKBKB	MAP3K2	O14920	Q9Y2U5	0
O14920	Q15653	1	IL1	13	physical	IKBKB	NFKBIB	O14920	Q15653	0
O14920	Q04206	1	IL1	13	Phosphorylation	IKBKB	RELA	O14920	Q04206	0
O14920	Q04206	1	IL1	13	physical	IKBKB	RELA	O14920	Q04206	0
P01583	P14778	1	IL1	13	physical	IL1A	IL1R1	P01583	P14778	0
P01583	Q9NWZ3	1	IL1	13	physical	IL1A	IRAK4	P01583	Q9NWZ3	0
P01583	Q99836	1	IL1	13	physical	IL1A	MYD88	P01583	Q99836	0
P01584	P14778	1	IL1	13	physical	IL1B	IL1R1	P01584	P14778	0
P01584	P27930	1	IL1	13	physical	IL1B	IL1R2	P01584	P27930	0
P01584	Q9NPH3	1	IL1	13	physical	IL1B	IL1RAP	P01584	Q9NPH3	0
P14778	P01583	1	IL1	13	physical	IL1R1	IL1A	P14778	P01583	0
P14778	P01584	1	IL1	13	physical	IL1R1	IL1B	P14778	P01584	0
P14778	P18510	1	IL1	13	physical	IL1R1	IL1RN	P14778	P18510	0
P14778	O43187	1	IL1	13	physical	IL1R1	IRAK2	P14778	O43187	0
P14778	Q99836	1	IL1	13	physical	IL1R1	MYD88	P14778	Q99836	0
P14778	P27986	1	IL1	13	physical	IL1R1	PIK3R1	P14778	P27986	0
P27930	P01584	1	IL1	13	physical	IL1R2	IL1B	P27930	P01584	0
P27930	Q9NPH3	1	IL1	13	physical	IL1R2	IL1RAP	P27930	Q9NPH3	0
Q9NPH3	P01584	1	IL1	13	physical	IL1RAP	IL1B	Q9NPH3	P01584	0
