#tail	head	weight	pathway_name	pathway_ID	edge_type	tail_symbol	head_symbol	0	1	cv_part
P31749	O43524	1	IL2	14	Phosphorylation	AKT1	FOXO3	P31749	O43524	1
P31749	P07900	1	IL2	14	physical	AKT1	HSP90AA1	P31749	P07900	1
P22681	P46108	1	IL2	14	physical	CBL	CRK	P22681	P46108	1
P22681	P27986	1	IL2	14	physical	CBL	PIK3R1	P22681	P27986	1
P22681	P29353	1	IL2	14	physical	CBL	SHC1	P22681	P29353	1
P24864	P24941	1	IL2	14	physical	CCNE1	CDK2	P24864	P24941	1
P24941	P24864	1	IL2	14	physical	CDK2	CCNE1	P24941	P24864	1
P24941	P28482	1	IL2	14	physical	CDK2	MAPK1	P24941	P28482	1
Q9NSE2	P14784	1	IL2	14	physical	CISH	IL2RB	Q9NSE2	P14784	1
P46108	P22681	1	IL2	14	physical	CRK	CBL	P46108	P22681	1
P46108	P42229	1	IL2	14	physical	CRK	STAT5A	P46108	P42229	1
P46109	Q9UQC2	1	IL2	14	physical	CRKL	GAB2	P46109	Q9UQC2	1
P46109	O00459	1	IL2	14	physical	CRKL	PIK3R2	P46109	O00459	1
P46109	P29353	1	IL2	14	physical	CRKL	SHC1	P46109	P29353	1
P46109	P42229	1	IL2	14	physical	CRKL	STAT5A	P46109	P42229	1
P46109	P51692	1	IL2	14	physical	CRKL	STAT5B	P46109	P51692	1
Q9UQC2	P46109	1	IL2	14	physical	GAB2	CRKL	Q9UQC2	P46109	1
Q9UQC2	P62993	1	IL2	14	physical	GAB2	GRB2	Q9UQC2	P62993	1
Q9UQC2	P27986	1	IL2	14	physical	GAB2	PIK3R1	Q9UQC2	P27986	1
Q9UQC2	O00459	1	IL2	14	physical	GAB2	PIK3R2	Q9UQC2	O00459	1
P62993	Q9UQC2	1	IL2	14	physical	GRB2	GAB2	P62993	Q9UQC2	1
P62993	Q06124	1	IL2	14	physical	GRB2	PTPN11	P62993	Q06124	1
P07900	P31749	1	IL2	14	physical	HSP90AA1	AKT1	P07900	P31749	1
P07900	O14746	1	IL2	14	physical	HSP90AA1	TERT	P07900	O14746	1
P40933	P31785	1	IL2	14	physical	IL15	IL2RG	P40933	P31785	1
P60568	P01589	1	IL2	14	physical	IL2	IL2RA	P60568	P01589	1
P60568	P14784	1	IL2	14	physical	IL2	IL2RB	P60568	P14784	1
P60568	P31785	1	IL2	14	physical	IL2	IL2RG	P60568	P31785	1
P01589	P60568	1	IL2	14	physical	IL2RA	IL2	P01589	P60568	1
P14784	Q9NSE2	1	IL2	14	physical	IL2RB	CISH	P14784	Q9NSE2	1
P14784	P60568	1	IL2	14	physical	IL2RB	IL2	P14784	P60568	1
P14784	P31785	1	IL2	14	physical	IL2RB	IL2RG	P14784	P31785	1
P14784	P52333	1	IL2	14	physical	IL2RB	JAK3	P14784	P52333	1
P14784	P07948	1	IL2	14	physical	IL2RB	LYN	P14784	P07948	1
P14784	P27986	1	IL2	14	physical	IL2RB	PIK3R1	P14784	P27986	1
P14784	O00459	1	IL2	14	physical	IL2RB	PIK3R2	P14784	O00459	1
P14784	P04049	1	IL2	14	physical	IL2RB	RAF1	P14784	P04049	1
P14784	O15524	1	IL2	14	physical	IL2RB	SOCS1	P14784	O15524	1
P14784	O14543	1	IL2	14	physical	IL2RB	SOCS3	P14784	O14543	1
P14784	P51692	1	IL2	14	physical	IL2RB	STAT5B	P14784	P51692	1
P14784	P43405	1	IL2	14	physical	IL2RB	SYK	P14784	P43405	1
P31785	P40933	1	IL2	14	physical	IL2RG	IL15	P31785	P40933	1
P31785	P60568	1	IL2	14	physical	IL2RG	IL2	P31785	P60568	1
P31785	P14784	1	IL2	14	physical	IL2RG	IL2RB	P31785	P14784	1
P31785	Q15464	1	IL2	14	physical	IL2RG	SHB	P31785	Q15464	1
P35568	P27986	1	IL2	14	physical	IRS1	PIK3R1	P35568	P27986	1
Q9Y4H2	P23458	1	IL2	14	physical	IRS2	JAK1	Q9Y4H2	P23458	1
P23458	Q9Y4H2	1	IL2	14	physical	JAK1	IRS2	P23458	Q9Y4H2	1
P23458	Q9Y4H2	1	IL2	14	Phosphorylation	JAK1	IRS2	P23458	Q9Y4H2	1
P23458	O00459	1	IL2	14	physical	JAK1	PIK3R2	P23458	O00459	1
P23458	Q15464	1	IL2	14	physical	JAK1	SHB	P23458	Q15464	1
P23458	P29353	1	IL2	14	Phosphorylation	JAK1	SHC1	P23458	P29353	1
P23458	O75886	1	IL2	14	Phosphorylation	JAK1	STAM2	P23458	O75886	1
P23458	P43405	1	IL2	14	Phosphorylation	JAK1	SYK	P23458	P43405	1
P52333	P14784	1	IL2	14	physical	JAK3	IL2RB	P52333	P14784	1
P52333	P23458	1	IL2	14	Phosphorylation	JAK3	JAK1	P52333	P23458	1
P52333	Q15464	1	IL2	14	physical	JAK3	SHB	P52333	Q15464	1
P52333	O14543	1	IL2	14	Phosphorylation	JAK3	SOCS3	P52333	O14543	1
P52333	Q92783	1	IL2	14	Phosphorylation	JAK3	STAM	P52333	Q92783	1
P52333	Q92783	1	IL2	14	physical	JAK3	STAM	P52333	Q92783	1
P52333	P42229	1	IL2	14	Phosphorylation	JAK3	STAT5A	P52333	P42229	1
P52333	P09327	1	IL2	14	physical	JAK3	VIL1	P52333	P09327	1
P06239	P27986	1	IL2	14	physical	LCK	PIK3R1	P06239	P27986	1
P06239	P27986	1	IL2	14	Phosphorylation	LCK	PIK3R1	P06239	P27986	1
P07948	P14784	1	IL2	14	physical	LYN	IL2RB	P07948	P14784	1
P07948	P27361	1	IL2	14	physical	LYN	MAPK3	P07948	P27361	1
P07948	P27361	1	IL2	14	Phosphorylation	LYN	MAPK3	P07948	P27361	1
P28482	P24941	1	IL2	14	physical	MAPK1	CDK2	P28482	P24941	1
P28482	Q9UQC2	1	IL2	14	Phosphorylation	MAPK1	GAB2	P28482	Q9UQC2	1
P28482	Q9NQ66	1	IL2	14	Phosphorylation	MAPK1	PLCB1	P28482	Q9NQ66	1
P27361	P19419	1	IL2	14	Phosphorylation	MAPK3	ELK1	P27361	P19419	1
P27361	P07948	1	IL2	14	physical	MAPK3	LYN	P27361	P07948	1
P27361	P40763	1	IL2	14	Phosphorylation	MAPK3	STAT3	P27361	P40763	1
P45983	P15336	1	IL2	14	Phosphorylation	MAPK8	ATF2	P45983	P15336	1
Q13287	P42229	1	IL2	14	physical	NMI	STAT5A	Q13287	P42229	1
Q13287	P51692	1	IL2	14	physical	NMI	STAT5B	Q13287	P51692	1
P42336	Q05513	1	IL2	14	physical	PIK3CA	PRKCZ	P42336	Q05513	1
P42336	P23443	1	IL2	14	Phosphorylation	PIK3CA	RPS6KB1	P42336	P23443	1
P42336	P40763	1	IL2	14	Phosphorylation	PIK3CA	STAT3	P42336	P40763	1
O00329	P40763	1	IL2	14	Phosphorylation	PIK3CD	STAT3	O00329	P40763	1
P48736	Q05513	1	IL2	14	physical	PIK3CG	PRKCZ	P48736	Q05513	1
P48736	P23443	1	IL2	14	Phosphorylation	PIK3CG	RPS6KB1	P48736	P23443	1
P48736	P40763	1	IL2	14	Phosphorylation	PIK3CG	STAT3	P48736	P40763	1
P27986	P22681	1	IL2	14	physical	PIK3R1	CBL	P27986	P22681	1
P27986	Q9UQC2	1	IL2	14	physical	PIK3R1	GAB2	P27986	Q9UQC2	1
P27986	P14784	1	IL2	14	physical	PIK3R1	IL2RB	P27986	P14784	1
P27986	P35568	1	IL2	14	physical	PIK3R1	IRS1	P27986	P35568	1
P27986	P06239	1	IL2	14	physical	PIK3R1	LCK	P27986	P06239	1
P27986	Q06124	1	IL2	14	physical	PIK3R1	PTPN11	P27986	Q06124	1
O00459	P46109	1	IL2	14	physical	PIK3R2	CRKL	O00459	P46109	1
O00459	Q9UQC2	1	IL2	14	physical	PIK3R2	GAB2	O00459	Q9UQC2	1
O00459	P14784	1	IL2	14	physical	PIK3R2	IL2RB	O00459	P14784	1
O00459	P23458	1	IL2	14	physical	PIK3R2	JAK1	O00459	P23458	1
O00459	P40763	1	IL2	14	Phosphorylation	PIK3R2	STAT3	O00459	P40763	1
Q92569	P40763	1	IL2	14	Phosphorylation	PIK3R3	STAT3	Q92569	P40763	1
Q05513	P42336	1	IL2	14	physical	PRKCZ	PIK3CA	Q05513	P42336	1
Q05513	P48736	1	IL2	14	physical	PRKCZ	PIK3CG	Q05513	P48736	1
Q06124	P62993	1	IL2	14	physical	PTPN11	GRB2	Q06124	P62993	1
Q06124	P27986	1	IL2	14	physical	PTPN11	PIK3R1	Q06124	P27986	1
Q06124	P42229	1	IL2	14	Dephosphorylation	PTPN11	STAT5A	Q06124	P42229	1
P29350	P23458	1	IL2	14	Dephosphorylation	PTPN6	JAK1	P29350	P23458	1
P04049	P14784	1	IL2	14	physical	RAF1	IL2RB	P04049	P14784	1
P23443	O14746	1	IL2	14	physical	RPS6KB1	TERT	P23443	O14746	1
Q15464	P31785	1	IL2	14	physical	SHB	IL2RG	Q15464	P31785	1
Q15464	P23458	1	IL2	14	physical	SHB	JAK1	Q15464	P23458	1
Q15464	P52333	1	IL2	14	physical	SHB	JAK3	Q15464	P52333	1
P29353	P22681	1	IL2	14	physical	SHC1	CBL	P29353	P22681	1
P29353	P46109	1	IL2	14	physical	SHC1	CRKL	P29353	P46109	1
P29353	Q07889	1	IL2	14	physical	SHC1	SOS1	P29353	Q07889	1
O15524	P14784	1	IL2	14	physical	SOCS1	IL2RB	O15524	P14784	1
O14543	P14784	1	IL2	14	physical	SOCS3	IL2RB	O14543	P14784	1
Q07889	P29353	1	IL2	14	physical	SOS1	SHC1	Q07889	P29353	1
Q92783	P52333	1	IL2	14	physical	STAM	JAK3	Q92783	P52333	1
P40763	P42229	1	IL2	14	physical	STAT3	STAT5A	P40763	P42229	1
P42229	P46108	1	IL2	14	physical	STAT5A	CRK	P42229	P46108	1
P42229	P46109	1	IL2	14	physical	STAT5A	CRKL	P42229	P46109	1
P42229	Q13287	1	IL2	14	physical	STAT5A	NMI	P42229	Q13287	1
P42229	P40763	1	IL2	14	physical	STAT5A	STAT3	P42229	P40763	1
P51692	P46109	1	IL2	14	physical	STAT5B	CRKL	P51692	P46109	1
P51692	P14784	1	IL2	14	physical	STAT5B	IL2RB	P51692	P14784	1
P51692	Q13287	1	IL2	14	physical	STAT5B	NMI	P51692	Q13287	1
P43405	P14784	1	IL2	14	physical	SYK	IL2RB	P43405	P14784	1
O14746	P07900	1	IL2	14	physical	TERT	HSP90AA1	O14746	P07900	1
O14746	P23443	1	IL2	14	physical	TERT	RPS6KB1	O14746	P23443	1
P09327	P52333	1	IL2	14	physical	VIL1	JAK3	P09327	P52333	1
