#tail	head	weight	pathway_name	pathway_ID	edge_type	tail_symbol	head_symbol	0	1	cv_part
P31749	Q92934	1	IL3	15	Phosphorylation	AKT1	BAD	P31749	Q92934	0
Q92934	P10415	1	IL3	15	physical	BAD	BCL2	Q92934	P10415	0
Q07812	P10415	1	IL3	15	physical	BAX	BCL2	Q07812	P10415	0
P10415	Q92934	1	IL3	15	physical	BCL2	BAD	P10415	Q92934	0
P10415	Q07812	1	IL3	15	physical	BCL2	BAX	P10415	Q07812	0
O43521	P31946	1	IL3	15	physical	BCL2L11	YWHAB	O43521	P31946	0
P22681	P46108	1	IL3	15	physical	CBL	CRK	P22681	P46108	0
P22681	P06241	1	IL3	15	physical	CBL	FYN	P22681	P06241	0
P22681	P62993	1	IL3	15	physical	CBL	GRB2	P22681	P62993	0
P22681	P27986	1	IL3	15	physical	CBL	PIK3R1	P22681	P27986	0
P46108	P22681	1	IL3	15	physical	CRK	CBL	P46108	P22681	0
P46109	Q06124	1	IL3	15	physical	CRKL	PTPN11	P46109	Q06124	0
P46109	P29353	1	IL3	15	physical	CRKL	SHC1	P46109	P29353	0
P32927	P30273	1	IL3	15	physical	CSF2RB	FCER1G	P32927	P30273	0
P32927	P07332	1	IL3	15	physical	CSF2RB	FES	P32927	P07332	0
P32927	P08631	1	IL3	15	physical	CSF2RB	HCK	P32927	P08631	0
P32927	P08700	1	IL3	15	physical	CSF2RB	IL3	P32927	P08700	0
P32927	O60674	1	IL3	15	physical	CSF2RB	JAK2	P32927	O60674	0
P32927	P05771	1	IL3	15	physical	CSF2RB	PRKCB	P32927	P05771	0
P32927	P29353	1	IL3	15	physical	CSF2RB	SHC1	P32927	P29353	0
P32927	P63104	1	IL3	15	physical	CSF2RB	YWHAZ	P32927	P63104	0
Q05193	P27986	1	IL3	15	physical	DNM1	PIK3R1	Q05193	P27986	0
P30273	P32927	1	IL3	15	physical	FCER1G	CSF2RB	P30273	P32927	0
P07332	P32927	1	IL3	15	physical	FES	CSF2RB	P07332	P32927	0
P06241	P22681	1	IL3	15	physical	FYN	CBL	P06241	P22681	0
Q13480	Q06124	1	IL3	15	physical	GAB1	PTPN11	Q13480	Q06124	0
Q9UQC2	Q08209	1	IL3	15	physical	GAB2	PPP3CA	Q9UQC2	Q08209	0
Q9UQC2	Q06124	1	IL3	15	physical	GAB2	PTPN11	Q9UQC2	Q06124	0
Q9UQC2	P29350	1	IL3	15	physical	GAB2	PTPN6	Q9UQC2	P29350	0
Q9UQC2	P29353	1	IL3	15	physical	GAB2	SHC1	Q9UQC2	P29353	0
P62993	P22681	1	IL3	15	physical	GRB2	CBL	P62993	P22681	0
P62993	Q07889	1	IL3	15	physical	GRB2	SOS1	P62993	Q07889	0
P62993	P15498	1	IL3	15	physical	GRB2	VAV1	P62993	P15498	0
P08631	P32927	1	IL3	15	physical	HCK	CSF2RB	P08631	P32927	0
P08700	P32927	1	IL3	15	physical	IL3	CSF2RB	P08700	P32927	0
P26951	P23458	1	IL3	15	physical	IL3RA	JAK1	P26951	P23458	0
P26951	O60674	1	IL3	15	physical	IL3RA	JAK2	P26951	O60674	0
Q92835	Q06124	1	IL3	15	physical	INPP5D	PTPN11	Q92835	Q06124	0
P23458	P26951	1	IL3	15	physical	JAK1	IL3RA	P23458	P26951	0
O60674	P32927	1	IL3	15	physical	JAK2	CSF2RB	O60674	P32927	0
O60674	P26951	1	IL3	15	physical	JAK2	IL3RA	O60674	P26951	0
O60674	P42229	1	IL3	15	Phosphorylation	JAK2	STAT5A	O60674	P42229	0
O60674	P42680	1	IL3	15	physical	JAK2	TEC	O60674	P42680	0
P07948	P43405	1	IL3	15	physical	LYN	SYK	P07948	P43405	0
Q02750	P04049	1	IL3	15	physical	MAP2K1	RAF1	Q02750	P04049	0
P45983	Q92934	1	IL3	15	Phosphorylation	MAPK8	BAD	P45983	Q92934	0
Q13153	Q92934	1	IL3	15	Phosphorylation	PAK1	BAD	Q13153	Q92934	0
P27986	P22681	1	IL3	15	physical	PIK3R1	CBL	P27986	P22681	0
P27986	Q05193	1	IL3	15	physical	PIK3R1	DNM1	P27986	Q05193	0
P27986	O00459	1	IL3	15	physical	PIK3R1	PIK3R2	P27986	O00459	0
P27986	Q06124	1	IL3	15	physical	PIK3R1	PTPN11	P27986	Q06124	0
O00459	P27986	1	IL3	15	physical	PIK3R2	PIK3R1	O00459	P27986	0
P67775	P42229	1	IL3	15	physical	PPP2CA	STAT5A	P67775	P42229	0
Q08209	Q9UQC2	1	IL3	15	physical	PPP3CA	GAB2	Q08209	Q9UQC2	0
P17612	P04049	1	IL3	15	Phosphorylation	PRKACA	RAF1	P17612	P04049	0
P05771	P32927	1	IL3	15	physical	PRKCB	CSF2RB	P05771	P32927	0
Q05397	P49023	1	IL3	15	physical	PTK2	PXN	Q05397	P49023	0
Q06124	P46109	1	IL3	15	physical	PTPN11	CRKL	Q06124	P46109	0
Q06124	Q13480	1	IL3	15	physical	PTPN11	GAB1	Q06124	Q13480	0
Q06124	Q9UQC2	1	IL3	15	Dephosphorylation	PTPN11	GAB2	Q06124	Q9UQC2	0
Q06124	Q9UQC2	1	IL3	15	physical	PTPN11	GAB2	Q06124	Q9UQC2	0
Q06124	Q92835	1	IL3	15	physical	PTPN11	INPP5D	Q06124	Q92835	0
Q06124	P27986	1	IL3	15	physical	PTPN11	PIK3R1	Q06124	P27986	0
Q06124	P42229	1	IL3	15	Dephosphorylation	PTPN11	STAT5A	Q06124	P42229	0
P29350	Q9UQC2	1	IL3	15	physical	PTPN6	GAB2	P29350	Q9UQC2	0
P49023	Q05397	1	IL3	15	physical	PXN	PTK2	P49023	Q05397	0
P49023	P18206	1	IL3	15	physical	PXN	VCL	P49023	P18206	0
P04049	Q02750	1	IL3	15	physical	RAF1	MAP2K1	P04049	Q02750	0
Q13905	P29353	1	IL3	15	physical	RAPGEF1	SHC1	Q13905	P29353	0
P10276	P19793	1	IL3	15	physical	RARA	RXRA	P10276	P19793	0
P19793	P10276	1	IL3	15	physical	RXRA	RARA	P19793	P10276	0
P19793	P42229	1	IL3	15	physical	RXRA	STAT5A	P19793	P42229	0
P29353	P46109	1	IL3	15	physical	SHC1	CRKL	P29353	P46109	0
P29353	P32927	1	IL3	15	physical	SHC1	CSF2RB	P29353	P32927	0
P29353	Q9UQC2	1	IL3	15	physical	SHC1	GAB2	P29353	Q9UQC2	0
P29353	Q13905	1	IL3	15	physical	SHC1	RAPGEF1	P29353	Q13905	0
O14508	O14543	1	IL3	15	physical	SOCS2	SOCS3	O14508	O14543	0
O14543	O14508	1	IL3	15	physical	SOCS3	SOCS2	O14543	O14508	0
Q07889	P62993	1	IL3	15	physical	SOS1	GRB2	Q07889	P62993	0
P12931	P40763	1	IL3	15	Phosphorylation	SRC	STAT3	P12931	P40763	0
P12931	P40763	1	IL3	15	physical	SRC	STAT3	P12931	P40763	0
P40763	P12931	1	IL3	15	physical	STAT3	SRC	P40763	P12931	0
P42229	P67775	1	IL3	15	physical	STAT5A	PPP2CA	P42229	P67775	0
P42229	P19793	1	IL3	15	physical	STAT5A	RXRA	P42229	P19793	0
P43405	P07948	1	IL3	15	physical	SYK	LYN	P43405	P07948	0
P42680	O60674	1	IL3	15	physical	TEC	JAK2	P42680	O60674	0
P15498	P62993	1	IL3	15	physical	VAV1	GRB2	P15498	P62993	0
P18206	P49023	1	IL3	15	physical	VCL	PXN	P18206	P49023	0
P31946	O43521	1	IL3	15	physical	YWHAB	BCL2L11	P31946	O43521	0
P63104	P32927	1	IL3	15	physical	YWHAZ	CSF2RB	P63104	P32927	0
