#tail	head	weight	pathway_name	pathway_ID	edge_type	tail_symbol	head_symbol	0	1	cv_part
P31749	P16220	1	IL3	15	physical	AKT1	CREB1	P31749	P16220	1
P31749	O43524	1	IL3	15	Phosphorylation	AKT1	FOXO3	P31749	O43524	1
Q92934	Q07817	1	IL3	15	physical	BAD	BCL2L1	Q92934	Q07817	1
Q92934	P27348	1	IL3	15	physical	BAD	YWHAQ	Q92934	P27348	1
Q07817	Q92934	1	IL3	15	physical	BCL2L1	BAD	Q07817	Q92934	1
P22681	P46109	1	IL3	15	physical	CBL	CRKL	P22681	P46109	1
P22681	P08631	1	IL3	15	physical	CBL	HCK	P22681	P08631	1
P22681	O00459	1	IL3	15	physical	CBL	PIK3R2	P22681	O00459	1
Q9NSE2	P32927	1	IL3	15	physical	CISH	CSF2RB	Q9NSE2	P32927	1
P16220	P31749	1	IL3	15	physical	CREB1	AKT1	P16220	P31749	1
P46109	P22681	1	IL3	15	physical	CRKL	CBL	P46109	P22681	1
P46109	Q13905	1	IL3	15	physical	CRKL	RAPGEF1	P46109	Q13905	1
P32927	Q9NSE2	1	IL3	15	physical	CSF2RB	CISH	P32927	Q9NSE2	1
P32927	P06241	1	IL3	15	physical	CSF2RB	FYN	P32927	P06241	1
P32927	P63244	1	IL3	15	physical	CSF2RB	GNB2L1	P32927	P63244	1
P32927	P26951	1	IL3	15	physical	CSF2RB	IL3RA	P32927	P26951	1
P32927	P23458	1	IL3	15	physical	CSF2RB	JAK1	P32927	P23458	1
P32927	P07948	1	IL3	15	physical	CSF2RB	LYN	P32927	P07948	1
P32927	Q06124	1	IL3	15	physical	CSF2RB	PTPN11	P32927	Q06124	1
P32927	P29350	1	IL3	15	physical	CSF2RB	PTPN6	P32927	P29350	1
P32927	P43405	1	IL3	15	physical	CSF2RB	SYK	P32927	P43405	1
Q99704	P08575	1	IL3	15	physical	DOK1	PTPRC	Q99704	P08575	1
P06241	P32927	1	IL3	15	physical	FYN	CSF2RB	P06241	P32927	1
Q13480	P27986	1	IL3	15	physical	GAB1	PIK3R1	Q13480	P27986	1
Q9UQC2	P62993	1	IL3	15	physical	GAB2	GRB2	Q9UQC2	P62993	1
Q9UQC2	P27986	1	IL3	15	physical	GAB2	PIK3R1	Q9UQC2	P27986	1
Q9UQC2	P43405	1	IL3	15	physical	GAB2	SYK	Q9UQC2	P43405	1
P63244	P32927	1	IL3	15	physical	GNB2L1	CSF2RB	P63244	P32927	1
P62993	Q9UQC2	1	IL3	15	physical	GRB2	GAB2	P62993	Q9UQC2	1
P62993	Q06124	1	IL3	15	physical	GRB2	PTPN11	P62993	Q06124	1
P62993	P29353	1	IL3	15	physical	GRB2	SHC1	P62993	P29353	1
P08631	P22681	1	IL3	15	physical	HCK	CBL	P08631	P22681	1
P01112	O00329	1	IL3	15	physical	HRAS	PIK3CD	P01112	O00329	1
P08700	P26951	1	IL3	15	physical	IL3	IL3RA	P08700	P26951	1
P26951	P32927	1	IL3	15	physical	IL3RA	CSF2RB	P26951	P32927	1
P26951	P08700	1	IL3	15	physical	IL3RA	IL3	P26951	P08700	1
Q92835	P29353	1	IL3	15	physical	INPP5D	SHC1	Q92835	P29353	1
P23458	P32927	1	IL3	15	physical	JAK1	CSF2RB	P23458	P32927	1
O60674	P67775	1	IL3	15	Phosphorylation	JAK2	PPP2CA	O60674	P67775	1
O60674	P67775	1	IL3	15	physical	JAK2	PPP2CA	O60674	P67775	1
O60674	P51692	1	IL3	15	Phosphorylation	JAK2	STAT5B	O60674	P51692	1
P06239	P32927	1	IL3	15	Phosphorylation	LCK	CSF2RB	P06239	P32927	1
P07948	P32927	1	IL3	15	Phosphorylation	LYN	CSF2RB	P07948	P32927	1
P07948	P32927	1	IL3	15	physical	LYN	CSF2RB	P07948	P32927	1
P28482	P10415	1	IL3	15	Phosphorylation	MAPK1	BCL2	P28482	P10415	1
P28482	P15976	1	IL3	15	Phosphorylation	MAPK1	GATA1	P28482	P15976	1
P28482	P23769	1	IL3	15	Phosphorylation	MAPK1	GATA2	P28482	P23769	1
P27361	P10415	1	IL3	15	Phosphorylation	MAPK3	BCL2	P27361	P10415	1
P27361	P15976	1	IL3	15	Phosphorylation	MAPK3	GATA1	P27361	P15976	1
O00329	P01112	1	IL3	15	physical	PIK3CD	HRAS	O00329	P01112	1
O00329	P27986	1	IL3	15	physical	PIK3CD	PIK3R1	O00329	P27986	1
O00329	O00459	1	IL3	15	physical	PIK3CD	PIK3R2	O00329	O00459	1
P27986	Q13480	1	IL3	15	physical	PIK3R1	GAB1	P27986	Q13480	1
P27986	Q9UQC2	1	IL3	15	physical	PIK3R1	GAB2	P27986	Q9UQC2	1
P27986	O00329	1	IL3	15	physical	PIK3R1	PIK3CD	P27986	O00329	1
P27986	P42680	1	IL3	15	physical	PIK3R1	TEC	P27986	P42680	1
O00459	P22681	1	IL3	15	physical	PIK3R2	CBL	O00459	P22681	1
O00459	O00329	1	IL3	15	physical	PIK3R2	PIK3CD	O00459	O00329	1
O00459	Q06124	1	IL3	15	physical	PIK3R2	PTPN11	O00459	Q06124	1
Q9UKJ0	Q06124	1	IL3	15	physical	PILRB	PTPN11	Q9UKJ0	Q06124	1
