#tail	head	weight	pathway_name	pathway_ID	edge_type	tail_symbol	head_symbol	0	1	cv_part
P10275	Q15788	1	IL6	18	physical	AR	NCOA1	P10275	Q15788	0
Q06187	P40189	1	IL6	18	physical	BTK	IL6ST	Q06187	P40189	0
Q00535	P10636	1	IL6	18	Phosphorylation	CDK5	MAPT	Q00535	P10636	0
P50750	P40189	1	IL6	18	physical	CDK9	IL6ST	P50750	P40189	0
P17676	P19838	1	IL6	18	physical	CEBPB	NFKB1	P17676	P19838	0
P17676	P40763	1	IL6	18	physical	CEBPB	STAT3	P17676	P40763	0
Q92793	P40763	1	IL6	18	physical	CREBBP	STAT3	Q92793	P40763	0
Q09472	P40763	1	IL6	18	Acetylation	EP300	STAT3	Q09472	P40763	0
P04626	P40189	1	IL6	18	physical	ERBB2	IL6ST	P04626	P40189	0
P04626	P29353	1	IL6	18	physical	ERBB2	SHC1	P04626	P29353	0
P01100	P20823	1	IL6	18	physical	FOS	HNF1A	P01100	P20823	0
P01100	P40763	1	IL6	18	physical	FOS	STAT3	P01100	P40763	0
Q13480	P27986	1	IL6	18	physical	GAB1	PIK3R1	Q13480	P27986	0
Q13480	O00459	1	IL6	18	physical	GAB1	PIK3R2	Q13480	O00459	0
Q13480	Q06124	1	IL6	18	physical	GAB1	PTPN11	Q13480	Q06124	0
P62993	P40189	1	IL6	18	physical	GRB2	IL6ST	P62993	P40189	0
P62993	P29353	1	IL6	18	physical	GRB2	SHC1	P62993	P29353	0
P62993	Q07889	1	IL6	18	physical	GRB2	SOS1	P62993	Q07889	0
P62993	P15498	1	IL6	18	physical	GRB2	VAV1	P62993	P15498	0
Q13547	P40763	1	IL6	18	physical	HDAC1	STAT3	Q13547	P40763	0
P20823	P01100	1	IL6	18	physical	HNF1A	FOS	P20823	P01100	0
P01112	O00459	1	IL6	18	physical	HRAS	PIK3R2	P01112	O00459	0
P05231	P40189	1	IL6	18	physical	IL6	IL6ST	P05231	P40189	0
P08887	P40189	1	IL6	18	physical	IL6R	IL6ST	P08887	P40189	0
P40189	Q06187	1	IL6	18	physical	IL6ST	BTK	P40189	Q06187	0
P40189	P50750	1	IL6	18	physical	IL6ST	CDK9	P40189	P50750	0
P40189	P04626	1	IL6	18	physical	IL6ST	ERBB2	P40189	P04626	0
P40189	P62993	1	IL6	18	physical	IL6ST	GRB2	P40189	P62993	0
P40189	P05231	1	IL6	18	physical	IL6ST	IL6	P40189	P05231	0
P40189	P08887	1	IL6	18	physical	IL6ST	IL6R	P40189	P08887	0
P40189	P23458	1	IL6	18	physical	IL6ST	JAK1	P40189	P23458	0
P40189	O60674	1	IL6	18	physical	IL6ST	JAK2	P40189	O60674	0
P40189	Q05655	1	IL6	18	physical	IL6ST	PRKCD	P40189	Q05655	0
P40189	Q06124	1	IL6	18	physical	IL6ST	PTPN11	P40189	Q06124	0
P23458	P40189	1	IL6	18	physical	JAK1	IL6ST	P23458	P40189	0
P23458	O00459	1	IL6	18	physical	JAK1	PIK3R2	P23458	O00459	0
P23458	Q06124	1	IL6	18	physical	JAK1	PTPN11	P23458	Q06124	0
O60674	P40189	1	IL6	18	physical	JAK2	IL6ST	O60674	P40189	0
O60674	P40189	1	IL6	18	Phosphorylation	JAK2	IL6ST	O60674	P40189	0
P05412	P40763	1	IL6	18	physical	JUN	STAT3	P05412	P40763	0
O43318	P52564	1	IL6	18	Phosphorylation	MAP3K7	MAP2K6	O43318	P52564	0
O43318	P40763	1	IL6	18	physical	MAP3K7	STAT3	O43318	P40763	0
Q15788	P10275	1	IL6	18	physical	NCOA1	AR	Q15788	P10275	0
Q15788	P40763	1	IL6	18	physical	NCOA1	STAT3	Q15788	P40763	0
P19838	P17676	1	IL6	18	physical	NFKB1	CEBPB	P19838	P17676	0
Q9UBE8	P40763	1	IL6	18	physical	NLK	STAT3	Q9UBE8	P40763	0
PB_10	P27986	1	IL6	18	physical	PB_10	PIK3R1	PB_10	P27986	0
Q9Y6X2	P40763	1	IL6	18	physical	PIAS3	STAT3	Q9Y6X2	P40763	0
P27986	Q13480	1	IL6	18	physical	PIK3R1	GAB1	P27986	Q13480	0
P27986	PB_10	1	IL6	18	physical	PIK3R1	PB_10	P27986	PB_10	0
P27986	P40763	1	IL6	18	physical	PIK3R1	STAT3	P27986	P40763	0
O00459	Q13480	1	IL6	18	physical	PIK3R2	GAB1	O00459	Q13480	0
O00459	P01112	1	IL6	18	physical	PIK3R2	HRAS	O00459	P01112	0
O00459	P23458	1	IL6	18	physical	PIK3R2	JAK1	O00459	P23458	0
O00459	Q06124	1	IL6	18	physical	PIK3R2	PTPN11	O00459	Q06124	0
Q05655	P40189	1	IL6	18	physical	PRKCD	IL6ST	Q05655	P40189	0
Q06124	Q13480	1	IL6	18	physical	PTPN11	GAB1	Q06124	Q13480	0
Q06124	P40189	1	IL6	18	physical	PTPN11	IL6ST	Q06124	P40189	0
Q06124	P23458	1	IL6	18	physical	PTPN11	JAK1	Q06124	P23458	0
Q06124	O00459	1	IL6	18	physical	PTPN11	PIK3R2	Q06124	O00459	0
Q06124	P78324	1	IL6	18	physical	PTPN11	SIRPA	Q06124	P78324	0
Q06124	O14543	1	IL6	18	physical	PTPN11	SOCS3	Q06124	O14543	0
Q06124	P29597	1	IL6	18	physical	PTPN11	TYK2	Q06124	P29597	0
P29353	P04626	1	IL6	18	physical	SHC1	ERBB2	P29353	P04626	0
P29353	P62993	1	IL6	18	physical	SHC1	GRB2	P29353	P62993	0
P78324	Q06124	1	IL6	18	physical	SIRPA	PTPN11	P78324	Q06124	0
O14543	Q06124	1	IL6	18	physical	SOCS3	PTPN11	O14543	Q06124	0
