#tail	head	weight	pathway_name	pathway_ID	edge_type	tail_symbol	head_symbol	0	1	cv_part
Q9Y297	P16471	1	Prolactin	56	physical	BTRC	PRLR	Q9Y297	P16471	0
P22681	P62993	1	Prolactin	56	physical	CBL	GRB2	P22681	P62993	0
P22681	P27986	1	Prolactin	56	physical	CBL	PIK3R1	P22681	P27986	0
Q9HC77	P42229	1	Prolactin	56	physical	CENPJ	STAT5A	Q9HC77	P42229	0
P50570	P12931	1	Prolactin	56	physical	DNM2	SRC	P50570	P12931	0
Q09472	P42229	1	Prolactin	56	physical	EP300	STAT5A	Q09472	P42229	0
Q15303	O60674	1	Prolactin	56	physical	ERBB4	JAK2	Q15303	O60674	0
P06241	O00459	1	Prolactin	56	physical	FYN	PIK3R2	P06241	O00459	0
P06241	P16471	1	Prolactin	56	physical	FYN	PRLR	P06241	P16471	0
Q9UQC2	P48736	1	Prolactin	56	physical	GAB2	PIK3CG	Q9UQC2	P48736	0
Q9UQC2	Q06124	1	Prolactin	56	physical	GAB2	PTPN11	Q9UQC2	Q06124	0
P62993	P22681	1	Prolactin	56	physical	GRB2	CBL	P62993	P22681	0
P62993	P29350	1	Prolactin	56	physical	GRB2	PTPN6	P62993	P29350	0
P62993	P29353	1	Prolactin	56	physical	GRB2	SHC1	P62993	P29353	0
P62993	O15524	1	Prolactin	56	physical	GRB2	SOCS1	P62993	O15524	0
P35568	P27986	1	Prolactin	56	physical	IRS1	PIK3R1	P35568	P27986	0
P35568	O00459	1	Prolactin	56	physical	IRS1	PIK3R2	P35568	O00459	0
Q9Y4H2	P27986	1	Prolactin	56	physical	IRS2	PIK3R1	Q9Y4H2	P27986	0
P05556	P16471	1	Prolactin	56	physical	ITGB1	PRLR	P05556	P16471	0
P05556	P78324	1	Prolactin	56	physical	ITGB1	SIRPA	P05556	P78324	0
O60674	Q15303	1	Prolactin	56	physical	JAK2	ERBB4	O60674	Q15303	0
O60674	Q15303	1	Prolactin	56	Phosphorylation	JAK2	ERBB4	O60674	Q15303	0
O60674	Q14527	1	Prolactin	56	Phosphorylation	JAK2	HLTF	O60674	Q14527	0
O60674	Q13153	1	Prolactin	56	Phosphorylation	JAK2	PAK1	O60674	Q13153	0
O60674	Q9NRF2	1	Prolactin	56	physical	JAK2	SH2B1	O60674	Q9NRF2	0
O60674	P29353	1	Prolactin	56	physical	JAK2	SHC1	O60674	P29353	0
O60674	P78324	1	Prolactin	56	physical	JAK2	SIRPA	O60674	P78324	0
O60674	P51692	1	Prolactin	56	physical	JAK2	STAT5B	O60674	P51692	0
P10242	P42229	1	Prolactin	56	physical	MYB	STAT5A	P10242	P42229	0
P51956	P16471	1	Prolactin	56	physical	NEK3	PRLR	P51956	P16471	0
P51956	P52735	1	Prolactin	56	physical	NEK3	VAV2	P51956	P52735	0
Q13469	P51692	1	Prolactin	56	physical	NFATC2	STAT5B	Q13469	P51692	0
Q9Y6X2	P42229	1	Prolactin	56	physical	PIAS3	STAT5A	Q9Y6X2	P42229	0
P42336	P42338	1	Prolactin	56	physical	PIK3CA	PIK3CB	P42336	P42338	0
P42336	P48736	1	Prolactin	56	physical	PIK3CA	PIK3CG	P42336	P48736	0
P42338	P42336	1	Prolactin	56	physical	PIK3CB	PIK3CA	P42338	P42336	0
