#tail	head	weight	pathway_name	pathway_ID	edge_type	tail_symbol	head_symbol	0	1	cv_part
P36543	Q9Y4K3	1	RANKL	21	physical	ATP6V1E1	TRAF6	P36543	Q9Y4K3	0
P07384	P25963	1	RANKL	21	Proteolytic	CAPN1	NFKBIA	P07384	P25963	0
P22681	O00459	1	RANKL	21	physical	CBL	PIK3R2	P22681	O00459	0
P22681	Q9Y4K3	1	RANKL	21	physical	CBL	TRAF6	P22681	Q9Y4K3	0
Q9NQC7	Q13501	1	RANKL	21	physical	CYLD	SQSTM1	Q9NQC7	Q13501	0
Q9NQC7	Q9Y4K3	1	RANKL	21	physical	CYLD	TRAF6	Q9NQC7	Q9Y4K3	0
P24071	P08637	1	RANKL	21	physical	FCAR	FCGR3A	P24071	P08637	0
P24071	Q9UKJ1	1	RANKL	21	physical	FCAR	PILRA	P24071	Q9UKJ1	0
P08637	P24071	1	RANKL	21	physical	FCGR3A	FCAR	P08637	P24071	0
Q14192	Q01196	1	RANKL	21	physical	FHL2	RUNX1	Q14192	Q01196	0
Q14192	Q9Y4K3	1	RANKL	21	physical	FHL2	TRAF6	Q14192	Q9Y4K3	0
Q9UQC2	P07948	1	RANKL	21	physical	GAB2	LYN	Q9UQC2	P07948	0
Q9UQC2	P16885	1	RANKL	21	physical	GAB2	PLCG2	Q9UQC2	P16885	0
Q9UQC2	P29350	1	RANKL	21	physical	GAB2	PTPN6	Q9UQC2	P29350	0
Q9UQC2	Q9Y6Q6	1	RANKL	21	physical	GAB2	TNFRSF11A	Q9UQC2	Q9Y6Q6	0
O14920	Q9Y6K9	1	RANKL	21	physical	IKBKB	IKBKG	O14920	Q9Y6K9	0
Q9Y6K9	O14920	1	RANKL	21	physical	IKBKG	IKBKB	Q9Y6K9	O14920	0
P07948	Q9UQC2	1	RANKL	21	physical	LYN	GAB2	P07948	Q9UQC2	0
P07948	P43405	1	RANKL	21	physical	LYN	SYK	P07948	P43405	0
P07948	Q9Y6Q6	1	RANKL	21	physical	LYN	TNFRSF11A	P07948	Q9Y6Q6	0
O14733	P45983	1	RANKL	21	Phosphorylation	MAP2K7	MAPK8	O14733	P45983	0
O43318	P52564	1	RANKL	21	Phosphorylation	MAP3K7	MAP2K6	O43318	P52564	0
O43318	Q9Y4K3	1	RANKL	21	physical	MAP3K7	TRAF6	O43318	Q9Y4K3	0
O75030	O00487	1	RANKL	21	physical	MITF	PSMD14	O75030	O00487	0
