#tail	head	weight	pathway_name	pathway_ID	edge_type	tail_symbol	head_symbol	0	1	cv_part
P00519	P43403	1	TCR	11	physical	ABL1	ZAP70	P00519	P43403	0
P24666	P43403	1	TCR	11	Dephosphorylation	ACP1	ZAP70	P24666	P43403	0
P52566	P15498	1	TCR	11	physical	ARHGDIB	VAV1	P52566	P15498	0
Q15052	Q13153	1	TCR	11	physical	ARHGEF6	PAK1	Q15052	Q13153	0
Q14155	Q13153	1	TCR	11	physical	ARHGEF7	PAK1	Q14155	Q13153	0
Q9BXL7	P43403	1	TCR	11	physical	CARD11	ZAP70	Q9BXL7	P43403	0
P22681	P62993	1	TCR	11	physical	CBL	GRB2	P22681	P62993	0
P22681	Q9Y2R2	1	TCR	11	physical	CBL	PTPN22	P22681	Q9Y2R2	0
P22681	Q9H6Q3	1	TCR	11	physical	CBL	SLA2	P22681	Q9H6Q3	0
P22681	P27348	1	TCR	11	physical	CBL	YWHAQ	P22681	P27348	0
Q13191	P46109	1	TCR	11	physical	CBLB	CRKL	Q13191	P46109	0
Q13191	P43403	1	TCR	11	physical	CBLB	ZAP70	Q13191	P43403	0
P06729	O43586	1	TCR	11	physical	CD2	PSTPIP1	P06729	O43586	0
P20963	P62993	1	TCR	11	physical	CD247	GRB2	P20963	P62993	0
P20963	P52333	1	TCR	11	physical	CD247	JAK3	P20963	P52333	0
P20963	P29353	1	TCR	11	physical	CD247	SHC1	P20963	P29353	0
P20963	P51692	1	TCR	11	physical	CD247	STAT5B	P20963	P51692	0
P20963	Q6PIZ9	1	TCR	11	physical	CD247	TRAT1	P20963	Q6PIZ9	0
P20963	Q13432	1	TCR	11	physical	CD247	UNC119	P20963	Q13432	0
P10747	P27986	1	TCR	11	physical	CD28	PIK3R1	P10747	P27986	0
P10747	O00459	1	TCR	11	physical	CD28	PIK3R2	P10747	O00459	0
Q9Y5K6	O43586	1	TCR	11	physical	CD2AP	PSTPIP1	Q9Y5K6	O43586	0
P04234	P07766	1	TCR	11	physical	CD3D	CD3E	P04234	P07766	0
P04234	-	1	TCR	11	physical	CD3D	TRA@	P04234	-	0
P07766	P04234	1	TCR	11	physical	CD3E	CD3D	P07766	P04234	0
P07766	P09693	1	TCR	11	physical	CD3E	CD3G	P07766	P09693	0
P07766	P19338	1	TCR	11	physical	CD3E	NCL	P07766	P19338	0
P07766	P04435	1	TCR	11	physical	CD3E	TRB@	P07766	P04435	0
P09693	P07766	1	TCR	11	physical	CD3G	CD3E	P09693	P07766	0
P01730	P06239	1	TCR	11	physical	CD4	LCK	P01730	P06239	0
P01730	Q13432	1	TCR	11	physical	CD4	UNC119	P01730	Q13432	0
P06127	P43403	1	TCR	11	physical	CD5	ZAP70	P06127	P43403	0
P33681	P16410	1	TCR	11	physical	CD80	CTLA4	P33681	P16410	0
P01732	O43561	1	TCR	11	physical	CD8A	LAT	P01732	O43561	0
P01732	P06239	1	TCR	11	physical	CD8A	LCK	P01732	P06239	0
P60953	P42768	1	TCR	11	physical	CDC42	WAS	P60953	P42768	0
P16220	Q92793	1	TCR	11	physical	CREB1	CREBBP	P16220	Q92793	0
Q92793	P16220	1	TCR	11	physical	CREBBP	CREB1	Q92793	P16220	0
P46108	Q92918	1	TCR	11	physical	CRK	MAP4K1	P46108	Q92918	0
P46108	O00459	1	TCR	11	physical	CRK	PIK3R2	P46108	O00459	0
P46109	Q13191	1	TCR	11	physical	CRKL	CBLB	P46109	Q13191	0
P46109	Q92918	1	TCR	11	physical	CRKL	MAP4K1	P46109	Q92918	0
