#tail	head	weight	pathway_name	pathway_ID	edge_type	tail_symbol	head_symbol	0	1	cv_part
Q8IZP0	Q9Y6W5	1	TCR	11	physical	ABI1	WASF2	Q8IZP0	Q9Y6W5	1
P31749	Q04759	1	TCR	11	physical	AKT1	PRKCQ	P31749	Q04759	1
P52566	P29353	1	TCR	11	physical	ARHGDIB	SHC1	P52566	P29353	1
Q14155	Q14161	1	TCR	11	physical	ARHGEF7	GIT2	Q14155	Q14161	1
O95999	Q9BXL7	1	TCR	11	physical	BCL10	CARD11	O95999	Q9BXL7	1
O95999	O43353	1	TCR	11	physical	BCL10	RIPK2	O95999	O43353	1
Q9Y6J0	P16298	1	TCR	11	physical	CABIN1	PPP3CB	Q9Y6J0	P16298	1
Q9BXL7	O95999	1	TCR	11	physical	CARD11	BCL10	Q9BXL7	O95999	1
Q9BXL7	Q92918	1	TCR	11	physical	CARD11	MAP4K1	Q9BXL7	Q92918	1
P22681	P46108	1	TCR	11	physical	CBL	CRK	P22681	P46108	1
P22681	P06241	1	TCR	11	physical	CBL	FYN	P22681	P06241	1
P22681	P43405	1	TCR	11	physical	CBL	SYK	P22681	P43405	1
P22681	P43403	1	TCR	11	physical	CBL	ZAP70	P22681	P43403	1
Q13191	P62993	1	TCR	11	physical	CBLB	GRB2	Q13191	P62993	1
Q13191	P43405	1	TCR	11	physical	CBLB	SYK	Q13191	P43405	1
P20963	P16410	1	TCR	11	physical	CD247	CTLA4	P20963	P16410	1
P20963	Q92608	1	TCR	11	physical	CD247	DOCK2	P20963	Q92608	1
P20963	P26045	1	TCR	11	physical	CD247	PTPN3	P20963	P26045	1
P20963	Q13239	1	TCR	11	physical	CD247	SLA	P20963	Q13239	1
P20963	Q9H6Q3	1	TCR	11	physical	CD247	SLA2	P20963	Q9H6Q3	1
P20963	P42229	1	TCR	11	physical	CD247	STAT5A	P20963	P42229	1
P20963	P43403	1	TCR	11	physical	CD247	ZAP70	P20963	P43403	1
P10747	P33681	1	TCR	11	physical	CD28	CD80	P10747	P33681	1
P04234	P04435	1	TCR	11	physical	CD3D	TRB@	P04234	P04435	1
P07766	P16333	1	TCR	11	physical	CD3E	NCK1	P07766	P16333	1
P07766	-	1	TCR	11	physical	CD3E	TRA@	P07766	-	1
P07766	Q6PIZ9	1	TCR	11	physical	CD3E	TRAT1	P07766	Q6PIZ9	1
P07766	Q13432	1	TCR	11	physical	CD3E	UNC119	P07766	Q13432	1
P07766	P43403	1	TCR	11	physical	CD3E	ZAP70	P07766	P43403	1
P09693	-	1	TCR	11	physical	CD3G	TRA@	P09693	-	1
P09693	P04435	1	TCR	11	physical	CD3G	TRB@	P09693	P04435	1
P01730	O43561	1	TCR	11	physical	CD4	LAT	P01730	O43561	1
P06127	P29350	1	TCR	11	physical	CD5	PTPN6	P06127	P29350	1
P33681	P10747	1	TCR	11	physical	CD80	CD28	P33681	P10747	1
P42081	P16410	1	TCR	11	physical	CD86	CTLA4	P42081	P16410	1
P17676	Q9NSC5	1	TCR	11	physical	CEBPB	HOMER3	P17676	Q9NSC5	1
O15111	P25963	1	TCR	11	Phosphorylation	CHUK	NFKBIA	O15111	P25963	1
Q9NSE2	Q04759	1	TCR	11	physical	CISH	PRKCQ	Q9NSE2	Q04759	1
P46108	P22681	1	TCR	11	physical	CRK	CBL	P46108	P22681	1
P46108	Q14511	1	TCR	11	physical	CRK	NEDD9	P46108	Q14511	1
P46108	P27986	1	TCR	11	physical	CRK	PIK3R1	P46108	P27986	1
P46108	P43403	1	TCR	11	physical	CRK	ZAP70	P46108	P43403	1
P46109	P42768	1	TCR	11	physical	CRKL	WAS	P46109	P42768	1
P46109	O43516	1	TCR	11	physical	CRKL	WIPF1	P46109	O43516	1
P16410	P20963	1	TCR	11	physical	CTLA4	CD247	P16410	P20963	1
P16410	P42081	1	TCR	11	physical	CTLA4	CD86	P16410	P42081	1
P16410	P27986	1	TCR	11	physical	CTLA4	PIK3R1	P16410	P27986	1
P35222	P15941	1	TCR	11	physical	CTNNB1	MUC1	P35222	P15941	1
Q9H4E7	P43403	1	TCR	11	physical	DEF6	ZAP70	Q9H4E7	P43403	1
Q12959	P06239	1	TCR	11	physical	DLG1	LCK	Q12959	P06239	1
P50570	P15498	1	TCR	11	physical	DNM2	VAV1	P50570	P15498	1
Q92608	P20963	1	TCR	11	physical	DOCK2	CD247	Q92608	P20963	1
O60496	Q92835	1	TCR	11	physical	DOK2	INPP5D	O60496	Q92835	1
P51452	P43403	1	TCR	11	physical	DUSP3	ZAP70	P51452	P43403	1
P18146	O95644	1	TCR	11	physical	EGR1	NFATC1	P18146	O95644	1
P18146	Q04206	1	TCR	11	physical	EGR1	RELA	P18146	Q04206	1
Q8N8S7	O15117	1	TCR	11	physical	ENAH	FYB	Q8N8S7	O15117	1
Q96P31	P43403	1	TCR	11	physical	FCRL3	ZAP70	Q96P31	P43403	1
P01100	P05412	1	TCR	11	physical	FOS	JUN	P01100	P05412	1
O15117	Q8N8S7	1	TCR	11	physical	FYB	ENAH	O15117	Q8N8S7	1
O15117	O75563	1	TCR	11	physical	FYB	SKAP2	O15117	O75563	1
